app_id,app_name,rank,country_code,date
com.techseries.weatherlive.pro,WeatherRadarPro,1,KR,2019-02-17
com.myscript.calculator,MyScriptCalculator2,2,KR,2019-02-17
com.pixelstar.PixelFBladeVIP,PIXELBLADEVip(ピクセルブレード),3,KR,2019-02-17
com.chuslab.petvip,PetDefenseVIP,4,KR,2019-02-17
com.crablue.idolevovip,IDOLEvolution,5,KR,2019-02-17
com.starlight.superhero.fight.pay,SuperheroFight:SwordBattle-ActionRPGPremium,6,KR,2019-02-17
com.ryuminus.srpg,ThirdMiracle(三番目の奇跡),7,KR,2019-02-17
com.teamhc.project22ep1,아스라이커뮤니케이션,8,KR,2019-02-17
com.WIL.EnglishWords,버블영어단어,9,KR,2019-02-17
com.SakrGames.Minesweeper,Minesweeper,10,KR,2019-02-17
air.com.littlebigplay.games.premium.thehearts,TheHeartsPRO,11,KR,2019-02-17
com.cisdom.oceandeep,ToOceanDeep,12,KR,2019-02-17
com.crablue.herodefensevip,HeroEvolution2:VIP,13,KR,2019-02-17
com.D3Go.mendel,Alien:Blackout,14,KR,2019-02-17
com.kakao.talk.theme.Okcheori_Comma,옥철이_쉼표카톡테마,15,KR,2019-02-17
com.team17.escapists2,TheEscapists2:PocketBreakout,16,KR,2019-02-17
com.candysoft.HAHWSVIP,双子の魔王:SuperVIP,17,KR,2019-02-17
com.waywaystudio.rowrow,RowRow,18,KR,2019-02-17
com.wdsoft.spaceblockcrush,SpaceBlockCrush(NoADs),19,KR,2019-02-17
com.gsm.overdrivepremium,OverdrivePremium,20,KR,2019-02-17
com.candysoft.FishKingSVIP,エンジェルフィッシュ:SuperVIP,21,KR,2019-02-17
com.riftcat.vridgecontroller,VRidgeコントローラー,22,KR,2019-02-17
com.softschool.app.android.highwords_1005,천지합일:주역육효매화만세력평생운세사주팔자,23,KR,2019-02-17
de.brettspielwelt.doppeltsoclever,Twiceasclever,24,KR,2019-02-17
com.hy.app.FontSettings.HYMilktea_g,HY달콤밀크티for폰트고리[Fontgori],25,KR,2019-02-17
