app_id,app_name,rank,country_code,date
com.G1Playground.TrickArtDungeon,トリックアートダンジョン,1,KR,2019-06-06
com.zigzagame.evertale,エバーテイル,2,KR,2019-06-06
com.mojang.minecraftpe,Minecraft,3,KR,2019-06-06
me.sovs.sovs,SOVS-CompositionCamera,4,KR,2019-06-06
air.joara.miracle,기적의분식집Complete,5,KR,2019-06-06
com.fizzd.connectedworlds,ADanceofFireandIce,6,KR,2019-06-06
com.ssicosm.dungeon_princess,ダンジョン姫,7,KR,2019-06-06
football.manager.games.fm19.mobile,FootballManager2019Mobile,8,KR,2019-06-06
com.corrodinggames.rts,RustedWarfare-RTSStrategy,9,KR,2019-06-06
com.robtopx.geometryjump,GeometryDash,10,KR,2019-06-06
kr.co.lylstudio.unicorn,ユニコーン:広告ブロック必須アプリ,11,KR,2019-06-06
com.NewMeta.GambleDefence,도박디펜스,12,KR,2019-06-06
nz.co.codepoint.minimetro,ミニメトロ,13,KR,2019-06-06
com.piratesoutlaws.fabledgame,PiratesOutlaws,14,KR,2019-06-06
com.cloudmosa.puffin,PuffinBrowserPro,15,KR,2019-06-06
com.snackgames.demonking,DemonKing,16,KR,2019-06-06
com.magiccubegames.killthedictator,独裁者を殺す(KillTheDictator),17,KR,2019-06-06
com.buffstudio.sevendays,7Days-ミステリーノベルアドベンチャー,18,KR,2019-06-06
rooms.handmadegame.net,룸즈:장난감장인의저택,19,KR,2019-06-06
com.teamarex.troop,언노운나이츠,20,KR,2019-06-06
com.newin.nplayer.pro,nPlayer,21,KR,2019-06-06
com.drycactus.polybridge,PolyBridge,22,KR,2019-06-06
air.dog.wfox2,당신을기다리는여우花,23,KR,2019-06-06
widstudio.games.pipes,FairyKnights,24,KR,2019-06-06
com.godpeople.GPBIBLE,갓피플성경,25,KR,2019-06-06
com.kinkajoo.RummikubHD,Rummikub,26,KR,2019-06-06
com.prpr.musedash,MuseDash,27,KR,2019-06-06
com.mxtech.videoplayer.pro,MXPlayerPro,28,KR,2019-06-06
com.banjihagames.seoul2033_backer,서울2033:후원자,29,KR,2019-06-06
com.choco.silentmode,무음모드(순정무음카메라),30,KR,2019-06-06
com.longyoug.hmby,三國志漢末覇業,31,KR,2019-06-06
com.ustwo.monumentvalley,モニュメントバレー,32,KR,2019-06-06
com.GameCoaster.DungeonMaker,ダンジョンメーカー,33,KR,2019-06-06
com.robotgentleman.game60seconds,60Seconds!AtomicAdventure,34,KR,2019-06-06
com.t2ksports.nba2k19and,NBA2K19,35,KR,2019-06-06
ch.feinheit.games.firststrike,FirstStrike:FinalHour,36,KR,2019-06-06
age.of.civilizations2.jakowski.lukasz,AgeofCivilizationsII,37,KR,2019-06-06
com.Paladog.KorGG,Paladog,38,KR,2019-06-06
com.ninjakiwi.bloonstd6,BloonsTD6,39,KR,2019-06-06
com.and.games505.TerrariaPaid,Terraria.,40,KR,2019-06-06
cc.peacedeath.peacedeath,"Peace,Death!",41,KR,2019-06-06
com.lamaboy.MazeCube,메이즈큐브,42,KR,2019-06-06
com.jpbrothers.android.pictail.sub6,PICTAIL-LimitedEdition,43,KR,2019-06-06
kr.pe.designerj.airbudspopup,AirBudsPopup-airpodbatteryapp(1stgen),44,KR,2019-06-06
com.ironhidegames.android.kingdomrushfrontiers,KingdomRushFrontiers,45,KR,2019-06-06
com.singlecellsoftware.sandpremium,Sand!Premium,46,KR,2019-06-06
com.devolver.reigns,Reigns,47,KR,2019-06-06
air.dog.wfox,당신을기다리는여우,48,KR,2019-06-06
net.kairosoft.android.gamedev3en,GameDevStory,49,KR,2019-06-06
com.hancom.office.hwp.editor.hwp_apk.gplaystore,한컴오피스한글2014,50,KR,2019-06-06
com.ironhidegames.android.kingdomrush4,キングダムラッシュの復讐(KingdomRushVengeance),51,KR,2019-06-06
com.squareenixmontreal.hitmansniperandroid,ヒットマンスナイパー(HitmanSniper),52,KR,2019-06-06
com.dotemu.wonderboy.dragonstrap,WonderBoy:TheDragon'sTrap,53,KR,2019-06-06
com.blackbag.doordefense,ドアディフェンス,54,KR,2019-06-06
com.Level5.LT1RKR,레이튼교수와이상한마을HD,55,KR,2019-06-06
com.noodlecake.gettingoverit,GettingOverItwithBennettFoddy,56,KR,2019-06-06
com.dotomchi.mysteryOfFortune3,MysteryofFortune3,57,KR,2019-06-06
com.sofarsogood.incredibox,Incredibox,58,KR,2019-06-06
com.acadoid.lecturenotes,LectureNotes,59,KR,2019-06-06
com.hs.toeic5finish,토익PART5종결자,60,KR,2019-06-06
com.ustwo.monumentvalley2,MonumentValley2,61,KR,2019-06-06
