app_id,app_name,rank,country_code,date
com.whatsapp,WhatsAppMessenger,1,MX,2017-01-03
com.facebook.orca,Messenger,2,MX,2017-01-03
com.facebook.katana,Facebook,3,MX,2017-01-03
com.robtopx.geometrydashworld,GeometryDashWorld,4,MX,2017-01-03
com.linecorp.b612.android,B612-いつもの毎日をもっと楽しく,5,MX,2017-01-03
com.instagram.android,Instagram,6,MX,2017-01-03
com.kiloo.subwaysurf,SubwaySurfers,7,MX,2017-01-03
com.snapchat.android,Snapchat,8,MX,2017-01-03
com.ubercab,Uber,9,MX,2017-01-03
me.pou.app,プーチッチPou,10,MX,2017-01-03
com.facebook.lite,FacebookLite,11,MX,2017-01-03
com.inveno.noticias,NoticiasÁguila,12,MX,2017-01-03
ares.mp3.music.player,AresMP3音楽Player,13,MX,2017-01-03
com.jb.zcamera,Zカメラ,14,MX,2017-01-03
com.netflix.mediaclient,Netflix,15,MX,2017-01-03
com.spotify.music,Spotify-世界最大の音楽ストリーミングサービス,16,MX,2017-01-03
com.outfit7.mytalkingtomfree,マイ・トーキング・トム(MyTalkingTom),17,MX,2017-01-03
com.robtopx.geometryjumplite,ジオメトリーダッシュ(GeometryDashLite),18,MX,2017-01-03
com.qisiemoji.inputmethod,"KikaKeyboard-Emoji,GIFs",19,MX,2017-01-03
com.google.android.apps.youtube.music,YouTubeMusic,20,MX,2017-01-03
com.cmplay.tiles2,ピアノタイル2™,21,MX,2017-01-03
air.com.hypah.io.slither,slither.io,22,MX,2017-01-03
com.steam.photoeditor,SPhotoEditor,23,MX,2017-01-03
com.hutchgames.hotwheels,HotWheels:RaceOff,24,MX,2017-01-03
com.ea.game.pvzfree_row,Plantsvs.ZombiesFREE,25,MX,2017-01-03
com.surpax.ledflashlight.panel,超高輝度LED懐中電灯,26,MX,2017-01-03
com.nianticlabs.pokemongo,PokémonGO,27,MX,2017-01-03
com.lyrebirdstudio.montagenscolagem,画像コラージュ&テンプレート文字入れ画像加工Collage,28,MX,2017-01-03
com.fingersoft.hcr2,HillClimbRacing2,29,MX,2017-01-03
com.google.android.youtube,YouTube,30,MX,2017-01-03
com.ea.gp.fifamobile,FIFAMobileサッカー,31,MX,2017-01-03
com.google.android.play.games,GooglePlayゲーム,32,MX,2017-01-03
com.king.candycrushsaga,キャンディークラッシュ,33,MX,2017-01-03
com.apalon.mandala.coloring.book,私塗り絵本,34,MX,2017-01-03
com.outfit7.mytalkingangelafree,マイ・トーキング・アンジェラ,35,MX,2017-01-03
com.cleanmaster.security,CMSecurity-無料セキュリティ，アプリロック,36,MX,2017-01-03
com.cleanmaster.mguard,CleanMaster[タスクキラー/ファイル削除],37,MX,2017-01-03
com.powerd.cleaner,FastCleaner-SpeedBooster,38,MX,2017-01-03
com.fdgentertainment.bananakong,バナナコング,39,MX,2017-01-03
com.bitmango.go.blockhexapuzzle,ブロック！ヘキサパズル,40,MX,2017-01-03
com.supercell.clashroyale,クラッシュ・ロワイヤル(ClashRoyale),41,MX,2017-01-03
com.gameloft.android.ANMP.GloftM5HM,モダンコンバット5：Blackout,42,MX,2017-01-03
net.mobigame.zombietsunami,ZombieTsunami(ゾンビツナミ),43,MX,2017-01-03
com.cam001.selfie,SweetSelfie-写真＆ビューティーエディタ,44,MX,2017-01-03
mega.privacy.android.app,MEGA,45,MX,2017-01-03
com.miniclip.eightballpool,8BallPool,46,MX,2017-01-03
com.dianxinos.dxbs,DUBatterySaver(バッテリー節電),47,MX,2017-01-03
com.explorationbase.ExplorationLite,ExplorationLite,48,MX,2017-01-03
com.fingersoft.hillclimb,ヒルクライムレース:HillClimbRacing,49,MX,2017-01-03
com.firsttouchgames.dls3,DreamLeagueSoccer,50,MX,2017-01-03
com.ea.game.pvz2_row,Plantsvs.Zombies2,51,MX,2017-01-03
com.pixonic.wwr,WarRobots,52,MX,2017-01-03
com.picsart.studio,PicsArtPhotoStudio,53,MX,2017-01-03
com.robtopx.geometrydashmeltdown,GeometryDashMeltdown,54,MX,2017-01-03
com.snkplaymore.android014,METALSLUGATTACK,55,MX,2017-01-03
com.joeware.android.gpulumera,キャンディカメラ　―　自撮り、サイレント、フィルターカメラ,56,MX,2017-01-03
com.google.android.apps.photos,Googleフォト,57,MX,2017-01-03
com.halfbrick.fruitninjafree,FruitNinjaFree,58,MX,2017-01-03
com.turboc.cleaner,"TurboCleaner-Boost,Clean",59,MX,2017-01-03
com.lotus.game.pianotiles2.android,PianoTiles2s,60,MX,2017-01-03
com.fortafygames.colorswitch,ColorSwitch,61,MX,2017-01-03
com.gameloft.android.ANMP.GloftDMHM,怪盗グルーのミニオンラッシュ,62,MX,2017-01-03
com.ferret.freemusic,プレイリストメーカー,63,MX,2017-01-03
com.miniclip.archery,ArcheryKing,64,MX,2017-01-03
com.popreach.dumbways,DumbWaystoDieOriginal,65,MX,2017-01-03
net.zedge.android,ZEDGE™着信音&壁紙&アイコン,66,MX,2017-01-03
com.imangi.templerun,TempleRun,67,MX,2017-01-03
com.gameloft.android.ANMP.GloftA8HM,アスファルト8：Airborne,68,MX,2017-01-03
mobi.MultiCraft,►MultiCraft―FreeMiner!👍,69,MX,2017-01-03
com.venticake.retrica,レトリカRetrica,70,MX,2017-01-03
com.emoji.coolkeyboard,KikaEmojiKeyboardPro+GIFs,71,MX,2017-01-03
com.lionmobi.powerclean,PowerClean-最適化クリーナー,72,MX,2017-01-03
com.outfit7.talkingtomgoldrun,トーキング・トムのゴールド・ラン,73,MX,2017-01-03
com.fundevs.app.mediaconverter,MP3VideoConverter,74,MX,2017-01-03
com.sega.sonicdash,SonicDash,75,MX,2017-01-03
com.aim.racing,ExtremeCarDrivingSimulator,76,MX,2017-01-03
com.twitter.android,Twitter,77,MX,2017-01-03
com.natenai.glowhockey,GlowHockey,78,MX,2017-01-03
com.waze,Waze-渋滞ナビ、GPS、地図,79,MX,2017-01-03
com.halfbrick.jetpackjoyride,JetpackJoyride,80,MX,2017-01-03
com.dianxinos.optimizer.duplay,DUSpeedBooster(Cleaner),81,MX,2017-01-03
com.rovio.angrybirds,AngryBirds,82,MX,2017-01-03
com.fgol.HungrySharkEvolution,HungrySharkEvolution,83,MX,2017-01-03
com.zeptolab.ctr.ads,CuttheRopeFULLFREE,84,MX,2017-01-03
com.pixel.gun3d,ピクセルガン3D。(PixelGun3D),85,MX,2017-01-03
com.bandainamcogames.dbzdokkanww,DRAGONBALLZDOKKANBATTLE,86,MX,2017-01-03
com.windmill.asap,PasswordWifi,87,MX,2017-01-03
com.scottgames.fnaf2demo,FiveNightsatFreddy's2Demo,88,MX,2017-01-03
com.junerking.bottle,ボトルのフリップ-FlipWaterBottle,89,MX,2017-01-03
com.ismaker.android.simsimi,シムシミ(SimSimi),90,MX,2017-01-03
