app_id,app_name,rank,country_code,date
com.mgc.runnergame,RunRace3D-3D競走,1,MX,2019-04-20
com.playgendary.pinatamasters,Pinatamasters,2,MX,2019-04-20
com.playgendary.ktb2,KicktheBuddy:Forever,3,MX,2019-04-20
com.twist.hit,TwistHit!,4,MX,2019-04-20
com.master.craft.game.free,MasterCraftfree,5,MX,2019-04-20
com.ekkorr.msf,メタルスラッグインフィニティ,6,MX,2019-04-20
com.clean.road,CleanRoad,7,MX,2019-04-20
com.housepaint.game,HousePaint,8,MX,2019-04-20
com.azurgames.stackball,スタックボール-積み上げられた台座を砕いていこう ,9,MX,2019-04-20
com.XTechStudios.snakeIO,Snaker.io!,10,MX,2019-04-20
com.hwg.idlepainter,IdlePainter,11,MX,2019-04-20
com.find.different.free,Find10Differences,12,MX,2019-04-20
com.platonicgames.kawaiikitchen,かわいい台所,13,MX,2019-04-20
com.mobirix.roguelife,ハンターラン,14,MX,2019-04-20
com.russellraymond.holloball,HolloBall,15,MX,2019-04-20
com.sinyee.babybus.assistant,ベビーパンダのハウスクリーニング,16,MX,2019-04-20
com.timuzgames.fpsbattle,FPSBattle2019,17,MX,2019-04-20
com.frmlc.championswar,LegendBattle:superfighters,18,MX,2019-04-20
mudahsaja.walkthroughdragonballzbudokaitenkaichi3,WalkthroughDragonballZBudokaiTenkaichi3,19,MX,2019-04-20
com.cookingcity.chef.kitchen.craze.fever,クッキングシティ(CookingCity),20,MX,2019-04-20
com.kaixin.luckygamedom2019,LuckyGamedom,21,MX,2019-04-20
anime.saiyinbattle.ultralegend,UltraAnimeLegendarychampions,22,MX,2019-04-20
pink.queen.princess.runner.subway.run.city.rush.girl,PinkPrincessRun-SubwayEscapeGirlRunTemple,23,MX,2019-04-20
com.blockpuzzle.galaxy.bluedream.puzzle,ブロックパズルダイヤモンド:暇つぶしに人気の面白いゲーム！ゲーム無料ハマるよ,24,MX,2019-04-20
com.soccer.football.fifa.worldcup.mobile.pes,SoccerMobile2019-UltimateFootball,25,MX,2019-04-20
com.game.crafting.exploration.mxx,Exploration2:AdventureWorld,26,MX,2019-04-20
com.bazuka1819.warriorschampions,DragonWarriorsChampions,27,MX,2019-04-20
com.minecraftgranny.app,Hellogrannyhorrorcraftmaps,28,MX,2019-04-20
com.nordeus.goldenboot,GoldenBoot2019,29,MX,2019-04-20
com.cg.archery,ArcheryBattle,30,MX,2019-04-20
com.traws.niwatah,TourneyofWarriorsUltraAnimeFantastic,31,MX,2019-04-20
com.classic.retro.games.nes,NESGames,32,MX,2019-04-20
com.onestoke.games.www.puzzlegame,OneLine-ConnectDotsWithOneStroke,33,MX,2019-04-20
com.yunbu.hockey.elite.free,ホッケーエリート,34,MX,2019-04-20
net.dashracingadventure.subway,SuperShadowCarRacingGame,35,MX,2019-04-20
com.tbegames.and.best_sniper_shooting,BestSniperレガシー:DinoHunt&Shooter3D,36,MX,2019-04-20
casualfree.project001,TowerBash,37,MX,2019-04-20
com.milliongames.zombiesnipershooting,ZombieSniperShooting3D,38,MX,2019-04-20
com.army.commando.battleground.commando.squad,FireSquadFreeFire:BattlegroundSurvivalGame,39,MX,2019-04-20
com.eyougame.mysh.en,SoulDestiny,40,MX,2019-04-20
com.tigers.stickmanarcherking,Mr.Archer:KingStickman,41,MX,2019-04-20
com.Stellar.StackFall,StackFall,42,MX,2019-04-20
com.saiyanwarior.pulselawyer,SaiyanWariorsFighter:Budokai,43,MX,2019-04-20
com.azurgames.dinosaurs,フルメタルモンスターズ,44,MX,2019-04-20
com.viker.scratchattack,ScratchDay,45,MX,2019-04-20
com.looneybug.bunnybugs.subwayrabit.looneyfullmap2019,LooneyBunny:RabbitDashToons,46,MX,2019-04-20
com.kin9.att.worldofcraftlostworld,WorldofCraft2:LostWorld,47,MX,2019-04-20
com.hgamesart.angelhero,CrimeAngelSuperhero-VegasAirStrike,48,MX,2019-04-20
com.free.fire.cross.fire.firing.squad.battlegrounds,FreeFire-CrossFire:FiringSquadbattlegrounds,49,MX,2019-04-20
com.shooting.gun.sniper,極秘狙撃兵,50,MX,2019-04-20
themetalapps.toparcade.topguides.com,GuideOfMetalSlug3,51,MX,2019-04-20
air.com.jamesbrockman.freediamontipsfreetricks,Free-FireGuide2019TipsTrick,52,MX,2019-04-20
com.strike.soccer.football.flick,模擬サッカーゲーム,53,MX,2019-04-20
com.luckykat.curehunters,キュアハンター,54,MX,2019-04-20
com.chris.seasurvival,海洋のサバイバル,55,MX,2019-04-20
com.percent.mybest4,Petdoll,56,MX,2019-04-20
com.darkwar.shadowdeath,ShadowDeath:StickmanFight,57,MX,2019-04-20
com.soccer.football.flickstrike,サッカーの試合を刺激する,58,MX,2019-04-20
com.firing.squad.free.fire.firing.squad.battleground,FiringSquadFreeFire-SurvivalBattleground,59,MX,2019-04-20
com.sinyee.babybus.bird,ベビーパンダの鳥の王国,60,MX,2019-04-20
com.yelloxxx.master.craft,MasterCraft2019,61,MX,2019-04-20
com.milliongames.animalroyale,AnimalRoyale,62,MX,2019-04-20
