app_id,app_name,rank,country_code,date
com.mycraft.pro.version,MyCraft:ProExploration,1,MX,2018-04-06
com.farm.hell.clicker.pro,FarmandClick-IdleHellClickerPro,2,MX,2018-04-06
com.rayark.cytus2,CytusII(サイタスⅡ),3,MX,2018-04-06
com.mageeks.android.trucksim18,TruckSimulatorPROEurope,4,MX,2018-04-06
com.aerosoft.notrufmobile112,Notruf112–DieFeuerwehrSimulation,5,MX,2018-04-06
mylittleprincess.wizard,MyLittlePrincess：魔法使い,6,MX,2018-04-06
com.noodlecake.lichtspeer,リヒトシュピーア,7,MX,2018-04-06
com.devolver.umiro,Umiro,8,MX,2018-04-06
com.buggames.tzzlprem,ToaZZle,9,MX,2018-04-06
com.ootpdevelopments.mlbm2018,MLBManager2018,10,MX,2018-04-06
com.winterspring.cardquest,CardQuest,11,MX,2018-04-06
com.floorsix.android.rocket,AlltheRain,12,MX,2018-04-06
com.appsogreat.rubysquare.puzzle.release,RubySquare:logicalpuzzlegame(700levels),13,MX,2018-04-06
com.hookbang.nightenfell,ナイテンフォールAR,14,MX,2018-04-06
com.gemtactix.Gemtactix.Paid,Gemtactix,15,MX,2018-04-06
com.Majorariatto.GolfingOverIt,GolfingOverItwithAlvaMajo,16,MX,2018-04-06
com.stampedegames.projekt,.projekt,17,MX,2018-04-06
com.tenbirds.animus,アニマス-アイア番外編,18,MX,2018-04-06
com.spotlightor.candleman,Candleman,19,MX,2018-04-06
com.gorpaki.superdangeroustrap,SuperDangerousTrap,20,MX,2018-04-06
com.the10tons.jydge,JYDGE,21,MX,2018-04-06
com.lastdayssurvival.softkintechinc,LastDays:Survival,22,MX,2018-04-06
com.smgstudio.deathsquared,ロロロロ(DeathSquared),23,MX,2018-04-06
com.madcowieproductions.stockcarsunleashed2,StockcarsUnleashed2,24,MX,2018-04-06
com.olivecrow.theredhorn,레드호른가의탐정,25,MX,2018-04-06
com.beamdog.siegeofdragonspear,SiegeofDragonspear,26,MX,2018-04-06
com.artifexmundi.demonhunter4.gp.full,デーモンハンター4:謎めいた光(Full),27,MX,2018-04-06
com.penrose.herosquirrelr,여기서는용사다람쥐,28,MX,2018-04-06
com.syntaxity.bigfootquest,ビッグフットクエスト,29,MX,2018-04-06
com.fivebn.tl02.full,レガシー2(Full),30,MX,2018-04-06
com.iplay.blindEng,Urbanlegend:ShinHayarigami–Blindman,31,MX,2018-04-06
com.TheLonelyDeveloper.AI,TheArtificialIntelligenceProject(A.I.Chat),32,MX,2018-04-06
com.daerisoft.cartoon.plus,マンガダンジョンVIP,33,MX,2018-04-06
com.artifexmundi.noirchronicles.gp.full,ノワールクロニクル:犯罪の都市(Full),34,MX,2018-04-06
com.makkajai.numbersense,MathBridges:LearnBridgingtofriendlynumbers,35,MX,2018-04-06
com.eggoninteractive.litd,LostintheDungeon,36,MX,2018-04-06
com.ianmaclarty.dissembler,Dissembler,37,MX,2018-04-06
com.aetn.xr.android.history.crimescene,A&E®CrimeScene:AR,38,MX,2018-04-06
com.dumpling.smashtanks,ARSmashTanks!,39,MX,2018-04-06
com.daerisoft.attackgod.plus,通常攻撃の神VIP,40,MX,2018-04-06
com.Raultruji3D.Twister,Twister-BestRideSimulators,41,MX,2018-04-06
com.my.little.pinkie.unicorn.gamez,MyLittlePonyGames,42,MX,2018-04-06
com.JamieParish.TheWanderer,TheWanderer,43,MX,2018-04-06
com.vade.raftPremium,RaftSurvival:Premium,44,MX,2018-04-06
