app_id,app_name,rank,country_code,date
com.headupgames.bridgeconstructorplayground,BridgeConstructorPlayground,1,MX,2016-12-04
com.ea.games.nfs13_row,NeedforSpeed™MostWanted,2,MX,2016-12-04
com.playdead.limbo.full,LIMBO,3,MX,2016-12-04
com.squareenixmontreal.hitmansniperandroid,Hitman:Sniper,4,MX,2016-12-04
com.senri.da,Devil'sAttorney,5,MX,2016-12-04
com.turner.superstarsoccer2,CNSuperstarSoccer:Goal!!!,6,MX,2016-12-04
com.mojang.minecraftpe,マインクラフトMinecraft:PocketEd.,7,MX,2016-12-04
com.gameloft.android.ANMP.GloftM4HM,モダンコンバット4：ZeroHour,8,MX,2016-12-04
com.wb.goog.legohp1,LEGOHarryPotter:Years1-4,9,MX,2016-12-04
com.robtopx.geometryjump,GeometryDash,10,MX,2016-12-04
com.ustwo.monumentvalley,モニュメントバレー,11,MX,2016-12-04
com.wb.goog.legohp2,LEGOHarryPotter:Years5-7,12,MX,2016-12-04
com.agaming.mentalhospitalV,MentalHospitalV,13,MX,2016-12-04
com.rockstargames.gtasa,グランド・セフト・オート・サンアンドレアス,14,MX,2016-12-04
com.headupgames.bridgeconstructorstunts,BridgeConstructorStunts,15,MX,2016-12-04
com.FireproofStudios.TheRoom3,TheRoomThree,16,MX,2016-12-04
com.senspark.darkland,Darkland,17,MX,2016-12-04
com.ubisoft.rayman.fiestarun,RaymanFiestaRun,18,MX,2016-12-04
com.gameloft.android.ANMP.GloftASHM,アメイジング・スパイダーマン2,19,MX,2016-12-04
com.dotemu.neogeo.mslug3,METALSLUG3,20,MX,2016-12-04
com.coffeestainstudios.goatsimulator,GoatSimulator,21,MX,2016-12-04
me.dreamsky.stickman,LeagueofStickman2016,22,MX,2016-12-04
me.dreamsky.lostjourney2,時空の旅,23,MX,2016-12-04
com.NeverEndingMedia.AdvnaT,Adivinatadivinalaspalabras,24,MX,2016-12-04
com.codemasters.f12016,F12016,25,MX,2016-12-04
com.FireproofStudios.TheRoom,TheRoom,26,MX,2016-12-04
com.magiccubegames.SmashingTheBattle,スマッシング・ザ・バトル,27,MX,2016-12-04
com.jumpgames.RealSteel,RealSteel,28,MX,2016-12-04
com.sanbae.dimlight,ディム・ライト(DimLight),29,MX,2016-12-04
com.pastagames.ro1mobile,レイマンジャングルラン,30,MX,2016-12-04
com.wb.goog.legojurassicworld,LEGO®JurassicWorld™,31,MX,2016-12-04
com.rockstargames.gtavc,グランド・セフト・オート・バイスシティ,32,MX,2016-12-04
com.hamsteroncoke.zenge,Zenge,33,MX,2016-12-04
com.oddworld.Stranger,Oddworld:Stranger'sWrath,34,MX,2016-12-04
com.ubisoft.princeofpersia.shadowandflame.ggp,PrinceofPersiaShadow&Flame,35,MX,2016-12-04
com.squareenixmontreal.hitmango,HitmanGO,36,MX,2016-12-04
com.rixstudio.uncrowdedone,UncrowdedOne,37,MX,2016-12-04
com.ironhidegames.android.kingdomrushorigins,KingdomRushOrigins,38,MX,2016-12-04
com.rac7.DarkEcho,DarkEcho,39,MX,2016-12-04
com.squareenixmontreal.lcgo,LaraCroftGO,40,MX,2016-12-04
com.turner.stevenrpg,アタック・ザ・ライト-スティーブン・ユニバースRPG,41,MX,2016-12-04
com.wb.goog.scribbleremix,ScribblenautsRemix,42,MX,2016-12-04
com.gameloft.android.ANMP.GloftN3HM,N.O.V.A.3-NearOrbit...,43,MX,2016-12-04
com.ubisoft.assassinscreed.identity,アサシンクリードアイデンティティ,44,MX,2016-12-04
com.turner.ttgfigures,ティーニー・タイタンズ-ティーン・タイタンズＧＯ！,45,MX,2016-12-04
com.epsxe.ePSXe,ePSXeforAndroid,46,MX,2016-12-04
com.bubblezapgames.supergnes,SuperRetro16(SNES),47,MX,2016-12-04
com.scottgames.fivenightsatfreddys,FiveNightsatFreddy's,48,MX,2016-12-04
com.notdoppler.earntodie,EarntoDie,49,MX,2016-12-04
com.snkplaymore.android007,THEKINGOFFIGHTERS'98,50,MX,2016-12-04
