app_id,app_name,rank,country_code,date
com.melesta.coffeeshop,MyCafe:Recipes&Stories,1,MY,2016-06-17
com.bloodstone.fantasista,Fantasista-aFootballLegend,2,MY,2016-06-17
com.ludia.tmnt,NinjaTurtles:Legends,3,MY,2016-06-17
com.qjzs.an.en4399,Crasher,4,MY,2016-06-17
puzzle.games.bubble.shooter.deluxe,バブルシューター-BubbleShooter,5,MY,2016-06-17
com.codhero.mixsg,ClashofDimensions,6,MY,2016-06-17
com.cupcakedigital.dhx.sluglife,Slugterra:SlugLife,7,MY,2016-06-17
com.zinkia.pocoyo.shapes.free,PocoyoShapes,8,MY,2016-06-17
com.pokercity.bydrqp.en,FishHunterChampion,9,MY,2016-06-17
com.madhead.chronosgate,ChronosGate,10,MY,2016-06-17
com.zhanghaipeng.whacktheboss,ボスいじる-WhacktheBoss,11,MY,2016-06-17
com.k3games.babyfashiontailor2.free,リトルテーラー2,12,MY,2016-06-17
com.astro.didiandfriends,Didi&FriendsPlaytown,13,MY,2016-06-17
com.rayark.valkyrie,VOEZ,14,MY,2016-06-17
com.tabtale.daddylittlehelper,パパの小さなお手伝い,15,MY,2016-06-17
com.ivanovichgames.CosmicChallenge,CosmicChallenge,16,MY,2016-06-17
com.julian.huntingsafari,荒野狩猟-HuntingSafari3D,17,MY,2016-06-17
com.koplagames.kopla01,NonstopKnight,18,MY,2016-06-17
com.jzb.adventurer,ゾンビ殺戮-ZombieOverkill3D,19,MY,2016-06-17
com.ovilex.coachbussimulator,CoachBusSimulator,20,MY,2016-06-17
ru.iamtagir.thatlevelagain3,ThatLevelAgain3,21,MY,2016-06-17
com.sea.ldt.se,FighterUtopia,22,MY,2016-06-17
com.efun.yhxy.se,MaidSama-All-starVoiceCast,23,MY,2016-06-17
tw.txwy.and.mxywk,冒險與挖礦,24,MY,2016-06-17
com.tabtale.deardiary,ドリームダイアリー,25,MY,2016-06-17
com.turbochilli.gks,GoodKnightStory,26,MY,2016-06-17
com.t1gamer.lmcs,LegendofNorland-EpicARPG,27,MY,2016-06-17
com.linecorp.LGWONDER,Wonder5Masters,28,MY,2016-06-17
com.efunfun.hk.chww,彩虹物語－吳若希首度代言,29,MY,2016-06-17
com.gm99.sd,三打白骨精-官方正版授權,30,MY,2016-06-17
com.k3games.ambulancedoctor.free,AmbulanceDoctor,31,MY,2016-06-17
com.pocketgems.android.dragon,WarDragons,32,MY,2016-06-17
com.sybogames.brim,ブレード・オブ・ブリム,33,MY,2016-06-17
com.hutchgames.hillclimb,MMXHillClimb,34,MY,2016-06-17
com.ffgames.driftfun,Drift&Fun,35,MY,2016-06-17
com.fullfat.android.blockysoccer,BlockySoccer,36,MY,2016-06-17
com.gameone.jabbersuperjump,SuperJabberJump,37,MY,2016-06-17
com.kongregate.mobile.cats.google,TapCats:IdleWarfare,38,MY,2016-06-17
com.gamedreamer.hk.dsdz,大聖頂住-梁漢文帶你重回西遊,39,MY,2016-06-17
com.kingslots.casino.grandwin,Kingslots-無料のスロットカジノで、一緒に賭けよう!,40,MY,2016-06-17
com.istargame.android.sfol,星晴online：甜蜜約定(不刪檔封測),41,MY,2016-06-17
com.integergames.fightclub,ファイトクラブ-格闘ゲーム,42,MY,2016-06-17
com.tp.android.nurselovestory,看護師のラブストーリー,43,MY,2016-06-17
com.sinyee.babybus.speaking,おしゃべりパンダの赤ちゃん-幼児・子供向け,44,MY,2016-06-17
pl.idreams.SkyForceReloaded2016,SkyForceReloaded,45,MY,2016-06-17
com.hugogames.daybrook,CristianoRonaldo:Kick'n'Run,46,MY,2016-06-17
com.cocoplay.puppyparty,パピーライフ-秘密のペットパーティー,47,MY,2016-06-17
com.giantssoftware.fs14,FarmingSimulator14,48,MY,2016-06-17
com.eyewind.colorfit.princess,Princesscoloringbook,49,MY,2016-06-17
com.labexception.monstertruckdriver3d,MonsterTruckDriver3D,50,MY,2016-06-17
com.herogame.gplay.bombspeedstw,全民飛車,51,MY,2016-06-17
com.tinylabproductions.policemotocross,MotoCross-PoliceJailbreak,52,MY,2016-06-17
com.amelosinteractive.armor,Armor.io,53,MY,2016-06-17
com.honkagardensystemshigh.maveng,Walkthroughmaraavengrst,54,MY,2016-06-17
com.asobimo.aurcusonline.ww,RPGAurcusOnline,55,MY,2016-06-17
com.mozgame.fruitjam,フルーツジャム-フルーツスプラッシュ,56,MY,2016-06-17
com.laserdog.pktball,PKTBALL-エンドレスなアーケードスマッシュスポーツ,57,MY,2016-06-17
com.vstargame.kingocsg,ClashofKingdoms,58,MY,2016-06-17
com.igg.android.texasholdempokerdeluxe2,TexasHoldEmPokerDeluxe2,59,MY,2016-06-17
com.tinylabproductions.motocrossadvanced,MotorcycleRacer-BikeGames,60,MY,2016-06-17
com.libii.royalpony,PrincessPalace:RoyalPony,61,MY,2016-06-17
com.globalfun.masters.google,AdventureTime:MastersofOoo,62,MY,2016-06-17
com.libiitech.makeupSalonPrincessParty,MakeupSalon:PrincessParty,63,MY,2016-06-17
com.miniclip.hockeystars,HockeyStars,64,MY,2016-06-17
com.kunkacht.poker,中華十三張,65,MY,2016-06-17
com.ArtInGames.AirAttack2f,AirAttack2,66,MY,2016-06-17
com.mg.policemotorcycledrive2016,3D警察のオートバイレース2016,67,MY,2016-06-17
com.ledougmonline.fhqy,鳳火群英-三國名將榮耀歸來,68,MY,2016-06-17
com.ezjoynetwork.toycarnival,ToyCarnival,69,MY,2016-06-17
com.Koukoi.CrashingSeason,CrashingSeason,70,MY,2016-06-17
com.gamemorefun.xxsgtw,小小三國—全球首款輕度戰爭策略類手遊,71,MY,2016-06-17
br.com.tapps.sharkevolution,SharkEvolution-ClickerGame,72,MY,2016-06-17
com.mancala.jbsg01.tw,機霸三國-萬人同屏激戰中,73,MY,2016-06-17
com.PSVGameStudio.HippoFirePatrol,キッズ火パトロール,74,MY,2016-06-17
com.bigpoint.hocuspuzzle,ホーカス・パズル,75,MY,2016-06-17
com.timuzsolutions.traintransportsimulator,TrainTransportSimulator,76,MY,2016-06-17
kr.co.dalcomsoft.superstar.a,SuperStarSMTOWN,77,MY,2016-06-17
com.jedigames.p20.googleplay,朕的江山-百萬三國死忠的選擇,78,MY,2016-06-17
com.gamevil.kingdomofwar.android.google.global.normal,KingdomofWar,79,MY,2016-06-17
com.gtracegames.flyingtanksimulator,FlyingBattleTankSimulator,80,MY,2016-06-17
software.simplicial.orborous,Orborous,81,MY,2016-06-17
air.com.tutotoons.app.mycutedogbella.free,MyCuteDogBella,82,MY,2016-06-17
jpark.AOS5,Angerofstick5アンガー・オブ・スティック,83,MY,2016-06-17
com.funtomic.dynamons2,Dynamons2,84,MY,2016-06-17
jp.co.gu3.punkww,PhantomoftheKill,85,MY,2016-06-17
com.teamlava.candy54,キャンディブラストマニア:トラベル,86,MY,2016-06-17
com.vg.offroadtrialbikeracing3d,オフロードトライアルバイクレーシング3D,87,MY,2016-06-17
com.bubadu.my_eye_doctor,MyEyeDoctor(私の眼科医),88,MY,2016-06-17
com.maingames.android.LegionHunters,LegionHunters,89,MY,2016-06-17
com.qjphs.ssjj,Aria：天空之城HK（3D跨時空奇幻史詩MMORPG遊戲）,90,MY,2016-06-17
com.gamecircus.CoinDozerJackpot,CoinDozer:Casino,91,MY,2016-06-17
com.miniclip.thunderbirds,ThunderbirdsAreGo:TeamRush,92,MY,2016-06-17
com.drpanda.icecreamfree,Dr.Pandaのアイスクリームトラック無料版,93,MY,2016-06-17
com.rambo.gun.shooting,2016年にコントラランボー,94,MY,2016-06-17
com.tg.extremepowerboatracers,エクストリームパワーボートレーサー,95,MY,2016-06-17
com.attackwar.airfighterworldaircombat,AirFighterWorldAirCombat,96,MY,2016-06-17
com.nixhydragames.eggbaby2,Egg!,97,MY,2016-06-17
com.InterServ.Heroes_of_Dungeon,HeroesofDungeon,98,MY,2016-06-17
com.lnhtno.kpmen,MonsterFrontier,99,MY,2016-06-17
com.gs.stickmanbank.robberyescape,StickmanBankRobberyEscape,100,MY,2016-06-17
com.studiobomber.classic.bomberman,ボンバーマン2016,101,MY,2016-06-17
com.vg.cityairportcargoplane3d,CityAirportCargoPlane3D,102,MY,2016-06-17
com.ketchapp.ketchappbasketball,KetchappBasketball,103,MY,2016-06-17
com.gamehouse.hm2gp,Heart'sMedicineTimetoHeal,104,MY,2016-06-17
th.envn.siamgame.ggplay.sfyyq,KungfuMonkey-Global,105,MY,2016-06-17
com.gv.frozenfairymatch3,冷凍妖精：マッチ3カスケード,106,MY,2016-06-17
com.labexception.racingincarturbo,RacingInCarTurbo,107,MY,2016-06-17
com.tg.cartransportplanepilotsim,車の輸送機パイロットSIM,108,MY,2016-06-17
com.turborocketgames.dragonsim,DragonSimOnline,109,MY,2016-06-17
com.sinyee.babybus.recommendInter,こどもランド-幼児・子供向け知育ゲーム遊び放題,110,MY,2016-06-17
com.apolloonline.free.sicbo,ラスベガスの夢-無料スロットを,111,MY,2016-06-17
com.AwesomeIndustries.DriftZone2,DriftZone2,112,MY,2016-06-17
com.Euag.SouzaSimDragRace,SouzaSim-DragRace,113,MY,2016-06-17
com.integergames.stuntcar3d,StuntCar3D,114,MY,2016-06-17
com.vshower.btba,BeyondTheBounds(BTB),115,MY,2016-06-17
com.i6.zombiesmash2,ZombieKillerTruckDriving3D,116,MY,2016-06-17
com.ea.gp.fwcs2016,FIFAサッカープライムスターズ,117,MY,2016-06-17
com.geewa.PLT2,PoolLiveTour2,118,MY,2016-06-17
com.vmxxy.sg,梦想仙游,119,MY,2016-06-17
com.ftt.sevenguardians.gl.global,セブンガーディアンズ　終わりなき戦争,120,MY,2016-06-17
com.match.three.fruitmania.free,FruitMania,121,MY,2016-06-17
com.monthurs.solitaire.classic.card,Solitaire-ClassicCardGame,122,MY,2016-06-17
com.footballgamefree.soccersimulator,FootballGameFreeSoccer3D,123,MY,2016-06-17
com.igames.bottleshootexpert,BottleShootExpert,124,MY,2016-06-17
com.zainikosnin.kuihrayakeras,KuihRayaKeras,125,MY,2016-06-17
com.eyougame.kos,StormPersuader,126,MY,2016-06-17
tw.funmobi.promotion.googleplay,太子妃升職記,127,MY,2016-06-17
com.match.three.bubbleshooter.free,BubbleShooter,128,MY,2016-06-17
com.tapinator.ultimate.lion.adventure,UltimateLionAdventure3D,129,MY,2016-06-17
com.mg.limocartransporterair,3Dリムジンカートランスポーター：空気,130,MY,2016-06-17
com.bigfishgames.cascadef2p.google,カスケード,131,MY,2016-06-17
com.eternal.legend.gump,EternalLegend,132,MY,2016-06-17
com.tg.hillclimbaenracingchampion,HillClimbAENRacingChampion,133,MY,2016-06-17
com.nullapp.racer.motocross3d,Motocross3D,134,MY,2016-06-17
air.com.tutotoons.app.princessgirlsclub2.free,PrincessGirlsClub2,135,MY,2016-06-17
egypt.bubble,EgyptPopBubbleShooter,136,MY,2016-06-17
com.tapinator.car.dash,CarDash2016,137,MY,2016-06-17
com.honkagardensystemshigh.plazo,Walkthroughplavzmbwg,138,MY,2016-06-17
com.neverpixel.preciseshift,PreciseShiftRacing,139,MY,2016-06-17
com.gtracegames.flyingmusclehelicoptersim,FlyingMuscleHelicopterCar,140,MY,2016-06-17
air.com.tutotoons.app.sweetlittledwarfs2.free,SweetLittleDwarfs2,141,MY,2016-06-17
com.gamegarden.tw,TalesofWindspell,142,MY,2016-06-17
com.vectorDash2,VectorDash2,143,MY,2016-06-17
com.futureplay.city,BuildAway!-アイドルシティビルダー,144,MY,2016-06-17
com.shadowgames.RunJump,BoboyBoyRun&Jump,145,MY,2016-06-17
