app_id,app_name,rank,country_code,date
com.squareenixmontreal.hitmansniperandroid,ヒットマンスナイパー(HitmanSniper),1,MY,2018-10-24
com.mojang.minecraftpe,Minecraft,2,MY,2018-10-24
com.t2ksports.nba2k19and,NBA2K19,3,MY,2018-10-24
jp.co.capcom.mhsspen,MonsterHunterStories,4,MY,2018-10-24
com.rockstargames.gtasa,グランド・セフト・オート・サンアンドレアス,5,MY,2018-10-24
com.rockstargames.gtavc,グランド・セフト・オート・バイスシティ,6,MY,2018-10-24
com.ubisoft.assassinscreed.identity,アサシンクリードアイデンティティ,7,MY,2018-10-24
com.STRONGANDROID.CrazzzyAqurium,InseAquriumDeluxe-FeedFishes!FightAliens!,8,MY,2018-10-24
com.zitga.ninja.stickman.legends.shadow.wars,StickmanLegends:ShadowofWar,9,MY,2018-10-24
com.notdoppler.earntodie,EarntoDie,10,MY,2018-10-24
com.prpr.musedash,MuseDash,11,MY,2018-10-24
com.pockettrend.neomonsters,ネオモンスターズ,12,MY,2018-10-24
com.realdrift.sipon,RealDriftCarRacing,13,MY,2018-10-24
com.ninjakiwi.bloonstd6,BloonsTD6,14,MY,2018-10-24
com.agaming.thesun.origin,TheSun:Origin,15,MY,2018-10-24
com.agaming.reporterii,Reporter2,16,MY,2018-10-24
com.devolver.reignsGot,Reigns:GameofThrones,17,MY,2018-10-24
com.gameloft.android.ANMP.GloftASHM,アメイジング・スパイダーマン2,18,MY,2018-10-24
com.Zonmob.Stickman.FightingGames.ShadowOfDeath,ShadowofDeath:StickmanFighting-DarkKnight,19,MY,2018-10-24
com.rayark.cytus2,CytusII(サイタスⅡ),20,MY,2018-10-24
com.ea.games.nfs13_row,NeedforSpeed™MostWanted,21,MY,2018-10-24
com.obuut.tankio.premium,タンク3Dオンラインマルチプレイ(Premium),22,MY,2018-10-24
com.PhoneEase.SoulBlade,SoulBlade,23,MY,2018-10-24
com.rockstargames.bully,Bully:AnniversaryEdition,24,MY,2018-10-24
com.robtopx.geometryjump,GeometryDash,25,MY,2018-10-24
air.com.flipline.papasfreezeriatogo,Papa'sFreezeriaToGo!,26,MY,2018-10-24
com.rockstar.gta3,GrandTheftAutoIII,27,MY,2018-10-24
com.codemasters.f12016,F12016,28,MY,2018-10-24
kemco.rideonjapan.mareniabarpremium,[Premium]RPGマレニア国の冒険酒場～パティアと腹ペコの神～,29,MY,2018-10-24
com.astragon.cs2014,コンストラクションシミュレーター2014,30,MY,2018-10-24
com.protopop.brightridge,NimianLegends:BrightRidge,31,MY,2018-10-24
com.tangram3D.Athletics2,陸上競技2:SummerSports,32,MY,2018-10-24
com.jumpgames.pacificrim,PacificRim,33,MY,2018-10-24
air.net.machinarium.Machinarium.GP,Machinarium（マシナリウム）,34,MY,2018-10-24
com.sigames.fmm2018,FootballManagerMobile2018,35,MY,2018-10-24
com.jdroid.gtavccheater,JCheater:ViceCityEdition,36,MY,2018-10-24
com.epsxe.ePSXe,ePSXeforAndroid,37,MY,2018-10-24
com.jumpgames.RealSteel,RealSteel,38,MY,2018-10-24
org.ppsspp.ppssppgold,PPSSPPGOLD-PSPemulator,39,MY,2018-10-24
com.gameloft.android.ANMP.GloftM4HM,モダンコンバット4：ZeroHour,40,MY,2018-10-24
com.GameCoaster.DungeonMaker,ダンジョンメーカー,41,MY,2018-10-24
com.fantablade.icey,ICEY,42,MY,2018-10-24
com.mageeks.android.trucksimulatorpro2,TruckSimulatorPRO2,43,MY,2018-10-24
com.playsportgames.mmm3,MotorsportManagerMobile3,44,MY,2018-10-24
com.wb.goog.legojurassicworld,LEGO®JurassicWorld™,45,MY,2018-10-24
ilmfinity.evocreo.main.android,EvoCreo,46,MY,2018-10-24
com.mageeks.android.trucksim18,TruckSimulatorPROEurope,47,MY,2018-10-24
com.t2ksports.nba2k18and,NBA2K18,48,MY,2018-10-24
com.ironhidegames.android.kingdomrushfrontiers,KingdomRushFrontiers,49,MY,2018-10-24
mobi.bestfreegames.bike.mayhem.extreme.mountain.racing,BikeMayhemMountainRacing,50,MY,2018-10-24
com.zitga.empire.warriors.td.tower.defense,EmpireWarriorsTDPremium:プレミアムタワーディフェンスゲームRPG,51,MY,2018-10-24
me.dreamsky.stickman,LeagueofStickman2018-NinjaArenaPVP(Dreamsky),52,MY,2018-10-24
com.fds.infiniteflight,InfiniteFlightSimulator,53,MY,2018-10-24
com.codebrewgames.pocketcitygame,PocketCity,54,MY,2018-10-24
com.snowgames.gleamoffire,GleamofFire,55,MY,2018-10-24
com.squareenixmontreal.hitmango,HitmanGO,56,MY,2018-10-24
com.astragon.cs2016,ConstructionSimulator2,57,MY,2018-10-24
com.snkplaymore.kof2012a,THEKINGOFFIGHTERS-A2012,58,MY,2018-10-24
com.nekki.vector.paid,VectorFull,59,MY,2018-10-24
com.t2ksports.wwe2k15mobile,WWE2K,60,MY,2018-10-24
com.linkupgamesenterprises.hackerexegameofficial,Hacker.exe-MobileHackingSimulator,61,MY,2018-10-24
com.hg.townsmen7,TownsmenPremium,62,MY,2018-10-24
com.marmalade.golmobile,TheGameofLife,63,MY,2018-10-24
com.xyz.tapgod,谪仙,64,MY,2018-10-24
com.dreamsky.DiabloLOL,リーグ・オブ・スティックメン(Dreamsky),65,MY,2018-10-24
brownmonster.app.game.rushrally2,RushRally2,66,MY,2018-10-24
com.ironhidegames.android.kingdomrushorigins,KingdomRushOrigins,67,MY,2018-10-24
me.dreamsky.lostjourney2,時空の旅(Dreamsky),68,MY,2018-10-24
com.ThoriumGameLab.BattleOfVicksburg,BattleofVicksburg,69,MY,2018-10-24
com.gameloft.android.ANMP.GloftM3HM,モダンコンバット3：FallenNation,70,MY,2018-10-24
com.devolver.reigns2,Reigns:HerMajesty,71,MY,2018-10-24
gosoft.allcountriesprosimulatorsecond,PresidentSimulator,72,MY,2018-10-24
com.wb.lego.marvel,LEGO®マーベルスーパー・ヒーローズザ・ゲーム,73,MY,2018-10-24
com.worms4.app,Worms4,74,MY,2018-10-24
air.com.flipline.papasscooperiatogo,Papa'sScooperiaToGo!,75,MY,2018-10-24
com.castlegame.sanguoqunyingjingdian,三國遊戲群豪傳懷舊版-單機策略三國戰旗手游，三國曹操傳-無雙趙雲,76,MY,2018-10-24
com.drycactus.polybridge,PolyBridge,77,MY,2018-10-24
com.dotemu.neogeo.mslug3,METALSLUG3,78,MY,2018-10-24
mytown.street,MyTown:ストリートで遊ぶ,79,MY,2018-10-24
com.nobstudio.chengshuwan.prisonLifeRPG,PrisonLifeRPG,80,MY,2018-10-24
co.yakand.agentaapuzzleindisguise,AgentA-偽装のパズル,81,MY,2018-10-24
com.gameloft.android.ANMP.GloftAMHM,アメイジング・スパイダーマン,82,MY,2018-10-24
com.longyoug.hmby,三國志漢末覇業,83,MY,2018-10-24
com.snkplaymore.android007,THEKINGOFFIGHTERS'98,84,MY,2018-10-24
air.com.flipline.papasburgeriatogo,Papa'sBurgeriaToGo!,85,MY,2018-10-24
com.mvasiliy.dragracing3d,DragRacing3D,86,MY,2018-10-24
com.raxeon.jomblokeren,JombloKeren,87,MY,2018-10-24
mycity.home,MyCity:ホーム,88,MY,2018-10-24
game.keyboard.gta.vice.city,GTAVC用ゲームキーボード,89,MY,2018-10-24
amanita_design.samorost3.GP,Samorost3(サモロスト3),90,MY,2018-10-24
com.aceacademy.myapp,ACEAcademy,91,MY,2018-10-24
air.com.flipline.papaspizzeriatogo,Papa'sPizzeriaToGo!,92,MY,2018-10-24
com.snkplaymore.android001,THEKINGOFFIGHTERS'97,93,MY,2018-10-24
com.candyrufusgames.survivalcraft2,Survivalcraft2,94,MY,2018-10-24
com.atypicalgames.sgas,SkyGamblers:AirSupremacy,95,MY,2018-10-24
com.WiseCrowSoftware.CrawlHack,CrawlHack-ANavigationalStrategy/PuzzleGame,96,MY,2018-10-24
com.VenusGames.WW2Battlegrounds,WWIIBattleground,97,MY,2018-10-24
com.magicfind.infinity,無限遠征隊VIP:放置系RPG,98,MY,2018-10-24
com.square_enix.FFIXww.android_googleplay,FINALFANTASYIXforAndroid,99,MY,2018-10-24
com.FireproofStudios.TheRoom,TheRoom,100,MY,2018-10-24
mobi.mo61.WerewolfSP,人狼ゲーム〜牢獄の悪夢〜スペシャル版,101,MY,2018-10-24
ch.feinheit.games.firststrike,FirstStrike:FinalHour,102,MY,2018-10-24
com.kleientertainment.doNotStarvePocket,Don'tStarve:PocketEdition,103,MY,2018-10-24
com.beamdog.baldursgateenhancededition,Baldur'sGateEnhancedEdition,104,MY,2018-10-24
com.ustwo.monumentvalley2,MonumentValley2,105,MY,2018-10-24
com.GameCoaster.ProtectDungeon,ダンジョン守る,106,MY,2018-10-24
me.dreamsky.leagueofstickmanzombie,ZombieAvengers:(Dreamsky)StickmanWarZ-ゾンビ,107,MY,2018-10-24
com.devolver.reigns,Reigns,108,MY,2018-10-24
jp.co.capcom.palmcn,被囚禁的掌心,109,MY,2018-10-24
com.and.games505.TerrariaPaid,Terraria.,110,MY,2018-10-24
com.and.games505.portal_knights,PortalKnights,111,MY,2018-10-24
com.kiwiwalks.witchspring3,魔女の泉3,112,MY,2018-10-24
mytown.friendshouse,MyTown:お友達の家,113,MY,2018-10-24
com.fastemulator.gbc,MyOldBoy!-GBCEmulator,114,MY,2018-10-24
com.robotgentleman.game60seconds,60Seconds!AtomicAdventure,115,MY,2018-10-24
com.rockstargames.gtalcs,GTA:LibertyCityStories,116,MY,2018-10-24
com.wb.goog.lnjgo,LEGO®Ninjago™ShadowofRonin,117,MY,2018-10-24
com.BigDade.ManguniSquad,ManguniSquad,118,MY,2018-10-24
mytown.farm,MyTown:農場,119,MY,2018-10-24
mytown.hauntedhouse,MyTown:お化け屋敷,120,MY,2018-10-24
com.kiwiwalks.witchspringlunaml,魔女の泉2,121,MY,2018-10-24
mytown.preschool,MyTown:Preschool幼稚園,122,MY,2018-10-24
com.egproject.thehouse,TheHouse,123,MY,2018-10-24
com.activision.boz,CallofDutyBlackOpsZombies,124,MY,2018-10-24
com.giantssoftware.fs16,FarmingSimulator16,125,MY,2018-10-24
com.squareenixmontreal.lcgo,LaraCroftGO,126,MY,2018-10-24
