app_id,app_name,rank,country_code,date
com.king.blossomblast,BlossomBlastSaga,1,NL,2015-11-23
com.epicwaronline.ms,モバイルストライク【MobileStrike】,2,NL,2015-11-23
com.king.candycrushjellysaga,CandyCrushJellySaga,3,NL,2015-11-23
com.fxb.prison,脱獄-BreakthePrison,4,NL,2015-11-23
com.ketchapp.twist,Twist,5,NL,2015-11-23
air.com.escapefearhousenewholland,EntfliehenSieAngstHaus,6,NL,2015-11-23
com.cmplay.tiles2,ピアノタイル2,7,NL,2015-11-23
com.miniclip.agar.io,Agar.io,8,NL,2015-11-23
com.hovelgames.trampoline,TrampolineMan(StickmanGame),9,NL,2015-11-23
com.kiloo.subwaysurf,SubwaySurfers,10,NL,2015-11-23
air.au.com.metro.DumbWaysToDie2,DumbWaystoDie2:TheGames,11,NL,2015-11-23
com.supercell.hayday,ヘイ・デイ(HayDay),12,NL,2015-11-23
air.com.landsharkgames.zenkoi.android,ZenKoi禅の鯉-魚を交配＆集めよう,13,NL,2015-11-23
com.ffgames.racingincar,RacinginCar,14,NL,2015-11-23
com.king.candycrushsaga,キャンディークラッシュ,15,NL,2015-11-23
au.com.oddgames.monstertruckdestruction,MonsterTruckDestruction™,16,NL,2015-11-23
com.rkgames.smashywanted,SmashyRoad:Wanted,17,NL,2015-11-23
com.minimo.miniracingadventures,ミニレーシング冒険,18,NL,2015-11-23
com.supercell.clashofclans,クラッシュ・オブ・クラン(ClashofClans),19,NL,2015-11-23
com.waybefore.fastlikeafox,FastlikeaFox,20,NL,2015-11-23
com.ea.gp.minions,ミニオンズパラダイス,21,NL,2015-11-23
com.hcg.cok.gp,クラッシュオブキングス（戦略バトルMMORPG）,22,NL,2015-11-23
com.smoqgames.fopenpack,PackOpenerforFUT16,23,NL,2015-11-23
com.fingersoft.hillclimb,ヒルクライムレース:HillClimbRacing,24,NL,2015-11-23
me.pou.app,プーチッチPou,25,NL,2015-11-23
com.ea.game.simcitymobile_row,SimCityBuildIt,26,NL,2015-11-23
com.ea.games.simsfreeplay_row,TheSimsFreePlay,27,NL,2015-11-23
com.topfreegames.bikeracefreeworld,BikeRaceFree-TopFreeGame,28,NL,2015-11-23
com.king.candycrushsodasaga,キャンディークラッシュソーダ,29,NL,2015-11-23
com.hotheadgames.google.free.ks2,KillShotBravo,30,NL,2015-11-23
com.gameloft.android.ANMP.GloftDMHM,怪盗グルーのミニオンラッシュ,31,NL,2015-11-23
com.miniclip.eightballpool,8BallPool,32,NL,2015-11-23
com.nmssoftware.line.android,Line,33,NL,2015-11-23
com.outfit7.mytalkingtomfree,マイ・トーキング・トム(MyTalkingTom),34,NL,2015-11-23
com.pinkpointer.wordsearch,シークワーズ,35,NL,2015-11-23
com.firsttouchgames.story,Score!Hero,36,NL,2015-11-23
com.ninjakiwi.bloonstdbattles,BloonsTDBattles,37,NL,2015-11-23
com.aim.racing,ExtremeCarDrivingSimulator,38,NL,2015-11-23
br.com.tapps.bidwars,BidWars-StorageAuctions,39,NL,2015-11-23
com.explorationbase.ExplorationLite,ExplorationLite,40,NL,2015-11-23
com.bethsoft.falloutshelter,FalloutShelter,41,NL,2015-11-23
com.badcrane.rgbexpress,RGBExpress,42,NL,2015-11-23
com.hbwares.wordfeud.free,WordfeudFREE,43,NL,2015-11-23
com.yodo1.crossyroad,クロッシーロード,44,NL,2015-11-23
br.com.tapps.chickenevolution,ChickenEvolution-Clicker,45,NL,2015-11-23
com.bigduckgames.flow,FlowFree,46,NL,2015-11-23
com.ea.games.r3_row,RealRacing3,47,NL,2015-11-23
com.etermax.preguntados.lite,TriviaCrack,48,NL,2015-11-23
com.outfit7.mytalkingangelafree,マイ・トーキング・アンジェラ,49,NL,2015-11-23
com.hologram.simulator.game,Hologram3DSimulatorPrank,50,NL,2015-11-23
com.ludia.jurassicworld,JurassicWorld™:ザ·ゲーム,51,NL,2015-11-23
com.bethsoft.falloutcompanionapp,FalloutPip-Boy,52,NL,2015-11-23
com.ea.game.nfs14_row,NeedforSpeed™NoLimits,53,NL,2015-11-23
com.natenai.glowhockey,GlowHockey,54,NL,2015-11-23
com.mobilityware.solitaire,ソリティア,55,NL,2015-11-23
com.AccidentalEmpire.Hundredballs,Original100Balls,56,NL,2015-11-23
com.imangi.templerun2,TempleRun2,57,NL,2015-11-23
com.fgol.HungrySharkEvolution,HungrySharkEvolution,58,NL,2015-11-23
com.omgpop.dstfree,DrawSomethingFree,59,NL,2015-11-23
com.kathleenOswald.solitaireGooglePlay,ソリティア,60,NL,2015-11-23
com.ea.fifaultimate_row,EASPORTS™FIFA16Companion,61,NL,2015-11-23
com.ubisoft.horsehaven.adventures,ホースヘイブンワールドアドベンチャー,62,NL,2015-11-23
com.joydo.survivalgamesnew,SurvivalGames,63,NL,2015-11-23
com.zenfox.doors,100DoorsFull,64,NL,2015-11-23
com.king.farmheroessaga,ファームヒーロー,65,NL,2015-11-23
com.robtopx.geometryjumplite,GeometryDashLite,66,NL,2015-11-23
