app_id,app_name,rank,country_code,date
com.nianticlabs.pokemongo,PokémonGO,1,NL,2018-07-09
com.king.candycrushsaga,キャンディークラッシュ,2,NL,2018-07-09
com.playrix.gardenscapes,ガーデンスケイプ(Gardenscapes),3,NL,2018-07-09
com.supercell.clashroyale,クラッシュ・ロワイヤル(ClashRoyale),4,NL,2018-07-09
com.namcobandaigames.spmoja010E,ONEPIECETREASURECRUISE,5,NL,2018-07-09
com.igg.android.lordsmobile,ロードモバイル,6,NL,2018-07-09
com.bandainamcogames.dbzdokkanww,DRAGONBALLZDOKKANBATTLE,7,NL,2018-07-09
com.king.candycrushsodasaga,キャンディークラッシュソーダ,8,NL,2018-07-09
com.diandian.gog,ガンズ・オブ・グローリー(GunsofGlory),9,NL,2018-07-09
com.com2us.smon.normal.freefull.google.kr.android.common,サマナーズウォー:SkyArena,10,NL,2018-07-09
com.supercell.clashofclans,クラッシュ・オブ・クラン(ClashofClans),11,NL,2018-07-09
air.com.playtika.slotomania,Slotomania-FreeSlots英語版,12,NL,2018-07-09
com.kabam.marvelbattle,MARVELオールスターバトル,13,NL,2018-07-09
com.supercell.hayday,ヘイ・デイ(HayDay),14,NL,2018-07-09
com.huuuge.casino.slots,Huuugeカジノ™オンラインスロット、世界で1000万人が遊ぶラスベガスSlotsとカジノゲーム,15,NL,2018-07-09
com.playrix.homescapes,ホームスケイプ(Homescapes),16,NL,2018-07-09
com.smallgiantgames.empires,Empires&Puzzles:RPGQuest,17,NL,2018-07-09
com.igg.castleclash,CastleClash,18,NL,2018-07-09
com.roblox.client,ROBLOX,19,NL,2018-07-09
com.ludia.jw2,JurassicWorld™アライブ!,20,NL,2018-07-09
com.funplus.kingofavalon,キング・オブ・アバロン:ドラゴン戦争(KoA),21,NL,2018-07-09
com.epicactiononline.ffxv.ane,ファイナルファンタジー15:新たなる王国(FinalFantasyXV),22,NL,2018-07-09
com.n3twork.legendary,Legendary:GameofHeroes,23,NL,2018-07-09
net.peakgames.toonblast,ToonBlast,24,NL,2018-07-09
com.moonactive.coinmaster,CoinMaster,25,NL,2018-07-09
com.king.farmheroessaga,ファームヒーロー,26,NL,2018-07-09
com.tinyco.potter,ハリー･ポッター:ホグワーツの謎,27,NL,2018-07-09
com.playrix.fishdomdd.gplay,フィッシュダム(Fishdom),28,NL,2018-07-09
com.droidhang.ad,IdleHeroes-無料放置育成RPG,29,NL,2018-07-09
com.hcg.cok.gp,クラッシュオブキングス:TheKingOfFightersスペシャルバージョン,30,NL,2018-07-09
com.nintendo.zaba,ファイアーエムブレムヒーローズ,31,NL,2018-07-09
com.square_enix.android_googleplay.FFBEWW,FINALFANTASYBRAVEEXVIUS,32,NL,2018-07-09
com.playtika.wsop.gp,WSOP無料ポーカー(WorldSeriesofPoker),33,NL,2018-07-09
com.youdagames.gop3multiplayer,GovernorofPoker3-TexasHoldemPokerOnline,34,NL,2018-07-09
com.bandainamcoent.dblegends_ww,DRAGONBALLLEGENDS,35,NL,2018-07-09
com.ea.gp.fifamobile,FIFAサッカー:FIFAワールドカップ,36,NL,2018-07-09
com.pixelberrystudios.choices,Choices:StoriesYouPlay,37,NL,2018-07-09
air.com.buffalo_studios.newflashbingo,BINGOBLITZ-ビンゴゲーム-ビンゴスロット,38,NL,2018-07-09
com.playrix.township,タウンシップ(Township),39,NL,2018-07-09
net.peakgames.amy,ToyBlast,40,NL,2018-07-09
com.huuuge.casino.texas,ビリオネアカジノ™オンラインカジノスロット、世界で1000万人が遊ぶ本格オンラインカジノゲーム,41,NL,2018-07-09
com.camelgames.superking,WarandOrder,42,NL,2018-07-09
jp.pokemon.pokemonquest,ポケモンクエスト,43,NL,2018-07-09
com.wb.goog.got.conquest,ゲーム・オブ・スローンズ：コンクエスト,44,NL,2018-07-09
com.yottagames.mafiawar,マフィア・シティ-極道風雲,45,NL,2018-07-09
com.doubleugames.DoubleUCasino,DoubleUCasino-FreeSlots,46,NL,2018-07-09
com.gamebasics.osm,OnlineSoccerManager(OSM)-FootballGame,47,NL,2018-07-09
com.naturalmotion.customstreetracer2,CSRRacing2,48,NL,2018-07-09
com.innogames.foeandroid,ForgeofEmpires,49,NL,2018-07-09
com.funplus.familyfarm,にじいろ牧場,50,NL,2018-07-09
com.gramgames.mergedragons,MergeDragons!,51,NL,2018-07-09
com.elex.nikkigp,LoveNikki-DressUPQueen,52,NL,2018-07-09
com.rovio.baba,アングリーバード2(AngryBirds2),53,NL,2018-07-09
com.foxnextgames.m3,MARVELストライクフォース,54,NL,2018-07-09
com.plarium.vikings,ヴァイキングス：ウォー・オブ・クラン,55,NL,2018-07-09
com.gtarcade.lod,LegacyofDiscord-FuriousWings,56,NL,2018-07-09
com.playstudios.popslots,POP!Slots－スロット無料カジノ,57,NL,2018-07-09
com.jellybtn.boardkings,BoardKings,58,NL,2018-07-09
com.hts.ams,アーミーメン・ストライク－ArmyMenStrike,59,NL,2018-07-09
com.backflipstudios.transformersearthwars,トランスフォーマー：アースウォーズ,60,NL,2018-07-09
com.catdaddy.cat22,WWESuperCard-マルチプレイヤーカード対戦ゲーム,61,NL,2018-07-09
com.pacificinteractive.HouseOfFun,フリー・スロットカジノ-HouseofFunゲーム,62,NL,2018-07-09
com.my.hc.rpg.kingdom.simulator,HustleCastle–アイドルシェルターの英雄,63,NL,2018-07-09
com.gameloft.android.ANMP.GloftDYHM,DisneyMagicKingdoms:BuildYourOwnMagicalPark,64,NL,2018-07-09
com.nexon.da3.global,DarknessRises,65,NL,2018-07-09
air.com.goodgamestudios.empirefourkingdoms,エンパイア・フォーキングダム(Empire),66,NL,2018-07-09
com.mojang.minecraftpe,Minecraft,67,NL,2018-07-09
com.scopely.headshot,ウォーキング・デッドサバイバルへの道,68,NL,2018-07-09
com.tencent.ig,PUBGMOBILE,69,NL,2018-07-09
com.square_enix.android_googleplay.khuxww,KINGDOMHEARTSUnionχ[Cross],70,NL,2018-07-09
com.king.bubblewitch3,バブルウィッチ3,71,NL,2018-07-09
com.bandainamcoent.narutoblazingna,UltimateNinjaBlazing,72,NL,2018-07-09
com.blizzard.wtcg.hearthstone,ハースストーン(Hearthstone),73,NL,2018-07-09
jp.konami.duellinks,遊戯王デュエルリンクス,74,NL,2018-07-09
com.ea.games.r3_row,RealRacing3,75,NL,2018-07-09
com.ea.game.starwarscapital_row,スター・ウォーズ／銀河の英雄,76,NL,2018-07-09
com.tap4fun.brutalage_test,BrutalAge:HordeInvasion,77,NL,2018-07-09
zombie.survival.craft.z,LastDayonEarth:Survival,78,NL,2018-07-09
com.ea.game.simcitymobile_row,シムシティ　ビルドイット(SIMCITYBUILDIT),79,NL,2018-07-09
com.platogo.pmp,SlotparkFreeSlotsCasino:LasVegasSlotMachine,80,NL,2018-07-09
com.more.dayzsurvival.gp,ラストシェルター：この国を守り抜く本格SLG、大人のゲーム,81,NL,2018-07-09
com.mobile.legends,モバイル·レジェンド:BangBang,82,NL,2018-07-09
com.king.candycrushjellysaga,キャンディークラッシュゼリー,83,NL,2018-07-09
com.netmarble.mherosgb,マーベル・フューチャーファイト,84,NL,2018-07-09
com.bigfishgames.cookingcrazegooglef2p,クッキングクレイズ-超絶ハイテンポ・レストランゲーム,85,NL,2018-07-09
eu.nordeus.topeleven.android,TopElevenファンタジーサッカーマネージャー,86,NL,2018-07-09
com.zynga.livepoker,Zyngaポーカー,87,NL,2018-07-09
com.gsn.android.tripeaks,SolitaireTriPeaks,88,NL,2018-07-09
com.episodeinteractive.android.catalog,Episode-ChooseYourStory,89,NL,2018-07-09
com.selfawaregames.acecasino,BigFishCasino：本場ラスベガスのカジノ＆スロットマシンをプレイ,90,NL,2018-07-09
com.playtika.caesarscasino,CaesarsSlots:FreeSlotMachinesandCasinoGames,91,NL,2018-07-09
com.ludia.jurassicworld,JurassicWorld™:ザ·ゲーム,92,NL,2018-07-09
com.bandainamcoent.digimon_linkz_ww,DigimonLinks,93,NL,2018-07-09
com.pixonic.wwr,WarRobots,94,NL,2018-07-09
com.matchington.mansion,マッチングトン·マンション,95,NL,2018-07-09
com.pocketgems.android.dragon,WarDragons,96,NL,2018-07-09
com.bingo.tour.party.crazy.free,ビンゴパーティー・人気のカジノゲーム,97,NL,2018-07-09
com.ea.game.nfs14_row,ニード・フォー・スピードノーリミットレーシング,98,NL,2018-07-09
com.ea.gp.nbamobile,NBALIVEMobileBasketball,99,NL,2018-07-09
com.king.petrescuesaga,ペットレスキュー,100,NL,2018-07-09
com.fluffyfairygames.idleminertycoon,IdleMinerTycoon『ざくざくキング：採掘王国』,101,NL,2018-07-09
com.goodgamestudios.bigfarmmobileharvest,BigFarm:MobileHarvest,102,NL,2018-07-09
com.ea.games.simsfreeplay_row,TheSimsFreePlay,103,NL,2018-07-09
com.miniclip.eightballpool,8BallPool,104,NL,2018-07-09
com.vizorapps.klondike,KlondikeAdventures(クロンダイクの冒険),105,NL,2018-07-09
com.crowdstar.covetHome,DesignHome,106,NL,2018-07-09
com.bethsoft.falloutshelter,FalloutShelter,107,NL,2018-07-09
com.mars.avgchapters,Chapters:InteractiveStories,108,NL,2018-07-09
com.playdemic.golf.android,ゴルフクラッシュ,109,NL,2018-07-09
com.heroesofchaos.ggplay.koramgame.eu,Goddess:PrimalChaos-English3DActionMMORPG,110,NL,2018-07-09
com.supercell.boombeach,ブーム・ビーチ(BoomBeach),111,NL,2018-07-09
com.Seriously.BestFiends,BestFiends-無料のパズルゲーム,112,NL,2018-07-09
com.machinezone.gow,ゲーム・オブ・ウォー【GameofWar】,113,NL,2018-07-09
air.com.bitrhymes.bingo,タイトル:BingoBash–無料のビンゴカジノ,114,NL,2018-07-09
com.gamepoint.bingo,GamePointBingo,115,NL,2018-07-09
es.socialpoint.MonsterLegends,MonsterLegends,116,NL,2018-07-09
com.netmarble.lin2ws,Lineage2:Revolution,117,NL,2018-07-09
com.scopely.whiplash,WWEChampions-無料パズルRPGゲーム,118,NL,2018-07-09
com.perblue.disneyheroes,DisneyHeroes:BattleMode,119,NL,2018-07-09
com.scopely.yux,NewYAHTZEE®WithBuddiesDiceGame,120,NL,2018-07-09
net.wooga.junes_journey_hidden_object_mystery_game,June'sJourney-HiddenObject,121,NL,2018-07-09
com.productmadness.cashmancasino,CashmanCasinoSlot:無料カジノスロットゲーム,122,NL,2018-07-09
com.tap4fun.reignofwar,インベーション,123,NL,2018-07-09
com.atari.mobile.rctempire,RollerCoasterTycoonTouch,124,NL,2018-07-09
com.special.warship,戦艦ファイナル-最後の戦い（最後の海戦を舞台にしたSLGの最高傑作）,125,NL,2018-07-09
com.gameinsight.gobandroid,GunsofBoom,126,NL,2018-07-09
com.d3p.mpq,マーベル・パズルクエス,127,NL,2018-07-09
com.bigfishgames.gummydropgoogle,グミドロップ！-爽快パズルゲーム,128,NL,2018-07-09
com.ubisoft.runeguard,マイトアンドマジックエレメンタルガーディアンズ,129,NL,2018-07-09
air.com.sgn.cookiejam.gp,クッキージャム,130,NL,2018-07-09
com.ninjakiwi.bloonstd6,BloonsTD6,131,NL,2018-07-09
com.klab.bleach,BLEACHBraveSouls,132,NL,2018-07-09
com.ea.gp.simsmobile,TheSims™Mobile,133,NL,2018-07-09
net.supertreat.solitaire,Solitaire-GrandHarvest,134,NL,2018-07-09
air.MSPMobile,MovieStarPlanet,135,NL,2018-07-09
air.com.pixelfederation.diggy,Diggy'sAdventure（ディギーの冒険）,136,NL,2018-07-09
com.melesta.coffeeshop,マイカフェ：レシピ＆ストーリー。レストラン経営ゲーム,137,NL,2018-07-09
com.uken.BingoPop,BingoPop,138,NL,2018-07-09
air.com.pixelfederation.seaport.explore.collect.trade,"Seaport-Explore,Collect&Trade",139,NL,2018-07-09
com.gameloft.android.ANMP.GloftGHHM,マーチオブエンパイア-領土戦争,140,NL,2018-07-09
com.miniclip.footballstrike,FootballStrike-MultiplayerSoccer,141,NL,2018-07-09
com.topgamesinc.evony,エボニー-王の帰還,142,NL,2018-07-09
com.murka.scatterslots,ScatterSlots–ベガスのカジノスロットマシン,143,NL,2018-07-09
com.lilithgame.sgame.gp.oss,ArtofConquest:DragonDawn,144,NL,2018-07-09
sg.gumi.alchemistww,THEALCHEMISTCODE,145,NL,2018-07-09
com.king.candycrush4,CandyCrushFriendsSaga,146,NL,2018-07-09
com.plarium.zoo,FamilyZoo:TheStory,147,NL,2018-07-09
com.movga.fleetcommand.gp,FleetCommand–Killenemyship&winLegionWar,148,NL,2018-07-09
com.kamagames.pokerist,テキサス・ホールデム－Pokerist,149,NL,2018-07-09
com.nkm.kp.hh,ハイパーヒーローズ(HyperHeroes:Marble-LikeRPG),150,NL,2018-07-09
com.williamsinteractive.jackpotparty,JackpotPartySlots:カジノスロットゲーム,151,NL,2018-07-09
com.igg.clashoflords2,ClashofLords2:GuildCastle,152,NL,2018-07-09
com.epicwaronline.ms,モバイルストライク【MobileStrike】,153,NL,2018-07-09
com.biglime.cookingmadness,クッキングマッドネス-料理ゲーム,154,NL,2018-07-09
com.crowdstar.covetfashion,CovetFashion-DressUpGame,155,NL,2018-07-09
com.tensquaregames.letsfish2,FishingClash:3Dゲーム.リアル釣りシミュレータ.,156,NL,2018-07-09
net.wargaming.wot.blitz,ワールド・オブ・タンクス・ブリッツ,157,NL,2018-07-09
com.stgl.global,ウォー・アンド・マジック「WarandMagic」,158,NL,2018-07-09
com.fridaysgames.godsandglory,ゴッドアンドグローリー:王座をかけた戦い,159,NL,2018-07-09
com.king.farmheroessupersaga,ファームヒーロー・スーパー,160,NL,2018-07-09
com.moonton.magicrush,マジックラッシュ(MagicRush:Heroes),161,NL,2018-07-09
com.and.riseofthekings,RiseoftheKings,162,NL,2018-07-09
com.zynga.FarmVille2CountryEscape,FarmVille2:のんびり農場生活,163,NL,2018-07-09
com.leftover.CoinDozer,コインドーザー-無料で賞品をゲット,164,NL,2018-07-09
com.firsttouchgames.story,Score!Hero,165,NL,2018-07-09
es.socialpoint.DragonCity,ドラゴンシティ,166,NL,2018-07-09
net.playq.charmking,CharmKing,167,NL,2018-07-09
com.rovio.angrybirdsfriends,AngryBirdsFriends,168,NL,2018-07-09
org.nanobit.mystory,MyStory:ChooseYourOwnPath,169,NL,2018-07-09
com.fungames.sniper3d,スナイパー３Dアサシン：無料射撃ゲーム(Sniper3D）,170,NL,2018-07-09
com.glu.stardomkim,KIMKARDASHIAN:HOLLYWOOD,171,NL,2018-07-09
com.playshoo.texaspoker.ho,HollandPoker,172,NL,2018-07-09
com.nordcurrent.canteenhd,クッキングフィーバー【爽快グルメアクション！】,173,NL,2018-07-09
com.funzio.crimecity,CrimeCity(ActionRPG),174,NL,2018-07-09
com.gta.nslm2,LeagueofAngels-ParadiseLand,175,NL,2018-07-09
com.socialquantum.acityint,メガポリス(Megapolis),176,NL,2018-07-09
com.ludia.dragons,Dragons:RiseofBerk,177,NL,2018-07-09
com.hutchgames.cccg,TopDrives,178,NL,2018-07-09
com.joycity.potc,パイレーツ・オブ・カリビアン大海の覇者,179,NL,2018-07-09
com.awem.cradleofempires.andr,CradleofEmpiresMatch-3Game,180,NL,2018-07-09
com.iugome.lilknights,Knights&Dragons-ActionRPG,181,NL,2018-07-09
com.ftxgames.narcos,Narcos:CartelWars,182,NL,2018-07-09
com.disruptorbeam.StarTrekTimelines,StarTrekTimelines,183,NL,2018-07-09
air.com.flaregames.wordon,WordOn,184,NL,2018-07-09
com.geewa.smashingfour,SmashingFour,185,NL,2018-07-09
com.perblue.portalquest,PortalQuest,186,NL,2018-07-09
com.netmarble.knightsgb,KnightsChronicle,187,NL,2018-07-09
com.hotheadgames.google.free.survivors,ヒーロー・ハンター,188,NL,2018-07-09
com.nutsplay.slg2.en.ccgg,WarofColony,189,NL,2018-07-09
com.gameinsight.airport,AirportCity:AirlineTycoon,190,NL,2018-07-09
com.gameloft.android.ANMP.GloftD6HM,DarkQuestChampions：本格オンラインアクションRPG,191,NL,2018-07-09
com.dena.west.FFRK,FINALFANTASYRecordKeeper,192,NL,2018-07-09
com.igg.bzbee.deckheroes,DeckHeroes:Legacy,193,NL,2018-07-09
com.pnixgames.minigolfking,MiniGolfKing-マルチプレイヤーゲーム,194,NL,2018-07-09
com.bigblueparrot.pokerfriends,PokerHeat:テキサスホールデムポーカー,195,NL,2018-07-09
com.vespainteractive.KingsRaid,キングスレイド,196,NL,2018-07-09
com.xingjoys.zgirls.gp,Zgirls,197,NL,2018-07-09
com.zeptolab.cats.google,CATS:CrashArenaTurboStars,198,NL,2018-07-09
com.king.pyramidsolitairesaga,ピラミッドソリティア－PyramidSolitaire,199,NL,2018-07-09
com.mytona.seekersnotes.android,探索者の記録,200,NL,2018-07-09
com.pixel.gun3d,ピクセルガン3D。(PixelGun3D),201,NL,2018-07-09
com.nextgames.android.twd,ウォーキング・デッド：ノーマンズ・ランド,202,NL,2018-07-09
com.dipan.feelingtouch.godfather,ゴッドファーザー,203,NL,2018-07-09
com.lighting.commander,WarGames-Commander,204,NL,2018-07-09
com.eastsidegames.trailerparkboys,TrailerParkBoys:GreasyMoney,205,NL,2018-07-09
and.onemt.war.en,RevengeofSultans,206,NL,2018-07-09
com.miHoYo.bh3global,HonkaiImpact3rd,207,NL,2018-07-09
com.kabam.bigrobot,トランスフォーマー：鋼鉄の戦士たち,208,NL,2018-07-09
com.voltage.lovestruck.ggl.en,LovestruckChooseYourRomance,209,NL,2018-07-09
com.bandainamcoent.ninjavoltage_app,NARUTOXBORUTONINJAVOLTAGE,210,NL,2018-07-09
com.nexonm.dominations.adk,DomiNations,211,NL,2018-07-09
com.bandainamcoent.saomdeu,SWORDARTONLINEMemoryDefrag,212,NL,2018-07-09
com.bigfishgames.jackpotcityslotsf2pgoogle,ジャックポットマジックスロットカジノアプリ,213,NL,2018-07-09
com.sgs.emhq.android,EMERGENCYHQ,214,NL,2018-07-09
com.nextgames.android.ourworld,ウォーキング・デッド：我らの世界,215,NL,2018-07-09
com.bingo.blaze.free,BingoBlaze-FreeBingoGames,216,NL,2018-07-09
com.carolgames.gxb,GirlsXBattle：GXB_Global,217,NL,2018-07-09
com.naturalmotion.dawnoftitans,DawnofTitans-壮大な戦略ゲーム,218,NL,2018-07-09
com.zynga.ozmatch,TheWizardofOzMagicMatch3,219,NL,2018-07-09
klb.android.lovelive_en,LoveLive!Schoolidolfestival,220,NL,2018-07-09
com.asobimo.izanagiEnglishOnline,RPGIZANAGIONLINEMMORPG,221,NL,2018-07-09
com.longtech.lastwars.gp,LastEmpire–WarZゾンビサバイバル,222,NL,2018-07-09
jp.co.cybird.appli.android.sgk.en,IkémenSengoku:RomancesAcrossTime,223,NL,2018-07-09
com.wooga.pearlsperil,ミステリー・トラベラー　〜ウォレス家の遺産とキケンな恋〜,224,NL,2018-07-09
com.netease.chiji,RulesofSurvival,225,NL,2018-07-09
com.kiloo.subwaysurf,SubwaySurfers,226,NL,2018-07-09
com.fingersoft.hcr2,HillClimbRacing2,227,NL,2018-07-09
br.com.tapps.bidwars,BidWars–オークション＆質屋ゲーム,228,NL,2018-07-09
com.gamehivecorp.taptitans2,TapTitans2,229,NL,2018-07-09
com.g5e.hiddencity.android,HiddenCity:アイテム探しアドベンチャー,230,NL,2018-07-09
com.zynga.FarmVilleTropicEscape,FarmVille:TropicEscape,231,NL,2018-07-09
com.bigfishgames.dungeonbossf2pgoogle,DungeonBoss–StrategyRPG,232,NL,2018-07-09
com.stac.empire.main,AgeofWarringEmpire,233,NL,2018-07-09
com.cygames.Shadowverse,ShadowverseCCG,234,NL,2018-07-09
com.spilgames.OperateNow2,OperateNow:Hospital,235,NL,2018-07-09
com.midasplayer.apps.bubblewitchsaga2,バブルウィッチ,236,NL,2018-07-09
com.coolwin.enmarket,SaiyanofCW,237,NL,2018-07-09
net.isitlove.mysteryspell.drogo,Is-itLove?Drogo-Vampire,238,NL,2018-07-09
com.ubisoft.dragonfire,SouthPark:PhoneDestroyer™,239,NL,2018-07-09
leyi.blazeofbattle,BlazeofBattle,240,NL,2018-07-09
com.gamecircus.tycoon,TapstoRiches,241,NL,2018-07-09
com.playshoo.texaspoker.ho.hd,HollandPokerHD,242,NL,2018-07-09
com.firsttouchgames.smp,Score!Match,243,NL,2018-07-09
com.linekong.dbm.na.google,DaybreakLegends:Origin,244,NL,2018-07-09
com.atari.mobile.rctc,RollerCoasterTycoon®Classic,245,NL,2018-07-09
com.knight.defender.and,KnightDefender,246,NL,2018-07-09
com.seal.bloody,"BloodyRoads,California",247,NL,2018-07-09
com.pennypop.monsters.live,BattleCamp:バトルキャンプ-モンスター狩,248,NL,2018-07-09
com.netmarble.war,アイアン・スローン（IronThrone）,249,NL,2018-07-09
com.gameloft.android.ANMP.GloftW2HM,ウォープラネットオンライン：GlobalConquest,250,NL,2018-07-09
com.rumbleentertainment.alliance,Alliance:HeroesoftheSpire,251,NL,2018-07-09
com.my.hawk.air.shooter,HAWK–フライトシューティングゲーム。撃ちまくれ,252,NL,2018-07-09
com.geeker.gok,GameofKings:TheBloodThrone,253,NL,2018-07-09
com.igg.castleclash_de,CastleClash:KönigsburgDE,254,NL,2018-07-09
com.gameinsight.gplay.island2,ParadiseIsland2:HotelGame,255,NL,2018-07-09
com.wb.goog.dc.legends,DCLegends:正義のためのバトル,256,NL,2018-07-09
com.masomo.headball2,HeadBall2,257,NL,2018-07-09
com.godzilab.idlerpg,突撃クラッシュ-放置系RPG,258,NL,2018-07-09
com.gameinsight.tribez,TheTribez:恐竜王国,259,NL,2018-07-09
com.kixeye.wcm,ウォーコマンダー,260,NL,2018-07-09
ca.lbcstudios.hempire,Hempire-PlantGrowingGame,261,NL,2018-07-09
com.gameloft.android.ANMP.GloftDOHM,ドラゴンマニア・レジェンド【ドラマニ】,262,NL,2018-07-09
com.ea.game.simpsons4_row,TheSimpsons™:TappedOut,263,NL,2018-07-09
jp.konami.pesclubmanager,ウイニングイレブンクラブマネージャー/ウイクラ【サッカー】,264,NL,2018-07-09
com.alegrium.cong2,"Cash,Inc.マネー・タップゲーム&ビジネスアドベンチャー",265,NL,2018-07-09
com.plarium.throne,Throne:KingdomatWar,266,NL,2018-07-09
net.isitlove.mysteryspell.peter,Is-itLove?Peter-EpisodeVampire,267,NL,2018-07-09
com.gamepoint.royaldice,RoyalDicebyGamePoint,268,NL,2018-07-09
com.kongregate.mobile.throwdown.google,AnimationThrowdown:YourFavoriteCardGame!,269,NL,2018-07-09
com.plarium.stormfallrob,ストームフォール・バルーアの復活「Stormfall」,270,NL,2018-07-09
com.kd.gp.magocal,MagicalMenagerie,271,NL,2018-07-09
com.pockettrend.neomonsters,ネオモンスターズ,272,NL,2018-07-09
com.superevilmegacorp.game,Vainglory5V5,273,NL,2018-07-09
com.elex.coq.gp,クラッシュオブクイーンズ-光と闇,274,NL,2018-07-09
com.bigfishgames.vegaspartyslotsgoogf2p,EpicDiamondSlots–FreeVegasSlotMachines,275,NL,2018-07-09
com.zynga.hititrich,HititRich!FreeCasinoSlots,276,NL,2018-07-09
air.com.innogames.staemme,TribalWars,277,NL,2018-07-09
jp.pokemon.pokemoncomaster,ポケモンコマスター,278,NL,2018-07-09
com.rayark.sdorica,Sdorica(スドリカ),279,NL,2018-07-09
com.lockwoodpublishing.avakinlife,AvakinLife,280,NL,2018-07-09
com.bigfishgames.fairwaysolitaireuniversalf2pgoogle,フェアウェイソリティア,281,NL,2018-07-09
com.firsttouchgames.dls3,DreamLeagueSoccer2018,282,NL,2018-07-09
com.sgn.pandapop.gp,パンダポップ,283,NL,2018-07-09
com.com2us.soccerspirits.normal2.freefull.google.global.android.common,サッカースピリッツ(SoccerSpirits),284,NL,2018-07-09
com.superking.parchisi.star,ParchisiSTAR,285,NL,2018-07-09
air.com.sgn.familyguy.gp,ファミリーガイ：こんなパズルゲーム狂ってるぜ！,286,NL,2018-07-09
com.feelingtouch.idl,EpicSummoners:バトルヒーロー戦士-アクションRPG,287,NL,2018-07-09
com.williamsinteractive.goldfish,GoldFishカジノスロット,288,NL,2018-07-09
com.mngo.knights,PocketKnights2,289,NL,2018-07-09
com.rovio.tnt,AngryBirdsEvolution,290,NL,2018-07-09
com.apnax.wordsnack.nl,WoordSnack-PicknickenmetWoorden,291,NL,2018-07-09
com.playgendary.kickthebuddy,KicktheBuddy,292,NL,2018-07-09
com.disney.emojimatch_goo,DisneyEmojiBlitz,293,NL,2018-07-09
com.sgn.geniesandgems.gp,マジックジュエル,294,NL,2018-07-09
com.gameloft.android.ANMP.Gloft5DHM,DarkQuest5（ダーククエスト5）ハクスラRPG,295,NL,2018-07-09
com.bagelcode.slots1,ClubVegasCasinoSlots-カジノスロットゲーム,296,NL,2018-07-09
