app_id,app_name,rank,country_code,date
com.ketchapp.thefloorislava,TheFloorIsLava,1,NL,2017-07-02
com.epicactiononline.ffxv.ane,ファイナルファンタジー15:新たなる王国(FinalFantasyXV),2,NL,2017-07-02
com.ketchapp.rider,Rider,3,NL,2017-07-02
com.sega.sonic1px,SonictheHedgehog™,4,NL,2017-07-02
com.bigfishgames.cookingcrazegooglef2p,クッキングクレイズ-ハイテンポな楽しいレストランゲーム,5,NL,2017-07-02
com.hutchgames.racingnext,RaceKings,6,NL,2017-07-02
com.tinyco.futurama,Futurama:WorldsofTomorrow,7,NL,2017-07-02
com.cocoplay.dancetosuccess,ダンスクラッシュ：バレエVSヒップホップ,8,NL,2017-07-02
ua.krou.aqueducts,Aqueducts,9,NL,2017-07-02
com.generagames.soccerstarleaguesfootball,SoccerStar2017TopLeagues,10,NL,2017-07-02
com.realcarparking.genetic,RealCarParking2017Street3D,11,NL,2017-07-02
com.strawdogstudios.simonscatcrunchtime,Simon'sCat-CrunchTime,12,NL,2017-07-02
com.playwithgames.CamperTrucker,CamperVanTruckSimulator,13,NL,2017-07-02
com.icarus.floorlava,溶岩挑戦-TheFloorIsLava,14,NL,2017-07-02
com.cocoplay.outfit.day,セルフィクイーン-SNSのスター,15,NL,2017-07-02
com.rus.piskari.exploration.divers,ExplorationDivers,16,NL,2017-07-02
com.gamelune.siegelanding,SiegeGuardianTD,17,NL,2017-07-02
com.byv.TheSpearman,やり投げ切り,18,NL,2017-07-02
com.tfgco.games.strategy.free.castlecrush,キャッスルクラッシュ(CastleCrush)-オンライン戦略ゲーム,19,NL,2017-07-02
com.mindstormstudios.tinyminers,TinyMiners-IdleClicker,20,NL,2017-07-02
com.tivola.ShowJumping,HorseWorld:障害飛越競技,21,NL,2017-07-02
com.tutotoons.app.kikififipetbeautysalon.free,キキ＆フィフィペット美容院,22,NL,2017-07-02
com.tutotoons.app.ponysistersbabyhorsecare.free,ポニーシスターズベビーホースケア,23,NL,2017-07-02
com.gameloft.android.ANMP.GloftSEHM,アスファルト：StreetStormRacing,24,NL,2017-07-02
com.tabtale.spa.daddy,パパと一緒のエステの日-女子のための変身アドベンチャー,25,NL,2017-07-02
se.illusionlabs.baconescape,ベーコンエスケープ,26,NL,2017-07-02
com.nutsplay.hd.en,LegendofPirates,27,NL,2017-07-02
usa.nyc.exploration.craft.newyork.by.Fleury.Games,ExplorationNewYorkCity,28,NL,2017-07-02
com.disney.cars3_goo,Cars:LightningLeague,29,NL,2017-07-02
net.beautysalongames.boyfriendvsexboyfriend_vampire,SecretHigh4:LoveTriangle,30,NL,2017-07-02
com.OppanaGames.MuscleCarChallenger,MuscleCarChallenger,31,NL,2017-07-02
com.rus.piskari.skyblock.survival,SkyBlock,32,NL,2017-07-02
com.gabangmanstudio.psrmanager,ピットストップレーシング:マネージャー,33,NL,2017-07-02
com.playflame.oilhunt2,OilHunt2-BirthdayParty,34,NL,2017-07-02
com.rioo.runnersubway,地下鉄プリンセスランナー,35,NL,2017-07-02
com.prettysimple.worldeditionandroid,クリミナルケース:セーブ・ザ・ワールド！,36,NL,2017-07-02
com.koyokiservices.FoF,ForcesofFreedom(EarlyAccess),37,NL,2017-07-02
com.clowngames.fispio,Fisp.ioSpinsMasterofFidgetSpinner,38,NL,2017-07-02
nl.volkswagen.RoboPak,VolkswagenRoboPak,39,NL,2017-07-02
com.studio.spinnerio,spinner.ioonlinеmultiplayer,40,NL,2017-07-02
com.cw.en1warrior,ArenaofSaiyan:DreamSquad,41,NL,2017-07-02
com.byv.TheNinja,忍者,42,NL,2017-07-02
com.tinydragonadventuregames.doll.house.craft.princess.fashion.girls.minecraft.barbie.creative.exploration.lite.build.mine.free,DollhouseCraft2:ドールハウスデザイン,43,NL,2017-07-02
com.tutotoons.app.babyanimalhairsalon3.free,赤ちゃん動物のヘアサロン3,44,NL,2017-07-02
com.tabtale.glittermakeup,ラメ入りメイク-キラキラサロン,45,NL,2017-07-02
com.lilithgame.sgame.gp.oss,ArtofConquest(AoC),46,NL,2017-07-02
fr.playsoft.TdF,TourdeFrance-CyclingstarsOfficialgame2017,47,NL,2017-07-02
com.spinmaster.enterprise.colleggtibles,HatchimalsCollEGGtibles,48,NL,2017-07-02
com.bubadu.doctorkids2,DoctorKids2(ドクターキッズ2),49,NL,2017-07-02
com.explorationbase.proversion3,ExplorationPro3,50,NL,2017-07-02
com.sega.comixzone,ComixZone,51,NL,2017-07-02
com.sinyee.babybus.bakery,パンダのケーキ屋さんごっこ,52,NL,2017-07-02
com.yepi.vex3,VEX3,53,NL,2017-07-02
com.neoviral.xtreme,XtremeOffroadRacingRally2,54,NL,2017-07-02
com.mobileguru.sweetcandybomb.free,キャンディ爆弾,55,NL,2017-07-02
com.ogurecapps.box2,MechBox2:HardestPuzzleEver,56,NL,2017-07-02
com.tenlogix.highschool.cafe.cashier.girl,HighSchoolCafeCashierGirl-KidsGame,57,NL,2017-07-02
com.fivefpsgames.gta.grandgangcity,🔫GrandGangCityLosAngeles🔫,58,NL,2017-07-02
com.gramgames.mergedragons,MergeDragons!,59,NL,2017-07-02
com.ljx.balls.vs.blocks,Balls,60,NL,2017-07-02
com.seastar.gpplay.streetball,StreetballHero-2017FinalsMVP,61,NL,2017-07-02
zoo.rescue,ZooRescue:Match3&Animals,62,NL,2017-07-02
com.funtomic.tubeclicker,TubeClicker,63,NL,2017-07-02
com.zact.bridge.construction.simulation.game.free,橋ビルダーゲーム3D2017年新しい,64,NL,2017-07-02
io.evolutiongames.watermelonevolution,WatermelonEvolution-IdleTycoon&ClickerGame,65,NL,2017-07-02
com.trinitigame.android.armoredwarriors,ArmoredWarriors,66,NL,2017-07-02
com.ketchapp.play2048,2048,67,NL,2017-07-02
com.toy.craft.story.sarlosturio,☑️ToyCraftStory🚙,68,NL,2017-07-02
com.amanotes.reborn,TapTapReborn2:PopularSongs,69,NL,2017-07-02
com.gss.offRoad.hilux.hilclimbTruck,ハイラックスオフロードヒルクライムトラック,70,NL,2017-07-02
com.blayzegames.newfps,ForwardAssault,71,NL,2017-07-02
com.BadCraft.Story,BadCraft,72,NL,2017-07-02
com.appsoft.ball.shot,BallShot-FlingtoBasket,73,NL,2017-07-02
com.CraftStar.MineExploration,CraftStar,74,NL,2017-07-02
com.gra.grandracing.racercity,SanAndreasGrandRacerCity,75,NL,2017-07-02
com.bitmango.go.fruitsmania2match3,FruitsMania:Fairyrescue,76,NL,2017-07-02
com.pocapp.castlecats,CastleCats,77,NL,2017-07-02
com.sinyee.babybus.repair,パンダの車修理屋さんごっこ-BabyBus幼児・子ども向け,78,NL,2017-07-02
com.FantasyGardenHiddenMystery.SeekAndFindHiddenObjectGame,アイテム探しゲーム無料ファンタジーガーデン,79,NL,2017-07-02
com.stencyl.Touchdowners,Touchdowners,80,NL,2017-07-02
com.freegames.dinosaursimulator2017,恐竜シミュレーターゲーム2017,81,NL,2017-07-02
com.seal.red,BloodyWest:InfamousLegends,82,NL,2017-07-02
com.mindstormstudios.tinypig,TinyPig,83,NL,2017-07-02
com.tutotoons.app.sweetbabygirlsummercamp.free,SweetBabyGirlサマーキャンプ,84,NL,2017-07-02
com.sega.alteredbeast,AlteredBeast,85,NL,2017-07-02
com.slots.wolf.magic,SlotsWolfMagic™FREESlotMachineCasinoPokies,86,NL,2017-07-02
com.dobsoftstudios.ksq,KnightSavesQueen,87,NL,2017-07-02
com.gamecaff.everbattle,EverBattle-RemakeoftheClassics,88,NL,2017-07-02
com.sweet.birds.mania.free,BirdsMania-人気マッチ3ゲーム,89,NL,2017-07-02
com.reliancegames.borderwars,CombatElite:BorderWars,90,NL,2017-07-02
com.cyberpony.stickman.warriors.fireskin,StickmanWarriors4Online,91,NL,2017-07-02
com.boomzap.ss1,Sally'sSalon-BeautySecrets,92,NL,2017-07-02
com.t3gss.impossible.limo.tracks.stunts,不可能なリムジン駆動シミュレータゲームトラック,93,NL,2017-07-02
com.blockot.monster.assassin.sniper.spiderr,スパイダー対モンスター暗殺者-最高の狙撃兵ゲーム,94,NL,2017-07-02
ru.appscraft.prison,PrisonSimulator,95,NL,2017-07-02
com.bellapps.spinnertwist,スピナツシミュレータ,96,NL,2017-07-02
blaze.diamond,DiamondBlaze,97,NL,2017-07-02
air.jp.funkyland.EscapeNewYorkHotel,脱出ゲームニューヨークのホテルからの脱出,98,NL,2017-07-02
com.ttg.FidgetColoring,FidgetSpinnerColoringBookPages,99,NL,2017-07-02
com.kiwigo.maddentist2.free,MadDentist2-KidsHospitalSimulation,100,NL,2017-07-02
com.HandCraft.BestGames,HandCraft,101,NL,2017-07-02
com.evg.flying.spiderhero,飛行クモヒーローシティレスキューミッション,102,NL,2017-07-02
