app_id,app_name,rank,country_code,date
com.lionstudios.mrbullet,MrBullet-SpyPuzzles,1,NL,2019-08-06
com.playstrom.onpipe,OnPipe,2,NL,2019-08-06
com.kwalee.gunpuzzle,Shootout3D,3,NL,2019-08-06
com.stx.puzzlefuzzle,PuzzleFuzzle,4,NL,2019-08-06
com.twentyonestudio.beachclean,BeachClean,5,NL,2019-08-06
com.battle.disc,BattleDisc,6,NL,2019-08-06
com.gjg.colorfill3d,ColorFill3D,7,NL,2019-08-06
com.ketchapp.origame,Origame,8,NL,2019-08-06
com.funnysweet.beauty.selfie.camera,FunnySweetBeautyCamera,9,NL,2019-08-06
com.krafts.building,MasterCraft-NewCraftinggame.,10,NL,2019-08-06
com.chile.eritrea.sky.camera,SkyCamera,11,NL,2019-08-06
com.iron.light,LightCrownPhotoMaker,12,NL,2019-08-06
com.gameloft.android.ANMP.GloftDPMF,DisneyPrincessMajesticQuest,13,NL,2019-08-06
com.ram.boost.clean.optimizer,RamCleaner,14,NL,2019-08-06
com.neonplay.casualidletapstrongman,IdleTapStrongman,15,NL,2019-08-06
com.gpp.milkfactory,MilkFactory,16,NL,2019-08-06
com.dreamhomematch.casual.free,ドリームホーム・マッチ,17,NL,2019-08-06
com.abi.hidden.spots.adventure,HiddenSpot:ThePuzzler,18,NL,2019-08-06
com.cashstorm.slots,CashStorm-VegasSlotMachinesandCasinoGames,19,NL,2019-08-06
com.fancy.moving.livewallpapers,Realistic3DWallpaper:BestLiveWallpapers,20,NL,2019-08-06
splits.splitstraining.dothesplits.splitsin30days,開脚トレーニング-30日間で開脚,21,NL,2019-08-06
com.horoscope.zodiac.astrology,DailyHoroscope,22,NL,2019-08-06
com.gpp.idleaquapark,IdleAquaPark,23,NL,2019-08-06
com.ubisoft.mightyquest,MightyQuest(マイティ・クエスト),24,NL,2019-08-06
com.cut.pipe,カットコーン-ASMRゲーム,25,NL,2019-08-06
com.my.ffs.action.bombasticbrothers,BombasticBrothers–2D銃撃ゲーム,26,NL,2019-08-06
com.compass.map.weatherdaily.trafficchecker,SmartGPSCompassMapforAndroid,27,NL,2019-08-06
com.BorderLight.LED.Color.Live.Wallpaper,BorderLight-LEDColorLiveWallpaper,28,NL,2019-08-06
com.beresnevgames.gallerycoloringbook,ギャラリー:塗り絵＆インテリア,29,NL,2019-08-06
com.magnifying.pro,MagnifyingPro,30,NL,2019-08-06
com.destiny.master.freetest,"DestinyMasterFree-Predictcareer,predictlove",31,NL,2019-08-06
com.best.lucky.forecast,BestLuckyForecast,32,NL,2019-08-06
nl.knwufondo.app,"FietsbetermetFondo,detrainingsappvandeKNWU",33,NL,2019-08-06
com.weddingdress.coloringbookms,GlitterDressesColoringBookForKids,34,NL,2019-08-06
com.myneighbor.alpha4,MyNeighborAlphaSeriesGameplay-Walkthrough,35,NL,2019-08-06
com.parau.pro.videochat,ParaUPro:MostPopularSocialApp&MakeFriends,36,NL,2019-08-06
com.appon.supermarket,SupermarketCity:Farminggame,37,NL,2019-08-06
com.gamebasics.dynastyduels,DynastyDuels-RTSGame,38,NL,2019-08-06
com.water.reminder.drink.hydrate,WaterDrinkReminder,39,NL,2019-08-06
jad.photo.makemeold.face,MakeMeOld:Face,40,NL,2019-08-06
com.netease.ddsfna,StickFight:TheGameMobile,41,NL,2019-08-06
com.radpirates.ballpaint,BallPaint,42,NL,2019-08-06
com.fiveamp.idle.tycoon.coffeecraze,CoffeeCraze-IdleBaristaTycoon,43,NL,2019-08-06
com.clean.phone.junk.boost,TotalBooster,44,NL,2019-08-06
com.tvb.ott.overseas.sg,TVBAnywhere+,45,NL,2019-08-06
com.puzzle.game.star,"StarPuzzle-celebrities,singerandactor",46,NL,2019-08-06
com.miga.myapartment,Migaタウン:アパート-1,47,NL,2019-08-06
com.daily.use.magnifier,DailyUseMagnifier,48,NL,2019-08-06
com.artsketch.android,ArtSketch-ArtFilter,49,NL,2019-08-06
com.saltopopupapp,PrideAmsterdam,50,NL,2019-08-06
com.bulupe.fruitdash,CrazyNinja,51,NL,2019-08-06
com.redemptiongames.sugar,SweetEscapes:DesignaBakerywithPuzzleGames,52,NL,2019-08-06
com.humorrousg.enqoute,Enqoute,53,NL,2019-08-06
com.marine.traffic.cruise.finder.ship.tracker,MarineTrafficShipFinder-VesselPositionTracker,54,NL,2019-08-06
com.proton.ideal.run.camera,ProtonCameraHD,55,NL,2019-08-06
com.dd.shootingbattle,ShootingBattle,56,NL,2019-08-06
com.suit.you.more,SuitYouMore,57,NL,2019-08-06
com.ez.sleep.fan.freetools.nicesleep,FreeBedtimeFan-WhiteNoiseForSleeping,58,NL,2019-08-06
com.karolinaaleksandrova.fastramcleaner,FastRAMCleaner,59,NL,2019-08-06
com.ez.sleep.fan.zzz,EzzzSleepFan-WhiteNoiseFanSounds,60,NL,2019-08-06
com.townsend.mergeon,MergeOn,61,NL,2019-08-06
com.cocoplay.my.fashion.empire,ファッション・タイクーン,62,NL,2019-08-06
