app_id,app_name,rank,country_code,date
com.mojang.minecraftpe,Minecraft,1,NL,2018-01-30
com.corecoders.skitracks,SkiTracks,2,NL,2018-01-30
com.hbwares.wordfeud.full,Wordfeud,3,NL,2018-01-30
com.JustZht.Skyline,Skyline-LiveWallpaperWithGlobal3DTerrain,4,NL,2018-01-30
com.tappytaps.android.babymonitor3g,ベビーモニター3G,5,NL,2018-01-30
com.atari.mobile.rctc,RollerCoasterTycoon®Classic,6,NL,2018-01-30
com.mtvn.sbmigoogleplay,SpongeBobMovesIn,7,NL,2018-01-30
com.domustechnica.oig10ad,"Oei,ikgroei!",8,NL,2018-01-30
com.robtopx.geometryjump,GeometryDash,9,NL,2018-01-30
com.ultimateguitar.tabs,UltimateGuitarTabs&Chords,10,NL,2018-01-30
com.FireproofStudios.TheRoom,TheRoom,11,NL,2018-01-30
ch.threema.app,Threema,12,NL,2018-01-30
org.prowl.torque,TorquePro(OBD2/Car),13,NL,2018-01-30
com.rockstargames.gtasa,グランド・セフト・オート・サンアンドレアス,14,NL,2018-01-30
com.teslacoilsw.launcher.prime,NovaLauncherPrime,15,NL,2018-01-30
com.marmalade.cluedogame,Cluedo,16,NL,2018-01-30
com.ninjakiwi.bloonstd5,BloonsTD5,17,NL,2018-01-30
com.nbeghin.whatsappmigrator,WazzapMigrator,18,NL,2018-01-30
air.com.RustyLake.RustyLakeParadise,RustyLakeParadise,19,NL,2018-01-30
nl.rdzl.topo.gps,TopoGPSNetherlands,20,NL,2018-01-30
net.dinglisch.android.taskerm,Tasker,21,NL,2018-01-30
com.ubisoft.assassinscreed.identity,アサシンクリードアイデンティティ,22,NL,2018-01-30
nl.ijsdesign.huedisco,HueDisco,23,NL,2018-01-30
com.wb.goog.scribbleremix,ScribblenautsRemix,24,NL,2018-01-30
com.marmalade.golmobile,TheGameofLife,25,NL,2018-01-30
com.STRONGANDROID.CrazzzyAqurium,InseAquriumDeluxe-FeedFishes!FightAliens!,26,NL,2018-01-30
com.giantssoftware.fs18.google,FarmingSimulator18,27,NL,2018-01-30
com.hackwar.gpsspeed,CTARitRegistratieFULL,28,NL,2018-01-30
com.furiousrocket.huecamera,HUECameraApp-SyncPhilipsHuelightssmartly,29,NL,2018-01-30
com.urbandroid.sleep.full.key,SleepasAndroidUnlock,30,NL,2018-01-30
com.asmodeedigital.thirtyseconds,30Seconds™Officieel,31,NL,2018-01-30
com.bluebraingames.thehouseofdavinci,TheHouseofDaVinci,32,NL,2018-01-30
nl.pixiq.mtbroutes,MTBroutes-AlleNLMTBroutes,33,NL,2018-01-30
com.teamspeak.ts3client,TeamSpeak3,34,NL,2018-01-30
com.lightricks.facetune,Facetune,35,NL,2018-01-30
com.studioeleven.windfinderpaid,WindfinderPro-weather&windforecast,36,NL,2018-01-30
com.incorporateapps.fakegps_route,FakeGPSJoystick&RoutesGo,37,NL,2018-01-30
com.sigames.fmm2018,FootballManagerMobile2018,38,NL,2018-01-30
nl.kees.koolhydraatkenner,Koolhydraatkenner,39,NL,2018-01-30
au.com.shiftyjelly.pocketcasts,PocketCasts,40,NL,2018-01-30
com.ninjakiwi.supermonkey,BloonsSupermonkey2,41,NL,2018-01-30
com.fazilettakvimi.fazilettakvimi,FaziletTakvimiPro,42,NL,2018-01-30
com.captaingames.freeway,Freeways,43,NL,2018-01-30
slide.watchFrenzy.premium,WatchFace-WatchMakerPremiumLicense,44,NL,2018-01-30
com.astragon.cs2014,コンストラクションシミュレーター2014,45,NL,2018-01-30
com.jutsugames.operator911,911Operator,46,NL,2018-01-30
com.zubersoft.mobilesheetspro,MobileSheetsPro楽譜リーダー,47,NL,2018-01-30
com.onetwoapps.mh,MyBudgetBook,48,NL,2018-01-30
net.techet.netanalyzer.an,NetworkAnalyzerPro,49,NL,2018-01-30
com.aspyr.swkotor,StarWars™:KOTOR,50,NL,2018-01-30
de.wetteronline.wetterapppro,Weather&RadarPro-Ad-Free,51,NL,2018-01-30
com.ustwo.monumentvalley,モニュメントバレー,52,NL,2018-01-30
me.dreamsky.stickman,LeagueofStickman2018-ArenaPVP（Dreamsky）,53,NL,2018-01-30
com.FireproofStudios.TheRoom2,TheRoomTwo,54,NL,2018-01-30
com.ustwo.monumentvalley2,MonumentValley2,55,NL,2018-01-30
com.topfreegames.bikeraceproworld,BikeRaceProbyT.F.Games,56,NL,2018-01-30
com.oddworld.NNT,Oddworld:New'n'Tasty,57,NL,2018-01-30
com.rockstargames.gtavc,グランド・セフト・オート・バイスシティ,58,NL,2018-01-30
com.ironhidegames.android.ironmarines,鉄の海兵隊(IronMarines),59,NL,2018-01-30
com.exozet.android.catan,CatanClassic,60,NL,2018-01-30
