app_id,app_name,rank,country_code,date
air.com.playtika.slotomania,Slotomania™-FreeSlots英語版,1,NZ,2018-12-18
com.productmadness.hovmobile,HeartofVegas:オンラインカジノスロットアプリ,2,NZ,2018-12-18
com.nianticlabs.pokemongo,PokémonGO,3,NZ,2018-12-18
com.supercell.clashofclans,クラッシュ・オブ・クラン(ClashofClans),4,NZ,2018-12-18
com.pacificinteractive.HouseOfFun,フリー・スロットカジノ-HouseofFun™️ゲーム,5,NZ,2018-12-18
com.productmadness.cashmancasino,CashmanCasinoSlot:無料カジノスロットゲーム,6,NZ,2018-12-18
com.king.candycrushsaga,キャンディークラッシュ,7,NZ,2018-12-18
com.smallgiantgames.empires,Empires&Puzzles:RPGQuest,8,NZ,2018-12-18
com.diandian.gog,ガンズ・オブ・グローリー(GunsofGlory),9,NZ,2018-12-18
com.crowdstar.covetHome,DesignHome,10,NZ,2018-12-18
com.playrix.gardenscapes,ガーデンスケイプ(Gardenscapes),11,NZ,2018-12-18
com.funplus.kingofavalon,キング・オブ・アバロン:ドラゴン戦争(KoA),12,NZ,2018-12-18
com.igg.android.lordsmobile,ロードモバイル:戦争キングダム–ストラテジーバトルRPG,13,NZ,2018-12-18
net.peakgames.toonblast,ToonBlast,14,NZ,2018-12-18
com.playrix.homescapes,ホームスケイプ(Homescapes),15,NZ,2018-12-18
com.droidhang.ad,IdleHeroes-無料放置育成RPG,16,NZ,2018-12-18
com.bandainamcogames.dbzdokkanww,DRAGONBALLZDOKKANBATTLE,17,NZ,2018-12-18
com.supercell.brawlstars,ブロスタ,18,NZ,2018-12-18
com.vizorapps.klondike,KlondikeAdventures(クロンダイクの冒険),19,NZ,2018-12-18
com.n3twork.legendary,Legendary:GameofHeroes,20,NZ,2018-12-18
com.moonactive.coinmaster,CoinMaster,21,NZ,2018-12-18
com.lilithgame.roc.gp,RiseofCivilizations,22,NZ,2018-12-18
com.wb.goog.got.conquest,ゲーム・オブ・スローンズ：コンクエスト,23,NZ,2018-12-18
com.king.candycrushsodasaga,キャンディークラッシュソーダ,24,NZ,2018-12-18
com.yottagames.mafiawar,マフィア・シティ-極道風雲,25,NZ,2018-12-18
com.productmadness.lightninglink,LightningLinkカジノスロット,26,NZ,2018-12-18
com.gramgames.mergedragons,マージドラゴン(MergeDragons!),27,NZ,2018-12-18
com.kabam.marvelbattle,MARVELオールスターバトル,28,NZ,2018-12-18
air.com.buffalo_studios.newflashbingo,BINGOBLITZ™️ビンゴゲーム-ビンゴスロット,29,NZ,2018-12-18
com.pixelberrystudios.choices,Choices:StoriesYouPlay,30,NZ,2018-12-18
com.bandainamcoent.dblegends_ww,DRAGONBALLLEGENDS,31,NZ,2018-12-18
com.huuuge.casino.slots,Huuugeカジノ™オンラインスロット、世界で1000万人が遊ぶラスベガスSlotsとカジノゲーム,32,NZ,2018-12-18
com.doubleugames.DoubleUCasino,DoubleUCasino-FreeSlots,33,NZ,2018-12-18
com.murka.slotsera,SlotsEra-最高のオンラインカジノスロットマシン,34,NZ,2018-12-18
com.epicactiononline.ffxv.ane,ファイナルファンタジー15:新たなる王国(FinalFantasyXV),35,NZ,2018-12-18
com.roblox.client,ROBLOX,36,NZ,2018-12-18
com.playrix.township,タウンシップ(Township),37,NZ,2018-12-18
com.elex.nikkigp,LoveNikki-DressUPQueen,38,NZ,2018-12-18
