app_id,app_name,rank,country_code,date
com.yodo1.rodeo.safari,RodeoStampede:SkyZooSafari,1,NZ,2016-07-04
com.glu.gordondashx,GORDONRAMSAYDASH,2,NZ,2016-07-04
com.square_enix.android_googleplay.FFBEWW,FINALFANTASYBRAVEEXVIUS,3,NZ,2016-07-04
com.weplaydots.plus,Dots&Co,4,NZ,2016-07-04
com.igg.android.kingdomsmobile,KingdomsMobile-TotalClash,5,NZ,2016-07-04
com.superluckycasino.viponly.slots.vegas.android.free,VIPデラックス：無料スロットマシーン,6,NZ,2016-07-04
com.lego.city.my_city2,LEGO®CityMyCity2,7,NZ,2016-07-04
com.pixowl.tsb2,TheSandboxEvolution,8,NZ,2016-07-04
com.sharkparty.monopolybingo54,MONOPOLYBingo!:WorldEdition,9,NZ,2016-07-04
com.ketchapp.ketchappfootball,KetchappSoccer,10,NZ,2016-07-04
com.ketchapp.trio,Trio,11,NZ,2016-07-04
com.appnoxious.dab,CanYouDab?,12,NZ,2016-07-04
com.superluckycasino.getrich.slots.vegas.android.free,GETRICHスロット「ゲット・リチ」無料スロットゲーム,13,NZ,2016-07-04
com.gameloft.android.ANMP.GloftBCHM,TheBlacklist:Conspiracy,14,NZ,2016-07-04
com.nitrome.redungeon,Redungeon,15,NZ,2016-07-04
com.mastercomlimited.switchbox,SwitchtheBox,16,NZ,2016-07-04
com.ovilex.coachbussimulator,CoachBusSimulator,17,NZ,2016-07-04
com.blacklight.spidersolitaire,SpiderSolitaire,18,NZ,2016-07-04
com.budgestudios.StrawberryShortcakeDressUpDreams,ストロベリーショートケーキドレスアップドリーム,19,NZ,2016-07-04
com.touchten.smashydashy,CrazyCarsChase,20,NZ,2016-07-04
com.ea.gp.pets,ペット　わんにゃんラッシュ,21,NZ,2016-07-04
com.tutotoons.app.rockstaranimalhairsalon.free,RockStarAnimalHairSalon,22,NZ,2016-07-04
com.playerpanda.diepio,BasicGameforDiep_io,23,NZ,2016-07-04
com.gameresort.ninjawesome,NinjAwesome,24,NZ,2016-07-04
com.crazybingo.CrazyTaxi,車の中で運転-DrivinginCar,25,NZ,2016-07-04
com.tabtale.babytwins,ふたごの赤ちゃん-いたずらふたご,26,NZ,2016-07-04
com.square_enix.android_googleplay.khuxww,KINGDOMHEARTSUnchainedχ,27,NZ,2016-07-04
com.lk.idr,IndependenceDay:Extinction,28,NZ,2016-07-04
com.futureplay.city,BuildAway!-アイドルシティビルダー,29,NZ,2016-07-04
com.hotheadgames.google.bbsoccer,BoomBoomSoccer,30,NZ,2016-07-04
ru.appscraft.samogon,AlcoholFactorySimulator,31,NZ,2016-07-04
com.turner.mixels,ミクセル大集合!,32,NZ,2016-07-04
com.mousemobile.explorationcraft,ブロックワールド-ExplorationCraft,33,NZ,2016-07-04
com.tensquaregames.letsfish2,ExtremeSportFishing:3DGame,34,NZ,2016-07-04
air.com.tutotoons.app.princesshorseclub3.free,PrincessHorseClub3,35,NZ,2016-07-04
com.vrmobile.tanks,Deep.io-TanksDiepOnline,36,NZ,2016-07-04
br.com.tapps.catevolution,CatEvolution,37,NZ,2016-07-04
com.sparklingsociety.cityisland4sd,CityIsland4:SimTownTycoon,38,NZ,2016-07-04
com.soulgame.soda.gp,SodaWorld-YourSodaInc,39,NZ,2016-07-04
com.turner.mixelrush,ミクセル・ラッシュ-MixelsRush,40,NZ,2016-07-04
com.asktolik.wildanimalslot,🐆野生動物のスロットマシン🐆,41,NZ,2016-07-04
com.mrbean.around,MrBean™-AroundtheWorld,42,NZ,2016-07-04
com.mg.gameofflyingcruiseship3d,フライングのゲーム：クルーズ船の3D,43,NZ,2016-07-04
air.com.tutotoons.app.misspreschoolmathworldf.free,MissPreschoolMathWorld,44,NZ,2016-07-04
com.cocoplay.ponyfashionacademy,ポニープリンセスアカデミー,45,NZ,2016-07-04
com.eyewind.colorfit.mandala,MandalaColoringBook,46,NZ,2016-07-04
com.zhanghaipeng.whacktheboss,ボスいじる-WhacktheBoss,47,NZ,2016-07-04
eu.bandainamcoent.galagawars,GalagaWars,48,NZ,2016-07-04
com.libii.talentedpetsshow,TalentedPetsShow,49,NZ,2016-07-04
com.HighbrowInteractive.IndianTrainSim,IndianTrainSimulator,50,NZ,2016-07-04
com.tank.azio,AZ.io,51,NZ,2016-07-04
com.yhaigames.force,Force.ioDiep-TankArmorWar,52,NZ,2016-07-04
air.com.viber.worldpoker,ViberWorldPokerClub,53,NZ,2016-07-04
com.tapinator.ultimate.wolf.adventure,UltimateWolfAdventure3D,54,NZ,2016-07-04
com.tgg.mylittledolphinswimmer,マイ・リトル・ドルフィンスイマー,55,NZ,2016-07-04
com.hugogames.daybrook,CristianoRonaldo:Kick'n'Run,56,NZ,2016-07-04
com.gpxgg.hom,HeroofMagic-WarAge,57,NZ,2016-07-04
jpark.AOS5,Angerofstick5アクションゲームrpg,58,NZ,2016-07-04
com.IceWaterGames.Viridi,Viridi,59,NZ,2016-07-04
br.com.tapps.mybootown,MyBooTown-CityBuilder,60,NZ,2016-07-04
com.catstudio.moegirlcafe2,萌えギャルカフェ2,61,NZ,2016-07-04
com.tgg.mylittlepegasusrunner,私の小さなペガサスランナー,62,NZ,2016-07-04
air.com.tutotoons.app.ponysistersinhairsalon.free,PonySistersinHairSalon,63,NZ,2016-07-04
com.crawlbattle.diepiotank2,Diepio,64,NZ,2016-07-04
com.amelosinteractive.ion,IONSpace,65,NZ,2016-07-04
com.vg.usa3dtrucksimulator2016,USA3Dトラックシミュレーター2016,66,NZ,2016-07-04
com.jellsit2.slith3,JELLYslither.ioskins,67,NZ,2016-07-04
com.vg.chicagocrimesimulator3d,シカゴ犯罪シミュレータ3D,68,NZ,2016-07-04
