app_id,app_name,rank,country_code,date
com.enlighten.lastlight,LastLight-ZombiesSurvival,1,NZ,2017-07-15
com.NeatNombat.BehindTheDoor,BehindTheDoor,2,NZ,2017-07-15
com.lynxar.trapsandtreasures,TrapsandTreasures,3,NZ,2017-07-15
net.kairosoft.android.park_ja,発見どうぶつ公園,4,NZ,2017-07-15
com.gravity.balancer.premium,Maze3D:GravityLabyrinth,5,NZ,2017-07-15
com.dr.mobileheroes,ShootingHeroes-FreeHeroPacksシューティングヒーロ,6,NZ,2017-07-15
com.telltalegames.minecraft200,Minecraft:StoryMode-SeasonTwo,7,NZ,2017-07-15
com.tocaboca.tocalabplants,TocaLab:Plants,8,NZ,2017-07-15
co.uk.kavcom.cricketcaptain2017,CricketCaptain2017,9,NZ,2017-07-15
com.robotogames.ageofrivals,AgeofRivals,10,NZ,2017-07-15
com.drpanda.train,Dr.Pandaきかんしゃ,11,NZ,2017-07-15
com.iplay.nos,여름빛노스탤지어,12,NZ,2017-07-15
com.moorus.Crispy,Crispy'sBiscuits,13,NZ,2017-07-15
com.NightSchool.Oxenfree,OXENFREE,14,NZ,2017-07-15
de.brettspielwelt.freitag,Friday-byFriedemannFriese,15,NZ,2017-07-15
com.glitchgames.allthatremains.part1,AllThatRemains:Part1,16,NZ,2017-07-15
com.survivalgames.sandboxwintersurvivalpro,SandboxCraftWinterSURVIVAL-PRO,17,NZ,2017-07-15
mylittleprincess.castle,MyLittlePrincess:お城,18,NZ,2017-07-15
com.survivalgames.sandboxexploration3dpro,SandboxExploration3DPro,19,NZ,2017-07-15
com.survivalgames.explorecraftpro,ExploreCraftSurvivalSimulator2017-Pro,20,NZ,2017-07-15
jp.co.taito.raystorm,レイストーム,21,NZ,2017-07-15
com.roguesnail.starvikings,StarVikingsForever,22,NZ,2017-07-15
com.emcneill.darknetDaydream,Darknet,23,NZ,2017-07-15
com.channel4.pathos,Pathos,24,NZ,2017-07-15
com.teamflow.runordie,RunorDie,25,NZ,2017-07-15
com.artifexmundi.ghostfiles.gp.full,ゴーストファイル(Full),26,NZ,2017-07-15
com.theonepixel.colormagnet,ColorMagnet,27,NZ,2017-07-15
com.dreamplay.lostkeeper.googlepaid,Lostkeeper,28,NZ,2017-07-15
com.firerabbit.games.fmc.tokyo.full,車を修理する:東京モッズ,29,NZ,2017-07-15
com.dilmergames.cubiques,Cubiques,30,NZ,2017-07-15
hu.redshift.thequestexp3,TheQuest-HeroofLukomorye,31,NZ,2017-07-15
com.brackishgames.samurai,SuperSamuraiRampage,32,NZ,2017-07-15
com.appsolutegames.mrfutureninja,ミスター・フューチャー忍者,33,NZ,2017-07-15
digital.immortal.na4,Na4|ActionPuzzleGame,34,NZ,2017-07-15
com.matchgems.fantasy_mosaics_23,FantasyMosaics23:MagicForest,35,NZ,2017-07-15
air.funnyv102,FunnyRisiko,36,NZ,2017-07-15
com.ribit.stockexchangegame,StockExchangeGame,37,NZ,2017-07-15
com.DigitalFunk.AliceInCube,AliceInCube,38,NZ,2017-07-15
com.jollypixel.saratoga.android,PixelSoldiers:Saratoga1777,39,NZ,2017-07-15
com.Artists.Sudoku,Divinerz:Sudoku,40,NZ,2017-07-15
com.jsa.shogilive2017b,日本将棋連盟ライブ中継2017年7～12月版,41,NZ,2017-07-15
com.superstardressups.recolorfashion,RecolorFashionDressUp,42,NZ,2017-07-15
com.thetisgames.googleplay.trucksimulator2017.paid,TruckSimulatorEurope2HD,43,NZ,2017-07-15
com.Adon.Mathaquatics,Mathaquatic,44,NZ,2017-07-15
com.RuStar.CursumB,CURSUMB,45,NZ,2017-07-15
com.nightanddaystudios.octonauts,Octonauts,46,NZ,2017-07-15
com.MainActivity.tdNextPREMIUM,TowerDefense:NextWARPREMIUM,47,NZ,2017-07-15
com.ayopagames.pantherafrontier,パンテーラフロンティア,48,NZ,2017-07-15
com.daveandava.puzzle,FarmAnimalsPuzzlebyDaveandAva,49,NZ,2017-07-15
com.morgapp.templategoogle,NucleusPuzle,50,NZ,2017-07-15
om.knap.buildsim,ProConstructionSimulator2017,51,NZ,2017-07-15
com.genetix.College_Days_Deluxe,CollegeDays-DeluxeEdition,52,NZ,2017-07-15
com.isc.itchbinario,ITCHBinario,53,NZ,2017-07-15
com.viewpointgames.ghostsinthetoybox,GhostsInTheToybox,54,NZ,2017-07-15
com.alfaebetosolucoes.tabuadanafazendafull,TabuadanaFazenda,55,NZ,2017-07-15
com.knap.pixel,PixelmonCraft2017,56,NZ,2017-07-15
com.mightykingdom.whosnext,Shopkins:Who'sNext?,57,NZ,2017-07-15
com.cloudworth.balkancampaign,AxisBalkanCampaign(Conflict-Series),58,NZ,2017-07-15
com.BawdenStudios.ElectricFlo,ElectricFlo,59,NZ,2017-07-15
com.sun.pyramid,YANKAI'SPEAK.,60,NZ,2017-07-15
com.hexwar.thegreatwar,Commands&Colors:TheGreatWar,61,NZ,2017-07-15
com.BongBongStudio.CastleDefender,캐슬디펜더:성지키기,62,NZ,2017-07-15
com.morgapp.namethatpic,KontlorPuzzleWar!,63,NZ,2017-07-15
com.areyahavingthat.game,IrishPeopleVsBeerMoles,64,NZ,2017-07-15
com.beermatsoftwarellc.dopewarsweed,DopeWars(WeedEdition),65,NZ,2017-07-15
com.ozumikanapp.re,in:dark-インダーク,66,NZ,2017-07-15
com.teotigraphix.hiphop1,Caustic3.2HipHopPack1,67,NZ,2017-07-15
com.tayannastudios.calmwaters,CalmWaters:APointandClickAdventureGame,68,NZ,2017-07-15
com.knap.buildbattle,BuildBattle:McMiniGames,69,NZ,2017-07-15
com.teotigraphix.hiphop2,Caustic3.2HipHopPack2,70,NZ,2017-07-15
com.lostlevelstudios.meowykitten.paid,MeowyKitten,71,NZ,2017-07-15
