app_id,app_name,rank,country_code,date
com.mojang.minecraftpe,Minecraft,1,NZ,2017-11-20
com.squareenixmontreal.hitmansniperandroid,ヒットマンスナイパー(HitmanSniper),2,NZ,2017-11-20
com.ustwo.monumentvalley2,MonumentValley2,3,NZ,2017-11-20
com.rockstargames.gtasa,グランド・セフト・オート・サンアンドレアス,4,NZ,2017-11-20
com.robtopx.geometryjump,GeometryDash,5,NZ,2017-11-20
com.and.games505.TerrariaPaid,Terraria.,6,NZ,2017-11-20
com.sigames.fmm2018,FootballManagerMobile2018,7,NZ,2017-11-20
com.giantssoftware.fs18.google,FarmingSimulator18,8,NZ,2017-11-20
com.ninjakiwi.bloonstd5,BloonsTD5,9,NZ,2017-11-20
com.team17.escapists,TheEscapists,10,NZ,2017-11-20
com.devolver.downwell,Downwell,11,NZ,2017-11-20
com.realdrift.sipon,RealDriftCarRacing,12,NZ,2017-11-20
com.trueaxis.trueskate,TrueSkate,13,NZ,2017-11-20
com.eamobile.monopoly_row_wf,MONOPOLYGame,14,NZ,2017-11-20
com.disney.castleofillusion_goo,CastleofIllusion,15,NZ,2017-11-20
com.wb.goog.scribbleremix,ScribblenautsRemix,16,NZ,2017-11-20
com.scottgames.fivenightsatfreddys,FiveNightsatFreddy's,17,NZ,2017-11-20
com.astragon.cs2016,ConstructionSimulator2,18,NZ,2017-11-20
com.tocaboca.blocks,トッカ•ブロック(TocaBlocks),19,NZ,2017-11-20
com.fds.infiniteflight,InfiniteFlightSimulator,20,NZ,2017-11-20
com.ustwo.monumentvalley,モニュメントバレー,21,NZ,2017-11-20
com.marmalade.golmobile,TheGameofLife,22,NZ,2017-11-20
com.wb.goog.scribblenauts3,ScribblenautsUnlimited,23,NZ,2017-11-20
com.rockstargames.gtavc,グランド・セフト・オート・バイスシティ,24,NZ,2017-11-20
nz.co.codepoint.minimetro,MiniMetro,25,NZ,2017-11-20
com.jumpgames.RealSteel,RealSteel,26,NZ,2017-11-20
com.astragon.cs2014,コンストラクションシミュレーター2014,27,NZ,2017-11-20
com.pockettrend.neomonsters,ネオモンスターズ,28,NZ,2017-11-20
com.FireproofStudios.TheRoom3,TheRoomThree,29,NZ,2017-11-20
com.ironhidegames.android.ironmarines,鉄の海兵隊(IronMarines),30,NZ,2017-11-20
com.madcowieproductions.nzsunleashed,NZsUnleashed,31,NZ,2017-11-20
com.atari.mobile.rctc,RollerCoasterTycoon®Classic,32,NZ,2017-11-20
mylittleprincess.stores,MyLittlePrincess:ストア,33,NZ,2017-11-20
net.pluginmedia.pawpatrolflyer,PAWPatrolAirandSeaAdventures,34,NZ,2017-11-20
com.exozet.android.catan,CatanClassic,35,NZ,2017-11-20
com.FireproofStudios.TheRoom2,TheRoomTwo,36,NZ,2017-11-20
com.ubisoft.assassinscreed.identity,アサシンクリードアイデンティティ,37,NZ,2017-11-20
com.gamesoulstudio.backflipmadness,BackflipMadness,38,NZ,2017-11-20
com.eamobile.nbajam_row_wf,NBAJAMbyEASPORTS™,39,NZ,2017-11-20
com.playsportgames.mmm2017,MotorsportManagerMobile2,40,NZ,2017-11-20
com.activision.boz,CallofDutyBlackOpsZombies,41,NZ,2017-11-20
com.wb.lego.marvel,LEGO®マーベルスーパー・ヒーローズザ・ゲーム,42,NZ,2017-11-20
com.itvstudios.thechaseaus,TheChaseAustralia,43,NZ,2017-11-20
com.aspyr.swkotor,StarWars™:KOTOR,44,NZ,2017-11-20
com.ironhidegames.android.kingdomrushfrontiers,KingdomRushFrontiers,45,NZ,2017-11-20
com.everybodyhouse.paperclipsuniquetest,UniversalPaperclips,46,NZ,2017-11-20
com.esaptonor.spacerpg3,SpaceRPG3,47,NZ,2017-11-20
com.wb.goog.legohp2,LEGOHarryPotter:Years5-7,48,NZ,2017-11-20
com.square_enix.android_googleplay.FFT_en2,FINALFANTASYTACTICS:WotL,49,NZ,2017-11-20
com.headupgames.bridgeconstructor,ブリッジコンストラクタ,50,NZ,2017-11-20
com.scottgames.sisterlocation,FiveNightsatFreddy's:SL,51,NZ,2017-11-20
com.candyrufusgames.survivalcraft2,Survivalcraft2,52,NZ,2017-11-20
com.FireproofStudios.TheRoom,TheRoom,53,NZ,2017-11-20
air.com.flipline.papasfreezeriatogo,Papa'sFreezeriaToGo!,54,NZ,2017-11-20
com.squareenixmontreal.hitmango,HitmanGO,55,NZ,2017-11-20
com.harebrainedschemes.shadowrun,ShadowrunReturns,56,NZ,2017-11-20
com.bscotch.crashlands,Crashlands,57,NZ,2017-11-20
com.bluebraingames.thehouseofdavinci,TheHouseofDaVinci,58,NZ,2017-11-20
com.tocaboca.tocalabplants,TocaLab:Plants,59,NZ,2017-11-20
com.rockstargames.bully,Bully:AnniversaryEdition,60,NZ,2017-11-20
com.tocaboca.tocalabplants,TocaLab:Plants,61,NZ,2017-11-20
com.rockstargames.bully,Bully:AnniversaryEdition,62,NZ,2017-11-20
com.giantssoftware.fs16,FarmingSimulator16,63,NZ,2017-11-20
com.mediocre.grannysmith,GrannySmith,64,NZ,2017-11-20
org.lukeallen.bomberfull,AtomicBomberFull,65,NZ,2017-11-20
com.ninjakiwi.supermonkey,BloonsSupermonkey2,66,NZ,2017-11-20
com.wb.lego.tcs,LEGO®StarWars™:TCS,67,NZ,2017-11-20
com.notdoppler.earntodie,EarntoDie,68,NZ,2017-11-20
com.kaigan.simulacra,SIMULACRA-Foundphonehorrormystery,69,NZ,2017-11-20
com.scottgames.fnaf2,FiveNightsatFreddy's2,70,NZ,2017-11-20
com.daysofwonder.tt.android,TickettoRide,71,NZ,2017-11-20
com.playhome,MyPlayHome:PlayHomeDollHouse,72,NZ,2017-11-20
com.rubicon.dev.elwg,EpicLittleWarGame,73,NZ,2017-11-20
com.JazzaStudios.JazzasArtyGames,Jazza'sArtyGames,74,NZ,2017-11-20
com.team17.sheltered,Sheltered,75,NZ,2017-11-20
com.froschmedia.skater,Skater,76,NZ,2017-11-20
amanita_design.samorost3.GP,Samorost3(サモロスト3),77,NZ,2017-11-20
com.marmalade.cluedogame,Cluedo,78,NZ,2017-11-20
com.topsecretdevelopments.games.bomberFighterPro,AtomicFighterBomberPro,79,NZ,2017-11-20
com.Thunderbox.Tsuro,Tsuro-TheGameofthePath,80,NZ,2017-11-20
uk.co.topmarks.HitTheButton,HittheButtonMaths,81,NZ,2017-11-20
edu.terc.zoombinis,Zoombinis,82,NZ,2017-11-20
com.square_enix.android_googleplay.FFT_en2,FINALFANTASYTACTICS:WotL,83,NZ,2017-11-20
com.coffeestainstudios.goatsimulator.goatz,GoatSimulatorGoatZ,84,NZ,2017-11-20
air.com.flipline.papaspizzeriatogo,Papa'sPizzeriaToGo!,85,NZ,2017-11-20
com.wang.kingofthemountain,KingoftheMountain,86,NZ,2017-11-20
com.namcobandaigames.tamagotchiclassic.apk,TamagotchiClassic,87,NZ,2017-11-20
com.ea.games.nfs13_row,NeedforSpeed™MostWanted,88,NZ,2017-11-20
mytown.friendshouse,MyTown:お友達の家,89,NZ,2017-11-20
com.terribletoybox.thimbleweedparkandroid,ThimbleweedPark,90,NZ,2017-11-20
brownmonster.app.game.rushrally2,RushRally2,91,NZ,2017-11-20
com.jundroo.SimplePlanes,SimplePlanes,92,NZ,2017-11-20
com.playdead.limbo.full,LIMBO,93,NZ,2017-11-20
pl.idreams.pottery,Let'sCreate!Pottery,94,NZ,2017-11-20
com.fantablade.icey,ICEY,95,NZ,2017-11-20
com.easytech.wc4.android,世界の覇者4,96,NZ,2017-11-20
com.magmic.phase10,Phase10,97,NZ,2017-11-20
com.nekki.shadowfight2.paid,ShadowFight2SpecialEdition,98,NZ,2017-11-20
com.KillAtProm.LevelXPBoosterPREMIUM,LevelXPBoosterPREMIUM,99,NZ,2017-11-20
com.candyrufusgames.survivalcraft2,Survivalcraft2,100,NZ,2017-11-20
com.SongGameDev.EleTD,ElementTD,101,NZ,2017-11-20
com.coffeestainstudios.goatsimulator.wasteofspace,GoatSimulatorWasteofSpace,102,NZ,2017-11-20
com.fuzzyhouse.FuzzyHousePremium,FuzzyHousePremium,103,NZ,2017-11-20
air.com.flipline.papascupcakeriahd,Papa'sCupcakeriaHD,104,NZ,2017-11-20
com.kevinbradford.games.theguides,TheGuides,105,NZ,2017-11-20
com.hitcents.drawastickmanepic2,DrawaStickman:EPIC2,106,NZ,2017-11-20
com.turner.cardwars,CardWars-AdventureTime,107,NZ,2017-11-20
com.turner.atskisafari,SkiSafari:AdventureTime,108,NZ,2017-11-20
com.etermax.preguntados.pro,トリビア・クラック(広告なし),109,NZ,2017-11-20
air.com.flipline.papasburgeriatogo,Papa'sBurgeriaToGo!,110,NZ,2017-11-20
com.devolver.reigns,Reigns,111,NZ,2017-11-20
com.turner.ttgfigures,ティーニー・タイタンズ-ティーン・タイタンズＧＯ！,112,NZ,2017-11-20
com.uplayonline.youtubers,YoutubersLife,113,NZ,2017-11-20
com.codemasters.f12016,F12016,114,NZ,2017-11-20
com.klarens.crazycraft,CrazyCraftMod:Ultimate,115,NZ,2017-11-20
com.dbSoftware.siepro,SurvivalIsland:EvolvePro!,116,NZ,2017-11-20
air.com.flipline.papastacomiatogo,Papa'sTacoMiaToGo!,117,NZ,2017-11-20
com.turner.b10runner,ベン：10UptoSpeed,118,NZ,2017-11-20
com.hammerfall.regicide,"Warhammer40,000:Regicide",119,NZ,2017-11-20
com.czechgames.galaxytrucker,GalaxyTrucker,120,NZ,2017-11-20
com.artifexmundi.scarlettmysteries.gp.full,スカーレットの謎:呪われた子(Full),121,NZ,2017-11-20
com.herocraft.game.tempest,Tempest:PirateActionRPGPremium,122,NZ,2017-11-20
com.vectorunit.silver.googleplay,RiptideGP:Renegade,123,NZ,2017-11-20
air.com.flipline.papascupcakeriatogo,Papa'sCupcakeriaToGo!,124,NZ,2017-11-20
air.com.sfbgames.HauntTheHouseTerrortown,HaunttheHouse:Terrortown,125,NZ,2017-11-20
com.littleinferno.google,LittleInferno,126,NZ,2017-11-20
ca.codito.euphrates,ReinerKniziaTigris&Euphrates,127,NZ,2017-11-20
net.kairosoft.android.bouken_en,DungeonVillage,128,NZ,2017-11-20
com.disney.WMW,スワンピーのお風呂パニック！,129,NZ,2017-11-20
com.epsxe.ePSXe,ePSXeforAndroid,130,NZ,2017-11-20
com.plug_in_digital.emma,"Enterremoi,monAmour",131,NZ,2017-11-20
com.creativemobile.beholder,Beholder,132,NZ,2017-11-20
com.kleientertainment.doNotStarvePocket,Don'tStarve:PocketEdition,133,NZ,2017-11-20
com.magicfind.infinity,無限遠征隊VIP-放置系RPG,134,NZ,2017-11-20
com.intellijoy.sightwords,KidsReadingSightWords,135,NZ,2017-11-20
com.nextgenreality.minimoto,MiniMotorRacing,136,NZ,2017-11-20
com.jutsugames.operator911,911Operator,137,NZ,2017-11-20
com.realtimestudios.truehorrorPaid,TrueHorror,138,NZ,2017-11-20
com.playdigious.whitenight,WhiteNight,139,NZ,2017-11-20
com.selvaInteractive.highwind,Highwind,140,NZ,2017-11-20
com.venomizedArt.Slaughter2,Slaughter2:PrisonAssault,141,NZ,2017-11-20
com.dingogames.tastyplanet1,TastyPlanet,142,NZ,2017-11-20
com.copperbrain.disjointrelease,Disjoint,143,NZ,2017-11-20
com.tecworks.fruitslash,FruitSlash,144,NZ,2017-11-20
com.Click.InTheDark,InTheDark,145,NZ,2017-11-20
com.rainbowtrain.push,PUSH,146,NZ,2017-11-20
com.kleientertainment.doNotStarveShipwrecked,Don'tStarve:Shipwrecked,147,NZ,2017-11-20
com.dingogames.tastyplanet2,TastyPlanet:BackforSeconds,148,NZ,2017-11-20
com.SeraLogic.SliderMania_Wonders_Pro,SliderManiaWondersPro,149,NZ,2017-11-20
se.hellothere.skilltwinsfootballgame2,SkillTwinsFootballGame2,150,NZ,2017-11-20
com.playdekgames.waterdeep,D&DLordsofWaterdeep,151,NZ,2017-11-20
com.mtvn.ShimmerShineGenie_google,ShimmerandShine:MagicalGenieGamesforKids,152,NZ,2017-11-20
com.telltalegames.minecraft200,Minecraft:StoryMode-SeasonTwo,153,NZ,2017-11-20
mytown.hauntedhouse,MyTown:お化け屋敷,154,NZ,2017-11-20
com.fivebn.tl1.full,レガシー(Full),155,NZ,2017-11-20
game.indiside.nogadagold,노가다RPG골드:싱글판타지라이프의시작[쯔꾸르],156,NZ,2017-11-20
com.digidiced.txmrelease,TerraMystica,157,NZ,2017-11-20
com.panosDrak.VR_FlightSim,VRFlightSimulator,158,NZ,2017-11-20
jp.co.capcom.mobile1942wd,1942MOBILE,159,NZ,2017-11-20
air.air.ExpansePremium,ExpanseRTSPremium,160,NZ,2017-11-20
mytown.garage,MyTown:Carsカー（洗車、修理、運転）,161,NZ,2017-11-20
com.imayi.dinofarm,DinosaurFarm,162,NZ,2017-11-20
mytown.beautycontest,MyTown:BeautyContest美しさ,163,NZ,2017-11-20
com.pjmasks.superchase,PJMasks:SuperCityRun,164,NZ,2017-11-20
com.bbc.heyduggeeweloveanimals,HeyDuggee:WeLoveAnimals,165,NZ,2017-11-20
com.aspyr.jadeempire,JadeEmpire:SpecialEdition,166,NZ,2017-11-20
air.com.RustyLake.RustyLakeRoots,RustyLake:Roots,167,NZ,2017-11-20
co.yakand.agentaapuzzleindisguise,AgentA-偽装のパズル,168,NZ,2017-11-20
nl.noio.kingdom,Kingdom:NewLands,169,NZ,2017-11-20
com.wb.goog.legohp1,LEGOHarryPotter:Years1-4,170,NZ,2017-11-20
com.esportssim.testudo,Esportsもマネージャー,171,NZ,2017-11-20
com.fingerlegend.hidenseek,HideNSeek:MiniGame,172,NZ,2017-11-20
com.dotemu.titanquest,TitanQuest,173,NZ,2017-11-20
mytown.spa,MyTown:BeautySpaSaloonスパ,174,NZ,2017-11-20
com.playhome.hospital,MyPlayHomeHospital,175,NZ,2017-11-20
mytown.danceschool,MyTown:DanceSchoolダンススクール,176,NZ,2017-11-20
com.bigfishgames.dpqsgoogfull,ダーク・パラブルズ：砂の女王(Full),177,NZ,2017-11-20
com.creanet3d.drc,闇のジェットコースターVR,178,NZ,2017-11-20
com.quantized.prison,PrisonRunandGun,179,NZ,2017-11-20
com.disney.djappisodesdms_goo,Appisodes:DocGoesMcMobile,180,NZ,2017-11-20
com.STRONGANDROID.CrazzzyAqurium,InsaneAquriumDeluxe,181,NZ,2017-11-20
com.ArchiveEntertainment.MarchOfIndustry,MarchofIndustry,182,NZ,2017-11-20
com.apdconsultinginc.defender1,Defender1,183,NZ,2017-11-20
com.ratrodstudio.snowparty2,SnowboardParty:WorldTourPro,184,NZ,2017-11-20
com.wb.goog.lnjgo,LEGO®Ninjago™ShadowofRonin,185,NZ,2017-11-20
com.archison.randomadventureroguelikepro,RandomAdventureRoguelikePro,186,NZ,2017-11-20
com.squareenixmontreal.lcgo,LaraCroftGO,187,NZ,2017-11-20
com.msherwin.gamestudiotycoon2,GameStudioTycoon2,188,NZ,2017-11-20
com.mgameday.HouseofGrudge,ハウス・オブ・グラッジ,189,NZ,2017-11-20
com.mtvn.SBminigame,SpongeBob'sGameFrenzy,190,NZ,2017-11-20
com.artifexmundi.grimlegends2.gp.full,グリムレジェンド2:黒鳥の詩(Full),191,NZ,2017-11-20
com.alawar.darkstrokes2.gplay,DarkStrokes2,192,NZ,2017-11-20
air.com.blake.eggytime,EggyTime,193,NZ,2017-11-20
com.ubisoft.mightandmagic.heroesiii,HeroesofMight&MagicIIIHD,194,NZ,2017-11-20
com.oddworld.Stranger,Oddworld:Stranger'sWrath,195,NZ,2017-11-20
com.ironhidegames.android.kingdomrushorigins,KingdomRushOrigins,196,NZ,2017-11-20
com.ossianstudios.theshadowsun,ザ・シャドーサン,197,NZ,2017-11-20
com.beamdog.icewinddale,IcewindDale:EnhancedEdition,198,NZ,2017-11-20
age.of.civilizations.europe.jakowski,エイジ・オブ・シヴィライゼーション-Europe,199,NZ,2017-11-20
com.square_enix.android_googleplay.dq2_gp,DRAGONQUESTII,200,NZ,2017-11-20
co.uk.kavcom.cricketcaptain2014,CricketCaptain2014,201,NZ,2017-11-20
com.foursakenmedia.blockfortress,BlockFortress,202,NZ,2017-11-20
air.com.flipline.papaswingeriahd,Papa'sWingeriaHD,203,NZ,2017-11-20
com.playdatedigital.skyforest.skyforest,TransformersRescueBots,204,NZ,2017-11-20
com.nomadgames.talisman,Talisman,205,NZ,2017-11-20
co.romesoft.toddlers.memory.diggerFull,掘削機子供のためのゲーム車!,206,NZ,2017-11-20
com.noodlecake.waywardsouls,WaywardSouls,207,NZ,2017-11-20
kb.Blek,Blek,208,NZ,2017-11-20
