app_id,app_name,rank,country_code,date
com.shape.change,JellyShift,1,NZ,2019-07-13
com.cassette.aquapark,aquapark.io,2,NZ,2019-07-13
com.games.bottle,ボトルジャンプ3D,3,NZ,2019-07-13
com.newzealand.drive,DriveGo,4,NZ,2019-07-13
com.stgame.slots.cash,CashBlitz-FreeSlotMachines&CasinoGames,5,NZ,2019-07-13
com.nintendo.zama,ドクターマリオワールド,6,NZ,2019-07-13
com.cashstorm.slots,CashStorm-VegasSlotMachinesandCasinoGames,7,NZ,2019-07-13
com.eers.kraft.eerskraft.s,Eerskraft,8,NZ,2019-07-13
com.lightricks.pixaloop,EnlightPixaloop,9,NZ,2019-07-13
com.popcore.wreckingball,WreckingBall,10,NZ,2019-07-13
com.zuuks.bus.simulator.ultimate,BusSimulator:Ultimate,11,NZ,2019-07-13
com.wood.app.women.workout.fitness,Workoutforwomen-weightloss,12,NZ,2019-07-13
com.kiarygames.tinyroom,TinyRoomStories:TownMystery,13,NZ,2019-07-13
com.popshow.yolo,YOLO:AnonymousQ&A,14,NZ,2019-07-13
com.pipotion.socamera,SoCamera,15,NZ,2019-07-13
com.beingame.zc.zombie.shelter.survival,Zerocity:ゾンビシェルターサバイバルシミュレータ,16,NZ,2019-07-13
com.tencent.godgame,ChessRush,17,NZ,2019-07-13
com.tapped.flipdunk,FlipDunk,18,NZ,2019-07-13
com.hnk.touchthewall,TouchTheWall,19,NZ,2019-07-13
com.easybrain.make.music,Groovepad-ミュージック＆ビートメーカー,20,NZ,2019-07-13
com.jaemi.dietfivemin.fireboy.watergirl,FireboyWatergirlForestTemple,21,NZ,2019-07-13
app.parentland,Parentland,22,NZ,2019-07-13
com.skaf.gshooter.gre.grind.craft,GrindCrafter,23,NZ,2019-07-13
com.exordium.pottery,Pottery,24,NZ,2019-07-13
com.ubisoft.mightyquest,MightyQuest(マイティ・クエスト),25,NZ,2019-07-13
com.app.molegolf,GolfNest-DigYourWayOut!,26,NZ,2019-07-13
com.glu.dashtown,DinerDASHAdventures,27,NZ,2019-07-13
com.bl.swat.strike,反テロアクション:カウンターテロシューター,28,NZ,2019-07-13
com.valvesoftware.underlords,DotaUnderlords,29,NZ,2019-07-13
com.ticticgames.glitterdress,GlitterDressColoringandDrawingforKids,30,NZ,2019-07-13
org.free.music.downloader.mp3.download,FreeMusicDownloader&Mp3MusicDownload,31,NZ,2019-07-13
com.storm8.propertybrothers,プロパティブラザーズホームデザイン,32,NZ,2019-07-13
com.rooster.android.partyio,Party.io,33,NZ,2019-07-13
com.mobbanana.bzfk.az,RageCube,34,NZ,2019-07-13
com.arenaofstarsonline.chof,Crystalborne:HeroesofFate,35,NZ,2019-07-13
com.netmarble.btsw,BTSWORLD,36,NZ,2019-07-13
com.zloong.sea.kok,KingofKings-SEA,37,NZ,2019-07-13
com.free.baseball.sports.games,Baseball,38,NZ,2019-07-13
com.dltc.qrcode,QRcode,39,NZ,2019-07-13
com.ticticgames.glitterfruits,GlitterFruitscoloringanddrawingforKids,40,NZ,2019-07-13
com.igg.android.braveconquest,BraveConquest,41,NZ,2019-07-13
nz.co.christchurchcasino.playersclub,PlayersClub,42,NZ,2019-07-13
soccer.football,SoccerGames,43,NZ,2019-07-13
com.premise.android.prod,Premise,44,NZ,2019-07-13
com.gameley.blademaster.spinning.en,BladeMaster-MiniActionRPGGame,45,NZ,2019-07-13
com.nordeus.heroic,Heroic-MagicDuel,46,NZ,2019-07-13
com.vicenter.stickman.ragdoll.dismounting,RagdollDismounting,47,NZ,2019-07-13
com.metamoki.bigwolf.foodtruck,IdleFoodTruckTycoon™,48,NZ,2019-07-13
com.shooting.shot.weapongun,GunShooter-ChallengeyourbestshootingTiming,49,NZ,2019-07-13
com.luceillesoft.bigwinworld,BigWinWorld,50,NZ,2019-07-13
com.sticksports.stickcricketlive,StickCricketLive,51,NZ,2019-07-13
com.lilwtwelth.matchbox,MatchBox,52,NZ,2019-07-13
