app_id,app_name,rank,country_code,date
com.teslagames.storiespro,Stories:YourChoice(morediamondsandtickets),1,NZ,2019-05-21
com.tohsoft.fastcharger.pro,FastChargePro,2,NZ,2019-05-21
com.ubimob.superhero.fruit.premium,SuperheroFruitPremium:RobotWarsFutureBattles,3,NZ,2019-05-21
com.jahaa.MostExpensiveCarChase,MostExpensiveCarChaseGame,4,NZ,2019-05-21
com.mostexpensivegame.mostexpensiveever,MostExpensiveCubeGameEver,5,NZ,2019-05-21
com.karta.tools.autoclicker,自動クリックプロ-AutoClicker,6,NZ,2019-05-21
com.YoYoYoMi.NewWorldVIP,별키우기:새로운세계VIP,7,NZ,2019-05-21
com.baba.babafastvpn,BabaVPN,8,NZ,2019-05-21
com.ndiviapps.videodownloader.new,ビデオダウンローダ2019,9,NZ,2019-05-21
com.hysteriagames.gastoncc,"Gaston'sCrazyCubes""NEW""",10,NZ,2019-05-21
com.questmonkey.tapndrop,TapN'Drop:BallinBasket,11,NZ,2019-05-21
com.anticor.smoon_sq,SmoonUI-SquircleIconPack,12,NZ,2019-05-21
com.web3o.truck.simulator.vietnam,TruckSimulatorVietnam,13,NZ,2019-05-21
com.premiumtimes.stickwarriors.vip,StickmanWarriors:FighterStreetVIP,14,NZ,2019-05-21
com.asmodeedigital.zombicidev2,Zombicide:Tactics&Shotguns,15,NZ,2019-05-21
com.or.boost.free,Boostforfree🔥,16,NZ,2019-05-21
com.kalaharians.eliteninja,WarLord,17,NZ,2019-05-21
com.nomadgames.talismanchronicles,Talisman:Origins,18,NZ,2019-05-21
air.dog.wfox2,당신을기다리는여우花,19,NZ,2019-05-21
inc.trilokia.gfxtool,GamersGLToolProwithGameTurbo&GameTuner,20,NZ,2019-05-21
de.woodiehoo.pirates,ウディフー・パイレーツ,21,NZ,2019-05-21
com.okdone.mineralio,Mineral.io,22,NZ,2019-05-21
mille.german,"Mille:learn1,000Germanwords+pronunciation",23,NZ,2019-05-21
com.or.thunder.bolt,Thunderbolt:forbattlegroundsperformance.,24,NZ,2019-05-21
com.hg.spellforce,SpellForce:ヒーローと魔法,25,NZ,2019-05-21
br.com.littlegiantstudio.projetoauthentic,AuthenticGamesOficial,26,NZ,2019-05-21
com.Real.Taxi.Simulator,RealTaxiSimulator2020,27,NZ,2019-05-21
com.combat.strikepro,CombatStrikePRO:FPSOnlineGunShootingGames,28,NZ,2019-05-21
com.arrow.shovelfull,重機でGo-ショベルカーPLUS-,29,NZ,2019-05-21
com.mobileapps.atadovizim,AtaDövizim,30,NZ,2019-05-21
com.hayhouse.miraclesnow,MiraclesNowbyGabrielleBernstein,31,NZ,2019-05-21
com.sagosago.Town2.googleplay,サゴミニビレッジ,32,NZ,2019-05-21
kemco.execreate.franedragonsodyssey,RPGフラン～Dragons'Odyssey～,33,NZ,2019-05-21
com.accidentalqueens.altfrequenciesandroid,Alt-Frequencies,34,NZ,2019-05-21
