app_id,app_name,rank,country_code,date
com.mojang.minecraftpe,Minecraft,1,NZ,2018-03-08
nz.codeone.nzdrivingtheorytest,NZDrivingTheoryTest,2,NZ,2018-03-08
com.squareenixmontreal.hitmansniperandroid,ヒットマンスナイパー(HitmanSniper),3,NZ,2018-03-08
com.robtopx.geometryjump,GeometryDash,4,NZ,2018-03-08
com.inkle.eightydays,80Days,5,NZ,2018-03-08
com.ninjakiwi.bloonstd5,BloonsTD5,6,NZ,2018-03-08
com.itvstudios.thechaseaus,TheChaseAustralia,7,NZ,2018-03-08
com.atlogis.nzmaps,NewZealandTopoMapsPro,8,NZ,2018-03-08
com.auttereomaori,TeReoMāori,9,NZ,2018-03-08
org.twisevictory.apps,TheWonderWeeks,10,NZ,2018-03-08
com.teslacoilsw.launcher.prime,NovaLauncherPrime,11,NZ,2018-03-08
com.wb.goog.scribbleremix,ScribblenautsRemix,12,NZ,2018-03-08
com.monashuniversity.fodmap,MonashUniLowFODMAPDiet,13,NZ,2018-03-08
com.realdrift.sipon,RealDriftCarRacing,14,NZ,2018-03-08
org.prowl.torque,TorquePro(OBD2/Car),15,NZ,2018-03-08
com.rockstargames.gtasa,グランド・セフト・オート・サンアンドレアス,16,NZ,2018-03-08
net.sqrl.nztopo50s,NZTopo50OfflineSthIslandMapandHuntingAreas,17,NZ,2018-03-08
nz.co.aap.m.elitecontrol,Arrowhead-ELITEControl,18,NZ,2018-03-08
nz.org.coastguard.coastguard,Coastguard,19,NZ,2018-03-08
com.and.games505.TerrariaPaid,Terraria.,20,NZ,2018-03-08
it.navionics.singleAppOceania,BoatingAustralia&NZ,21,NZ,2018-03-08
com.thespinoff,TheSpinoff,22,NZ,2018-03-08
com.team17.escapists,TheEscapists,23,NZ,2018-03-08
com.fds.infiniteflight,InfiniteFlightSimulator,24,NZ,2018-03-08
com.STRONGANDROID.CrazzzyAqurium,InseAquriumDeluxe-FeedFishes!FightAliens!,25,NZ,2018-03-08
com.marmalade.golmobile,TheGameofLife,26,NZ,2018-03-08
com.squareenixmontreal.hitmango,HitmanGO,27,NZ,2018-03-08
moonbear.PocketBuild,PocketBuild,28,NZ,2018-03-08
com.alburraq.restrictednz,RestrictedLicenceNZ,29,NZ,2018-03-08
info.wobamedia.mytalkingpet.plus,私のお話ペット,30,NZ,2018-03-08
com.scottgames.fivenightsatfreddys,FiveNightsatFreddy's,31,NZ,2018-03-08
com.ustwo.monumentvalley,モニュメントバレー,32,NZ,2018-03-08
com.greenheartgames.gdt,GameDevTycoon,33,NZ,2018-03-08
cc.peacedeath.peacedeath,"Peace,Death!",34,NZ,2018-03-08
com.ubisoft.assassinscreed.identity,アサシンクリードアイデンティティ,35,NZ,2018-03-08
com.lvlup.buddhify,buddhify-mindfulnessmeditationonthego,36,NZ,2018-03-08
