app_id,app_name,rank,country_code,date
pl.nask.mobywatel,mObywatel–TwojemDokumentywsmartfonie,1,PL,2017-11-05
com.rebeltwins.dragonhills2,DragonHills2,2,PL,2017-11-05
io.voodoo.dune,Dune!,3,PL,2017-11-05
com.my.hc.rpg.kingdom.simulator,HustleCastle–アイドルシェルターの英雄,4,PL,2017-11-05
com.superplusgames.hosandroid,HillsofSteel,5,PL,2017-11-05
com.happypiano.pianotiles,PianoTiles2018,6,PL,2017-11-05
com.sgs.PUBG,PlayersUnknownBattleGrand,7,PL,2017-11-05
com.ankama.dragnboom,Drag'n'Boom,8,PL,2017-11-05
com.goodgamestudios.bigfarmmobileharvest,BigFarm:MobileHarvest,9,PL,2017-11-05
com.standylan.dunkhit,DunkHit,10,PL,2017-11-05
com.crazylabs.monster.high,MonsterHigh™美容室:楽しいファッションゲーム,11,PL,2017-11-05
com.solou.grandganster.city,ラスベガスシティガンスター,12,PL,2017-11-05
com.bananaminion.adventure.rush.legends.dash,Bananaadventurerush:legendsrush,13,PL,2017-11-05
net.elyland.DraconiusGO,DraconiusGO:CatchaDragon!,14,PL,2017-11-05
com.simplicity.nosz_kura,NoszKur*a-tabupopolsku,15,PL,2017-11-05
com.Mrkva.FUT18,FUT18PackOpenerbyMrkva,16,PL,2017-11-05
com.aldagames.buildbattle,BuildBattleCraft,17,PL,2017-11-05
com.erow.stickmanheroes,OneGun:Stickman,18,PL,2017-11-05
com.mobgames3d.tramdriversim18,TramDriverSimulator2018,19,PL,2017-11-05
com.ovilex.farmersim2018,FarmerSim2018,20,PL,2017-11-05
com.ProcessGames.i8DriftSimulator,i8DriftSimulator,21,PL,2017-11-05
games.fatlion.little.mermaid.minecraft.world.games.girls.princess.sea.adventure.eden.isle.paradise.bay.fish.crafting.free.mcpe,マーメイドクラフト：海の王女の世界を築く,22,PL,2017-11-05
com.pacybits.fut18packopener,FUT18PACKOPENERbyPacyBits,23,PL,2017-11-05
br.com.tapps.zombieevolution,ZombieEvolution-HalloweenZombieMakingGame,24,PL,2017-11-05
com.OppanaGames.HuntingSimulator4x4,HuntingSimulator4x4,25,PL,2017-11-05
com.overwolf.statsroyale,StatsRoyaleforClashRoyale,26,PL,2017-11-05
com.fleury.col,C.o.L.CraftingGame,27,PL,2017-11-05
com.noodlecake.mmmfingers2,MmmFingers2,28,PL,2017-11-05
com.binarygames.dune,Dune-BallJump,29,PL,2017-11-05
com.finanteq.finance.bgz,BGŻBNPParibasGOMobile,30,PL,2017-11-05
