app_id,app_name,rank,country_code,date
age.of.civilizations2.jakowski.lukasz,AgeofCivilizationsII,1,PL,2018-12-30
com.jds.batim,BendyandtheInkMachine,2,PL,2018-12-30
com.feralinteractive.rometw,ROME:TotalWar,3,PL,2018-12-30
com.chuslab.FieldVip,FieldDefenseVIP,4,PL,2018-12-30
mycity.office,MyCity:オフィス,5,PL,2018-12-30
com.banjihagames.seoul2033_backer,서울2033:후원자,6,PL,2018-12-30
com.tocaboca.tocakitchensushi,TocaKitchenSushi,7,PL,2018-12-30
com.memoria.photos.gallery.pro,MemoriaPhotoGalleryPro,8,PL,2018-12-30
com.Amazing.Taxi.Game,AmazingTaxiSimulatorV22019,9,PL,2018-12-30
com.kozgames.motordepot,MotorDepot,10,PL,2018-12-30
com.mapgears.ofsc_2018_2019_2,GoSnowmobilingOntario2018-2019!,11,PL,2018-12-30
xyz.mreprogramming.ultimateghostdetector,"UltimateGhostDetector(EMF,EVPrecorder)",12,PL,2018-12-30
com.booltox.luminancer,Luminancer-VideoSynthesizer,13,PL,2018-12-30
com.sun.twinfold,Twinfold(ツインフォールド),14,PL,2018-12-30
com.flatearthsun,FlatEarthSun&MoonClock,15,PL,2018-12-30
com.hg.titp,ThisIsthePolice,16,PL,2018-12-30
com.sagosago.Zoo.googleplay,サゴミニ動物園,17,PL,2018-12-30
com.volatello.tellofpv,TelloFPV-ControltheRyzeTellodroneFPV+USB,18,PL,2018-12-30
widget.dd.com.overdrop.pro,OverdropProKey,19,PL,2018-12-30
com.demagogstudio.golfclubwasteland,GolfClub:Wasteland,20,PL,2018-12-30
com.Taxi.Game,TaxiCity1988V1,21,PL,2018-12-30
com.firemaplegames.Thickety_Creek,ThicketyCreek,22,PL,2018-12-30
com.edzondm.linebitlight,LinebitLight-IconPack,23,PL,2018-12-30
com.pcmehanik.smarttoolkitpro,スマートツールPRO,24,PL,2018-12-30
com.ChickenWaffle.BabyHands,BABYHANDSJr.,25,PL,2018-12-30
air.com.tornscreen.cfgame101,СASHFLOW,26,PL,2018-12-30
com.mansoor.teluguvoice,TeluguVoicetoText,27,PL,2018-12-30
media.k52.envelapp,envelApp,28,PL,2018-12-30
com.honeydew.vip.herostores,ウヨウヨ勇者村プレミアム(TapTown),29,PL,2018-12-30
com.urbancoder.youandi,WAStickerApps-You&I,30,PL,2018-12-30
com.sevenkan.auraiconpack.polar,Aurapolar-IconPack,31,PL,2018-12-30
analiz.oran.altust.iddaa.iddaaaltustorananalizi,İddaaTahminleri-İddaaAltÜstAnalizi,32,PL,2018-12-30
com.valorware.thronequest,ThroneQuestRPG,33,PL,2018-12-30
com.DigitalOxygen.zoloto,Золотце,34,PL,2018-12-30
com.noodlecake.absolutedrift,AbsoluteDrift,35,PL,2018-12-30
com.duet.miningVIP,MineWorld:VIP,36,PL,2018-12-30
com.vigi.babymonitor,CloudBabyMonitor,37,PL,2018-12-30
com.nosignalproductions.legacyhidden,Legacy3-TheHiddenRelic,38,PL,2018-12-30
air.air.gear360.manager2018,Gear360forAll,39,PL,2018-12-30
com.mgameday.servivallive,生存と脱出,40,PL,2018-12-30
com.ollix.fogofworld,世界の霧,41,PL,2018-12-30
com.jndapp.line.x.iconpack,LineXIconPack,42,PL,2018-12-30
com.theme.emui9dark,Emui9DarkThemeForEmui5/8,43,PL,2018-12-30
com.poweramp.v3.ud.gold,Powerampv3skingold,44,PL,2018-12-30
com.umutakademi.highlevelmultiplicationtableFull,HighLevelMultiplicationTable,45,PL,2018-12-30
com.amber.vip.ad.widget.vip,VIPforAmberWidgets,46,PL,2018-12-30
com.epic_sassy_stikrz,EpicSassyStikrz(WAstickerapps),47,PL,2018-12-30
com.cris87.pixel_one,PIXELONEUI-ICONPACK,48,PL,2018-12-30
net.fchatnet.candyjump,YourCandyJumper,49,PL,2018-12-30
com.trucksimulation.offroadreal,ユーロトラックシミュレーターオフロード貨物輸送,50,PL,2018-12-30
com.sevenagames.marspuzzle,火星電力,51,PL,2018-12-30
com.illusioniz.team.moci.icons,MOCIIconPack,52,PL,2018-12-30
games.pollywog.card_crusade,CardCrusade:EarlyAccess,53,PL,2018-12-30
com.opallimited.bloom10worlds,Bloom:10Worlds,54,PL,2018-12-30
emui.en.com.mountaindark,MountainDarkThemeforEMUI5/8,55,PL,2018-12-30
com.greatapps.textstickermaker,Textstickermakerforwhatsapp-textstickers,56,PL,2018-12-30
com.tohsoft.musictube.pro,FreeMusicPro,57,PL,2018-12-30
com.tiagohs.rabiscoStickers,RabiscoStickers-FigurinhasRabisco,58,PL,2018-12-30
com.a64s.quantumcontact,QuantumContact:ASpaceAdventure,59,PL,2018-12-30
org.t4kbuild.avs,T4KBuild,60,PL,2018-12-30
com.viamichelin.restaurants.europe2019,MICHELINGuideEurope2019,61,PL,2018-12-30
dAR.ubigovr.VirtualGirlfriendAR,VGARVIP,62,PL,2018-12-30
com.carwebguru.theme.blackv3,BlackV3-themeforCarWebGuruLauncher,63,PL,2018-12-30
com.moc_liamg700.AC_Odyssey_MAP,OdysseyMAP&GUIDE,64,PL,2018-12-30
com.thalantyr.dragonoverseer.full,DragonOverseer,65,PL,2018-12-30
com.natewren.linesgold,LinesGold-IconPack(ProVersion),66,PL,2018-12-30
com.asmodeedigital.perudoofficial,Perudo:ThePirateBoardGame,67,PL,2018-12-30
com.nfcompany.orcworld,オークワールド,68,PL,2018-12-30
