app_id,app_name,rank,country_code,date
com.dts.freefireth,FreeFire-Battlegrounds,1,PT,2017-12-24
com.ketchapp.rider,Rider,2,PT,2017-12-24
com.wordgame.words.connect,WordConnect,3,PT,2017-12-24
com.wordgame.wordconnect.pt,PalavraGuru,4,PT,2017-12-24
com.billiards.city.pool.nation.club,ビリヤードシティ,5,PT,2017-12-24
com.kiloo.subwaysurf,SubwaySurfers,6,PT,2017-12-24
com.igg.android.lordsmobile,ロードモバイル【本格リアルタイムストラテジーMMORPG】,7,PT,2017-12-24
com.miniclip.eightballpool,8BallPool,8,PT,2017-12-24
com.supercell.clashroyale,クラッシュ・ロワイヤル(ClashRoyale),9,PT,2017-12-24
com.youmusic.magictiles,MagicTiles3:ピアノ曲&ゲーム,10,PT,2017-12-24
com.ketchapp.rush,Rush,11,PT,2017-12-24
com.differencetenderwhite.skirt,ブロックパズルジュエル,12,PT,2017-12-24
com.reliancegames.wwemayhem,WWEMayhem,13,PT,2017-12-24
com.ea.gp.fifamobile,FIFAサッカー,14,PT,2017-12-24
br.com.tapps.weareilluminati,WeAreIlluminati-ConspiracySimulatorClicker,15,PT,2017-12-24
com.cmplay.tiles2,ピアノタイル2™,16,PT,2017-12-24
com.addswhilessuffers.binds,木ブロックパズル,17,PT,2017-12-24
com.bentostudio.ballsvsblocks,SnakeVSBlock,18,PT,2017-12-24
air.com.hypah.io.slither,slither.io,19,PT,2017-12-24
com.supercell.hayday,ヘイ・デイ(HayDay),20,PT,2017-12-24
com.ea.game.starwarscapital_row,スター・ウォーズ／銀河の英雄,21,PT,2017-12-24
com.bestgames4ulabs.baseexplore,ExplorationBase2017,22,PT,2017-12-24
com.outfit7.mytalkingtomfree,マイ・トーキング・トム(MyTalkingTom),23,PT,2017-12-24
me.pou.app,プーチッチPou,24,PT,2017-12-24
com.boombitgames.BridgeLowpoly,BuildaBridge!,25,PT,2017-12-24
com.craftinggame.building.explore.explorationcraft,ExplorationLitenew:Buildinggame,26,PT,2017-12-24
com.nordcurrent.canteenhd,クッキングフィーバー【爽快グルメアクション！】,27,PT,2017-12-24
com.fungames.sniper3d,スナイパー３Dアサシン：無料射撃ゲーム(Sniper3D）,28,PT,2017-12-24
com.firsttouchgames.story,Score!Hero,29,PT,2017-12-24
com.tiramisu.driftmax2,DriftMaxPro-CarDriftingGame,30,PT,2017-12-24
com.goodgamestudios.bigfarmmobileharvest,BigFarm:MobileHarvest,31,PT,2017-12-24
com.outfit7.mytalkingangelafree,マイ・トーキング・アンジェラ,32,PT,2017-12-24
com.king.candycrushsaga,キャンディークラッシュ,33,PT,2017-12-24
com.nintendo.zara,SuperMarioRun,34,PT,2017-12-24
com.supersolid.spark,ホームストリート(HomeStreet),35,PT,2017-12-24
net.mobigame.zombietsunami,ZombieTsunami(ゾンビツナミ),36,PT,2017-12-24
com.cmplay.dancingline,ダンシングライン（DancingLine）,37,PT,2017-12-24
com.roblox.client,ROBLOX,38,PT,2017-12-24
com.playstation.iwyk,That'sYou!,39,PT,2017-12-24
net.peakgames.toonblast,ToonBlast,40,PT,2017-12-24
com.submarineapps.umillionaire,Millionaire2017-LuckyQuizFreeGameOnline,41,PT,2017-12-24
com.cooyostudio.finger.glow.hockey,FingerGlowHockey,42,PT,2017-12-24
com.gamegou.football,TopFootballManager-フットボール・マネージャー,43,PT,2017-12-24
com.miniclip.bowmasters,Bowmasters,44,PT,2017-12-24
com.comeone.pink.piano.tiles,PinkPianoTiles2018,45,PT,2017-12-24
com.spilgames.OperateNow2,OperateNow:Hospital,46,PT,2017-12-24
com.sg.football.champions.uefa2018.soccer.league.tournament.match,2018ChampionSoccerLeague:FootballTournament,47,PT,2017-12-24
com.maplemedia.snowboardpartyaspen,SnowboardParty:Aspen,48,PT,2017-12-24
com.playrix.homescapes,ホームスケイプ(Homescapes),49,PT,2017-12-24
com.acidcousins.chilly,ChillySnow,50,PT,2017-12-24
com.pacybits.fut18draft,FUT18DRAFTbyPacyBits,51,PT,2017-12-24
com.nianticlabs.pokemongo,PokémonGO,52,PT,2017-12-24
com.fingersoft.hcr2,HillClimbRacing2,53,PT,2017-12-24
com.nekki.shadowfight3,シャドウファイト3,54,PT,2017-12-24
com.gameinsight.gobandroid,GunsofBoom,55,PT,2017-12-24
com.zeptolab.cats.google,CATS:CrashArenaTurboStars,56,PT,2017-12-24
com.pixign.smart.brain.games,Smart-BrainGames&LogicPuzzles,57,PT,2017-12-24
com.robtopx.geometryjumplite,ジオメトリーダッシュ(GeometryDashLite),58,PT,2017-12-24
com.kathleenOswald.solitaireGooglePlay,ソリティア,59,PT,2017-12-24
com.bingo.tour.party.crazy.free,ビンゴ　パーティー,60,PT,2017-12-24
io.voodoo.stackjump,StackJump,61,PT,2017-12-24
com.miniclip.footballstrike,FootballStrike-MultiplayerSoccer,62,PT,2017-12-24
com.gamehouse.delicious16,デリシャスエミリーママvsパパ,63,PT,2017-12-24
com.ea.games.simsfreeplay_row,TheSimsFreePlay,64,PT,2017-12-24
com.gameloft.android.ANMP.GloftA8HM,アスファルト8：Airborne,65,PT,2017-12-24
com.firsttouchgames.dls3,DreamLeagueSoccer2018,66,PT,2017-12-24
com.fingersoft.hillclimb,ヒルクライムレース:HillClimbRacing,67,PT,2017-12-24
com.netease.chiji,RulesofSurvival,68,PT,2017-12-24
com.edujoy.Word_Search,WordSearchGamesinenglish,69,PT,2017-12-24
com.rgb.soyluna,SoyLuna-TuHistoria,70,PT,2017-12-24
com.gameloft.android.ANMP.GloftUOHM,UNO™&Friends,71,PT,2017-12-24
com.CraftingMax.Explore,MaxCraft:PocketEdition,72,PT,2017-12-24
com.aim.racing,ExtremeCarDrivingSimulator,73,PT,2017-12-24
com.king.farmheroessaga,ファームヒーロー,74,PT,2017-12-24
com.criticalforceentertainment.criticalops,CriticalOps,75,PT,2017-12-24
com.MicroCraft.Survival.Master,MicroCraft:Pocketedition,76,PT,2017-12-24
io.voodoo.dune,Dune!,77,PT,2017-12-24
com.halfbrick.fruitninjafree,FruitNinja®,78,PT,2017-12-24
com.king.bubblewitch3,バブルウィッチ3,79,PT,2017-12-24
com.otherguys.lindab,LindaBrown:InteractiveStory,80,PT,2017-12-24
com.pixel.gun3d,ピクセルガン3D。(PixelGun3D),81,PT,2017-12-24
com.cw10.en10invasion,SaiyanInvasion:WarriorsDuel,82,PT,2017-12-24
com.vector.game.puzzle.numberlink,2248,83,PT,2017-12-24
br.com.tapps.bidwars2,ビッドワーズ：パウンエンパイヤ,84,PT,2017-12-24
com.smallgiantgames.empires,Empires&Puzzles:RPGQuest,85,PT,2017-12-24
com.Laxarus.TigerBall,Tigerball,86,PT,2017-12-24
com.outfit7.talkingtomgoldrun,トーキング・トムのゴールド・ラン,87,PT,2017-12-24
com.karimoosteam.colorsinfinity,SwitchColor2,88,PT,2017-12-24
io.voodoo.firedup,FireUp!,89,PT,2017-12-24
com.supercell.clashofclans,クラッシュ・オブ・クラン(ClashofClans),90,PT,2017-12-24
com.crowdstar.covetHome,DesignHome,91,PT,2017-12-24
com.kabam.marvelbattle,MARVELオールスターバトル,92,PT,2017-12-24
com.ohbibi.kart2,Kart:FreeRacing,93,PT,2017-12-24
com.skgames.trafficrider,TrafficRider,94,PT,2017-12-24
com.cocoplay.gymnastic.star,体操選手-10点満点を目指そう！,95,PT,2017-12-24
com.outfit7.talkingtompool,トーキング・トムのウォーターパーク,96,PT,2017-12-24
com.gmail.bulupe.Scale,SCALE,97,PT,2017-12-24
com.natenai.glowhockey,GlowHockey,98,PT,2017-12-24
com.standylan.dunkhit,DunkHit,99,PT,2017-12-24
com.lockwoodpublishing.avakinlife,AvakinLife,100,PT,2017-12-24
com.pikpok.dr2.play,イントゥ・ザ・デッド2[IntotheDead2],101,PT,2017-12-24
com.almatime.tictactoe,TicTacToeClassic,102,PT,2017-12-24
lemmingsatwork.quiz,クイズロゴゲーム,103,PT,2017-12-24
com.smanlygames.fireboy.watergirl.icegirl.maze,LuckyBoyandPrettyGirl-CrystalTempleMaze,104,PT,2017-12-24
com.playrix.gardenscapes,ガーデンスケイプ(Gardenscapes),105,PT,2017-12-24
com.turbochilli.rollingsky,ローリング・スカイ,106,PT,2017-12-24
com.episodeinteractive.android.catalog,Episodeft.PitchPerfect™,107,PT,2017-12-24
com.glu.deerhunt16,DEERHUNTER2018,108,PT,2017-12-24
com.socialquantum.west3dint,WildWest:NewFrontier,109,PT,2017-12-24
com.combineinc.streetracing.driftthreeD,ストリートレーシング3D,110,PT,2017-12-24
com.ea.game.pvzfree_row,Plantsvs.ZombiesFREE,111,PT,2017-12-24
com.hbg.dentist.hospital.adventure,歯科医の病院の冒険,112,PT,2017-12-24
com.rovio.baba,アングリーバード2(AngryBirds2),113,PT,2017-12-24
com.ea.game.nfs14_row,NeedforSpeed™NoLimits,114,PT,2017-12-24
com.newstargames.newstarsoccer,NewStarSoccer,115,PT,2017-12-24
com.playrix.township,タウンシップ(Township),116,PT,2017-12-24
com.bonusxp.legend,StrangerThings:TheGame,117,PT,2017-12-24
com.ketchapp.dunkshot,DunkShot,118,PT,2017-12-24
com.bdj.vortexDroid,RollyVortex,119,PT,2017-12-24
com.ea.games.r3_row,RealRacing3,120,PT,2017-12-24
com.generagames.soccerstarleaguesfootball,SoccerStar2018TopLeagues,121,PT,2017-12-24
jj.app.cyf,ChallengeYourFriends2Player,122,PT,2017-12-24
com.hasbro.beybladesenterprise,BEYBLADEBURSTapp,123,PT,2017-12-24
com.ansangha.drparking4,駐車の達人4,124,PT,2017-12-24
com.gamebasics.osm,OnlineSoccerManager(OSM)-FootballGame,125,PT,2017-12-24
com.raftsurvival.raft,RaftSurvival：筏での生存,126,PT,2017-12-24
com.maatto.rush,ColorTunnel,127,PT,2017-12-24
com.skgames.trafficracer,TrafficRacer,128,PT,2017-12-24
com.bambo.soccerbeach,ゴールビーチサッカーを撃ちます,129,PT,2017-12-24
com.bitmango.rolltheballunrollme,ロールボール：スライドパズル,130,PT,2017-12-24
com.popreach.dumbways,DumbWaystoDieOriginal,131,PT,2017-12-24
com.naturalmotion.customstreetracer2,CSRRacing2,132,PT,2017-12-24
com.miniklerogreniyor.quiz.kids.math,数学,133,PT,2017-12-24
jp.konami.pesam,WinningEleven2018,134,PT,2017-12-24
com.Artica.CadernetaDoPanda,CadernetadoPanda,135,PT,2017-12-24
com.king.candycrushsodasaga,キャンディークラッシュソーダ,136,PT,2017-12-24
com.breakfirst.ben10bf,Ben10Challenge,137,PT,2017-12-24
com.lego.bricksmore,レゴ®ジュニアCreate&Cruise,138,PT,2017-12-24
air.FleeingtheComplex,FleeingtheComplex,139,PT,2017-12-24
com.mediocre.smashhit,SmashHit,140,PT,2017-12-24
com.elex.lastbattlegroundsurvival,LastBattleground:Survival,141,PT,2017-12-24
air.sjsix,Stickmanjailbreak6,142,PT,2017-12-24
com.playstation.knowledge,KnowledgeisPower,143,PT,2017-12-24
com.craftingLike.Bevzy,LikeCraftHDAdventures,144,PT,2017-12-24
com.netmarble.starwars,スター・ウォーズ：フォース・アリーナ,145,PT,2017-12-24
com.dreamed.physicsdrop,PhysicsDrop,146,PT,2017-12-24
com.fungames.blockcraft,ブロック・クラフト　無料街づくりシミュレーションゲーム,147,PT,2017-12-24
com.dimcoms.checkers,チェッカーズ,148,PT,2017-12-24
com.twominds.HeadsUpCharadas,WhatamI?,149,PT,2017-12-24
com.king.petrescuesaga,ペットレスキュー,150,PT,2017-12-24
com.quarterborrowresult.customer,PuzzleGame,151,PT,2017-12-24
com.disney.emojimatch_goo,DisneyEmojiBlitz-Holiday,152,PT,2017-12-24
com.namcobandaigames.pacmantournaments,PAC-MAN,153,PT,2017-12-24
com.linkdesks.iBubble,パワーバブルシューター,154,PT,2017-12-24
com.etermax.preguntados.lite,トリビア・クラック,155,PT,2017-12-24
com.BeresnevGames.Knife,FlippyKnife(フリッピー・ナイフ),156,PT,2017-12-24
com.imangi.templerun,TempleRun,157,PT,2017-12-24
air.com.Yoypo.SkillFinger,巧みな指,158,PT,2017-12-24
com.opalastudios.pads,「SUPERPADS」-DJになろう,159,PT,2017-12-24
com.sega.sonicdash,SonicDash,160,PT,2017-12-24
com.Love.Story.Games.Romance.Choice,ラブストーリーゲーム-タイムトラベルのロマンス,161,PT,2017-12-24
com.edujoy.masha.games,MashaandtheBearの知育ゲーム,162,PT,2017-12-24
com.playappking.busrush,BusRush,163,PT,2017-12-24
com.matchington.mansion,MatchingtonMansion,164,PT,2017-12-24
com.game.space.shooter2,SpaceShooter:GalaxyAttack,165,PT,2017-12-24
com.pjmasks.moonlightheroes,PJMasks:MoonlightHeroes,166,PT,2017-12-24
com.ketchapp.stairs,Stairs,167,PT,2017-12-24
com.tocaboca.tocakitchen2,トッカ・キッチン2(TocaKitchen2),168,PT,2017-12-24
snake.vs.block.balls.free.snake.dash,SnakeCrash,169,PT,2017-12-24
com.klab.captain283.global,CaptainTsubasa:DreamTeam,170,PT,2017-12-24
com.robtopx.geometrydashsubzero,GeometryDashSubZero,171,PT,2017-12-24
com.cocoplay.iceskater,アイススケートバレリーナ,172,PT,2017-12-24
