app_id,app_name,rank,country_code,date
com.rayark.cytus2,CytusII(サイタスⅡ),1,PT,2018-03-16
com.mountains.feathertop,Florence,2,PT,2018-03-16
com.zabob.infinitydungeon2vip,無限ダンジョン2VIP-召喚少女とゾンビ,3,PT,2018-03-16
com.TheLonelyDeveloper.TimeMachineDinosaurPark,VRタイムマシン恐竜公園（+CARDBOARD）,4,PT,2018-03-16
com.mageeks.android.trucksim18,TruckSimulatorPROEurope,5,PT,2018-03-16
com.xsasoftware.bmwm3e30driftingsimulatorpro,E30M3DriftSimulatorPRO,6,PT,2018-03-16
techmasterplus.best2048puzzlepro,2048PuzzlePRO(NoAds),7,PT,2018-03-16
com.rapsmyinitials.jeembotveth,JeemboTvethRetroRunners,8,PT,2018-03-16
mytown.airport,MyTown:空港,9,PT,2018-03-16
com.stampedegames.projekt,.projekt,10,PT,2018-03-16
ch.fatpingu.link,Flowlevels,11,PT,2018-03-16
com.bwsoft.bwsurvival,CanYouSurvive?:SurvivalWorldPRO,12,PT,2018-03-16
io.wolfstack.battlewest2,BattleWest,13,PT,2018-03-16
air.com.bestescapegames.spaceescapepro,SpaceescapePRO,14,PT,2018-03-16
mylittleprincess.wizard,MyLittlePrincess：魔法使い,15,PT,2018-03-16
com.gobit.burgershop2.premium,BurgerShop2Deluxe,16,PT,2018-03-16
com.beamdog.siegeofdragonspear,SiegeofDragonspear,17,PT,2018-03-16
com.syntaxity.bigfootquest,ビッグフットクエスト,18,PT,2018-03-16
com.eggoninteractive.litd,LostintheDungeon,19,PT,2018-03-16
com.RushingPixel.TIO,TurnItOn!,20,PT,2018-03-16
com.TheLonelyDeveloper.Sonny,ソニー・ザ・マッド・マン,21,PT,2018-03-16
com.matchgems.fantasy_mosaics_27,FantasyMosaics27:SecretColors,22,PT,2018-03-16
com.markab.project03,내여자친구는국회의원,23,PT,2018-03-16
com.arsmengames.stickmanropeescape,Stickman:RopeEscape,24,PT,2018-03-16
com.tenbirds.animus,アニマス-アイア番外編,25,PT,2018-03-16
com.ianmaclarty.dissembler,Dissembler,26,PT,2018-03-16
com.egproject.hillslegendhd,HillsLegendHD,27,PT,2018-03-16
com.multi.craft.MultiCraft.adveture.crafting,MultiCraftAdventure,28,PT,2018-03-16
air.com.bestescapegames.escapefearhouse2pro,EscapeGames:FearHouse2PRO,29,PT,2018-03-16
air.StopGop3,СтопГоп3,30,PT,2018-03-16
com.lastdayssurvival.softkintechinc,LastDays:Survival,31,PT,2018-03-16
org.pbskids.pinkaliciousparty,PinkaliciousParty,32,PT,2018-03-16
ru.whitebunny.usagifeed,ПокормиКролика,33,PT,2018-03-16
com.akuparagames.kimr,KeepinMind:Remastered,34,PT,2018-03-16
boulderDash.playdroidapp,BoulderDashArcadeGame,35,PT,2018-03-16
com.CraftingandBuilding.games.crafting.and.building,CraftingandBuildingGames®,36,PT,2018-03-16
hu.redshift.thequestexp6,TheQuest-Macha'sCurse,37,PT,2018-03-16
com.Thunderbox.RollForIt,RollForIt!,38,PT,2018-03-16
