app_id,app_name,rank,country_code,date
com.mojang.minecraftpe,Minecraft,1,PT,2019-03-19
football.manager.games.fm19.mobile,FootballManager2019Mobile,2,PT,2019-03-19
com.chucklefish.stardewvalley,StardewValley,3,PT,2019-03-19
com.rockstargames.gtasa,グランド・セフト・オート・サンアンドレアス,4,PT,2019-03-19
com.playdigious.evoland2,Evoland2,5,PT,2019-03-19
com.elevenbitstudios.twommobile,ThisWarofMine,6,PT,2019-03-19
com.astragon.cs2016,ConstructionSimulator2,7,PT,2019-03-19
com.robtopx.geometryjump,GeometryDash,8,PT,2019-03-19
nz.co.codepoint.minimetro,ミニメトロ,9,PT,2019-03-19
com.ubisoft.assassinscreed.identity,アサシンクリードアイデンティティ,10,PT,2019-03-19
mobi.bestfreegames.bike.mayhem.extreme.mountain.racing,BikeMayhemMountainRacing,11,PT,2019-03-19
age.of.civilizations2.jakowski.lukasz,AgeofCivilizationsII,12,PT,2019-03-19
com.squareenixmontreal.hitmansniperandroid,ヒットマンスナイパー(HitmanSniper),13,PT,2019-03-19
com.playsportgames.mmm3,MotorsportManagerMobile3,14,PT,2019-03-19
com.FireproofStudios.TheRoom,TheRoom,15,PT,2019-03-19
com.rockstargames.gtavc,グランド・セフト・オート・バイスシティ,16,PT,2019-03-19
com.drycactus.polybridge,PolyBridge,17,PT,2019-03-19
com.giantssoftware.fs16,FarmingSimulator16,18,PT,2019-03-19
com.dreamsky.DiabloLOL,LeagueofStickman-Bestactiongame(Dreamsky),19,PT,2019-03-19
com.giantssoftware.fs18.google,FarmingSimulator18,20,PT,2019-03-19
com.realdrift.sipon,RealDriftCarRacing,21,PT,2019-03-19
co.yakand.agentaapuzzleindisguise,AgentA-偽装のパズル,22,PT,2019-03-19
com.rockstar.gta3,GrandTheftAutoIII,23,PT,2019-03-19
com.FireproofStudios.TheRoom2,TheRoomTwo,24,PT,2019-03-19
air.com.shirogames.evoland12,Evoland,25,PT,2019-03-19
com.fds.infiniteflight,InfiniteFlight-フライトシミュレーター,26,PT,2019-03-19
com.turner.ben10uptospeed,Ben10-UpToSpeed,27,PT,2019-03-19
com.ironhidegames.android.kingdomrush4,キングダムラッシュの復讐(KingdomRushVengeance),28,PT,2019-03-19
com.footballagent,FootballAgent,29,PT,2019-03-19
ilmfinity.evocreo.main.android,EvoCreo,30,PT,2019-03-19
com.pixelbite.rr3,RecklessRacing3,31,PT,2019-03-19
com.halfbrick.fruitninja,FruitNinjaClassic,32,PT,2019-03-19
com.gameloft.android.ANMP.GloftM4HM,モダンコンバット4：ZeroHour,33,PT,2019-03-19
com.daysofwonder.tt.android,TickettoRide,34,PT,2019-03-19
com.codemasters.f12016,F12016,35,PT,2019-03-19
brownmonster.app.game.rushrally2,RushRally2,36,PT,2019-03-19
wonderland.peterpan,Wonderland：ピーター・パン,37,PT,2019-03-19
com.froschmedia.skater,Skater,38,PT,2019-03-19
com.trueaxis.trueskate,TrueSkate,39,PT,2019-03-19
com.team17.escapists2,TheEscapists2:PocketBreakout,40,PT,2019-03-19
com.piratesoutlaws.fabledgame,PiratesOutlaws,41,PT,2019-03-19
com.feralinteractive.rometw,ROME:TotalWar,42,PT,2019-03-19
football.manager.games.fm19.touch,FootballManager2019Touch,43,PT,2019-03-19
com.agaming.reporterii,Reporter2,44,PT,2019-03-19
com.marmalade.cluedogame,Cluedo,45,PT,2019-03-19
com.asmodeedigital.coltexpress,ColtExpress,46,PT,2019-03-19
com.playhome.hospital,MyPlayHomeHospital,47,PT,2019-03-19
com.wb.goog.legojurassicworld,LEGO®JurassicWorld™,48,PT,2019-03-19
com.greenheartgames.gdt,GameDevTycoon,49,PT,2019-03-19
com.rockstar.maxpayne,マックス・ペインモバイル,50,PT,2019-03-19
com.rayark.cytus2,CytusII(サイタスⅡ),51,PT,2019-03-19
com.uplayonline.youtubers,Youtuber'sLife(ユーチューバーのライフ)：ビデオブログのカリスマになろう！,52,PT,2019-03-19
com.devolver.reignsGot,Reigns:GameofThrones,53,PT,2019-03-19
com.t2ksports.nba2k19and,NBA2K19,54,PT,2019-03-19
com.zitga.empire.warriors.td.tower.defense,EmpireWarriorsTDPremium:プレミアムタワーディフェンスゲームRPG,55,PT,2019-03-19
com.kleientertainment.doNotStarvePocket,Don'tStarve:PocketEdition,56,PT,2019-03-19
com.hg.townsmen7,TownsmenPremium,57,PT,2019-03-19
com.kalypsomedia.projecthighrise,ProjectHighrise,58,PT,2019-03-19
com.fastemulator.gbc,MyOldBoy!-GBCEmulator,59,PT,2019-03-19
com.astragon.cs2014,コンストラクションシミュレーター2014,60,PT,2019-03-19
com.masonmacbeth.farmsimulator2019,FarmSimulator2019,61,PT,2019-03-19
com.rockstargames.gtalcs,GTA:LibertyCityStories,62,PT,2019-03-19
com.FireproofStudios.TheRoom3,TheRoomThree,63,PT,2019-03-19
com.astragon.trucksim,TruckSimulation16,64,PT,2019-03-19
mytown.hospital,MyTown:Hospitalホスピタル,65,PT,2019-03-19
com.t2kgames.civrev2,CivilizationRevolution2,66,PT,2019-03-19
com.SmartBomb.AJJump,AJJump:AnimalJamKangaroos!,67,PT,2019-03-19
com.scottgames.fnaf2,FiveNightsatFreddy's2,68,PT,2019-03-19
com.nerdyyetis.spacefuss,SpaceFuss,69,PT,2019-03-19
com.wb.goog.lnjgo,LEGO®Ninjago™ShadowofRonin,70,PT,2019-03-19
com.rockstargames.gtactw,GTA:ChinatownWars,71,PT,2019-03-19
air.com.flipline.papaspizzeriatogo,Papa'sPizzeriaToGo!,72,PT,2019-03-19
com.madfingergames.SamuraiIIAll,SAMURAIII:VENGEANCE,73,PT,2019-03-19
com.epsxe.ePSXe,ePSXeforAndroid,74,PT,2019-03-19
me.dream.lophisroguelikepro,DarkDungeonSurvival:LophisFateCardRoguelike,75,PT,2019-03-19
com.ProjectTheGalaxy,THEGALAXY:SURVIVOR,76,PT,2019-03-19
age.of.civilizations.africa.lukasz.jakowski,エイジ・オブ・シヴィライゼーション-アフリカ,77,PT,2019-03-19
air.com.flipline.papaswingeriatogo,Papa'sWingeriaToGo!,78,PT,2019-03-19
wonderland.beauty,Wonderland:Beauty&Beast,79,PT,2019-03-19
com.jds.batim,BendyandtheInkMachine,80,PT,2019-03-19
com.xordinate.xroulettestatistics,RouletteStatisticsandPrediction-European,81,PT,2019-03-19
com.unimob.legend.guardians.premium,LegendGuardians:EpicHeroesFightingActionRPG,82,PT,2019-03-19
com.Taxi.Game,TaxiCity1988V1,83,PT,2019-03-19
com.blowfishstudios.stormboy,StormBoy,84,PT,2019-03-19
com.DamianBernardi.LawsofCivilization,LawsofCivilization,85,PT,2019-03-19
com.Rain.Teslagrad,Teslagrad,86,PT,2019-03-19
jp.co.capcom.mhsspen,MonsterHunterStories,87,PT,2019-03-19
v.retrobox.v.foodvip,CrazyTapChefVIP,88,PT,2019-03-19
com.ssicosm.dungeon_princess,ダンジョン姫,89,PT,2019-03-19
wonderland.mermaid,Wonderland:LittleMermaid,90,PT,2019-03-19
com.ninjakiwi.bloonstd6,BloonsTD6,91,PT,2019-03-19
com.tutotoons.app.kittymeowmeowcityheroes.full,KittyMeowMeowCityHeroesFULL,92,PT,2019-03-19
com.FireproofStudios.TheRoom4,TheRoom:OldSins,93,PT,2019-03-19
mylittleprincess.wizard,MyLittlePrincess：魔法使い,94,PT,2019-03-19
com.TheLonelyDeveloper.TheLonelyHacker,孤独なハッカー,95,PT,2019-03-19
com.noodlecake.vignettes,Vignettes,96,PT,2019-03-19
com.FlamebaitGames.Passpartout,パスパルトゥー：アーティストの描いた夢,97,PT,2019-03-19
com.agaming.thesun.origin,TheSun:Origin,98,PT,2019-03-19
com.asmodeedigital.tickettoride1journey,TickettoRide:FirstJourney ,99,PT,2019-03-19
com.epaga.ifassistant,In-FlightAssistant,100,PT,2019-03-19
com.mtvn.ShimmerShineGenie_google,ShimmerandShine:MagicalGenieGamesforKids,101,PT,2019-03-19
