app_id,app_name,rank,country_code,date
com.supercell.clashroyale,クラッシュ・ロワイヤル(ClashRoyale),1,PT,2018-02-20
com.google.android.apps.docs,Googleドライブ,2,PT,2018-02-20
com.nianticlabs.pokemongo,PokémonGO,3,PT,2018-02-20
com.tinder,Tinder,4,PT,2018-02-20
com.igg.android.lordsmobile,ロードモバイル【本格リアルタイムストラテジーMMORPG】,5,PT,2018-02-20
com.hcg.cok.gp,クラッシュオブキングス-「城育成シミュレーションRPG」,6,PT,2018-02-20
com.king.candycrushsaga,キャンディークラッシュ,7,PT,2018-02-20
com.supercell.clashofclans,クラッシュ・オブ・クラン(ClashofClans),8,PT,2018-02-20
com.netflix.mediaclient,Netflix,9,PT,2018-02-20
com.smallgiantgames.empires,Empires&Puzzles:RPGQuest,10,PT,2018-02-20
com.bandainamcogames.dbzdokkanww,DRAGONBALLZDOKKANBATTLE,11,PT,2018-02-20
com.epicactiononline.ffxv.ane,ファイナルファンタジー15:新たなる王国(FinalFantasyXV),12,PT,2018-02-20
com.funplus.kingofavalon,キング・オブ・アバロン:ドラゴン戦争(KoA),13,PT,2018-02-20
com.playrix.gardenscapes,ガーデンスケイプ(Gardenscapes),14,PT,2018-02-20
com.king.candycrushsodasaga,キャンディークラッシュソーダ,15,PT,2018-02-20
com.supercell.hayday,ヘイ・デイ(HayDay),16,PT,2018-02-20
com.naturalmotion.customstreetracer2,CSRRacing2,17,PT,2018-02-20
com.playrix.township,タウンシップ(Township),18,PT,2018-02-20
com.miniclip.eightballpool,8BallPool,19,PT,2018-02-20
com.com2us.smon.normal.freefull.google.kr.android.common,サマナーズウォー:SkyArena,20,PT,2018-02-20
com.king.farmheroessaga,ファームヒーロー,21,PT,2018-02-20
com.playrix.homescapes,ホームスケイプ(Homescapes),22,PT,2018-02-20
com.kabam.marvelbattle,MARVELオールスターバトル,23,PT,2018-02-20
eu.nordeus.topeleven.android,TopElevenファンタジーサッカーマネージャー,24,PT,2018-02-20
com.tap4fun.brutalage_test,BrutalAge:HordeInvasion,25,PT,2018-02-20
net.peakgames.toonblast,ToonBlast,26,PT,2018-02-20
com.blizzard.wtcg.hearthstone,ハースストーン(Hearthstone),27,PT,2018-02-20
com.diandian.gog,ガンズ・オブ・グローリー(GunsofGlory),28,PT,2018-02-20
com.netmarble.lin2ws,Lineage2:Revolution,29,PT,2018-02-20
net.peakgames.amy,ToyBlast,30,PT,2018-02-20
com.n3twork.legendary,Legendary:GameofHeroes,31,PT,2018-02-20
com.ea.game.starwarscapital_row,スター・ウォーズ／銀河の英雄,32,PT,2018-02-20
com.ea.gp.fifamobile,FIFAサッカー,33,PT,2018-02-20
com.wb.goog.got.conquest,ゲーム・オブ・スローンズ：コンクエスト,34,PT,2018-02-20
com.gtarcade.lod,LegacyofDiscord-FuriousWings,35,PT,2018-02-20
com.camelgames.superking,WarandOrder,36,PT,2018-02-20
com.roblox.client,ROBLOX,37,PT,2018-02-20
com.mojang.minecraftpe,Minecraft,38,PT,2018-02-20
air.com.playtika.slotomania,Slotomania-FreeSlots英語版,39,PT,2018-02-20
com.hutchgames.cccg,TopDrives,40,PT,2018-02-20
com.gamebasics.osm,OnlineSoccerManager(OSM)-FootballGame,41,PT,2018-02-20
com.ea.game.nfs14_row,NeedforSpeed™NoLimits,42,PT,2018-02-20
com.plarium.vikings,ヴァイキングス：ウォー・オブ・クラン,43,PT,2018-02-20
air.com.goodgamestudios.empirefourkingdoms,エンパイア・フォーキングダム(Empire),44,PT,2018-02-20
com.mobile.legends,モバイル·レジェンド:BangBang,45,PT,2018-02-20
com.tap4fun.reignofwar,インベーション,46,PT,2018-02-20
com.droidhang.ad,IdleHeroes-無料放置育成RPG,47,PT,2018-02-20
com.heroesofchaos.ggplay.koramgame.sa,Goddess:PrimalChaos-MMORPGdeacción3D,48,PT,2018-02-20
com.and.riseofthekings,RiseoftheKings,49,PT,2018-02-20
com.playrix.fishdomdd.gplay,フィッシュダム(Fishdom),50,PT,2018-02-20
com.dyhd.slg01.international,WarofWarship:English,51,PT,2018-02-20
