app_id,app_name,rank,country_code,date
pt.rtp.app.mundial2018,RTPMundial2018,1,PT,2018-06-29
com.turner.tooncup,トゥーンカップ2018-カートゥーンネットワークのサッカーゲーム,2,PT,2018-06-29
io.voodoo.holeio,Hole.io,3,PT,2018-06-29
com.playgendary.tanks,TankStars,4,PT,2018-06-29
com.fullfat.nicksoccer,ニコロデオンサッカー・チャンピオン,5,PT,2018-06-29
jp.pokemon.pokemonquest,ポケモンクエスト,6,PT,2018-06-29
com.playgendary.tom,TomboftheMask,7,PT,2018-06-29
com.nexon.da3.global,DarknessRises,8,PT,2018-06-29
com.feavygames.flippyboat,FlippyBoat-catchingwaves,9,PT,2018-06-29
com.btstudios.twenty48sol,Twenty48Solitaire,10,PT,2018-06-29
com.outfit7.talkingtomjetski2,トーキング・トムのジェットスキー2,11,PT,2018-06-29
com.cocoplay.diy.fashion,DIYファッションスター—ファッションデザイナーになろう,12,PT,2018-06-29
com.mobileguru.gardenfruitlegend.free,ガーデンフルーツの伝説,13,PT,2018-06-29
com.instagram.igtv,IGTV,14,PT,2018-06-29
com.freegame.idle.knife,IdleKnife,15,PT,2018-06-29
com.fifa.fantasywc,2018FIFAWorldCupRussia™Fantasy,16,PT,2018-06-29
com.thime.lbeauty,Lbeauty,17,PT,2018-06-29
com.spilgames.ThrillRush1,ThrillRush,18,PT,2018-06-29
com.playgendary.kniferush,KnifeRush,19,PT,2018-06-29
com.BeTheFirst.SoQuerVrau,SóQuerVrau,20,PT,2018-06-29
com.guess.brand.logo.game,GuessBrandLogo,21,PT,2018-06-29
com.wb.goog.westworld,Westworld,22,PT,2018-06-29
com.ember.meowmatch,MeowMatch,23,PT,2018-06-29
com.wildbeep.stoneskimming,StoneSkimming,24,PT,2018-06-29
com.chillfleet.puzzle,PolyArtbook-puzzlegame,25,PT,2018-06-29
pt.vodafone.rockout,VodafoneROCKOUT,26,PT,2018-06-29
com.sonymobile.themes.teamportugal,Xperia™TeamPortugalLiveWallpaper,27,PT,2018-06-29
com.builduplabs.kissmyscore,KissmyScore-PredictFootballscoresw/friends,28,PT,2018-06-29
com.rooster.android.ballvshole,BallvsHole:Addictive&HardestGame,29,PT,2018-06-29
com.alegus.customdat,CustomDat,30,PT,2018-06-29
com.orube.adventurellama,AdventureLlama,31,PT,2018-06-29
com.miniclip.snakewars,SnakeWars–ArcadeGame,32,PT,2018-06-29
net.isitlove.cartercorp.adam,IsitLove?-Adam-StorywithChoices,33,PT,2018-06-29
com.free.caller.screen.call.flash,コールスクリーンテーマ,34,PT,2018-06-29
pt.nos.alive,NOSAlive,35,PT,2018-06-29
com.suatelav13,SuaTelaV2BetterSérieseFilmes,36,PT,2018-06-29
com.bloomidea.izibeach,iziBeach,37,PT,2018-06-29
com.nordeus.spellsouls,Spellsouls:DuelofLegends,38,PT,2018-06-29
com.google.android.apps.podcasts,Googleポッドキャスト,39,PT,2018-06-29
air.com.lunime.gachaverse,Gachaverse(RPG&AnimeDressUp),40,PT,2018-06-29
com.funplus.townkins.global,Townkins:WonderlandVillage,41,PT,2018-06-29
com.sinyee.babybus.adventure,パンダの大冒険-BabyBus子ども・幼児向け,42,PT,2018-06-29
com.onetongames.rocketroyale,RocketRoyale,43,PT,2018-06-29
best.hd.uhd.football.wallpapers,🔥FootballWallpapers4K|FullHDBackgrounds😍,44,PT,2018-06-29
com.BeTheFirst.PaPum,PaPum,45,PT,2018-06-29
com.teknasyon.coloringbook,iPaint-塗り絵,46,PT,2018-06-29
com.futureplay.battleground,BattlelandsRoyale,47,PT,2018-06-29
com.ovilex.eurotruckdriver2018,EuroTruckDriver2018,48,PT,2018-06-29
com.google.ar.lens,Googleレンズ,49,PT,2018-06-29
com.tutotoons.app.amysanimalhairsalon.free,Amy'sAnimalHairSalon-FluffyCatsMakeovers,50,PT,2018-06-29
com.BeTheFirst.AmordeVerdade,amordeverdade,51,PT,2018-06-29
man.healthy.fitness.abs.muscle.workout,SixPacksforMan–BodyBuildingwithNoEquipment,52,PT,2018-06-29
com.nekki.mobile11x11new,11x11:NewSeason,53,PT,2018-06-29
gg.epics,EpicsGG,54,PT,2018-06-29
fantasy.football.manager.database,FMdB,55,PT,2018-06-29
com.abcbarg.sarahahicon,Sarahah,56,PT,2018-06-29
com.bazookastudio.maze,MAZE,57,PT,2018-06-29
org.onlinefootballmanager,FootballManager2019,58,PT,2018-06-29
com.pipastudios.underdog,UnderdogFC,59,PT,2018-06-29
com.soulcolorx.sonicsuperhero.fighter2018,SonicSuperheroFighter,60,PT,2018-06-29
com.sporttv.podium,Podium–PrevisãodeResultados&Fantasy,61,PT,2018-06-29
com.scarygames.granny2,Granny2,62,PT,2018-06-29
com.poly.art.coloring.color.by.number,LoPoly–番号で着色,63,PT,2018-06-29
com.bor7apps.furniture_for_mcpe,FurnitureforMCPE,64,PT,2018-06-29
com.elifoot.m18f,Elifoot18,65,PT,2018-06-29
com.thousand.followers,1000FollowersPro,66,PT,2018-06-29
