app_id,app_name,rank,country_code,date
com.chucklefish.stardewvalley,StardewValley,1,PT,2019-03-23
com.panda.gamepad,PandaGamepadPro(BETA),2,PT,2019-03-23
com.qappanon.qmap,"QMAP:QanonDrops,Alerts,WWG1WGAWallandMemes!",3,PT,2019-03-23
com.anticor.aura,Aura-IconPack,4,PT,2019-03-23
com.piratesoutlaws.fabledgame,PiratesOutlaws,5,PT,2019-03-23
com.ffs.frontier.war.premium,FrontierWars:DefenseHeroes-TacticalTDGame,6,PT,2019-03-23
com.atari.mobile.rctclassic,RollerCoasterTycoon®Classic,7,PT,2019-03-23
com.MarsusProject,Marsus:SurvivalonMars,8,PT,2019-03-23
com.GTPL.KuKuTrainClash,KuKuTrainClash,9,PT,2019-03-23
com.kylebarrett.Immortal,ImmortalRogue,10,PT,2019-03-23
air.com.flipline.papaswingeriatogo,Papa'sWingeriaToGo!,11,PT,2019-03-23
com.zigzagame.evertale,エバーテイル,12,PT,2019-03-23
mycity.newbornbaby,MyCity:Newbornbaby,13,PT,2019-03-23
com.zima.mobileobservatorypro,MobileObservatory3Pro-Astronomy,14,PT,2019-03-23
com.mlb.RBIBaseball2019,R.B.I.Baseball19,15,PT,2019-03-23
com.aikeral.gallery,Ai.Gallery,16,PT,2019-03-23
wonderland.beauty,Wonderland:Beauty&Beast,17,PT,2019-03-23
com.fncnews.nxgamebs,60XGameBoosterPro,18,PT,2019-03-23
free.mp3.music.download.lab.vip,FreeMp3MusicDownloaderforVIP,19,PT,2019-03-23
com.lans.scientificcalculatorplus,StellarScientificCalculatorPlus,20,PT,2019-03-23
com.ffff.vhs1984,"1984Cam–VHSCamcorder,RetroCameraEffects",21,PT,2019-03-23
sr.developers.pdf.pdfcreatorpro,"PDFConvertor-PDFReader,Editor-PRO",22,PT,2019-03-23
com.cagatay.magic,MagicLinkURLShortener,23,PT,2019-03-23
com.catamountsoftware.bixassist,BixAssist-BixbyButtonRemapper,24,PT,2019-03-23
com.OtherTales.TickTock,TickTock:ATaleforTwo,25,PT,2019-03-23
com.mogoolab.android.mathpuzzles_basic,数学パズル2019,26,PT,2019-03-23
com.sagosago.Juice.googleplay,サゴミニスーパージュース,27,PT,2019-03-23
com.CristianCanceal.unlikelylife,unlikelylife,28,PT,2019-03-23
com.one.ui.dark.s10.iconpack,ONEUIDARKIconPack:S10,29,PT,2019-03-23
com.orange.battleperformanceOptimisor,BattlegroundsPerformanceOptimiser-Pro,30,PT,2019-03-23
dynalogix.voicesearchdirect,VoiceSearchDirect(assigntoBixbybutton),31,PT,2019-03-23
com.rohitshetty.minmacons,MinMaConsIconPack,32,PT,2019-03-23
com.stark.glazeicons,GlazeIconPack,33,PT,2019-03-23
com.nsmy.mymed,NinjaSagaMobile,34,PT,2019-03-23
jp.m_frontier.android.SponichiBaseball2019,スポニチプロ野球速報2019,35,PT,2019-03-23
com.anticor.aurora,AuroraIconPack,36,PT,2019-03-23
troop.com.manualcam,4KManualCameraPRO-DSLR,37,PT,2019-03-23
com.encode.yonetimsinav,2019MüdürveMüdürYardımcılığıDenemeSınavları,38,PT,2019-03-23
com.binghuo.audioeditor.mp3editor.musiceditor.pro,音楽エディタ,39,PT,2019-03-23
com.develx.black1animated,BlackThemeXperia1(livewallpaper),40,PT,2019-03-23
com.PinataParty.KMC,KidsMusicClasses:10+MUSICALINSTRUMENTS,41,PT,2019-03-23
com.Drool.ThumperPocketEdition,Thumper:PocketEdition,42,PT,2019-03-23
bludocs.iconpack.poppin,Poppiniconpack,43,PT,2019-03-23
