app_id,app_name,rank,country_code,date
com.teslacoilsw.launcher.prime,NovaLauncherPrimeSALE,1,PT,2017-12-22
com.SportTipsSerrabizarro,Sportipserrabizarro,2,PT,2017-12-22
com.mojang.minecraftpe,Minecraft,3,PT,2017-12-22
com.sigames.fmm2018,FootballManagerMobile2018,4,PT,2017-12-22
com.ubisoft.assassinscreed.identity,アサシンクリードアイデンティティ,5,PT,2017-12-22
vitor.ifrs,IRFSpro,6,PT,2017-12-22
cz.zdenekhorak.mibandtools,Tools&MiBand,7,PT,2017-12-22
com.lightricks.facetune,Facetune,8,PT,2017-12-22
com.noodlecake.drtc,DeathRoadtoCanada,9,PT,2017-12-22
com.teamspeak.ts3client,TeamSpeak3,10,PT,2017-12-22
com.rockstargames.gtasa,グランド・セフト・オート・サンアンドレアス,11,PT,2017-12-22
org.prowl.torque,TorquePro(OBD2/Car),12,PT,2017-12-22
com.jutsugames.operator911,911Operator,13,PT,2017-12-22
com.ea.games.nfs13_row,NeedforSpeed™MostWanted,14,PT,2017-12-22
com.trueaxis.trueskate,TrueSkate,15,PT,2017-12-22
com.giantssoftware.fs18.google,FarmingSimulator18,16,PT,2017-12-22
es.brokenrul.oldmansjourney,OldMan'sJourney,17,PT,2017-12-22
com.ironhidegames.android.ironmarines,鉄の海兵隊(IronMarines),18,PT,2017-12-22
com.footballagent,FootballAgent,19,PT,2017-12-22
com.FireproofStudios.TheRoom3,TheRoomThree,20,PT,2017-12-22
com.turner.ttgfigures,ティーニー・タイタンズ-ティーン・タイタンズＧＯ！,21,PT,2017-12-22
net.dinglisch.android.taskerm,Tasker,22,PT,2017-12-22
com.kvadgroup.photostudio_pro,PhotoStudioPRO,23,PT,2017-12-22
com.headupgames.bridgeconstructorportal,BridgeConstructorPortal,24,PT,2017-12-22
com.wb.goog.legojurassicworld,LEGO®JurassicWorld™,25,PT,2017-12-22
com.wb.goog.scribbleremix,ScribblenautsRemix,26,PT,2017-12-22
com.astragon.cs2014,コンストラクションシミュレーター2014,27,PT,2017-12-22
com.ultimateguitar.tabs,UltimateGuitarTabs&Chords,28,PT,2017-12-22
com.quintaos.gesto,GestO,29,PT,2017-12-22
com.rockstargames.gtavc,グランド・セフト・オート・バイスシティ,30,PT,2017-12-22
com.ustwo.monumentvalley,モニュメントバレー,31,PT,2017-12-22
com.agaming.thesun.origin,TheSun:Origin,32,PT,2017-12-22
com.thegentlebros.catquest,キャットクエスト,33,PT,2017-12-22
com.realdrift.sipon,RealDriftCarRacing,34,PT,2017-12-22
com.robtopx.geometryjump,GeometryDash,35,PT,2017-12-22
smartwatchstudios.app.gears3navigation,GearNavigationforS2/S3/Sport,36,PT,2017-12-22
com.buak.link2sdplus,Link2SDPlus(New),37,PT,2017-12-22
com.wb.goog.scribblenauts3,ScribblenautsUnlimited,38,PT,2017-12-22
com.ironhidegames.android.kingdomrushorigins,KingdomRushOrigins,39,PT,2017-12-22
com.and.games505.TerrariaPaid,Terraria.,40,PT,2017-12-22
com.tocaboca.tocapets,TocaLife:Pets,41,PT,2017-12-22
com.massimobiolcati.irealb,iRealPro-楽譜とバッキングトラック,42,PT,2017-12-22
menion.android.locus.pro,LocusMapPro-アウトドア用GPSナビゲーションと地図,43,PT,2017-12-22
eu.chainfire.supersu.pro,SuperSUPro,44,PT,2017-12-22
com.rockstar.gta3,GrandTheftAutoIII,45,PT,2017-12-22
com.devolver.reigns,Reigns,46,PT,2017-12-22
com.gameloft.android.ANMP.GloftICHM,SonicRunnersAdventure,47,PT,2017-12-22
mytown.mall,MyTown:ショッピングモール,48,PT,2017-12-22
com.nexonm.aftertheend,アフター・ジ・エンド：忘れられた運命,49,PT,2017-12-22
com.easytech.wc4.android,世界の覇者4,50,PT,2017-12-22
com.WaveLightGames.LordsOfChaos,Demon'sRise2,51,PT,2017-12-22
com.marmalade.cluedogame,Cluedo,52,PT,2017-12-22
com.aspyr.swkotor,StarWars™:KOTOR,53,PT,2017-12-22
com.playsportgames.mmm2017,MotorsportManagerMobile2,54,PT,2017-12-22
com.turner.cardwars,CardWars-AdventureTime,55,PT,2017-12-22
mic.app.gastosdiarios_licencia,GastosDiariosLicencia,56,PT,2017-12-22
com.badoo.mobile.premium,BadooPremium,57,PT,2017-12-22
com.rprod.sevenwonders,7Wonders,58,PT,2017-12-22
amanita_design.samorost3.GP,Samorost3(サモロスト3),59,PT,2017-12-22
sk.mildev84.agendareminder.unlockkey,議題ウィジェットKEY,60,PT,2017-12-22
com.hg.townsmen7,TownsmenPremium,61,PT,2017-12-22
me.dreamsky.stickman,LeagueofStickman2017-Ninja,62,PT,2017-12-22
eu.thedarken.sdm.unlocker,SDメイドPro-ライセンスキー,63,PT,2017-12-22
com.urbandroid.sleep.full.key,SleepasAndroidUnlock,64,PT,2017-12-22
com.t2ksports.nba2k18and,NBA2K18,65,PT,2017-12-22
com.orux.oruxmapsDonate,OruxMapsDonate,66,PT,2017-12-22
com.turner.superstarsoccer2,CNSuperstarSoccer:Goal!!!,67,PT,2017-12-22
com.ustwo.monumentvalley2,MonumentValley2,68,PT,2017-12-22
brownmonster.app.game.rushrally2,RushRally2,69,PT,2017-12-22
com.gameloft.android.ANMP.GloftASHM,アメイジング・スパイダーマン2,70,PT,2017-12-22
com.FireproofStudios.TheRoom,TheRoom,71,PT,2017-12-22
com.burleighlabs.babypics,BabyPics,72,PT,2017-12-22
com.wb.goog.legobdc,LEGOBatman:DCSuperHeroes,73,PT,2017-12-22
com.advasoft.touchretouch,TouchRetouch,74,PT,2017-12-22
sportsinteractive.fmt18,FootballManagerTouch2018,75,PT,2017-12-22
com.t2ksports.nba2k17android,NBA2K17,76,PT,2017-12-22
com.team17.escapists,TheEscapists,77,PT,2017-12-22
com.oddworld.NNT,Oddworld:New'n'Tasty,78,PT,2017-12-22
com.scottgames.sisterlocation,FiveNightsatFreddy's:SL,79,PT,2017-12-22
com.wb.lego.tcs,LEGO®StarWars™:TCS,80,PT,2017-12-22
com.elifoot.m17pro,Elifoot17PRO,81,PT,2017-12-22
com.ninjakiwi.supermonkey,BloonsSupermonkey2,82,PT,2017-12-22
com.flyersoft.moonreaderp,Moon+ReaderPro(50%OFF),83,PT,2017-12-22
com.wolfram.android.alpha,WolframAlpha,84,PT,2017-12-22
com.themezilla.osx,OSX11-IconPack,85,PT,2017-12-22
com.noodlecake.framed2,FRAMED2,86,PT,2017-12-22
com.AngryNeighbor,AngryNeighbor,87,PT,2017-12-22
com.autolauncher.motorcar,CarLauncherPro,88,PT,2017-12-22
air.com.shirogames.evoland12,Evoland,89,PT,2017-12-22
com.noodlecake.waywardsouls,WaywardSouls,90,PT,2017-12-22
com.squareenixmontreal.hitmango,HitmanGO,91,PT,2017-12-22
com.safeincloud,パスワードマネージャーSafeInCloudPro,92,PT,2017-12-22
com.estrongs.android.pop.pro,ESFileExplorer/ManagerPRO,93,PT,2017-12-22
com.agaming.mentalhospitalV,MentalHospitalV,94,PT,2017-12-22
com.herocraft.game.icerage,IceRage:Hockey,95,PT,2017-12-22
au.com.shiftyjelly.pocketcasts,PocketCasts,96,PT,2017-12-22
in.co.pricealert.apps2sd.pro,App2SDPRO:AllinOneTool[50%OFF],97,PT,2017-12-22
com.tocaboca.blocks,トッカ•ブロック(TocaBlocks),98,PT,2017-12-22
org.kustom.widget.pro,KWGTKustomWidgetProKey,99,PT,2017-12-22
com.amberweather.widget.vip,BlockAdsinAmberWidgets,100,PT,2017-12-22
com.tocaboca.tocacity,トッカ・ライフ・シティ（TocaLife:City）,101,PT,2017-12-22
