app_id,app_name,rank,country_code,date
com.facebook.orca,Messenger,1,RO,2018-08-25
com.whatsapp,WhatsAppMessenger,2,RO,2018-08-25
com.alibaba.aliexpresshd,AliExpress-スマートにお買い物して、より良い暮らしを,3,RO,2018-08-25
com.riseup.game,RiseUp,4,RO,2018-08-25
com.instagram.android,Instagram,5,RO,2018-08-25
com.fortune.sim.game.cash,HelloStars,6,RO,2018-08-25
com.gta.real.gangster.crime,RealGangsterCrime,7,RO,2018-08-25
com.facebook.katana,Facebook,8,RO,2018-08-25
com.waze,Waze-GPS、地図、渋滞情報、カーナビ,9,RO,2018-08-25
com.h8games.helixjump,HelixJump,10,RO,2018-08-25
net.zedge.android,ZEDGE™着信音&壁紙,11,RO,2018-08-25
com.snapchat.android,Snapchat,12,RO,2018-08-25
com.dvloper.granny,Granny,13,RO,2018-08-25
com.facebook.mlite,MessengerLite:無料通話とメッセージ,14,RO,2018-08-25
com.kiloo.subwaysurf,SubwaySurfers,15,RO,2018-08-25
ro.mercador,OLX.ro,16,RO,2018-08-25
com.playgendary.kickthebuddy,KicktheBuddy,17,RO,2018-08-25
com.facebook.lite,FacebookLite,18,RO,2018-08-25
com.zuuks.truck.simulator.euro,TruckSimulator2018:Europe,19,RO,2018-08-25
com.word.puzzle.game.connect,WordLink,20,RO,2018-08-25
com.spotify.music,Spotify-世界最大の音楽ストリーミングサービス,21,RO,2018-08-25
com.supertapx.lovedots,LoveBalls,22,RO,2018-08-25
ro.emag.android,eMAG.ro,23,RO,2018-08-25
com.contextlogic.wish,Wish-電化製品、ファッション、化粧品、靴などが90%OFF,24,RO,2018-08-25
com.outfit7.mytalkingtomfree,マイ・トーキング・トム(MyTalkingTom),25,RO,2018-08-25
com.roblox.client,ROBLOX,26,RO,2018-08-25
com.pic.mycamera,SelfieCamera - Filter&Sticker&PhotoEditor,27,RO,2018-08-25
com.outfit7.talkingtomcandyrun,トーキング・トムのキャンディ・ラン,28,RO,2018-08-25
com.keyboard.flagard,"FantasyKeyboard-Fantasticemojis,themes&typing",29,RO,2018-08-25
com.miniclip.eightballpool,8BallPool,30,RO,2018-08-25
com.google.android.play.games,GooglePlayゲーム,31,RO,2018-08-25
air.com.hypah.io.slither,slither.io,32,RO,2018-08-25
com.playgendary.tom,TomboftheMask,33,RO,2018-08-25
com.color.call.flash.colorphone,PhoneColorScreen-ColorfulCallFlashThemes,34,RO,2018-08-25
com.eyu.piano,MagicPianoTiles2018-MusicGame,35,RO,2018-08-25
com.ketchapp.knifehit,KnifeHit,36,RO,2018-08-25
com.yahoo.mobile.client.android.mail,YahooMail–StayOrganized,37,RO,2018-08-25
com.king.candycrushsaga,キャンディークラッシュ,38,RO,2018-08-25
com.total.photostudio,TotalPhotoStudio,39,RO,2018-08-25
ro.vodafone.shake,VodafoneShake,40,RO,2018-08-25
com.supercell.clashroyale,クラッシュ・ロワイヤル(ClashRoyale),41,RO,2018-08-25
com.shazam.android,Shazam,42,RO,2018-08-25
com.zhiliaoapp.musically,TikTok-includingmusical.ly,43,RO,2018-08-25
com.outfit7.mytalkingangelafree,マイ・トーキング・アンジェラ,44,RO,2018-08-25
com.crtmobile.chestionaredrpciv,ChestionareAutoDRPCIV,45,RO,2018-08-25
me.pou.app,プーチッチPou,46,RO,2018-08-25
com.ffgames.racingincar2,RacinginCar2,47,RO,2018-08-25
com.dimico.painthit,PaintHit,48,RO,2018-08-25
com.greenteagames.dogracing3d,DogRun-PetDogSimulator,49,RO,2018-08-25
com.fungames.blockcraft,ブロック・クラフト　無料街づくりシミュレーションゲーム,50,RO,2018-08-25
com.dts.freefireth,フリーファイア,51,RO,2018-08-25
io.voodoo.holeio,Hole.io,52,RO,2018-08-25
com.apnax.wordsnack.hu,SzóPiknik-Rakjösszeszavakat,53,RO,2018-08-25
com.imangi.templerun2,TempleRun2,54,RO,2018-08-25
com.YovoGames.dentist,子供の医者：歯科医,55,RO,2018-08-25
com.dramaton.slime,SuperSlimeSimulator-SatisfyingSlimeApp,56,RO,2018-08-25
com.counter.terrorists.swat.attack,カウンターテロリストの撃墜,57,RO,2018-08-25
com.playrix.homescapes,ホームスケイプ(Homescapes),58,RO,2018-08-25
com.bitstrips.imoji,Bitmoji-アバター絵文字,59,RO,2018-08-25
com.edjing.edjingdjturntable,edjingMix:DJミュージックミキサーコンソール,60,RO,2018-08-25
com.aim.racing,ExtremeCarDrivingSimulator,61,RO,2018-08-25
com.miniclip.footballstrike,FootballStrike-MultiplayerSoccer,62,RO,2018-08-25
com.netflix.mediaclient,Netflix,63,RO,2018-08-25
com.pinterest,Pinterest（ピンタレスト）,64,RO,2018-08-25
com.outfit7.talkingtomgoldrun,トーキング・トムのゴールド・ラン,65,RO,2018-08-25
com.ehawk.antivirus.applock.wifi,VirusCleaner(HiSecurity)-無料スマホセキュリティ対策、アンチウイルス,66,RO,2018-08-25
com.booking,ホテル予約のブッキングドットコム,67,RO,2018-08-25
com.detector.lie.game.prank,嘘発見器(ジョーク)joke,68,RO,2018-08-25
com.ea.gp.simsmobile,TheSims シムズ ポケット,69,RO,2018-08-25
ro.mobiessence.android.clevertaxi,CleverTaxi,70,RO,2018-08-25
com.puzzle.rings,カラーリングパズル,71,RO,2018-08-25
com.ansangha.drparking4,駐車の達人4,72,RO,2018-08-25
com.tencent.ig,PUBGMOBILE,73,RO,2018-08-25
com.igg.android.lordsmobile,ロードモバイル:戦争キングダム–ストラテジーバトルRPG,74,RO,2018-08-25
com.cmplay.tiles2,ピアノタイル2™,75,RO,2018-08-25
com.myedenred.edenred,MyEdenredRomania,76,RO,2018-08-25
com.gtarcade.eoa,EraofCelestials,77,RO,2018-08-25
com.moonactive.coinmaster,CoinMaster,78,RO,2018-08-25
com.google.android.apps.translate,Google翻訳,79,RO,2018-08-25
com.ketchapp.rotator,Rotator,80,RO,2018-08-25
game.free.rise.hole.up.io.love.balls.toss.up,BuddyToss,81,RO,2018-08-25
com.google.android.apps.authenticator2,Google認証システム,82,RO,2018-08-25
com.gameloft.android.ANMP.GloftA9HM,アスファルト9：Legends-2018年最新レーシングゲーム,83,RO,2018-08-25
com.combineinc.streetracing.driftthreeD,ストリートレーシング3D,84,RO,2018-08-25
bwebmedia.cookbakedlasagna,焼きラザニアを調理します,85,RO,2018-08-25
com.playgendary.tanks,TankStars,86,RO,2018-08-25
com.genetic.realcarparking2,RealCarParking2:DrivingSchool2018,87,RO,2018-08-25
com.pmg.speed,SpeedBall,88,RO,2018-08-25
com.guardian.security.pri,"APUSSecurity-CleanVirus,Antivirus,Booster",89,RO,2018-08-25
com.ansangha.drdriving,走行の達人,90,RO,2018-08-25
com.giantssoftware.fs14,FarmingSimulator14,91,RO,2018-08-25
com.banana4apps.evolution,人類進化ゲームの人に贈る指輪の人類,92,RO,2018-08-25
com.miniclip.bowmasters,Bowmasters,93,RO,2018-08-25
com.ubisoft.hungrysharkworld,HungrySharkWorld,94,RO,2018-08-25
com.ea.gp.fifamobile,FIFAサッカー,95,RO,2018-08-25
com.rubygames.slingdrift,SlingDrift,96,RO,2018-08-25
com.tapblaze.pizzabusiness,グッドピザ、グレートピザ　—　クッキングゲーム,97,RO,2018-08-25
com.sir.racing.ultimatecardrivingsimulator,UltimateCarDrivingSimulator,98,RO,2018-08-25
com.cocoplay.dance.clash.two,ヒップホップ・バトル-ガールズvs.ボーイズダンス対決,99,RO,2018-08-25
com.honikougames.royale.io,Bumper.io,100,RO,2018-08-25
ro.vodafone.mcare.android,MyVodafoneRomania,101,RO,2018-08-25
com.surpax.ledflashlight.panel,懐中電灯-ledライト,102,RO,2018-08-25
com.nuotec.fastcharger,FastCharging(Speedup),103,RO,2018-08-25
com.skgames.trafficracer,TrafficRacer,104,RO,2018-08-25
com.fingersoft.hillclimb,ヒルクライムレース:HillClimbRacing,105,RO,2018-08-25
com.cocoplay.shoppinggirl,ショッピングセンター・ガール,106,RO,2018-08-25
com.crazylabs.lady.bug,MiraculousLadybug&CatNoir-TheOfficialGame,107,RO,2018-08-25
com.fungames.sniper3d,スナイパー３Dアサシン：無料射撃ゲーム(Sniper3D）,108,RO,2018-08-25
sixpack.sixpackabs.absworkout,30日でシックスパック-腹筋ワークアウト,109,RO,2018-08-25
com.outfit7.talkingtom,おしゃべり猫のトーキング・トム,110,RO,2018-08-25
com.sofeh.android.musicstudio3,ORG2019,111,RO,2018-08-25
com.episodeinteractive.android.catalog,Episode-ChooseYourStory,112,RO,2018-08-25
com.simejikeyboard,"FacemojiEmojiKeyboard:GIF,Emoji,KeyboardTheme",113,RO,2018-08-25
com.skgames.trafficrider,TrafficRider,114,RO,2018-08-25
com.ksmobile.launcher,CMLauncher3D-カスタマイズ可能、セキュリティ保護、効率的,115,RO,2018-08-25
com.youmusic.magictiles,MagicTiles3:ピアノ曲&ゲーム,116,RO,2018-08-25
com.appblockgames.freecraftexploration,MOD-MASTERforMinecraftPE(PocketEdition)Free,117,RO,2018-08-25
com.orangenose.icepop,PopTheIce,118,RO,2018-08-25
air.com.bmapps.gossipgirlsdivasinhighschool,GossipGirlsDivasinHighschool,119,RO,2018-08-25
games.traffic.racing.in.car,TrafficRacinginCar,120,RO,2018-08-25
com.ngame.allstar.eu,ArenaofValor:5v5ArenaGame,121,RO,2018-08-25
loseweight.weightloss.workout.fitness,30日で痩せる-無料の30日間ダイエット・体重管理,122,RO,2018-08-25
com.duapps.recorder,DURecorder–画面レコーダーおよびビデオエディター,123,RO,2018-08-25
air.com.puffballsunited.escapingtheprison,EscapingthePrison,124,RO,2018-08-25
com.billiards.city.pool.nation.club,ビリヤードシティ,125,RO,2018-08-25
net.mobigame.zombietsunami,ZombieTsunami(ゾンビツナミ),126,RO,2018-08-25
com.europosit.recollectgp.coloringbook,Recollect：塗り絵パズル,127,RO,2018-08-25
com.duolingo,Duolingo|英語を無料で学ぼう,128,RO,2018-08-25
com.fluffyfairygames.idleminertycoon,IdleMinerTycoon『ざくざくキング：採掘王国』,129,RO,2018-08-25
air.com.pixelstudio8.venom.angry.crash.rush.io.online,VenomAngryCrashyRushOnline,130,RO,2018-08-25
com.nekki.shadowfight,シャドウファイト2,131,RO,2018-08-25
com.gameinsight.tribez3gp,TradeIsland,132,RO,2018-08-25
