app_id,app_name,rank,country_code,date
com.hcg.cok.gp,クラッシュオブキングス-「城」を奪い返せ,1,RO,2016-05-10
com.supercell.clashofclans,クラッシュ・オブ・クラン(ClashofClans),2,RO,2016-05-10
com.supercell.clashroyale,クラッシュ・ロワイヤル(ClashRoyale),3,RO,2016-05-10
com.king.candycrushsaga,キャンディークラッシュ,4,RO,2016-05-10
com.blizzard.wtcg.hearthstone,Hearthstone:ハースストーン,5,RO,2016-05-10
eu.nordeus.topeleven.android,TopEleven-フットボールマネージャー,6,RO,2016-05-10
com.igg.castleclash,CastleClash:AgeofLegends,7,RO,2016-05-10
air.com.goodgamestudios.empirefourkingdoms,エンパイア・フォーキングダム(Empire),8,RO,2016-05-10
com.playshoo.texaspoker.romania,PokerRomania,9,RO,2016-05-10
com.plarium.vikings,ヴァイキング：クランの戦争,10,RO,2016-05-10
com.kabam.marvelbattle,MARVELオールスターバトル,11,RO,2016-05-10
com.moonton.magicrush,マジックラッシュ(MagicRush:Heroes),12,RO,2016-05-10
com.king.candycrushsodasaga,キャンディークラッシュソーダ,13,RO,2016-05-10
com.king.farmheroessaga,ファームヒーロー,14,RO,2016-05-10
com.machinezone.gow,ゲーム・オブ・ウォー【GameofWar】,15,RO,2016-05-10
com.ea.game.starwarscapital_row,oスター・ウォーズ／銀河の英雄,16,RO,2016-05-10
com.supercell.hayday,ヘイ・デイ(HayDay),17,RO,2016-05-10
com.tap4fun.galaxyempire2_android,銀河の伝説:宇宙艦隊育成「RPGXSFゲーム!絶賛!」,18,RO,2016-05-10
com.supercell.boombeach,ブーム・ビーチ(BoomBeach),19,RO,2016-05-10
com.miniclip.soccerstars,SoccerStars,20,RO,2016-05-10
com.ea.games.r3_row,RealRacing3,21,RO,2016-05-10
com.plarium.stormfallrob,ストームフォール・バルーアの復活「Stormfall」,22,RO,2016-05-10
com.bw.fallensouls,FallenSouls,23,RO,2016-05-10
com.com2us.smon.normal.freefull.google.kr.android.common,サマナーズウォー:SkyArena,24,RO,2016-05-10
air.com.playtika.slotomania,Slotomania-FreeSlots英語版,25,RO,2016-05-10
com.miniclip.eightballpool,8BallPool,26,RO,2016-05-10
com.playshoo.texaspoker.romania.hd,PokerRomaniaHD,27,RO,2016-05-10
com.mojang.minecraftpe,マインクラフトMinecraft:PocketEd.,28,RO,2016-05-10
com.jellybtn.cashkingmobile,PirateKings,29,RO,2016-05-10
com.netmarble.mherosgb,MARVELFutureFight,30,RO,2016-05-10
com.snailgameusa.pandatwo,TaichiPanda:Heroes,31,RO,2016-05-10
com.ea.game.nfs14_row,NeedforSpeed™NoLimits,32,RO,2016-05-10
air.com.freakinware.mitosis,Mitosis:TheGame,33,RO,2016-05-10
com.ucool.hero,ヒーローズチャージ(ヒロチャ・HeroesCharge),34,RO,2016-05-10
com.gameloft.android.ANMP.Gloft5DHM,DarkQuest5（ダーククエスト5）,35,RO,2016-05-10
com.ea.game.simcitymobile_row,SimCityBuildIt,36,RO,2016-05-10
net.wargaming.wot.blitz,ワールド・オブ・タンクス・ブリッツ,37,RO,2016-05-10
com.firsttouchgames.dls3,DreamLeagueSoccer2016,38,RO,2016-05-10
com.king.petrescuesaga,ペットレスキュー,39,RO,2016-05-10
com.gtarcade.loa.ph,LeagueofAngels-FireRaiders,40,RO,2016-05-10
