app_id,app_name,rank,country_code,date
com.crowdstar.covetHome,DesignHome,1,RO,2016-11-27
com.miniclip.archery,ArcheryKing,2,RO,2016-11-27
com.fungames.battletanksbeta,WarMachines:戦車ゲーム,3,RO,2016-11-27
com.miniclip.bowmasters,Bowmasters,4,RO,2016-11-27
com.ffgames.racingincar2,RacinginCar2,5,RO,2016-11-27
com.gameloft.android.ANMP.GloftMOHM,アスファルト：Xtreme,6,RO,2016-11-27
com.ovilex.extremetruckssimulator,ExtremeTrucksSimulator,7,RO,2016-11-27
com.sumi.explo3,CraftExplorationSurvival,8,RO,2016-11-27
com.wegoi.revolt3global,Re-Volt3,9,RO,2016-11-27
com.omnidrone.lanes,TitanBrawl,10,RO,2016-11-27
com.mac.copter.transform,CopterRobot,11,RO,2016-11-27
com.tap4fun.brutalage_test,BrutalAge:HordeInvasion,12,RO,2016-11-27
tatarnykov.stan.mopeioandroid,mope.io,13,RO,2016-11-27
com.aggames.e60,M5E60DrivingSimulator,14,RO,2016-11-27
com.msk.rump,Rumpforpresident,15,RO,2016-11-27
com.gamoper.magiccandy.free,SweetCandyFever,16,RO,2016-11-27
com.laikaboss.carracingfree,CarRacingFree,17,RO,2016-11-27
com.dlcompany.surpriseeggsfactory,SurpriseEggsFactory,18,RO,2016-11-27
com.pacybits.fut17packopener,FUT17PACKOPENER,19,RO,2016-11-27
com.influsion.stormborne,Stormborne:InfinityArena,20,RO,2016-11-27
com.magiclab.insatiaio,insatiableiosnakes,21,RO,2016-11-27
com.kongregate.mobile.burritobison3.google,BurritoBison:LaunchaLibre,22,RO,2016-11-27
com.goodcraft.g622,グッドクラフト2,23,RO,2016-11-27
com.pickle.PoliceCarDrivingOffroad,PoliceCarDrivingOffroad,24,RO,2016-11-27
com.nostopsign.dominocity,Dominocity,25,RO,2016-11-27
com.gaminators.giant.transport.trailer.truck,MultiStoreyTransporterTruck,26,RO,2016-11-27
com.foxygames.transformerrobotcar,TransformerRobotCar,27,RO,2016-11-27
com.sdrive.train.sim,スーパー駆動電車シミュレータ：電車の中でのレース,28,RO,2016-11-27
com.tabtale.crazynursery,クレイジーな新生児室-赤ちゃんのお世話,29,RO,2016-11-27
com.hoodoogames.vast,VastSurvival(Multiplayer),30,RO,2016-11-27
com.gamerun.subway.subwayrush,SubwayRush,31,RO,2016-11-27
air.com.slither.mmo,SnakeHunter-MMOslither,32,RO,2016-11-27
com.tapinator.mermaidrace,MermaidRace2016,33,RO,2016-11-27
com.littlegame.solitaire,ClassicSolitaire,34,RO,2016-11-27
com.map.world.of.robot,WorldofRobot,35,RO,2016-11-27
air.air.com.ofir.Wheelie6,Wheelie6-Fairytale,36,RO,2016-11-27
com.aladinfun.sharkboom.android,SharkBoom,37,RO,2016-11-27
com.labexception.monstertruckhillracing,MonsterTruckHillRacing,38,RO,2016-11-27
com.ubisoft.raymananniversary,レイマンクラシック,39,RO,2016-11-27
com.cocoplay.cakemaker,RealCakeMaker3D,40,RO,2016-11-27
com.indig0.freeroamcity,FreeroamCityOnline,41,RO,2016-11-27
com.Dreamotion.GunStrider,ガンストライダー(GunStrider),42,RO,2016-11-27
com.pjmasktemple.game,Pjtemplemaskrun,43,RO,2016-11-27
com.pokecraft.gocraft2,GoCraft3D,44,RO,2016-11-27
com.wb.goog.dc.legends,DCLegends,45,RO,2016-11-27
com.blayzegames.iosfps,BulletForce,46,RO,2016-11-27
com.tinydragonadventuregames.pony.crafting.unicorn.game.girls.color.quest.pet.building.minecraft.cube.pixel.rainbow.secret.free,女の子のためのゲーム-ピクセルの世界：少しポニークラフト,47,RO,2016-11-27
com.gamevil.devilian.android.google.global.normal,デビリアン【ダークヒーローRPG】,48,RO,2016-11-27
com.themascoteers.smatch,Smatch,49,RO,2016-11-27
air.com.wheelie7,Wheelie7-Detective,50,RO,2016-11-27
com.mac.moto.transform,MotoRobot,51,RO,2016-11-27
com.gamemavericks.loggingtruck2,LoggingTruckSimulator2,52,RO,2016-11-27
com.nextgenreality.chefsquest,Chef'sQuest,53,RO,2016-11-27
com.microsoft.microsoftsolitairecollection,MicrosoftSolitaireCollection,54,RO,2016-11-27
com.rez.durty,UnturnedZombiePixelCraft,55,RO,2016-11-27
com.nekki.mobile11x11,11x11:Footballmanager,56,RO,2016-11-27
com.olzhas.dragRacingMultiPlayer,DragRacing:Online,57,RO,2016-11-27
com.parket.pas,PassatParkSimülasyonOyunu,58,RO,2016-11-27
com.ng.mafia.gods.criminal.escape,MafiaGodsCriminalEscape,59,RO,2016-11-27
com.pas.offroad.monster.truck.simulator3d,8ウィーラーロシアのトラック3Dシム,60,RO,2016-11-27
com.tinydragonadventuregames.sims.craft.minecraft.pe.design.interior.simulator.game.house.dream.build.girls.fashion.block.home,デザイン＆装飾についてゲーム：夢の家GirlsCraft,61,RO,2016-11-27
com.tutotoons.app.hannahshighschoolcrush.free,Hannah'sHighSchoolCrush,62,RO,2016-11-27
com.vg.citybuilder16bridgebuilder,CityBuilder16BridgeBuilder,63,RO,2016-11-27
com.kongregate.mobile.thetrail.google,TheTrail,64,RO,2016-11-27
com.FuturisticRobotXRay,FuturisticRobotXRay2017,65,RO,2016-11-27
air.bullstudios.fairyhorsecare,歯の妖精の馬のお手入れ,66,RO,2016-11-27
com.gv.secretagent.maxsurvival,シークレットエージェントの最大サバイバル,67,RO,2016-11-27
com.gumdropgames.bikerush,SubwayRun2-EndlessGame,68,RO,2016-11-27
com.lf.real.extreme.suv.offroad.drive.games.free,クレイジーオフロードプラド運転,69,RO,2016-11-27
com.drawapp.Tic_Tac_Toe,TicTacToe,70,RO,2016-11-27
com.CarobotXRayRopeHero,CarobotXRay:RopeHero,71,RO,2016-11-27
com.rasugames.msl,MobileSoccerLeague,72,RO,2016-11-27
com.muomgames.driver.openworldgames.driverturkishcity.gtaturk,TurkishCityModforGTA,73,RO,2016-11-27
com.tinydragonadventuregames.fairy.craft.girls.star.love.little.pony.unicorn.building.game.fashion.minecraft.magic.baby.barbie,女の子のためのおとぎ話のクラフト：探査＆建物Craft,74,RO,2016-11-27
slot.machines.casino.slots.city,Slotscitybuilder-Slotgame,75,RO,2016-11-27
com.tutotoons.app.miaandhermammoth.free,MiaandHerMammoth,76,RO,2016-11-27
com.mac.xray.transform.two,XRayRobot2,77,RO,2016-11-27
com.OppanaGames.BmwSim,オフロード車X,78,RO,2016-11-27
com.whitesand.sportscar.machanic.simulator,高級車のメカニックワークショップ,79,RO,2016-11-27
com.brilliantgamez.secret.agent.stealth.mission,シークレットエージェントのステルスミッション,80,RO,2016-11-27
com.cheerio.tuskio,needlenarwhale.io-narwhale,81,RO,2016-11-27
com.geneticstudio.bussimulator2017,BusSimulator2017CockpitGo,82,RO,2016-11-27
com.cheshirex.moxio,Mox.io,83,RO,2016-11-27
com.gta.five.greatmod,GreatTheAuto5,84,RO,2016-11-27
com.chickenshooter.space.defensegalaxy,ChickenShooter,85,RO,2016-11-27
com.banana4apps.cats.go.offline,猫：オフライン,86,RO,2016-11-27
com.starStudio.PjDriveMask,PjDriveMask,87,RO,2016-11-27
com.OppanaGames.EscaladeSim,OffroadEscalade,88,RO,2016-11-27
rump.bulletproof.america.game,RumpBulletproof,89,RO,2016-11-27
net.vdtruck.lastconvoy,VDTruck:LastConvoy,90,RO,2016-11-27
com.ggs.power.boat.transporter.police,パワーボートのトランスポーター：警察,91,RO,2016-11-27
com.topactiongames.Army.Commando.training.school.game,司令官：軍の訓練学校,92,RO,2016-11-27
com.mario.bros.adventure.free,SuperJabberJump3,93,RO,2016-11-27
com.tinydragonadventuregames.unicorn.craft.pony.game.girls.color.princess.pet.building.minecraft.cube.pixel.fairy.little.block,ユニコーンクラフト：建物やクラフト約女の子のためのゲーム,94,RO,2016-11-27
com.herocraft.game.free.taptapbuilder,TapTapBuilder,95,RO,2016-11-27
com.gta.vice.city.greatmod,GreatTheAutoVipCity,96,RO,2016-11-27
com.icoloringstudio.trolls.coloring,Coloringbookgamefortrolls,97,RO,2016-11-27
com.inpocket.fashiongirls,FashionGirlsCraft2k16,98,RO,2016-11-27
com.gss.offroad4x4.luxarydriving,オフロード4x4高級運転,99,RO,2016-11-27
com.GrandFuturisticRobotAuto,GrandFuturisticRobotAuto,100,RO,2016-11-27
com.wb.goog.fantasticbeastsho,ファンタスティック・ビーストと魔法使いたちの事件簿,101,RO,2016-11-27
com.sinyee.babybus.dinosaurII,恐竜の楽園2,102,RO,2016-11-27
com.gs.stickman.whitehouseescape,StickmanWhiteHouseEscape,103,RO,2016-11-27
com.companyname.TrenchAssault,TrenchAssault,104,RO,2016-11-27
com.lemonpuppy.deadtown,DeadTown-Zombiesurvival,105,RO,2016-11-27
air.sje2,Stickmanjailbreakescape2,106,RO,2016-11-27
com.wanxing.basketball,熱狂的なバスケットボール,107,RO,2016-11-27
air.theFlash.f2game.DinoRobot45,합체!다이노로봇-티라노+트리케라2,108,RO,2016-11-27
com.jungleegames.eatme.io,EatMe.io,109,RO,2016-11-27
com.tp.android.lovebeach,"ビーチのラブストーリー-救助,緊急,デート,無料ゲーム",110,RO,2016-11-27
com.tutotoons.app.ponysistershairsalon2.free,PonySistersHairSalon2,111,RO,2016-11-27
com.varagtp.plantera,Plantera-のんびりまったり農場,112,RO,2016-11-27
com.edengames.GTSpirit,Gear.Club,113,RO,2016-11-27
com.labexception.climbthehill,ClimbTheHill,114,RO,2016-11-27
com.devm.tharsisracing,DesertWorms,115,RO,2016-11-27
gang.beasts.america.game,IdeasforGangBeasts,116,RO,2016-11-27
com.hbg.thanksgiving.supermarket.store,感謝祭スーパーストア,117,RO,2016-11-27
com.filament.icivics.executivecommand,ExecutiveCommand,118,RO,2016-11-27
net.elyland.wormaxio,Wormax.io,119,RO,2016-11-27
com.pixelbite.sm2,SpaceMarshals2,120,RO,2016-11-27
com.filaret.gotocardriving,Перейтиквожденияавтомобиля,121,RO,2016-11-27
com.mintfrogs.kepler.root,Towar.io-UpdateComingSoon!,122,RO,2016-11-27
com.gv.secretagent.spyrescue,シークレットエージェントスパイレスキューゲーム,123,RO,2016-11-27
com.yx.catapult,粉砕投擲-BottleSmash,124,RO,2016-11-27
com.game.grandtenautonewcity,GrandTenAutoNewCity,125,RO,2016-11-27
com.soccerfootball.soccerduel,サッカー決闘,126,RO,2016-11-27
com.aggames.x5,X5DrivingSimulator,127,RO,2016-11-27
com.gamegos.mobile.cafeland,Cafeland-WorldKitchen,128,RO,2016-11-27
com.fazogames.amg,RealDriftRacingAMGC63,129,RO,2016-11-27
com.lf.real.atv.moto.traffic.rider.games.free,オフロードクワッドバイクマニア3D,130,RO,2016-11-27
net.beautyincorporated.android_preppyvsindie,FashionWarClassicvsHipster,131,RO,2016-11-27
com.t1gamer.wohnew,WarofHorde-Epic3DMMORPG,132,RO,2016-11-27
com.fazbro.heavy.excavator.rock.mining,ヘビーショベル3Dロックマイニング,133,RO,2016-11-27
com.counter.terrorist.attack.death,テロ攻撃の死に対抗,134,RO,2016-11-27
com.sportgames.shooting.archery.free,アーチェリー,135,RO,2016-11-27
air.com.slither.ru,Слизерио-Onlineslithergame,136,RO,2016-11-27
com.turborocketgames.dogsim,DogSimOnline,137,RO,2016-11-27
com.bazon.archervsarchers,アーチャー対アーチェリーアーチェリーゲーム,138,RO,2016-11-27
com.tinydragonadventuregames.doll.house.craft.princess.fashion.girls.minecraft.barbie.creative.exploration.lite.build.cube.mine,ドールハウスの装飾：女の子のためのファッションゲーム,139,RO,2016-11-27
com.RobotXRayBattle3D,RobotXRayBattle3D,140,RO,2016-11-27
br.com.tapps.magicparkclicker,MagicParkClicker,141,RO,2016-11-27
com.chaloapps.memeswars,MemesWars,142,RO,2016-11-27
com.gamemavericks.cityconstruction,CityConstructionTrucksSim,143,RO,2016-11-27
com.FuturisticRobotFighting,FuturisticRobotCarFighting,144,RO,2016-11-27
com.us.wouldyourather.trivia.quiz,WouldYouRather?TheGame,145,RO,2016-11-27
com.mine.modcraft.free.edition,ModcraftFreeEdition,146,RO,2016-11-27
com.vg.shipsofbattlethepacificwar,戦いの船：太平洋,147,RO,2016-11-27
com.sinyee.babybus.earthquake,じしんだ！どうする？-BabyBus子ども向け防災アプリ,148,RO,2016-11-27
com.electronic.smarts.ronaldo.vs.messi,RonaldovsMessiSoccer2017,149,RO,2016-11-27
com.magicmatch.jewels.temple,JewelstempleTreasure,150,RO,2016-11-27
com.bonbeart.doors4,Escape-MansionofPuzzles,151,RO,2016-11-27
