app_id,app_name,rank,country_code,date
com.DKGames.MazePlanet3DPro,MazePlanet3DPro,1,RO,2018-03-21
com.rayark.cytus2,CytusII(サイタスⅡ),2,RO,2018-03-21
com.daerisoft.cartoon.plus,マンガダンジョンVIP,3,RO,2018-03-21
com.Nomoc.Match3AmazonkaPro,Match3AmazonPRO,4,RO,2018-03-21
com.qplaze.match3.Fruitmatch3Pro,FruitMatch3PRO:CrazyMania,5,RO,2018-03-21
com.mountains.feathertop,Florence,6,RO,2018-03-21
com.match3.pets.rescue.zooPro,LovelyPetsPRO:Match3,7,RO,2018-03-21
com.daerisoft.attackgod.plus,通常攻撃の神VIP,8,RO,2018-03-21
com.mageeks.android.trucksim18,TruckSimulatorPROEurope,9,RO,2018-03-21
mylittleprincess.wizard,MyLittlePrincess：魔法使い,10,RO,2018-03-21
com.madcowieproductions.stockcarsunleashed2,StockcarsUnleashed2,11,RO,2018-03-21
mytown.airport,MyTown:空港,12,RO,2018-03-21
com.bwsoft.bwsurvival,CanYouSurvive?:SurvivalWorldPRO,13,RO,2018-03-21
com.candysoft.SlimeFlightVip,SlimeFlight:VIP(NoAds),14,RO,2018-03-21
com.TheLonelyDeveloper.TimeMachineDinosaurPark,VRタイムマシン恐竜公園（+CARDBOARD）,15,RO,2018-03-21
com.tenbirds.animus,アニマス-アイア番外編,16,RO,2018-03-21
com.stampedegames.projekt,.projekt,17,RO,2018-03-21
com.gobit.burgershop2.premium,BurgerShop2Deluxe,18,RO,2018-03-21
com.syntaxity.bigfootquest,ビッグフットクエスト,19,RO,2018-03-21
com.lastdayssurvival.softkintechinc,LastDays:Survival,20,RO,2018-03-21
io.wolfstack.battlewest2,BattleWest,21,RO,2018-03-21
com.rapsmyinitials.jeembotveth,JeemboTvethRetroRunners,22,RO,2018-03-21
com.beamdog.siegeofdragonspear,SiegeofDragonspear,23,RO,2018-03-21
com.ghostwhale.supremachina,Supremachina,24,RO,2018-03-21
com.RushingPixel.TIO,TurnItOn!,25,RO,2018-03-21
com.zabob.infinitydungeon2vip,無限ダンジョン2VIP-召喚少女とゾンビ,26,RO,2018-03-21
com.fivebn.tl02.full,レガシー2(Full),27,RO,2018-03-21
com.eggoninteractive.litd,LostintheDungeon,28,RO,2018-03-21
com.xsasoftware.bmwm3e30driftingsimulatorpro,E30M3DriftSimulatorPRO,29,RO,2018-03-21
com.StefanBeeler.SpaceEvolution,SpaceEvolution,30,RO,2018-03-21
com.matchgems.fantasy_mosaics_27,FantasyMosaics27:SecretColors,31,RO,2018-03-21
boulderDash.playdroidapp,BoulderDashArcadeGame,32,RO,2018-03-21
com.artifexmundi.noirchronicles.gp.full,ノワールクロニクル:犯罪の都市(Full),33,RO,2018-03-21
com.PrimeGames.DustAndSaltGamebook,DustandSalt,34,RO,2018-03-21
com.ClimaxStudios.TabletopTowers,TabletopTowers,35,RO,2018-03-21
com.egproject.hillslegendhd,HillsLegendHD,36,RO,2018-03-21
com.byricardovip,ByRicardoVip,37,RO,2018-03-21
com.dumpling.smashtanks,ARSmashTanks!,38,RO,2018-03-21
org.pbskids.pinkaliciousparty,PinkaliciousParty,39,RO,2018-03-21
com.shootinggames.zombie.vip,ZombieWalking:VIP,40,RO,2018-03-21
techmasterplus.best2048puzzlepro,2048PuzzlePRO(NoAds),41,RO,2018-03-21
no.hypergames.kalasalfons,"HappyBirthday,AlfieAtkins!",42,RO,2018-03-21
com.downsideupgames.superchuckieegg,SuperChuckieEgg,43,RO,2018-03-21
com.markab.project03,내여자친구는국회의원,44,RO,2018-03-21
com.lvvr.spaceforce,PresidentialSpaceForce,45,RO,2018-03-21
com.hiddensecrets2,HiddenSecrets2,46,RO,2018-03-21
com.tankwars.tank_wars,TankWars,47,RO,2018-03-21
com.UeleliStudio.DesafioRunner,DesafíoRunner,48,RO,2018-03-21
com.TheLonelyDeveloper.Sonny,ソニー・ザ・マッド・マン,49,RO,2018-03-21
com.arsmengames.stickmanropeescape,Stickman:RopeEscape,50,RO,2018-03-21
com.ravenscourt.kona,Kona,51,RO,2018-03-21
com.gff.apicmovieofshahrukhkhan,4PIC1MOVIEOFSHAHRUKHKHAN-PRO,52,RO,2018-03-21
com.ianmaclarty.dissembler,Dissembler,53,RO,2018-03-21
com.appsogreat.rubysquare.puzzle.release,RubySquare:logicalpuzzlegame(700levels),54,RO,2018-03-21
com.akuparagames.kimr,KeepinMind:Remastered,55,RO,2018-03-21
ch.fatpingu.link,Flowlevels,56,RO,2018-03-21
hu.redshift.thequestexp6,TheQuest-Macha'sCurse,57,RO,2018-03-21
popeye.playdroidapp,PopeyeArcadeGame,58,RO,2018-03-21
com.teslagames.messagequest,MessageQuest-adventure,59,RO,2018-03-21
air.Taximan,Taxoman,60,RO,2018-03-21
uk.teachallaboutit.mathsDenVR,Maths&ComputerScience-CharityWeekDen2018,61,RO,2018-03-21
com.threaks.battleplanet.ar,BattlePlanetAR,62,RO,2018-03-21
com.oppositelock.comishpro,ComishClicker-IdleTycoonPRO,63,RO,2018-03-21
com.ClimaxStudios.Arise,ARise,64,RO,2018-03-21
com.USATeam.TTPr,TubeTycoon,65,RO,2018-03-21
com.ThinkFast.CublastHD,CublastHD,66,RO,2018-03-21
com.barrionoevo.um_real_caozinho,VOCÊtem1real?Cãozinho,67,RO,2018-03-21
net.bohush.laser.labyrinth.game,LaserLabyrinth,68,RO,2018-03-21
