app_id,app_name,rank,country_code,date
com.mojang.minecraftpe,Minecraft,1,RO,2018-03-08
com.giantssoftware.fs18.google,FarmingSimulator18,2,RO,2018-03-08
cc.peacedeath.peacedeath,"Peace,Death!",3,RO,2018-03-08
com.robtopx.geometryjump,GeometryDash,4,RO,2018-03-08
com.squareenixmontreal.hitmansniperandroid,ヒットマンスナイパー(HitmanSniper),5,RO,2018-03-08
com.rockstargames.gtasa,グランド・セフト・オート・サンアンドレアス,6,RO,2018-03-08
com.mtvn.sbmigoogleplay,SpongeBobMovesIn,7,RO,2018-03-08
com.rockstargames.gtavc,グランド・セフト・オート・バイスシティ,8,RO,2018-03-08
com.inkle.eightydays,80Days,9,RO,2018-03-08
com.ubisoft.assassinscreed.identity,アサシンクリードアイデンティティ,10,RO,2018-03-08
com.team17.escapists,TheEscapists,11,RO,2018-03-08
com.gameloft.android.ANMP.GloftASHM,アメイジング・スパイダーマン2,12,RO,2018-03-08
com.robotgentleman.game60seconds,60Seconds!AtomicAdventure,13,RO,2018-03-08
com.notdoppler.earntodie,EarntoDie,14,RO,2018-03-08
com.ea.games.nfs13_row,NeedforSpeed™MostWanted,15,RO,2018-03-08
com.giantssoftware.fs16,FarmingSimulator16,16,RO,2018-03-08
com.astragon.cs2014,コンストラクションシミュレーター2014,17,RO,2018-03-08
com.limbic.ac130,ZombieGunship,18,RO,2018-03-08
com.scottgames.fivenightsatfreddys,FiveNightsatFreddy's,19,RO,2018-03-08
com.floorsix.android.mazeapp,Maze,20,RO,2018-03-08
com.realdrift.sipon,RealDriftCarRacing,21,RO,2018-03-08
com.agaming.thesun.origin,TheSun:Origin,22,RO,2018-03-08
com.FireproofStudios.TheRoom,TheRoom,23,RO,2018-03-08
com.jumpgames.RealSteel,RealSteel,24,RO,2018-03-08
brownmonster.app.game.rushrally2,RushRally2,25,RO,2018-03-08
com.turner.ttgfigures,ティーニー・タイタンズ-ティーン・タイタンズＧＯ！,26,RO,2018-03-08
com.codemasters.f12016,F12016,27,RO,2018-03-08
com.exozet.android.catan,CatanClassic,28,RO,2018-03-08
com.wb.goog.legojurassicworld,LEGO®JurassicWorld™,29,RO,2018-03-08
com.gm_shaber.dayrpremium,DayRPremium,30,RO,2018-03-08
mytown.airport,MyTown:空港,31,RO,2018-03-08
com.jutsugames.operator911,911Operator,32,RO,2018-03-08
com.sigames.fmm2018,FootballManagerMobile2018,33,RO,2018-03-08
com.squareenixmontreal.hitmango,HitmanGO,34,RO,2018-03-08
com.ustwo.monumentvalley2,MonumentValley2,35,RO,2018-03-08
com.rockstargames.gtalcs,GTA:LibertyCityStories,36,RO,2018-03-08
com.trueaxis.trueskate,TrueSkate,37,RO,2018-03-08
com.ironhidegames.android.kingdomrushorigins,KingdomRushOrigins,38,RO,2018-03-08
com.FireproofStudios.TheRoom2,TheRoomTwo,39,RO,2018-03-08
com.scottgames.sisterlocation,FiveNightsatFreddy's:SL,40,RO,2018-03-08
com.coffeestainstudios.goatsimulator.goatz,GoatSimulatorGoatZ,41,RO,2018-03-08
com.disney.castleofillusion_goo,CastleofIllusion,42,RO,2018-03-08
com.rockstar.maxpayne,マックス・ペインモバイル,43,RO,2018-03-08
com.squareenixmontreal.lcgo,LaraCroftGO,44,RO,2018-03-08
com.littleinferno.google,LittleInferno,45,RO,2018-03-08
com.astragon.cs2016,ConstructionSimulator2,46,RO,2018-03-08
com.STRONGANDROID.CrazzzyAqurium,InseAquriumDeluxe-FeedFishes!FightAliens!,47,RO,2018-03-08
com.coffeestainstudios.goatsimulator.wasteofspace,GoatSimulatorWasteofSpace,48,RO,2018-03-08
com.scottgames.fnaf2,FiveNightsatFreddy's2,49,RO,2018-03-08
pl.idreams.pottery,Let'sCreate!Pottery,50,RO,2018-03-08
com.SongGameDev.EleTD,ElementTD,51,RO,2018-03-08
com.fds.infiniteflight,InfiniteFlightSimulator,52,RO,2018-03-08
com.marmalade.cluedogame,Cluedo,53,RO,2018-03-08
com.rockstar.gta3,GrandTheftAutoIII,54,RO,2018-03-08
air.com.flipline.papasfreezeriatogo,Papa'sFreezeriaToGo!,55,RO,2018-03-08
com.ninjakiwi.bloonstd5,BloonsTD5,56,RO,2018-03-08
es.brokenrul.oldmansjourney,OldMan'sJourney,57,RO,2018-03-08
com.kleientertainment.doNotStarvePocket,Don'tStarve:PocketEdition,58,RO,2018-03-08
com.coffeestainstudios.goatsimulator.payday,GoatSimulatorPayday,59,RO,2018-03-08
com.headupgames.bridgeconstructorportal,BridgeConstructorPortal,60,RO,2018-03-08
com.wb.goog.legohp2,LEGOHarryPotter:Years5-7,61,RO,2018-03-08
com.mtvn.SBminigame,SpongeBob'sGameFrenzy,62,RO,2018-03-08
com.gameloft.android.ANMP.GloftICHM,SonicRunnersAdventure,63,RO,2018-03-08
mytown.hotel,MyTown:Hotelホテル,64,RO,2018-03-08
com.wb.goog.scribbleremix,ScribblenautsRemix,65,RO,2018-03-08
com.hg.townsmen7,TownsmenPremium,66,RO,2018-03-08
air.com.RustyLake.RustyLakeRoots,RustyLake:Roots,67,RO,2018-03-08
com.wb.goog.lnjgo,LEGO®Ninjago™ShadowofRonin,68,RO,2018-03-08
com.DDI.CarpFishingSimulator,CarpFishingSimulator,69,RO,2018-03-08
com.gameloft.android.ANMP.GloftAMHM,アメイジング・スパイダーマン,70,RO,2018-03-08
com.zitga.ninja.stickman.legends.shadow.wars,StickmanLegends:ShadowWars,71,RO,2018-03-08
mytown.mall,MyTown:ショッピングモール,72,RO,2018-03-08
mytown.hospital,MyTown:Hospitalホスピタル,73,RO,2018-03-08
coolcherrytrees.games.reactor4,4PlayerReactor(Multiplayer),74,RO,2018-03-08
com.FireproofStudios.TheRoom3,TheRoomThree,75,RO,2018-03-08
com.dotemu.sanitarium,Sanitarium,76,RO,2018-03-08
com.ironhidegames.android.kingdomrushfrontiers,KingdomRushFrontiers,77,RO,2018-03-08
com.ninetailgames.roguehearts.paid,RogueHearts,78,RO,2018-03-08
com.atari.mobile.rctc,RollerCoasterTycoon®Classic,79,RO,2018-03-08
