app_id,app_name,rank,country_code,date
com.ovilex.drivingschool2017,DrivingSchool2017,1,RO,2017-07-29
com.cocoplay.gymnastic.star,体操選手-10点満点を目指そう！,2,RO,2017-07-29
com.RoosterGames.RevolutionOffroad,RevolutionOffroad:SpinSimulation,3,RO,2017-07-29
com.cocoplay.skate.girl,シティ・ボーダー-スケボーパークの女王になろう！,4,RO,2017-07-29
com.epicactiononline.ffxv.ane,ファイナルファンタジー15:新たなる王国(FinalFantasyXV),5,RO,2017-07-29
com.eijoy.snake.screen,スネークインハンドJoke-iSnake,6,RO,2017-07-29
com.sergiuportnoi.ghiciimaginea,Ghiciimaginea-AlexuneaTV,7,RO,2017-07-29
com.ringtong.bling,BlingRingtone,8,RO,2017-07-29
com.playway.farmexpert2016,FarmExpert2018Mobile,9,RO,2017-07-29
com.ProcessGames.SkylineDriftSimulator,スカイラインドリフトシミュレータ,10,RO,2017-07-29
com.tabtale.paris.love,パリの恋の物語-フランス人の彼氏,11,RO,2017-07-29
com.kommadot.casesimulator,CaseChase-SimulatorforCS:GO,12,RO,2017-07-29
com.s9gs.traffic.rider.racingcar,交通ハイウェイレーサー-カーライダー,13,RO,2017-07-29
com.navigation.offlinemaps.gps,OfflineMaps&Navigation,14,RO,2017-07-29
com.sega.wwetap,WWETapMania,15,RO,2017-07-29
com.rus.piskar.exploration.divers.two,ExplorationDIVERSII,16,RO,2017-07-29
com.mobirix.swipebrick,レンガのブレーカーのパズル,17,RO,2017-07-29
com.stickman.annihilation.dismount,StickmanDismount2Annihilation,18,RO,2017-07-29
com.tutotoons.app.sweetbabygirlcleanup5.free,スイートな赤ちゃんのクリーンアップ5,19,RO,2017-07-29
mobi.infolife.ezweather.widget.weather.location.app,今日明日天気今週の天気日本天気情報ウィジェット無料,20,RO,2017-07-29
com.racing.car.crash.turbo,クレイジーフォースピード,21,RO,2017-07-29
com.netease.z3.android,CrusadersofLight,22,RO,2017-07-29
com.axlebolt.standoff2,Standoff2,23,RO,2017-07-29
com.gaminho.topseedtennis,TOPSEED-TennisManager,24,RO,2017-07-29
com.cheat.farmingsimulator18,CheatforFarmingSimulator18,25,RO,2017-07-29
com.mysummercard.tipsmysummercar,GuideMySummerCar2017,26,RO,2017-07-29
com.globalfun.gumballracing.free,GumballRacing,27,RO,2017-07-29
