app_id,app_name,rank,country_code,date
com.codebrewgames.pocketcitygame,PocketCity,1,RO,2018-08-26
com.sonymobile.themes.shoreline,XPERIA™ShorelineTheme,2,RO,2018-08-26
com.chaozhuo.gameassistant.bit64,Octopus(64bit)forFortnite,3,RO,2018-08-26
com.ub.wprivip,[VIP]2048BunnyMaker-bunnycitybuilding,4,RO,2018-08-26
com.ssicosm.dungeon_princess,ダンジョン姫,5,RO,2018-08-26
com.wereviz.evolution,OneHourOneLifeforMobile,6,RO,2018-08-26
com.baldibasic.baldieducation.baldislearning.basic2019,ScaryBasics:Education&LearninginSchool,7,RO,2018-08-26
org.Liberfi.WorldSudoku,SudokuEduPremium,8,RO,2018-08-26
fm.mystage.capture_pro,WWWNotifierPro-AlertonWebsitechange,9,RO,2018-08-26
net.kairosoft.android.trade,出港！！コンテナ丸,10,RO,2018-08-26
v.retrobox.v.foodvip,CrazyTapChefVIP,11,RO,2018-08-26
com.addonsz.mods.minecraft.pocket.edition.block.launcher.skin.maps.crafting.building.mcpe.baby.player.mod,BabyPlayerAddonforMCPE,12,RO,2018-08-26
com.dalong.mp3.downloader.vip,MP3MusicDownloaderForVIP,13,RO,2018-08-26
com.dtbgames.shapeuku,Shapeuku-ShapePuzzleGame,14,RO,2018-08-26
com.baldisstrip.baldiscamping.baldisbasic.baldishover,BasicsFieldTripCamping:EducationandLearning,15,RO,2018-08-26
com.jndapp.pixel.pie.iconpack,PixelPieIconPack,16,RO,2018-08-26
co.uk.wixgames.ducklifebattle,DuckLife:Battle,17,RO,2018-08-26
com.frontsiidddee.skinn,EarnFrontsideMistySkin,18,RO,2018-08-26
com.bulletjournal.companion,TheBulletJournalCompanion,19,RO,2018-08-26
com.baldi.baldisbasictripcamp,BASICSTOTRIP:Camping(notEducationSchool),20,RO,2018-08-26
com.granny.grannybaldis.baldisbasic,HorrorGRANNYBaldi-ScaryHouse,21,RO,2018-08-26
com.footballguys.FBGLineup2018,FantasyFootballLineupDominator2018,22,RO,2018-08-26
com.turner.teentitans.ttgfigures2,TeenGoTitansFigure,23,RO,2018-08-26
com.classicalconversations.tutorials.cycle1,FoundationsMemoryWorkC1,24,RO,2018-08-26
com.iqfs.draftkit,DraftKit'18forNFL-FantasyFootballAssistant,25,RO,2018-08-26
com.obuut.tankio.premium,タンク3Dオンラインマルチプレイ,26,RO,2018-08-26
com.aiuspaktyn.screenoff,Lock-Screenlocker,27,RO,2018-08-26
org.skvalex.cr.unlock,CallRecorderUnlock,28,RO,2018-08-26
se.laxton.ghost,GhostTrackerEMFEVPRecorder,29,RO,2018-08-26
com.dvgames.wordrushpro,WordRushPro:FindWords,30,RO,2018-08-26
com.tocaboca.tocatrain,TocaTrain,31,RO,2018-08-26
com.jndapp.arrow.iconpack,ARROWIconPack,32,RO,2018-08-26
com.greatapps.relaxiano,Relaxiano-relaxsoundscalmmeditatesleeprelax,33,RO,2018-08-26
com.geopoi.msf,MinnesotaStateFairMap|OfflineGPS&Vendors!,34,RO,2018-08-26
com.opb.enceladus,Enceladus-Pacotedeícones,35,RO,2018-08-26
com.footballguys.FBGRoster2018,FantasyFootballWaiver&TradeDominator2018,36,RO,2018-08-26
com.elephantandmousecommunitygames.moneybreakout,BreakoutMoney,37,RO,2018-08-26
com.xp101.jd,JadeDynastyMobile,38,RO,2018-08-26
de.development.outline.nochmal,Nochmal!,39,RO,2018-08-26
com.thenun.thethanosnun.scarynun,ThanosNunSinister,40,RO,2018-08-26
com.addonsz.mods.minecraft.pocket.edition.block.launcher.skin.maps.crafting.building.mcpe.controllable.dolphin.mod,DolphinAddonForMCPE,41,RO,2018-08-26
br.com.lumts.nossoanime,NossoAnime,42,RO,2018-08-26
