app_id,app_name,rank,country_code,date
com.whatsapp,WhatsAppMessenger,1,RU,2017-08-07
com.vkontakte.android,VK,2,RU,2017-08-07
com.viber.voip,Viber無料通話＆メッセージアプリ,3,RU,2017-08-07
ru.sberbankmobile,СбербанкОнлайн,4,RU,2017-08-07
com.allgoritm.youla,Юла–объявленияпоблизости,5,RU,2017-08-07
com.instagram.android,Instagram,6,RU,2017-08-07
ru.ok.android,Одноклассники,7,RU,2017-08-07
com.alibaba.aliexpresshd,AliExpressShoppingApp-$100CouponsForNewUser,8,RU,2017-08-07
com.yandex.browser,Яндекс.Браузер—сзащитой,9,RU,2017-08-07
com.avito.android,"ОбъявленияAvito:авто,работа,квартиры",10,RU,2017-08-07
ru.yandex.taxi,Yandex.Taxi,11,RU,2017-08-07
ru.yandex.yandexnavi,Yandex.Navigator,12,RU,2017-08-07
com.UCMobile.intl,UC　ブラウザ－それを高速にサーフィン,13,RU,2017-08-07
com.lenovo.anyshare.gps,SHAREit-Transfer&Share,14,RU,2017-08-07
com.smile.gifmaker,Kwai-Make Video StoryFree,15,RU,2017-08-07
com.google.android.play.games,GooglePlayゲーム,16,RU,2017-08-07
free.zaycev.net,Zaycev–музыкаипеснивmp3,17,RU,2017-08-07
com.p74.player,Zaycev.netmusic,18,RU,2017-08-07
org.telegram.messenger,Telegram,19,RU,2017-08-07
com.contextlogic.wish,Wish-見て楽しいお買い物,20,RU,2017-08-07
ru.dublgis.dgismobile,2GIS:directory&navigator,21,RU,2017-08-07
ru.mts.mymts,МойМТС,22,RU,2017-08-07
zombie.survival.craft.z,LastDayonEarth:Survival,23,RU,2017-08-07
com.outfit7.mytalkingtomfree,マイ・トーキング・トム(MyTalkingTom),24,RU,2017-08-07
ru.yandex.searchplugin,Яндекс,25,RU,2017-08-07
com.cleanmaster.mguard,CleanMasterー「無料アンチウイルス/ファイル削除/メモり解放/スマホ最適化クリーナー」,26,RU,2017-08-07
ru.yandex.music,Яндекс.Музыка-скачатьислушатьмузыку,27,RU,2017-08-07
com.kiloo.subwaysurf,SubwaySurfers,28,RU,2017-08-07
com.teleportfuturetechnologies.teleport,Teleport-photoeditor,29,RU,2017-08-07
com.skype.raider,Skype-無料のチャットとビデオ通話,30,RU,2017-08-07
com.joom,Joom–товарыизКитая,31,RU,2017-08-07
ru.mail.mailapp,フリー電子メールアプリ日本byMail.Ru,32,RU,2017-08-07
drug.vokrug,"ДругВокруг:новыезнакомства,онлайнчат",33,RU,2017-08-07
com.edadeal.android,Едадил—акциивмагазинах,34,RU,2017-08-07
ru.auto.ara,Авто.ру:купитьипродатьавто,35,RU,2017-08-07
com.perm.kate_new_6,KateMobileдляВКонтакте,36,RU,2017-08-07
com.bitmango.rolltheballunrollme,ロールボール：スライドパズル,37,RU,2017-08-07
com.shazam.android,Shazam-音楽認識,38,RU,2017-08-07
com.rovio.baba,アングリーバード2(AngryBirds2),39,RU,2017-08-07
beepcar.carpool.ride.share,BeepCar–SafeRideshareandCarpoolService,40,RU,2017-08-07
ru.yandex.yandexmaps,Яндекс.Карты—поискместинавигатор,41,RU,2017-08-07
com.snapchat.android,Snapchat,42,RU,2017-08-07
