app_id,app_name,rank,country_code,date
com.nordcurrent.sniperarena,SniperArena:PvPArmyShooter,1,RU,2016-11-23
com.wordmobile.waterslide,3Dウォータースライド,2,RU,2016-11-23
com.omnidrone.lanes,TitanBrawl,3,RU,2016-11-23
com.miniclip.bowmasters,Bowmasters,4,RU,2016-11-23
com.fungames.battletanksbeta,WarMachines:戦車ゲーム,5,RU,2016-11-23
com.heroesofchaos.ggplay.koramgame.ru,Goddess:HeroesofChaos,6,RU,2016-11-23
com.gameloft.android.ANMP.GloftMOHM,アスファルト：Xtreme,7,RU,2016-11-23
com.crowdstar.covetHome,DesignHome,8,RU,2016-11-23
com.klimeom.wrestlers,GangWrestlersOnline,9,RU,2016-11-23
com.kongregate.mobile.burritobison3.google,BurritoBison:LaunchaLibre,10,RU,2016-11-23
com.fruitclubslots.game,FruitClubSlotMachines,11,RU,2016-11-23
com.kongregate.mobile.thetrail.google,TheTrail,12,RU,2016-11-23
com.wegoi.revolt3global,Re-Volt3,13,RU,2016-11-23
com.pickle.PoliceCarDrivingOffroad,PoliceCarDrivingOffroad,14,RU,2016-11-23
com.slotsofra.game,SlotsofRa-FreeCasino,15,RU,2016-11-23
com.fivecraft.digga,Бурило,16,RU,2016-11-23
com.tinydragonadventuregames.pony.crafting.unicorn.game.girls.color.quest.pet.building.minecraft.cube.pixel.rainbow.secret.free,女の子のためのゲーム-ピクセルの世界：少しポニークラフト,17,RU,2016-11-23
com.wb.goog.fantasticbeastsho,ファンタスティック・ビーストと魔法使いたちの事件簿,18,RU,2016-11-23
com.gamprofi.beginner,Клубджойказино,19,RU,2016-11-23
com.rez.durty,UnturnedZombiePixelCraft,20,RU,2016-11-23
com.tap4fun.brutalage_test,BrutalAge:HordeInvasion,21,RU,2016-11-23
com.banana4apps.cats.go.offline,猫：オフライン,22,RU,2016-11-23
com.megaslots.slotgame,МегаСлоты-ИгровыеАвтоматы,23,RU,2016-11-23
air.com.slither.mmo,SnakeHunter-MMOslither,24,RU,2016-11-23
air.air.com.ofir.Wheelie6,Wheelie6-Fairytale,25,RU,2016-11-23
com.ogurecapps.box,M-BOX-unlockthedoorsquest,26,RU,2016-11-23
com.gamevil.devilian.android.google.global.normal,デビリアン【ダークヒーローRPG】,27,RU,2016-11-23
lucky.game.slots,"ИгровыеАвтоматы""Удача""",28,RU,2016-11-23
casino.com.luck1,Удача-игровыеслоты,29,RU,2016-11-23
com.bonbeart.doors4,Escape-MansionofPuzzles,30,RU,2016-11-23
com.nostopsign.dominocity,Dominocity,31,RU,2016-11-23
com.mediocre.pinout,PinOut,32,RU,2016-11-23
com.pacybits.fut17packopener,FUT17PACKOPENER,33,RU,2016-11-23
com.mac.xray.transform.two,XRayRobot2,34,RU,2016-11-23
com.gameloft.android.ANMP.GloftZSHM,ゾンビ・アナーキー：サバイバル戦略バトル,35,RU,2016-11-23
com.sumi.explo3,CraftExplorationSurvival,36,RU,2016-11-23
com.blayzegames.iosfps,BulletForce,37,RU,2016-11-23
com.hoodoogames.vast,VastSurvival(Multiplayer),38,RU,2016-11-23
ru.millionair.quiz.game,Миллионер2017,39,RU,2016-11-23
