app_id,app_name,rank,country_code,date
com.EtherGaming.PocketRoguesUltimate,PocketRogues:Ultimate,1,RU,2017-10-24
com.easytech.wc4.android,世界の覇者4,2,RU,2017-10-24
mindware.minegamespro,MineGames-MinesweeperPro,3,RU,2017-10-24
com.dingogames.tastyplanet2,TastyPlanet:BackforSeconds,4,RU,2017-10-24
com.whalebygames.dinoboom.full,DinoboomPuzzles,5,RU,2017-10-24
com.kleientertainment.doNotStarveShipwrecked,Don'tStarve:Shipwrecked,6,RU,2017-10-24
com.st.newru.warshipsaga,Empireofwarships,7,RU,2017-10-24
com.glutenfreegames.ultimatedogsimulator,UltimateDogSimulator,8,RU,2017-10-24
com.buggames.FXL,FoxyLand|Premium,9,RU,2017-10-24
mytown.friendshouse,MyTown:お友達の家,10,RU,2017-10-24
com.Royalapps.BallPsychoTheImpossibleads,BallPsycho-TheImpossible(NoAds),11,RU,2017-10-24
air.com.A3donkeys.loveBits,LoveYoutoBits,12,RU,2017-10-24
mytown.farm,MyTown:農場,13,RU,2017-10-24
cc.peacedeath.peacedeath,"Peace,Death!",14,RU,2017-10-24
com.rainbowtrain.push,PUSH,15,RU,2017-10-24
com.tivola.ShowJumping.premium,HorseWorld:障害飛越競技-Premium,16,RU,2017-10-24
com.istellostudiopgs.lastsurviveislandevolve,LastSurvive:IslandEvolve,17,RU,2017-10-24
com.artifexmundi.thesecretorder6.gp.full,シークレット・オーダー6：血統(Full),18,RU,2017-10-24
com.anarchyent.kickasscomandos,KickassCommandos,19,RU,2017-10-24
com.TinyDevbox.DeadRain,DeadRain:新しいゾンビウイルス,20,RU,2017-10-24
net.thelastkind.edenrenaissance,EdenRenaissance-AThrillingPuzzleAdventure,21,RU,2017-10-24
com.mageeks.android.trainsimulator,TrainSimulatorPRO2018,22,RU,2017-10-24
com.asmodeedigital.tickettoride1journey,TickettoRide:FirstJourney ,23,RU,2017-10-24
com.muzboz.bgraderenegade,B-GradeRenegade,24,RU,2017-10-24
com.terribletoybox.thimbleweedparkandroid,ThimbleweedPark,25,RU,2017-10-24
com.GameIsld.PuzzleFull,"Цвета,фигурыицифрыдлямалышей",26,RU,2017-10-24
com.UPEntertainment.RimaTSB,Rima:TheStoryBegins,27,RU,2017-10-24
air.de.appsfuerkids.thirdgradedivision026,ThirdgradeMath-Division,28,RU,2017-10-24
com.asmodeedigital.smashup,SmashUp-TheShufflebuildingGame,29,RU,2017-10-24
com.VerticalRobot.DaedalusVR,Daedalus,30,RU,2017-10-24
com.SpryFox.BearCountry,Beartopia,31,RU,2017-10-24
com.dt.sprintcars,DirtTrackinSprintCars,32,RU,2017-10-24
com.maxklimyuk.azbukaniki2,АзбукаНики(длядетейбезрекламы),33,RU,2017-10-24
com.wRDZONDMEN_5697339,RD-ZOND-MEN,34,RU,2017-10-24
com.stereo7games.syndicate2.pro,SteampunkSyndicate2Pro:タワーディフェンスゲーム,35,RU,2017-10-24
com.lordof.rings2,LordOfRings2,36,RU,2017-10-24
com.reuno.primitive,GrapeJelly,37,RU,2017-10-24
com.majescoentertainment.boyandblob,ABoyandHisBlob,38,RU,2017-10-24
com.digidiced.cxgrelease,CottageGarden,39,RU,2017-10-24
com.blank.basketManagerPro,BasketManager2018Pro,40,RU,2017-10-24
com.JDM4iKGames.MuscleDriftSimPro,MuscleDriftSimulator2018Pro,41,RU,2017-10-24
com.ztgame.yyzy,NightoftheFullMoon,42,RU,2017-10-24
com.ArtuomGameStudio.I.N.O.E4RE,I.N.O.E2,43,RU,2017-10-24
com.shivergames.lucius2D,LuciusDemake,44,RU,2017-10-24
com.whalebygames.charlie.full,Charlie'sPlanet,45,RU,2017-10-24
com.greensaucegames.secretsofmagic2full,SecretsofMagic2:WitchesandWizards(Full),46,RU,2017-10-24
air.de.appsfuerkids.fourthgrademultiplication028,FourthgradeMath-Multiplication,47,RU,2017-10-24
air.de.appsfuerkids.thirdgradesubtraction024,ThirdgradeMath-Subtraction,48,RU,2017-10-24
air.de.appsfuerkids.secondgradeaddition020,SecondgradeMath-Addition,49,RU,2017-10-24
com.blab.SailingRace.Pro,SailingRace,50,RU,2017-10-24
finchbird.games.froggy,フロッグ,51,RU,2017-10-24
com.crechelessons.alfavit,Русскийалфавитдлядетей.Играйиучиазбуку,52,RU,2017-10-24
appinventor.ai_intellab2012.compare20,Сравнитьчисла,53,RU,2017-10-24
