app_id,app_name,rank,country_code,date
com.mojang.minecraftpe,Minecraft,1,RU,2018-02-22
org.prowl.torque,TorquePro(OBD2/Car),2,RU,2018-02-22
com.squareenixmontreal.hitmansniperandroid,ヒットマンスナイパー(HitmanSniper),3,RU,2018-02-22
com.gm_shaber.dayrpremium,DayRPremium,4,RU,2018-02-22
com.vinwap.parallaxwallpaper,3DParallaxBackground,5,RU,2018-02-22
com.agaming.thesun.origin,TheSun:Origin,6,RU,2018-02-22
com.lightricks.facetune,Facetune,7,RU,2018-02-22
com.maxmpz.audioplayer.unlock,PowerampFullVersionUnlocker,8,RU,2018-02-22
com.robtopx.geometryjump,GeometryDash,9,RU,2018-02-22
com.ironhidegames.android.kingdomrushorigins,KingdomRushOrigins,10,RU,2018-02-22
com.nerdyyetis.spacefuss,SpaceFuss,11,RU,2018-02-22
com.ivolk.StrelkaGPS,АнтирадарСтрелка,12,RU,2018-02-22
com.dreamsky.DiabloLOL,リーグ・オブ・スティックメン(Dreamsky),13,RU,2018-02-22
air.StrelkaSD,GPSАнтиРадар(радар-детектор),14,RU,2018-02-22
com.axidep.polyglotfull,Полиглот.Английскийязык,15,RU,2018-02-22
com.agaming.reporterii,Reporter2,16,RU,2018-02-22
com.teamspeak.ts3client,TeamSpeak3,17,RU,2018-02-22
com.rockstargames.gtasa,グランド・セフト・オート・サンアンドレアス,18,RU,2018-02-22
com.binibambini.Mini,子供のための絵画練習”線をなぞりましょう！,19,RU,2018-02-22
com.andromeda.truefishing.full,РеальнаяРыбалка(ключ),20,RU,2018-02-22
com.and.games505.TerrariaPaid,Terraria.,21,RU,2018-02-22
com.nll.acr.license,ACRライセンス,22,RU,2018-02-22
se.feomedia.quizkampen.ru.premium,БорьбаУмовПРЕМИУМ,23,RU,2018-02-22
com.pixelcurves.tlauncher,TLBeta,24,RU,2018-02-22
amanita_design.samorost3.GP,Samorost3(サモロスト3),25,RU,2018-02-22
com.corecoders.skitracks,SkiTracks,26,RU,2018-02-22
com.ironhidegames.android.kingdomrushfrontiers,KingdomRushFrontiers,27,RU,2018-02-22
com.realdrift.sipon,RealDriftCarRacing,28,RU,2018-02-22
air.StrelkaHUDPREMIUM,HUDАнтиРадар,29,RU,2018-02-22
com.giantssoftware.fs18.google,FarmingSimulator18,30,RU,2018-02-22
com.pnn.obdcardoctor_full,OBDCarDoctorPRO|ELM327OBD2,31,RU,2018-02-22
com.FireproofStudios.TheRoom,TheRoom,32,RU,2018-02-22
com.cvtz50.cvtz50,CVTz50,33,RU,2018-02-22
ru.buka.syberia1,Сибирь,34,RU,2018-02-22
com.venomizedart.Slaughter,Slaughter,35,RU,2018-02-22
com.fbreader,FBReaderPremium–BookReader,36,RU,2018-02-22
com.mtvn.sbmigoogleplay,SpongeBobMovesIn,37,RU,2018-02-22
ch.threema.app,Threema,38,RU,2018-02-22
com.agaming.reporter,Reporter,39,RU,2018-02-22
com.ubisoft.assassinscreed.identity,アサシンクリードアイデンティティ,40,RU,2018-02-22
mindware.minegamespro,マインスイーパームプロ,41,RU,2018-02-22
com.RedStarGames.WarContent,WarContent,42,RU,2018-02-22
com.rockstargames.gtavc,グランド・セフト・オート・バイスシティ,43,RU,2018-02-22
com.birdshel.Uciana,Uciana,44,RU,2018-02-22
com.agaming.zonaprojectx,Z.O.N.AProjectX,45,RU,2018-02-22
com.scottgames.fivenightsatfreddys,FiveNightsatFreddy's,46,RU,2018-02-22
com.notdoppler.earntodie,EarntoDie,47,RU,2018-02-22
com.EtherGaming.PocketRoguesUltimate,PocketRogues:Ultimate,48,RU,2018-02-22
com.dynamixsoftware.printershare.premium,PrinterShareプレミアムキー,49,RU,2018-02-22
com.teslacoilsw.launcher.prime,NovaLauncherPrime,50,RU,2018-02-22
eu.thedarken.sdm.unlocker,SDメイドPro-ライセンスキー,51,RU,2018-02-22
cc.peacedeath.peacedeath,"Peace,Death!",52,RU,2018-02-22
com.limbic.ac130,ZombieGunship,53,RU,2018-02-22
air.net.machinarium.Machinarium.GP,Machinarium（マシナリウム）,54,RU,2018-02-22
air.com.exicon.dp01,Денежныйпоток101,55,RU,2018-02-22
com.codemasters.f12016,F12016,56,RU,2018-02-22
com.alexanderbukharev.parkourflight,ParkourFlight,57,RU,2018-02-22
fitness.fitprosportfull,FitnessTrainerFitProSportFULL,58,RU,2018-02-22
com.arrowstar.FirstVoice,ピーカブー（いないいないばあ）でびっくり！完全版,59,RU,2018-02-22
com.astech.forscanlite,FORScanLite,60,RU,2018-02-22
com.jumpgames.RealSteel,RealSteel,61,RU,2018-02-22
com.agaming.mentalhospitalV,MentalHospitalV,62,RU,2018-02-22
com.turner.ttgfigures,ティーニー・タイタンズ-ティーン・タイタンズＧＯ！,63,RU,2018-02-22
ru.buka.syberia2,Сибирь2,64,RU,2018-02-22
com.kostosha.poliglot16.full,Полиглот16-Английскийязык,65,RU,2018-02-22
cam.uaz,RussianSUV,66,RU,2018-02-22
com.greenheartgames.gdt,GameDevTycoon,67,RU,2018-02-22
com.atlogis.sovietmaps,ロシア軍地図PRO,68,RU,2018-02-22
net.cleverbit.SaveAnimalsFull,УчисьЧитать(полнаяверсия),69,RU,2018-02-22
com.forever.iesabel,Iesabel,70,RU,2018-02-22
ru.evg.and.app.flashoncallplus,FlashOnCallPremium(callandapp),71,RU,2018-02-22
com.kleientertainment.doNotStarvePocket,Don'tStarve:PocketEdition,72,RU,2018-02-22
com.AngryNeighbor,AngryNeighbor,73,RU,2018-02-22
cz.zdenekhorak.mibandtools,Tools&MiBand,74,RU,2018-02-22
com.vladlee.callsblacklist,CallsBlacklistPRO,75,RU,2018-02-22
com.utorrent.client.pro,µTorrent®Pro-TorrentApp,76,RU,2018-02-22
com.estrongs.android.pop.pro,ESFileExplorer/ManagerPRO,77,RU,2018-02-22
com.speedsoftware.rootexplorer,RootExplorer,78,RU,2018-02-22
com.alexuvarov.android.english_words_pro,АнглийскиеСловаPRO,79,RU,2018-02-22
com.hg.townsmen7,TownsmenPremium,80,RU,2018-02-22
com.astragon.cs2014,コンストラクションシミュレーター2014,81,RU,2018-02-22
com.hammerfall.regicide,"Warhammer40,000:Regicide",82,RU,2018-02-22
com.advasoft.touchretouch,TouchRetouch,83,RU,2018-02-22
com.mxtech.videoplayer.pro,MXPlayerPro,84,RU,2018-02-22
com.fde.predators,Predators™,85,RU,2018-02-22
com.squareenixmontreal.lcgo,LaraCroftGO,86,RU,2018-02-22
com.toh.callrecorderpro,コールレコーダープロ,87,RU,2018-02-22
com.playdead.limbo.full,LIMBO,88,RU,2018-02-22
com.FireproofStudios.TheRoom2,TheRoomTwo,89,RU,2018-02-22
com.mobileshift.kubaturnikpro,РасчеткубатурыPro,90,RU,2018-02-22
br.com.zoetropic,Zoetropic-Fotoemmovimento,91,RU,2018-02-22
ilmfinity.evocreo.main.android,EvoCreo,92,RU,2018-02-22
com.creativemobile.beholder,Beholder,93,RU,2018-02-22
ru.pa3py6aka.worktimePlus,Учётмаршрутовдлялок.бригад,94,RU,2018-02-22
com.gameloft.android.ANMP.GloftASHM,アメイジング・スパイダーマン2,95,RU,2018-02-22
com.ksmobile.pro.launcher,💎CMLauncherPro,96,RU,2018-02-22
net.osmand.srtmPlugin.paid,Contourlinesplugin—OsmAnd,97,RU,2018-02-22
com.ea.games.nfs13_row,NeedforSpeed™MostWanted,98,RU,2018-02-22
com.THIRTEENDAYS.ThirteenDaysOfLife,13DAYSOFLIFE,99,RU,2018-02-22
com.andigames.dot2pro,DirtOnTires2:Village,100,RU,2018-02-22
ru.buka.petka,RedComrades,101,RU,2018-02-22
com.arrowstar.SmartKidSE,УМНЫЙМАЛЫШ–2!ИгрыдетямFULL,102,RU,2018-02-22
com.robotgentleman.game60seconds,60Seconds!AtomicAdventure,103,RU,2018-02-22
com.wb.goog.lnjgo,LEGO®Ninjago™ShadowofRonin,104,RU,2018-02-22
com.dbSoftware.siepro,SurvivalIsland:EvolvePro!,105,RU,2018-02-22
hobdrive.android,"HobDriveOBD2ELM327,cardiagnostics,tripcomp",106,RU,2018-02-22
com.nekki.shadowfight2.paid,ShadowFight2SpecialEdition,107,RU,2018-02-22
com.FireproofStudios.TheRoom3,TheRoomThree,108,RU,2018-02-22
kb2.soft.carexpensespro,CarExpensesPro(Manager),109,RU,2018-02-22
com.scottgames.sisterlocation,FiveNightsatFreddy's:SL,110,RU,2018-02-22
com.kunkunsoft.packagedisabler,BKPackageDisabler(Samsung),111,RU,2018-02-22
pl.idreams.pottery,Let'sCreate!Pottery,112,RU,2018-02-22
net.dinglisch.android.taskerm,Tasker,113,RU,2018-02-22
com.squareenixmontreal.hitmango,HitmanGO,114,RU,2018-02-22
mytown.hospital,MyTown:Hospitalホスピタル,115,RU,2018-02-22
com.oddworld.Stranger,Oddworld:Stranger'sWrath,116,RU,2018-02-22
net.cleverbit.PuzzlesForKidsFull,"FunnyAnimalPuzzlesforKids,fullgame",117,RU,2018-02-22
pdd.app.y2016,ПДД2018AB,118,RU,2018-02-22
com.disney.WMW,スワンピーのお風呂パニック！,119,RU,2018-02-22
com.giantssoftware.fs16,FarmingSimulator16,120,RU,2018-02-22
com.buak.link2sdplus,Link2SDPlus(New),121,RU,2018-02-22
com.flavionet.android.camera.pro,CameraFV-5,122,RU,2018-02-22
com.wb.goog.scribbleremix,ScribblenautsRemix,123,RU,2018-02-22
com.aspyr.swkotor,StarWars™:KOTOR,124,RU,2018-02-22
com.glebzakaev.mobilecarrierspro,СотовыеоператорыPRO,125,RU,2018-02-22
com.urbandroid.sleep.full.key,SleepasAndroidUnlock,126,RU,2018-02-22
com.smgstudio.otttd,OTTTD:OverTheTopTD,127,RU,2018-02-22
com.IcePick.KnockKnockRelease,Knock-Knock,128,RU,2018-02-22
com.turner.atskisafari,SkiSafari:AdventureTime,129,RU,2018-02-22
com.artifexmundi.queensquest.gp.full,クイーンズクエスト：闇の塔(Full),130,RU,2018-02-22
com.leosfortune,レオズ・フォーチュン,131,RU,2018-02-22
com.panicartstudios.herosiegepocket,HeroSiege:PocketEdition,132,RU,2018-02-22
com.bluebraingames.thehouseofdavinci,TheHouseofDaVinci,133,RU,2018-02-22
com.rockstar.gta3,GrandTheftAutoIII,134,RU,2018-02-22
com.rockstar.maxpayne,マックス・ペインモバイル,135,RU,2018-02-22
com.agaming.mentalhospitaliv,MentalHospitalIV,136,RU,2018-02-22
alexcrusher.just6weeks.full,Just6Weeks,137,RU,2018-02-22
com.epsxe.ePSXe,ePSXeforAndroid,138,RU,2018-02-22
com.arrowstar.SongABC,"Азбукавпесенках,игрыFULL",139,RU,2018-02-22
com.adaptech.gymup_pro,GymUpProдневниктренировок,140,RU,2018-02-22
com.easytech.wc4.android,世界の覇者4,141,RU,2018-02-22
ru.iptvremote.android.iptv.pro,IPTVPro,142,RU,2018-02-22
