app_id,app_name,rank,country_code,date
com.king.candycrushsaga,キャンディークラッシュ,1,SE,2018-03-05
com.nianticlabs.pokemongo,PokémonGO,2,SE,2018-03-05
com.moonactive.coinmaster,CoinMaster,3,SE,2018-03-05
com.king.candycrushsodasaga,キャンディークラッシュソーダ,4,SE,2018-03-05
com.funplus.kingofavalon,キング・オブ・アバロン:ドラゴン戦争(KoA),5,SE,2018-03-05
com.droidhang.ad,IdleHeroes-無料放置育成RPG,6,SE,2018-03-05
com.playrix.gardenscapes,ガーデンスケイプ(Gardenscapes),7,SE,2018-03-05
com.playrix.homescapes,ホームスケイプ(Homescapes),8,SE,2018-03-05
com.igg.android.lordsmobile,ロードモバイル【本格リアルタイムストラテジーMMORPG】,9,SE,2018-03-05
com.ea.game.starwarscapital_row,スター・ウォーズ／銀河の英雄,10,SE,2018-03-05
com.diandian.gog,ガンズ・オブ・グローリー(GunsofGlory),11,SE,2018-03-05
com.playdemic.golf.android,ゴルフクラッシュ,12,SE,2018-03-05
com.supercell.hayday,ヘイ・デイ(HayDay),13,SE,2018-03-05
com.com2us.smon.normal.freefull.google.kr.android.common,サマナーズウォー:SkyArena,14,SE,2018-03-05
air.com.playtika.slotomania,Slotomania-FreeSlots英語版,15,SE,2018-03-05
com.n3twork.legendary,Legendary:GameofHeroes,16,SE,2018-03-05
com.nintendo.zaba,ファイアーエムブレムヒーローズ,17,SE,2018-03-05
com.smallgiantgames.empires,Empires&Puzzles:RPGQuest,18,SE,2018-03-05
com.supercell.clashroyale,クラッシュ・ロワイヤル(ClashRoyale),19,SE,2018-03-05
com.king.farmheroessaga,ファームヒーロー,20,SE,2018-03-05
com.epicactiononline.ffxv.ane,ファイナルファンタジー15:新たなる王国(FinalFantasyXV),21,SE,2018-03-05
net.peakgames.toonblast,ToonBlast,22,SE,2018-03-05
com.roblox.client,ROBLOX,23,SE,2018-03-05
com.blizzard.wtcg.hearthstone,ハースストーン(Hearthstone),24,SE,2018-03-05
com.king.bubblewitch3,バブルウィッチ3,25,SE,2018-03-05
com.netmarble.lin2ws,Lineage2:Revolution,26,SE,2018-03-05
com.plarium.vikings,ヴァイキングス：ウォー・オブ・クラン,27,SE,2018-03-05
net.peakgames.amy,ToyBlast,28,SE,2018-03-05
com.supercell.clashofclans,クラッシュ・オブ・クラン(ClashofClans),29,SE,2018-03-05
com.heroesofchaos.ggplay.koramgame.eu,Goddess:PrimalChaos-English3DActionMMORPG,30,SE,2018-03-05
com.igg.castleclash,CastleClash,31,SE,2018-03-05
com.zynga.livepoker,Zyngaポーカー,32,SE,2018-03-05
com.innogames.foeandroid,ForgeofEmpires,33,SE,2018-03-05
com.hcg.cok.gp,クラッシュオブキングス-「城育成シミュレーションRPG」,34,SE,2018-03-05
com.playrix.township,タウンシップ(Township),35,SE,2018-03-05
com.elex.nikkigp,LoveNikki-DressUPQueen,36,SE,2018-03-05
com.king.candycrushjellysaga,キャンディークラッシュゼリー,37,SE,2018-03-05
com.playrix.fishdomdd.gplay,フィッシュダム(Fishdom),38,SE,2018-03-05
com.kabam.marvelbattle,MARVELオールスターバトル,39,SE,2018-03-05
com.rovio.baba,アングリーバード2(AngryBirds2),40,SE,2018-03-05
com.namcobandaigames.spmoja010E,ONEPIECETREASURECRUISE,41,SE,2018-03-05
com.my.hc.rpg.kingdom.simulator,HustleCastle–アイドルシェルターの英雄,42,SE,2018-03-05
com.lilithgame.sgame.gp.oss,ArtofConquest(AoC),43,SE,2018-03-05
com.apnax.wordsnack.sv,OrdSnack-Dinpicknickmedord,44,SE,2018-03-05
com.huuuge.casino.slots,Huuugeカジノ™オンラインスロット、世界で1000万人が遊ぶラスベガスSlotsとカジノゲーム,45,SE,2018-03-05
com.crowdstar.covetHome,DesignHome,46,SE,2018-03-05
com.scopely.headshot,ウォーキング・デッドサバイバルへの道,47,SE,2018-03-05
com.camelgames.superking,WarandOrder,48,SE,2018-03-05
com.yottagames.mafiawar,MafiaCity,49,SE,2018-03-05
com.mojang.minecraftpe,Minecraft,50,SE,2018-03-05
com.pixelberrystudios.choices,Choices:StoriesYouPlay,51,SE,2018-03-05
com.gtarcade.lod,LegacyofDiscord-FuriousWings,52,SE,2018-03-05
com.gramgames.mergedragons,MergeDragons!,53,SE,2018-03-05
com.king.petrescuesaga,ペットレスキュー,54,SE,2018-03-05
com.mobile.legends,モバイル·レジェンド:BangBang,55,SE,2018-03-05
zombie.survival.craft.z,LastDayonEarth:Survival,56,SE,2018-03-05
com.ea.gp.fifamobile,FIFAサッカー,57,SE,2018-03-05
com.matchington.mansion,マッチングトン·マンション,58,SE,2018-03-05
com.miniclip.eightballpool,8BallPool,59,SE,2018-03-05
com.qiiwi.backpacker,Backpacker™-TravelTriviaGame,60,SE,2018-03-05
eu.nordeus.topeleven.android,TopElevenファンタジーサッカーマネージャー,61,SE,2018-03-05
com.pixel.gun3d,ピクセルガン3D。(PixelGun3D),62,SE,2018-03-05
com.pixonic.wwr,WarRobots,63,SE,2018-03-05
com.pacificinteractive.HouseOfFun,フリー・スロットカジノ-HouseofFunゲーム,64,SE,2018-03-05
com.ea.game.simcitymobile_row,シムシティ　ビルドイット(SIMCITYBUILDIT),65,SE,2018-03-05
com.gta.nslm2,LeagueofAngels-ParadiseLand,66,SE,2018-03-05
com.epicwaronline.ms,モバイルストライク【MobileStrike】,67,SE,2018-03-05
com.bandainamcogames.dbzdokkanww,DRAGONBALLZDOKKANBATTLE,68,SE,2018-03-05
com.rumbleentertainment.alliance,Alliance:HeroesoftheSpire,69,SE,2018-03-05
com.ludia.jurassicworld,JurassicWorld™:ザ·ゲーム,70,SE,2018-03-05
com.socialquantum.acityint,メガポリス(Megapolis),71,SE,2018-03-05
com.topgamesinc.evony,エボニー-王の帰還,72,SE,2018-03-05
com.naturalmotion.customstreetracer2,CSRRacing2,73,SE,2018-03-05
com.moonton.magicrush,マジックラッシュ(MagicRush:Heroes),74,SE,2018-03-05
com.square_enix.android_googleplay.FFBEWW,FINALFANTASYBRAVEEXVIUS,75,SE,2018-03-05
com.wb.goog.got.conquest,ゲーム・オブ・スローンズ：コンクエスト,76,SE,2018-03-05
com.klab.bleach,BLEACHBraveSouls,77,SE,2018-03-05
com.gamehivecorp.taptitans2,TapTitans2,78,SE,2018-03-05
com.midasplayer.apps.bubblewitchsaga2,バブルウィッチ,79,SE,2018-03-05
com.goldtowngames.worldhockeymanager,WorldHockeyManager,80,SE,2018-03-05
com.tap4fun.brutalage_test,BrutalAge:HordeInvasion,81,SE,2018-03-05
air.com.sgn.cookiejam.gp,クッキージャム,82,SE,2018-03-05
com.gsn.android.tripeaks,SolitaireTriPeaks,83,SE,2018-03-05
com.rovio.tnt,AngryBirdsEvolution,84,SE,2018-03-05
com.bigfishgames.gummydropgoogle,グミドロップ！-爽快パズルゲーム,85,SE,2018-03-05
com.d3p.mpq,マーベル・パズルクエス,86,SE,2018-03-05
com.more.dayzsurvival.gp,LastShelter:Survival,87,SE,2018-03-05
com.supercell.boombeach,ブーム・ビーチ(BoomBeach),88,SE,2018-03-05
com.Seriously.BestFiends,BestFiends-パズルアドベンチャー,89,SE,2018-03-05
com.mobblo.flyfflegacy,FlyffLegacy-AnimeMMORPG,90,SE,2018-03-05
com.hts.ams,アーミーメン・ストライク－ArmyMenStrike,91,SE,2018-03-05
com.king.farmheroessupersaga,ファームヒーロー・スーパー,92,SE,2018-03-05
com.nkm.kp.hh,ハイパーヒーローズ(HyperHeroes:Marble-LikeRPG),93,SE,2018-03-05
com.bigfishgames.cookingcrazegooglef2p,クッキングクレイズ-超絶ハイテンポ・レストランゲーム,94,SE,2018-03-05
net.wargaming.wot.blitz,ワールド・オブ・タンクス・ブリッツ,95,SE,2018-03-05
com.fingersoft.hcr2,HillClimbRacing2,96,SE,2018-03-05
com.plarium.throne,Throne:KingdomatWar,97,SE,2018-03-05
jp.konami.duellinks,遊戯王デュエルリンクス,98,SE,2018-03-05
com.machinezone.gow,ゲーム・オブ・ウォー【GameofWar】,99,SE,2018-03-05
com.ea.games.simsfreeplay_row,TheSimsFreePlay,100,SE,2018-03-05
com.episodeinteractive.android.catalog,Episode-ChooseYourStory,101,SE,2018-03-05
com.nutsplay.slg2.en.ccgg,WarofColony,102,SE,2018-03-05
com.erepubliklabs.worldatwar,WorldatWar:WW2StrategyMMO,103,SE,2018-03-05
com.playstudios.popslots,POP!Slots－スロット無料カジノ,104,SE,2018-03-05
