app_id,app_name,rank,country_code,date
com.nianticlabs.pokemongo,PokémonGO,1,SE,2016-07-25
com.miniclip.diep.io,diep.io,2,SE,2016-07-25
com.flgamestudio.jj,Jocke&Jonna,3,SE,2016-07-25
com.turner.cardwars2,CardWarsKingdom,4,SE,2016-07-25
com.lego.city.my_city2,LEGO®CityMyCity2,5,SE,2016-07-25
com.funplus.kingofavalon,キング・オブ・アバロン:ドラゴン戦争(KoA),6,SE,2016-07-25
com.auxbrain.egginc,"Egg,Inc.",7,SE,2016-07-25
com.kongregate.mobile.throwdown.google,AnimationThrowdown:TQFC,8,SE,2016-07-25
com.activision.ghostbusters.slimecity,Ghostbusters™:SlimeCity,9,SE,2016-07-25
com.weplaydots.plus,Dots&Co,10,SE,2016-07-25
com.ea.gp.nbamobile,NBALIVEMobile,11,SE,2016-07-25
com.cocoplay.highschoolcrush,ハイスクール・ラブ－初めての恋,12,SE,2016-07-25
com.realtrends.higherlower,HigherLowerQuizGame,13,SE,2016-07-25
com.thenextflow.pokemonlocator,PokelocatorforPokemonGo,14,SE,2016-07-25
com.badminton.free,バドミントン-Badminton,15,SE,2016-07-25
com.crazylabs.mysophia,ソフィア-私の小さな妹,16,SE,2016-07-25
com.sugarsmash.android,CandyBomb!,17,SE,2016-07-25
br.com.tapps.catevolution,CatEvolution-ClickerGame,18,SE,2016-07-25
com.bubadu.supermarket,スーパーマーケット–子供向けゲーム,19,SE,2016-07-25
com.glu.gordondashx,GORDONRAMSAYDASH,20,SE,2016-07-25
se.isakpersson.dashyknight,DashyKnight,21,SE,2016-07-25
com.tapinator.crazy.goat.reloaded,CrazyGoatReloaded2016,22,SE,2016-07-25
com.noodlecake.ssg3,SuperStickmanGolf3,23,SE,2016-07-25
com.codecomputerlove.higherlowergame,TheHigherLowerGame,24,SE,2016-07-25
com.dbzxm.fszfsg.en,Pirates:TheHeir,25,SE,2016-07-25
com.mousemobile.explorationcraft,ブロックワールド-ExplorationCraft,26,SE,2016-07-25
com.cocoplay.ponyfashionacademy,ポニープリンセスアカデミー,27,SE,2016-07-25
com.ketchapp.up,GoUp,28,SE,2016-07-25
com.roadhousegames.lotb,Maiden:LegacyoftheBeast,29,SE,2016-07-25
com.tapinator.multi.storey.parking.mania,Multi-storeyParkingMania3D,30,SE,2016-07-25
com.saabgroup.gripenfc,GripenFighterChallenge,31,SE,2016-07-25
com.k3games.princessfashionsalon3.free,PrincessMakeupSalon3,32,SE,2016-07-25
com.ketchapp.trio,Trio,33,SE,2016-07-25
com.nexon.hit.global,HIT,34,SE,2016-07-25
com.crazylabs.alicerunner,不思議の国のアリス・ラッシュ,35,SE,2016-07-25
com.tutotoons.app.bffworldtriphollywood.free,BFFWorldTripHollywood,36,SE,2016-07-25
com.ketchapp.steps,Steps,37,SE,2016-07-25
com.tapinator.ultimate.monster,UltimateMonster2016,38,SE,2016-07-25
com.bitmango.go.fruitsmaniamatch3,FruitsMania:Elly’stravel,39,SE,2016-07-25
com.kxzyb.movie,映画楽園-HollywoodParadise,40,SE,2016-07-25
com.rolocule.bowlingCentral2,ボウリング・セントラル2,41,SE,2016-07-25
com.ffang.whitetank,Deep.ioTank-DiepWarOnline,42,SE,2016-07-25
com.mg.policemotorcyclesimulator3d,PoliceMotorcycleSimulator3D,43,SE,2016-07-25
com.gtracegames.flyingmotorcycle,FlyingMotorcycleSimulator,44,SE,2016-07-25
air.com.peppapig.paintbox,PeppaPig:Paintbox,45,SE,2016-07-25
air.com.tutotoons.app.princesshorseclub3.free,PrincessHorseClub3,46,SE,2016-07-25
com.game.bubbleshooter.free,バブルシューター–BubbleShooter,47,SE,2016-07-25
com.thisiscarofminel31.game31,RacingCarMr-Bean,48,SE,2016-07-25
com.bubadu.buildergame,BuilderGame(ビルダー・ゲーム),49,SE,2016-07-25
com.tinylabproductions.monstertruckpolice,MonsterTruckPoliceRacing,50,SE,2016-07-25
com.wb.goog.suicidesquad.so,SuicideSquad:SpecialOps,51,SE,2016-07-25
com.nanovationlabs.slipawayandroid,SlipAway,52,SE,2016-07-25
com.highway.motorbike.rider,HighwayMotorbikeRider,53,SE,2016-07-25
com.sudoku.four.mobidev,数独,54,SE,2016-07-25
com.vg.armyplanecargoplane3d,Armyplanecargosimulator3D,55,SE,2016-07-25
air.com.beachbumgammon,Backgammon-LordoftheBoard,56,SE,2016-07-25
uk.co.crashlab.trackyTrain,TrackyTrain,57,SE,2016-07-25
com.luckykat.combocritters,コンボクリッター,58,SE,2016-07-25
com.tp.android.firemanlovestory,消防士ラブストーリー,59,SE,2016-07-25
com.k3games.poolparty.free,PoolParty-GirlsMakeover,60,SE,2016-07-25
com.yodo1.roda,RoomsofDoom,61,SE,2016-07-25
com.goldenoakapps.pau.pokeegg,PokeEgg,62,SE,2016-07-25
com.tapinator.shark.io,Shark.io,63,SE,2016-07-25
com.zonmob.StickmanRevenge,StickmanRevenge3,64,SE,2016-07-25
org.skydomain.tubersimulator,TubeSimulator,65,SE,2016-07-25
com.dogbytegames.deadventure,DeadVenture:ZombieSurvival,66,SE,2016-07-25
com.tg.angryanimalspolicetransport,AngryAnimalsPoliceTransport,67,SE,2016-07-25
com.dockyardgames.oxford,SlashMobs,68,SE,2016-07-25
com.tinytitanstudios.tapsmiths,TapSmiths,69,SE,2016-07-25
com.baklabs.ambulance.simulator,救急車のゲーム2016,70,SE,2016-07-25
com.fluffyfairygames.idleminertycoon,アイドルマイナタイクーンIdleMinerTycoon,71,SE,2016-07-25
com.tinylabproductions.emergency,EmergencyCarRacingHero,72,SE,2016-07-25
com.runningpillow.CM,LootHunters,73,SE,2016-07-25
com.cheshirex.limaxis,Limaz.io,74,SE,2016-07-25
com.bubadu.myicecreamworld,マイ・アイスクリーム・ワールド,75,SE,2016-07-25
com.gs.prisoner.escape.story,PrisonerEscapeStory2016,76,SE,2016-07-25
com.mg.flyingpolicebikesimulator,警察バイクシミュレータフライング,77,SE,2016-07-25
com.tgg.pearlssummervacationcleanup,真珠夏休みのクリーンアップ,78,SE,2016-07-25
com.teamlava.matchbakery55,カップケーキマニア：ガラパゴス,79,SE,2016-07-25
com.vg.chicagocitypolicestory3d,シカゴ市の警察の話,80,SE,2016-07-25
com.tinylabproductions.motocrosssafari,SafariMotocrossRacing,81,SE,2016-07-25
com.ForgeGames.SpecialForcesGroup2,SpecialForcesGroup2,82,SE,2016-07-25
com.vg.constructioncranehillclimb,建設用クレーンのヒルクライム,83,SE,2016-07-25
com.libii.perfectbeachday,PrincessLibby'sBeachDay,84,SE,2016-07-25
com.gtracegames.flyingyachtsimulator,FlyingYachtSimulator,85,SE,2016-07-25
com.animocabrands.google.mhminismania,MonsterHigh™MinisMania,86,SE,2016-07-25
com.enjoygame.ttwyen,LineageWar,87,SE,2016-07-25
com.mg.rodeopolicehorsesimulator,RodeoPoliceHorseSimulator,88,SE,2016-07-25
com.doodle.tank,タンクショック-TankStrike,89,SE,2016-07-25
com.gtracegames.flyingmotorbikestunt,FlyingMotorbikeStuntRider,90,SE,2016-07-25
com.netmarble.soulkingglobal,SoulKing,91,SE,2016-07-25
com.tgg.kidscookinglittlebbqmaster,リトルバーベキューマスタークッキングキッズ,92,SE,2016-07-25
air.com.qublix.taleslive,SolitaireTalesLive,93,SE,2016-07-25
com.tapinator.coach.school,CoachtoSchool2016,94,SE,2016-07-25
com.amelosinteractive.ion,IONSpace,95,SE,2016-07-25
com.masukachi.husbands,100億人の私の旦那,96,SE,2016-07-25
com.gtracegames.flyingdragon.furydragon,FlyingFuryDragonSimulator,97,SE,2016-07-25
com.coolappstudio.pocketgocatch,PocketGoCatch,98,SE,2016-07-25
com.orangeapps.candyvalley,CandyValley,99,SE,2016-07-25
br.com.tapps.sosocial,SoSocial-TheGame,100,SE,2016-07-25
com.bambo.shootgoalworldcup,シュートゴール-サッカーワールドカップ,101,SE,2016-07-25
com.sharkparty.monopolybingo54,MONOPOLYBingo!:WorldEdition,102,SE,2016-07-25
com.tapinator.car.robots.demolition,CarVs.RobotsDemolition2016,103,SE,2016-07-25
jp.co.cybird.bfb.champ,サッカーゲームBFBチャンピオンズ,104,SE,2016-07-25
com.tapinator.dinosaur.race,DinosaurRace3D,105,SE,2016-07-25
com.libii.chefpair,ChefSiblingIslandRestaurant,106,SE,2016-07-25
com.ffang.diepcraft,Diep.ioCraft-FastTankWar,107,SE,2016-07-25
