app_id,app_name,rank,country_code,date
mylittleprincess.wizard,MyLittlePrincess：魔法使い,1,SE,2018-03-29
com.syntaxity.bigfootquest,ビッグフットクエスト,2,SE,2018-03-29
com.mountains.feathertop,Florence,3,SE,2018-03-29
com.rayark.cytus2,CytusII(サイタスⅡ),4,SE,2018-03-29
no.hypergames.kalasalfons,"HappyBirthday,AlfieAtkins!",5,SE,2018-03-29
com.mageeks.android.trucksim18,TruckSimulatorPROEurope,6,SE,2018-03-29
cz.pixelmate.cognitobaby,啓発教育の優れた赤ちゃん：子供の多言語認知-CognitoBaby🇯🇵🦁🐸,7,SE,2018-03-29
com.stampedegames.projekt,.projekt,8,SE,2018-03-29
com.beamdog.siegeofdragonspear,SiegeofDragonspear,9,SE,2018-03-29
com.artifexmundi.noirchronicles.gp.full,ノワールクロニクル:犯罪の都市(Full),10,SE,2018-03-29
com.eggoninteractive.litd,LostintheDungeon,11,SE,2018-03-29
com.tankwars.tank_wars,TankWars,12,SE,2018-03-29
com.dumpling.smashtanks,ARSmashTanks!,13,SE,2018-03-29
works.pblc.ghoul,Ghoul,14,SE,2018-03-29
com.threaks.battleplanet.ar,BattlePlanetAR,15,SE,2018-03-29
com.akuparagames.kimr,KeepinMind:Remastered,16,SE,2018-03-29
com.bwsoft.bwsurvival,CanYouSurvive?:SurvivalWorldPRO,17,SE,2018-03-29
com.fivebn.tl02.full,レガシー2(Full),18,SE,2018-03-29
com.daerisoft.cartoon.plus,マンガダンジョンVIP,19,SE,2018-03-29
com.yogergames.memory_princess.full,幼児のためのプリンセスユニコーンメモメモゲーム,20,SE,2018-03-29
com.lvvr.spaceforce,PresidentialSpaceForce,21,SE,2018-03-29
com.ThivraInfo.Aadhyakshar,Aadhyakshar-All-in-OneHindiLearningforKids,22,SE,2018-03-29
com.aerosoft.notrufmobile112,Notruf112–DieFeuerwehrSimulation,23,SE,2018-03-29
ru.whitebunny.usagifeed,ПокормиКролика(FeedUsagi),24,SE,2018-03-29
com.twentyafterone.truckstars,TruckStarsAR,25,SE,2018-03-29
