app_id,app_name,rank,country_code,date
com.mojang.minecraftpe,マインクラフトMinecraft:PocketEd.,1,SE,2016-12-28
com.ninjakiwi.bloonstd5,BloonsTD5,2,SE,2016-12-28
com.robtopx.geometryjump,GeometryDash,3,SE,2016-12-28
com.trueaxis.trueskate,TrueSkate,4,SE,2016-12-28
se.feomedia.quizkampen.premium,QuizkampenPREMIUM,5,SE,2016-12-28
com.devolver.reigns,Reigns,6,SE,2016-12-28
com.squareenixmontreal.hitmansniperandroid,HitmanSniper,7,SE,2016-12-28
com.atari.mobile.rctc,RollerCoasterTycoon®Classic,8,SE,2016-12-28
com.hbwares.wordfeud.full,Wordfeud,9,SE,2016-12-28
se.filimundus.pippivvkhd,長くつ下のピッピのごたごた荘,10,SE,2016-12-28
com.squareenixmontreal.deusexgo,DeusExGO-パズルチャレンジ,11,SE,2016-12-28
se.filimundus.pi3,ペットソンのからくり3,12,SE,2016-12-28
com.daysofwonder.tt.android,TickettoRide,13,SE,2016-12-28
no.hypergames.hokuspokuspremium,HocusPocusAlfieAtkins,14,SE,2016-12-28
com.leosfortune,レオズ・フォーチュン,15,SE,2016-12-28
se.filimundus.pideluxe,ペットソンのからくりデラックス,16,SE,2016-12-28
com.coffeestainstudios.goatsimulator,GoatSimulator,17,SE,2016-12-28
com.playdead.limbo.full,LIMBO,18,SE,2016-12-28
com.aspyr.swkotor,StarWars™:KOTOR,19,SE,2016-12-28
com.kleientertainment.doNotStarvePocket,Don'tStarve:PocketEdition,20,SE,2016-12-28
com.squareenixmontreal.hitmango,HitmanGO,21,SE,2016-12-28
com.vectorunit.silver.googleplay,RiptideGP:Renegade,22,SE,2016-12-28
com.turner.ttgfigures,ティーニー・タイタンズ-ティーン・タイタンズＧＯ！,23,SE,2016-12-28
com.squareenixmontreal.lcgo,LaraCroftGO,24,SE,2016-12-28
se.vitamin.mig.mig4sv,MIG4-Frågespel,25,SE,2016-12-28
com.and.games505.TerrariaPaid,Terraria.,26,SE,2016-12-28
com.sigames.fmm2017,『FootballManagerMobile2017』,27,SE,2016-12-28
com.f2zentertainment.pandemic,Pandemic:TheBoardGame,28,SE,2016-12-28
com.exozet.game.carcassonne,Carcassonne[カルカソンヌ],29,SE,2016-12-28
com.tt2kgames.xcomew,XCOM®:EnemyWithin,30,SE,2016-12-28
com.ea.games.nfs13_row,NeedforSpeed™MostWanted,31,SE,2016-12-28
com.zenstudios.StarWarsPinball,StarWars™Pinball4,32,SE,2016-12-28
com.ironhidegames.android.kingdomrushorigins,KingdomRushOrigins,33,SE,2016-12-28
se.filimundus.briorailway,BRIOWorld-てつどう,34,SE,2016-12-28
com.t2kgames.civrev2,CivilizationRevolution2,35,SE,2016-12-28
com.GameCoaster.ProtectDungeon,ダンジョン守る,36,SE,2016-12-28
com.wb.goog.legojurassicworld,LEGO®JurassicWorld™,37,SE,2016-12-28
se.filimundus.pettsonsinventions,ペットソンのからくり,38,SE,2016-12-28
com.tocaboca.blocks,トッカ•ブロック(TocaBlocks),39,SE,2016-12-28
se.hattenforlag.babblarnaplay,BabblarnaPlay,40,SE,2016-12-28
com.giantssoftware.fs16,FarmingSimulator16,41,SE,2016-12-28
se.hattenforlag.babbapp,Babbapp,42,SE,2016-12-28
com.turner.cardwars,CardWars-AdventureTime,43,SE,2016-12-28
se.filimundus.pi2,ペットソンのからくり2,44,SE,2016-12-28
com.FireproofStudios.TheRoom3,TheRoomThree,45,SE,2016-12-28
com.ustwo.monumentvalley,モニュメントバレー,46,SE,2016-12-28
com.rockstargames.gtasa,グランド・セフト・オート・サンアンドレアス,47,SE,2016-12-28
com.wb.lego.marvel,LEGO®マーベルスーパー・ヒーローズザ・ゲーム,48,SE,2016-12-28
com.devolver.downwell,Downwell,49,SE,2016-12-28
com.FireproofStudios.TheRoom,TheRoom,50,SE,2016-12-28
mytown.beautycontest,MyTown:BeautyContest美しさ,51,SE,2016-12-28
com.drpanda.city2,Hoopaのシティー2,52,SE,2016-12-28
com.ninjakiwi.supermonkey,BloonsSupermonkey2,53,SE,2016-12-28
com.playdekgames.twilightstruggle,TwilightStruggle,54,SE,2016-12-28
com.wb.lego.tcs,LEGO®StarWars™:TCS,55,SE,2016-12-28
com.seven2.pawapp2,PAWPatrolPupstotheRescue,56,SE,2016-12-28
com.worms2armageddon.app,Worms2:Armageddon,57,SE,2016-12-28
com.explodingkittens.projectbombsquad,ExplodingKittens®-Official,58,SE,2016-12-28
amanita_design.samorost3.GP,Samorost3（サモロスト3）,59,SE,2016-12-28
com.wb.goog.scribbleremix,ScribblenautsRemix,60,SE,2016-12-28
net.kairosoft.android.gamedev3en,GameDevStory,61,SE,2016-12-28
se.hattenforlag.bobbopp,Bobbopp,62,SE,2016-12-28
se.hattenforlag.diddisday,DiddisDay,63,SE,2016-12-28
com.exozet.android.catan,Catan-カタン,64,SE,2016-12-28
com.activision.boz,CallofDutyBlackOpsZombies,65,SE,2016-12-28
com.playmous.godoflightHD,GodofLightHD,66,SE,2016-12-28
com.rockstargames.bully,Bully:AnniversaryEdition,67,SE,2016-12-28
air.com.gambrinous.guildofdungeoneering,GuildofDungeoneering,68,SE,2016-12-28
com.pockettrend.neomonsters,ネオモンスターズ,69,SE,2016-12-28
com.topfreegames.bikeraceproworld,BikeRaceProbyT.F.Games,70,SE,2016-12-28
com.astragon.cs2014,コンストラクションシミュレーター2014,71,SE,2016-12-28
com.eamobile.sims3_row_qwf,TheSims™3,72,SE,2016-12-28
com.bscotch.crashlands,Crashlands,73,SE,2016-12-28
nz.co.codepoint.minimetro,MiniMetro,74,SE,2016-12-28
com.square_enix.FFIXww.android_googleplay,FINALFANTASYIXforAndroid,75,SE,2016-12-28
com.FireproofStudios.TheRoom2,TheRoomTwo,76,SE,2016-12-28
com.firemaplegames.returntogrislymanor,ReturntoGrislyManor,77,SE,2016-12-28
com.etermax.preguntados.pro,トリビア・クラック(広告なし),78,SE,2016-12-28
com.gamesoulstudio.backflipmadness,BackflipMadness,79,SE,2016-12-28
com.groplay.upptackalfonsaberg,"FindAdventure,AlfieAtkins",80,SE,2016-12-28
com.playhome.hospital,MyPlayHomeHospital,81,SE,2016-12-28
com.wb.goog.lnjgo,LEGO®Ninjago™ShadowofRonin,82,SE,2016-12-28
com.nomadgames.talisman,Talisman,83,SE,2016-12-28
com.tomorrowcorporation.humanresourcemachine,HumanResourceMachine,84,SE,2016-12-28
air.com.essig.abckitsv,ABCStarterKitSvenska,85,SE,2016-12-28
com.scottgames.fivenightsatfreddys,FiveNightsatFreddy's,86,SE,2016-12-28
com.eamobile.monopoly_row_wf,MONOPOLYGame,87,SE,2016-12-28
com.ubisoft.assassinscreed.identity,アサシンクリードアイデンティティ,88,SE,2016-12-28
com.drpanda.drpandacandyfactory,Dr.Pandaキャンディー工場,89,SE,2016-12-28
com.endspacevr,MinosStarfighterVR,90,SE,2016-12-28
air.com.RustyLake.RustyLakeHotel,RustyLakeHotel,91,SE,2016-12-28
com.disney.castleofillusion_goo,CastleofIllusion,92,SE,2016-12-28
