app_id,app_name,rank,country_code,date
com.tinder,Tinder,1,SE,2017-11-27
com.nianticlabs.pokemongo,PokémonGO,2,SE,2017-11-27
com.king.candycrushsaga,キャンディークラッシュ,3,SE,2017-11-27
com.droidhang.ad,IdleHeroes-無料放置育成RPG,4,SE,2017-11-27
com.king.candycrushsodasaga,キャンディークラッシュソーダ,5,SE,2017-11-27
com.playrix.homescapes,ホームスケイプ(Homescapes),6,SE,2017-11-27
com.playdemic.golf.android,ゴルフクラッシュ,7,SE,2017-11-27
com.google.android.apps.docs,Googleドライブ,8,SE,2017-11-27
com.supercell.clashroyale,クラッシュ・ロワイヤル(ClashRoyale),9,SE,2017-11-27
com.playrix.gardenscapes,ガーデンスケイプ(Gardenscapes),10,SE,2017-11-27
com.funplus.kingofavalon,キング・オブ・アバロン:ドラゴン戦争(KoA),11,SE,2017-11-27
com.netmarble.lin2ws,Lineage2:Revolution,12,SE,2017-11-27
com.ea.game.starwarscapital_row,スター・ウォーズ／銀河の英雄,13,SE,2017-11-27
com.igg.android.lordsmobile,ロードモバイル【本格リアルタイムストラテジーMMORPG】,14,SE,2017-11-27
com.supercell.hayday,ヘイ・デイ(HayDay),15,SE,2017-11-27
com.com2us.smon.normal.freefull.google.kr.android.common,サマナーズウォー:SkyArena,16,SE,2017-11-27
air.com.playtika.slotomania,Slotomania-FreeSlots英語版,17,SE,2017-11-27
com.supercell.clashofclans,クラッシュ・オブ・クラン(ClashofClans),18,SE,2017-11-27
com.smallgiantgames.empires,Empires&Puzzles:RPGQuest,19,SE,2017-11-27
com.epicactiononline.ffxv.ane,ファイナルファンタジー15:新たなる王国(FinalFantasyXV),20,SE,2017-11-27
com.plarium.vikings,ヴァイキングス：ウォー・オブ・クラン,21,SE,2017-11-27
com.n3twork.legendary,Legendary:GameofHeroes,22,SE,2017-11-27
com.blizzard.wtcg.hearthstone,ハースストーン(Hearthstone),23,SE,2017-11-27
com.netflix.mediaclient,Netflix,24,SE,2017-11-27
com.square_enix.android_googleplay.FFBEWW,FINALFANTASYBRAVEEXVIUS,25,SE,2017-11-27
com.igg.castleclash,CastleClash,26,SE,2017-11-27
com.bandainamcogames.dbzdokkanww,DRAGONBALLZDOKKANBATTLE,27,SE,2017-11-27
com.king.bubblewitch3,バブルウィッチ3,28,SE,2017-11-27
com.apnax.wordsnack.sv,OrdSnack-Dinpicknickmedord,29,SE,2017-11-27
com.scopely.headshot,ウォーキング・デッドサバイバルへの道,30,SE,2017-11-27
com.epicwaronline.ms,モバイルストライク【MobileStrike】,31,SE,2017-11-27
com.hcg.cok.gp,クラッシュオブキングス-「城育成シミュレーションRPG」,32,SE,2017-11-27
com.elex.nikkigp,LoveNikki-DressUPQueen,33,SE,2017-11-27
com.diandian.gog,ガンズ・オブ・グローリー(GunsofGlory),34,SE,2017-11-27
com.roblox.client,ROBLOX,35,SE,2017-11-27
com.king.farmheroessaga,ファームヒーロー,36,SE,2017-11-27
com.playrix.township,タウンシップ(Township),37,SE,2017-11-27
net.peakgames.amy,ToyBlast,38,SE,2017-11-27
com.playrix.fishdomdd.gplay,フィッシュダム(Fishdom),39,SE,2017-11-27
com.moonactive.coinmaster,CoinMaster,40,SE,2017-11-27
com.gtarcade.lod,LegacyofDiscord-FuriousWings,41,SE,2017-11-27
com.machinezone.gow,ゲーム・オブ・ウォー【GameofWar】,42,SE,2017-11-27
