app_id,app_name,rank,country_code,date
com.tocaboca.tocavacation,TocaLife:Vacation,1,SE,2016-06-29
com.playhome.hospital,MyPlayHomeHospital,2,SE,2016-06-29
net.kairosoft.android.gamecenter_en,ゲームセンター倶楽部[英語版],3,SE,2016-06-29
com.turner.ttgfigures,ティーニー・タイタンズ-ティーン・タイタンズＧＯ！,4,SE,2016-06-29
net.kairosoft.android.densha_en,StationManager,5,SE,2016-06-29
com.SongGameDev.EleTD,ElementTD,6,SE,2016-06-29
com.bigfishgames.mcagoogfull,ミッドナイト・コーリング：アナベルの冒険(Full),7,SE,2016-06-29
com.laan.labs.faceswaplive,ライブ顔交換,8,SE,2016-06-29
com.bigfishgames.mckrgoogfull,ミステリー事件簿：レーブンハーストの鍵(Full),9,SE,2016-06-29
com.sonypicturestelevision.WheelPop,WheelofFortunePUZZLEPOP,10,SE,2016-06-29
com.MikaMobile.Zombieville2,ZombievilleUSA2,11,SE,2016-06-29
com.JazzaStudios.JazzasArtyGames,Jazza'sArtyGames,12,SE,2016-06-29
com.panicartstudios.herosiegepocket,HeroSiege:PocketEdition,13,SE,2016-06-29
air.com.essig.abckitsv,ABCStarterKitSvenska,14,SE,2016-06-29
com.brit.swiftblack.layers,SwiftBlackLayersTheme,15,SE,2016-06-29
com.maxelus.flatlandlivewallpaper,Flatland,16,SE,2016-06-29
com.MikaMobile.LostFrontier,LostFrontier,17,SE,2016-06-29
com.vertumus.almug,Almug-IconPack,18,SE,2016-06-29
com.clintsiu.prism,_PRISM,19,SE,2016-06-29
com.sikebo.antimo.material.icons,ANTIMOICONPACK,20,SE,2016-06-29
joybits.doodlemafia2,DoodleMafia,21,SE,2016-06-29
com.samruston.twitter,FlamingoforTwitter(Beta),22,SE,2016-06-29
com.bigfishgames.ptengoogfull,Phantasmat:Endless(Full),23,SE,2016-06-29
com.underbytestudios.heroesguard.journal,HeroesGuard:TheJournal,24,SE,2016-06-29
com.ahoiii.FieteMath,FieteMath,25,SE,2016-06-29
com.boostermbkking.kingroms7edge,KINGROMS7EDGE,26,SE,2016-06-29
com.Littleonesstories.LOB,Lillaochbebisen,27,SE,2016-06-29
com.janzengraphics.klwpoverwatchui,KLWPPreset-OverwatchUI,28,SE,2016-06-29
com.nyelito.dactyl,Dactyl-FingerprintShutter,29,SE,2016-06-29
trombettonj.wmwatch.trombt1,TrombT1Watchface[WatchMaker],30,SE,2016-06-29
com.rascarlo.quick.settings.tiles,Tiles,31,SE,2016-06-29
com.g5e.royaltrouble2.android.full,RoyalTrouble2(Full),32,SE,2016-06-29
se.festivalapp.trastock2016,Trästockfestivalen2016,33,SE,2016-06-29
com.ngocgiap.battheme,BetmanThemeforCM13/12.x,34,SE,2016-06-29
com.magiccubegames.thekingoftriads,ザ・キング・オブ・トライアド,35,SE,2016-06-29
com.ambor.theme.sevenblack,SevenBlackTheme+Icons,36,SE,2016-06-29
com.brogames.everyonerpgx2,EveryoneRPG,37,SE,2016-06-29
cesarato.cyclope,Cyclope-Iconpack,38,SE,2016-06-29
air.com.flipline.papastacomiahd,Papa'sTacoMiaHD,39,SE,2016-06-29
drase.unpivot.iconpack,UnPivoticonpack,40,SE,2016-06-29
com.ratrodstudio.skateparty3,SkateboardParty3GregLutzka,41,SE,2016-06-29
com.grapplearts.bjjformula3,BJJTopGameFormula,42,SE,2016-06-29
balazs.crazysurvival_,CRAZYCRAFT:SWEETBATTLE,43,SE,2016-06-29
perfect.icon.pack.ddt,PerfectIconPack[BETA],44,SE,2016-06-29
com.trstudio.darkwood,DarkWoodThemewithIcons,45,SE,2016-06-29
com.mkninc.metalxperiatheme,金属|Xperia™テーマ,46,SE,2016-06-29
com.thirdeyeDesigns.adhira,Adhira-IconPack,47,SE,2016-06-29
com.kenargo.osmopanorama,OSMO360Panorama,48,SE,2016-06-29
com.edgeway.perfectstorm,PerfectStormHD,49,SE,2016-06-29
com.gamemavericks.berlinsubwayfull,BerlinSubwaySimulatorFull,50,SE,2016-06-29
com.libreriaypapeleriafuturo.corosidmji,HimnosyCorosIDMJI,51,SE,2016-06-29
com.bigfishgames.avobgoogfull,アマランスの杖：黒曜石の本(Full),52,SE,2016-06-29
mytown.danceschool,MyTown:DanceSchoolダンススクール,53,SE,2016-06-29
com.shareweather.weatherforecast,ShareWeatherWeatherForecast,54,SE,2016-06-29
com.alawar.darktales5.gplay.premium,ダークテイルズ5:赤い死の仮面,55,SE,2016-06-29
com.Babytecken.app30274b,Babytecken,56,SE,2016-06-29
se.leripa.numbermix1,NumberMix1,57,SE,2016-06-29
dd.watchdesigner.moonlight,MoonlightwatchfacebyDelta,58,SE,2016-06-29
dd.watchdesigner.astro,AstrowatchfacebyDelta,59,SE,2016-06-29
com.gamesworkshop.mypilot,StormcloudAttack:MyPilot,60,SE,2016-06-29
com.teallixmerchant.swipedgeprime.app,SwipedgePrime,61,SE,2016-06-29
com.noodlecake.caterzillar,Caterzillar,62,SE,2016-06-29
com.buggames.DF,DeadForest|Horror|Full,63,SE,2016-06-29
com.binibambini.Mini,子供のための絵画練習”線をなぞりましょう！,64,SE,2016-06-29
lp.icon.sunnies,SunniesIconpack,65,SE,2016-06-29
xperia.theme.laser.line,LaserLine(XperiaTheme),66,SE,2016-06-29
com.clockkui,cLockkUIforKLWP,67,SE,2016-06-29
com.thaphlash.watch.steampunk,STEAMPUNK-WatchFace,68,SE,2016-06-29
