app_id,app_name,rank,country_code,date
com.custom.pickmeup,PickMeUp™,1,SG,2019-03-23
io.voodoo.crowdcity,CrowdCity,2,SG,2019-03-23
com.word.game.fun.puzzle.prison.escape.captain,WordsStory-AddictiveWordGame,3,SG,2019-03-23
com.netease.mrzhna,ライフアフター,4,SG,2019-03-23
game.free.rise.hole.up.io.love.balls.toss.up,BuddyToss,5,SG,2019-03-23
com.zplay.Mrbow,MrBow,6,SG,2019-03-23
com.tencent.ig,PUBGMOBILE,7,SG,2019-03-23
com.playrix.homescapes,ホームスケイプ(Homescapes),8,SG,2019-03-23
com.playgendary.tom,TomboftheMask,9,SG,2019-03-23
com.playgendary.tanks,TankStars,10,SG,2019-03-23
com.playgendary.polyspherecoolgame,Polysphere,11,SG,2019-03-23
com.mobile.legends,モバイル·レジェンド:BangBang,12,SG,2019-03-23
com.nexon.lyn.global,LYN:TheLightbringer,13,SG,2019-03-23
com.h8games.helixjump,HelixJump,14,SG,2019-03-23
io.voodoo.paper2,Paper.io2,15,SG,2019-03-23
com.candywriter.bitlife,BitLife-LifeSimulator,16,SG,2019-03-23
com.colorup.game,ColorBump3D,17,SG,2019-03-23
com.playrix.gardenscapes,ガーデンスケイプ(Gardenscapes),18,SG,2019-03-23
com.wordgame.puzzle.block.crush,WordSwipe,19,SG,2019-03-23
com.sausageflip.game,SausageFlip,20,SG,2019-03-23
com.youmusic.magictiles,MagicTiles3:ピアノ曲&ゲーム,21,SG,2019-03-23
com.amanotes.beathopper,TilesHop:EDMRush!,22,SG,2019-03-23
com.puzzles.game.halloweeen.one,FindTheDifferences-TheDetective,23,SG,2019-03-23
com.fortune.sim.game.cash,HelloStars,24,SG,2019-03-23
com.rtofarvmodernwarfarestrategygamecaca,キャッスルディフェンス,25,SG,2019-03-23
com.roblox.client,ROBLOX,26,SG,2019-03-23
com.playrix.township,タウンシップ(Township),27,SG,2019-03-23
com.king.petrescuepatrolsaga,ペットレスキューパズル,28,SG,2019-03-23
com.NikSanTech.FireDots3D,FireBalls3D,29,SG,2019-03-23
com.randomlogicgames.battletext,BattleText,30,SG,2019-03-23
com.king.candycrushsaga,キャンディークラッシュ,31,SG,2019-03-23
com.supercell.brawlstars,ブロスタ,32,SG,2019-03-23
com.eyu.piano,DreamPiano-MusicGame,33,SG,2019-03-23
com.imangi.templerun2,TempleRun2,34,SG,2019-03-23
com.koramgame.ggplay.global.alita,アリータ:バトル・エンジェル-モバイル,35,SG,2019-03-23
com.gpp.sushibar,SushiBar,36,SG,2019-03-23
com.biglime.cookingmadness,クッキングマッドネス-料理ゲーム,37,SG,2019-03-23
com.matchington.mansion,マッチングトン·マンション,38,SG,2019-03-23
com.freegame.newvehicle,CarRecyclingInc.-VehicleTycoon,39,SG,2019-03-23
com.kiloo.subwaysurf,SubwaySurfers,40,SG,2019-03-23
com.game5mobile.lineandwater,HappyGlass,41,SG,2019-03-23
