app_id,app_name,rank,country_code,date
com.epicwaronline.ms,モバイルストライク【MobileStrike】,1,SG,2017-05-02
com.com2us.smon.normal.freefull.google.kr.android.common,サマナーズウォー:SkyArena,2,SG,2017-05-02
air.com.playtika.slotomania,Slotomania-FreeSlots英語版,3,SG,2017-05-02
com.gtarcade.lod,LegacyofDiscord-FuriousWings,4,SG,2017-05-02
com.igg.android.lordsmobile,ロードモバイル【本格リアルタイムストラテジーMMORPG】,5,SG,2017-05-02
com.mobile.legends,モバイル・レジェンド:Bangbang-国別5VS5バトル,6,SG,2017-05-02
com.machinezone.gow,ゲーム・オブ・ウォー【GameofWar】,7,SG,2017-05-02
com.supercell.clashroyale,クラッシュ・ロワイヤル(ClashRoyale),8,SG,2017-05-02
com.nexon.dynastywarriors,DynastyWarriors:Unleashed,9,SG,2017-05-02
com.hcg.cok.gp,クラッシュオブキングス-「城育成シミュレーションRPG」,10,SG,2017-05-02
com.igs.fafafa,FaFaFa-RealCasinoSlots,11,SG,2017-05-02
com.ujoy.yhjy,永恒纪元-神兽同行,12,SG,2017-05-02
com.supercell.clashofclans,クラッシュ・オブ・クラン(ClashofClans),13,SG,2017-05-02
com.efun.jxqy.sm,剑侠情缘(WuxiaOnline)-Efun独家新马版,14,SG,2017-05-02
com.netmarble.mherosgb,MARVELFutureFight,15,SG,2017-05-02
com.funplus.kingofavalon,キング・オブ・アバロン:ドラゴン戦争(KoA),16,SG,2017-05-02
com.camelgames.superking,WarandOrder,17,SG,2017-05-02
com.rtsoft.growtopia,Growtopia,18,SG,2017-05-02
com.longtech.lastwars.gp,LastEmpire-WarZゾンビサバイバルRPG,19,SG,2017-05-02
com.king.candycrushsaga,キャンディークラッシュ,20,SG,2017-05-02
com.bandainamcogames.dbzdokkanww,DRAGONBALLZDOKKANBATTLE,21,SG,2017-05-02
com.blizzard.wtcg.hearthstone,ハースストーン(Hearthstone),22,SG,2017-05-02
com.vespainteractive.KingsRaid,King'sRaid,23,SG,2017-05-02
com.pacificinteractive.HouseOfFun,無料スロット–HouseofFun,24,SG,2017-05-02
com.nkm.kp.hh,HyperHeroes,25,SG,2017-05-02
com.siamgame.ggplay.qjmuen,MUOrigin-SEA(LadderPVP),26,SG,2017-05-02
jp.co.atm.vcon.ww,VALKYRIECONNECT,27,SG,2017-05-02
sg.gumi.bravefrontier,BraveFrontier,28,SG,2017-05-02
com.roblox.client,ROBLOX,29,SG,2017-05-02
com.zynga.livepoker,Zyngaポーカー,30,SG,2017-05-02
com.youzu.snsgz.android.sm,少年三國志,31,SG,2017-05-02
com.king.candycrushsodasaga,キャンディークラッシュソーダ,32,SG,2017-05-02
com.igg.castleclash,CastleClash:BraveSquads,33,SG,2017-05-02
com.nexon.hit.global,HIT,34,SG,2017-05-02
com.snailgameusa.swordofshadow,SwordofShadows,35,SG,2017-05-02
com.superevilmegacorp.game,Vainglory,36,SG,2017-05-02
com.kabam.marvelbattle,MARVELオールスターバトル,37,SG,2017-05-02
com.efun.yjqy.sm,御剑情缘3D—正太降世全服抢亲,38,SG,2017-05-02
com.gamedreamer.mcen,GuardiansofFantasy,39,SG,2017-05-02
com.pixonic.wwr,WarRobots,40,SG,2017-05-02
com.overseas.daqing1,我在大清當皇帝,41,SG,2017-05-02
com.netmarble.sknightsgb,SevenKnights,42,SG,2017-05-02
com.playrix.gardenscapes,ガーデンスケイプ(Gardenscapes),43,SG,2017-05-02
com.nianticlabs.pokemongo,PokémonGO,44,SG,2017-05-02
com.smsy.fun,射雕英雄传3D-金庸正版授权,45,SG,2017-05-02
com.bandainamcoent.saomdas,刀劍神域一記憶重組,46,SG,2017-05-02
com.linecorp.LGTMTMG,LINE:DisneyTsumTsum,47,SG,2017-05-02
com.moonton.magicrush,マジックラッシュ(MagicRush:Heroes),48,SG,2017-05-02
com.pixelberrystudios.choices,Choices:StoriesYouPlay,49,SG,2017-05-02
com.linecorp.LGGRTHN,LINELet'sGetRich,50,SG,2017-05-02
com.netease.onmyoji.na,陰陽師-本格幻想RPG,51,SG,2017-05-02
com.naturalmotion.dawnoftitans,DawnofTitans,52,SG,2017-05-02
com.nexon.fwar,FantasyWarTacticsR,53,SG,2017-05-02
com.jedigames.p20.googleplay,我が天下:乱世演舞,54,SG,2017-05-02
com.ea.gp.fifamobile,FIFAMobileサッカー,55,SG,2017-05-02
com.gamevil.warofcrown.android.google.global.normal,デスティニーオブクラウン,56,SG,2017-05-02
com.diandian.valiantforce,ValiantForce,57,SG,2017-05-02
com.supercell.hayday,ヘイ・デイ(HayDay),58,SG,2017-05-02
com.xingjoys.zgirls.gp,Zgirls,59,SG,2017-05-02
com.jedigames.ztsgnew.googleplay,正統三國-經營策略國戰手遊創新自由戰鬥,60,SG,2017-05-02
com.ea.game.starwarscapital_row,スター・ウォーズ／銀河の英雄,61,SG,2017-05-02
com.miniclip.eightballpool,8BallPool,62,SG,2017-05-02
com.enjoygame.jwstw,極無雙-本格戰鬥幻想,63,SG,2017-05-02
com.metek.dnl.zqgame_sea,DragonNest:SaintHaven,64,SG,2017-05-02
com.heroesofchaos.koramgame.global,Goddess:PrimalChaos-SEA,65,SG,2017-05-02
com.d3p.mpq,マーベル・パズルクエス,66,SG,2017-05-02
com.memoriki.fullhousecasino,フルハウスカジノ～ラスベガスカジノ＆スロット～,67,SG,2017-05-02
com.huuuge.casino.slots,オンラインスロット＆カジノ～HuuugeCasino,68,SG,2017-05-02
com.digipixie.piggy.gplay,豬來了-魔王雷克斯來襲,69,SG,2017-05-02
com.scopely.headshot,ウォーキング・デッドサバイバルへの道,70,SG,2017-05-02
com.tap4fun.brutalage_test,BrutalAge:HordeInvasion,71,SG,2017-05-02
com.gamebegin.starlightlegend.en,StarlightLegend-MMORPG,72,SG,2017-05-02
com.efun.xfz.sm,熹妃传-新马版,73,SG,2017-05-02
com.square_enix.android_googleplay.FFBEWW,FINALFANTASYBRAVEEXVIUS,74,SG,2017-05-02
com.productmadness.hovmobile,HeartofVegas:オンラインカジノゲーム,75,SG,2017-05-02
com.gamevil.dragonblaze1.android.google.global.normal,ドラゴンスラッシュ:第4幕星歌の軌跡,76,SG,2017-05-02
com.nhnent.SKQUEST,クルセイダークエスト,77,SG,2017-05-02
com.digitalsky.sgz2.sea,策三國：全球共服開戰零時差,78,SG,2017-05-02
com.ujoy.d6,六龙御天,79,SG,2017-05-02
com.gv.dfws,RomanceofHeroes:Realtime3v3,80,SG,2017-05-02
com.playrix.township,タウンシップ(Township),81,SG,2017-05-02
jp.konami.pesclubmanager,ウイイレクラブマネージャー/ウイクラ【サッカー】,82,SG,2017-05-02
com.wonderplanet.CrashFever,CrashFever,83,SG,2017-05-02
com.droidhang.ad,IdleHeroes-無料で放置育成RPG,84,SG,2017-05-02
com.backflipstudios.transformersearthwars,トランスフォーマー：アースウォーズ,85,SG,2017-05-02
air.com.sgn.cookiejam.gp,クッキージャム,86,SG,2017-05-02
com.benmangguo.battleship,銀河艦隊〜軍団の争い,87,SG,2017-05-02
jp.konami.duellinks,遊戯王デュエルリンクス,88,SG,2017-05-02
com.herogame.gplay.dddsea,BombMan:SuperShooterGo,89,SG,2017-05-02
net.peakgames.amy,ToyBlast,90,SG,2017-05-02
com.eagamebox.ggplay.yttlj,倚天屠龙记(新马版)-决战光明顶,91,SG,2017-05-02
com.zeptolab.cats.google,CATS:CrashArenaTurboStars,92,SG,2017-05-02
com.playtika.wsop.gp,WorldSeriesofPoker-WSOP,93,SG,2017-05-02
com.pocketgems.android.dragon,WarDragons,94,SG,2017-05-02
com.ea.game.nfs14_row,NeedforSpeed™NoLimits,95,SG,2017-05-02
com.funplus.zh.daota,DotArena,96,SG,2017-05-02
com.dena.west.FFRK,FINALFANTASYRecordKeeper,97,SG,2017-05-02
com.udfun.android.quest,勇者战纪-Q萌3D动作手游,98,SG,2017-05-02
jp.konami.pesm,PESCOLLECTION,99,SG,2017-05-02
com.sevenpirates.infinitywar,アーク・オブ・ウォー「ArkofWar」,100,SG,2017-05-02
com.scopely.whiplash,WWEChampionsFreePuzzleRPG,101,SG,2017-05-02
com.tap4fun.reignofwar,インベーション,102,SG,2017-05-02
es.socialpoint.MonsterLegends,MonsterLegends,103,SG,2017-05-02
com.igg.clashoflords2,ClashofLords2:NewAge,104,SG,2017-05-02
and.onemt.war.en,RevengeofSultans,105,SG,2017-05-02
com.yilegame.efun.mj,媚姬Online-跨服争霸,106,SG,2017-05-02
air.cn.kx.yttxgoogleEn,ClashofThreeKingdoms,107,SG,2017-05-02
com.catdaddy.cat22,WWESuperCard,108,SG,2017-05-02
com.ea.gp.nbamobile,NBALIVEMobileBasketball,109,SG,2017-05-02
com.topgamesinc.evony,エボニー-王の帰還,110,SG,2017-05-02
com.n3twork.legendary,Legendary:GameofHeroes,111,SG,2017-05-02
org.nagmes.dynastywarlords,DynastyWar-KingdomsClash,112,SG,2017-05-02
com.com2us.soccerspirits.normal2.freefull.google.global.android.common,SoccerSpirits,113,SG,2017-05-02
com.pennypop.monsters.live,BattleCamp:バトルキャンプ-モンスター狩,114,SG,2017-05-02
com.stac.aok,王権争覇：天空の戦い,115,SG,2017-05-02
com.ftt.msleague_gl,モンスタースーパーリーグ,116,SG,2017-05-02
com.nexonm.dominations.adk,DomiNations,117,SG,2017-05-02
com.stac.empire.main,AgeofWarringEmpire,118,SG,2017-05-02
com.gamater.hunterage,HunterAgeMobile,119,SG,2017-05-02
com.mobage.ww.a793.fanta_test_Android,FANTASICA-TowerDefenseTCG,120,SG,2017-05-02
com.hcg.ctw.gp,ClashofKings:TheWest,121,SG,2017-05-02
jp.co.ponos.battlecatsen,TheBattleCats,122,SG,2017-05-02
com.king.bubblewitch3,バブルウィッチ3,123,SG,2017-05-02
com.jszy.mx,剑侠奇谭--全新正版手游，热血pk战场，新马再度启程!,124,SG,2017-05-02
com.digitalsky.rotksea,DynastyHeroes:StrikeForce,125,SG,2017-05-02
com.king.farmheroessaga,ファームヒーロー,126,SG,2017-05-02
com.king.candycrushjellysaga,キャンディークラッシュゼリー,127,SG,2017-05-02
com.game.nlvsen,DynastySaga3D:3KWarriors,128,SG,2017-05-02
com.square_enix.android_googleplay.mobiusff_ne,MOBIUSFINALFANTASY,129,SG,2017-05-02
com.crowdstar.covetHome,DesignHome,130,SG,2017-05-02
com.ujoy.fox,灵狐仙境-宝宝出战,131,SG,2017-05-02
com.eyougame.lmcs,神魔猎手,132,SG,2017-05-02
eu.nordeus.topeleven.android,TopElevenファンタジーサッカーマネージャー,133,SG,2017-05-02
com.kaiqigu.sanguo.th_gl,ThreeKingdoms:AgeofMachines,134,SG,2017-05-02
com.episodeinteractive.android.catalog,Episode-ChooseYourStory,135,SG,2017-05-02
com.rsg.heroesevolved,HeroesEvolved,136,SG,2017-05-02
com.gamedreamer.qnyh,倩女幽魂-国民女神林明祯倾情代言,137,SG,2017-05-02
com.com2us.acefishing.normal.freefull.google.global.android.common,釣りオン！,138,SG,2017-05-02
com.stargame.bjbb.sea,BraveBlade,139,SG,2017-05-02
org.ngames.qxby,群雄霸业-真三国猛将无双,140,SG,2017-05-02
klb.android.lovelive_en,LoveLive!Schoolidolfestival,141,SG,2017-05-02
com.mitamagames.otogiprod,陰陽おとぎソール,142,SG,2017-05-02
com.madhead.tos.zh,神魔之塔,143,SG,2017-05-02
com.jellybtn.cashkingmobile,PirateKings,144,SG,2017-05-02
com.playtika.caesarscasino,CaesarsSlotMachines&Games,145,SG,2017-05-02
com.hummingbird.wuhujiang.xinmatai,千人斩,146,SG,2017-05-02
com.enjoygame.ttwyen,ParadiseWar,147,SG,2017-05-02
com.herogames.gplay.crisisactionsa,CrisisAction:NOCANOFPS,148,SG,2017-05-02
com.snailgameusa.aowd,AgeofWushuDynasty,149,SG,2017-05-02
com.igs.goldentigerslots,ゴールデンタイガースロット,150,SG,2017-05-02
com.supercell.boombeach,ブーム・ビーチ(BoomBeach),151,SG,2017-05-02
com.kamagames.pokerist,Pokerist:TexasHoldemPoker,152,SG,2017-05-02
com.naturalmotion.customstreetracer2,CSRRacing2,153,SG,2017-05-02
com.cygames.Shadowverse,ShadowverseCCG,154,SG,2017-05-02
com.nhnent.SK10392,ごっつ三国関西戦記：横スクロールバトルRPG新感覚三国志,155,SG,2017-05-02
com.ludia.jurassicworld,JurassicWorld™:ザ·ゲーム,156,SG,2017-05-02
com.playhit.our.kof.en.sgmy,KOF98ULTIMATEMATCHONLINE,157,SG,2017-05-02
com.enjoygame.xlzjft,DragonHunter,158,SG,2017-05-02
com.ea.game.simcitymobile_row,シムシティ　ビルドイット(SIMCITYBUILDIT),159,SG,2017-05-02
com.pink.baccarat,21PinkClub:LiveStreamVideo,160,SG,2017-05-02
com.bandainamcoent.narutoblazingna,UltimateNinjaBlazing,161,SG,2017-05-02
com.criticalforceentertainment.criticalops,CriticalOps,162,SG,2017-05-02
com.hts.ams,ArmyMenStrike,163,SG,2017-05-02
com.ledo.clashfordawn.googleplay,ClashforDawn:GuildWar,164,SG,2017-05-02
com.mofa.yxgj1,魔法英雄傳說,165,SG,2017-05-02
es.socialpoint.DragonCity,ドラゴンシティ,166,SG,2017-05-02
com.ballytechnologies.f88,88Fortunes-無料カジノスロットゲーム,167,SG,2017-05-02
com.eyougame.ct,ChronoTales,168,SG,2017-05-02
com.kabam.doamobile,ドラゴンズオブアトランティス：継承者,169,SG,2017-05-02
air.eti.uzzu.unalis,新一代宗師,170,SG,2017-05-02
com.igg.bzbee.deckheroes,DeckHeroes:Legacy,171,SG,2017-05-02
com.com2us.soulcollector.normal.freefull.google.global.android.common,ソウルシーカー,172,SG,2017-05-02
com.firsttouchgames.dls3,DreamLeagueSoccer2017,173,SG,2017-05-02
com.madhead.tos.en,TowerofSaviors,174,SG,2017-05-02
com.playdemic.golf.android,ゴルフクラッシュ,175,SG,2017-05-02
com.perplelab.hod,ドラゴンシューター~進化するシューティングRPG！~,176,SG,2017-05-02
com.playrix.fishdomdd.gplay,フィッシュダム(Fishdom),177,SG,2017-05-02
com.pyrsoftware.pokerstars.net,PokerStarsPoker:TexasHoldem,178,SG,2017-05-02
net.wargaming.wot.blitz,ワールド・オブ・タンクス・ブリッツ,179,SG,2017-05-02
com.mobirix.devilbreaker,デビルブレイカー,180,SG,2017-05-02
com.qcplay.slimegogogo,ダンジョンズ&ガンボル(G&D),181,SG,2017-05-02
ata.squid.pimd,PartyinmyDorm,182,SG,2017-05-02
jp.gree.warofnationsbeta,WarofNations:PvPDomination,183,SG,2017-05-02
com.zynga.empires2,エンパイアーズ＆アライズ「Empires&Allies」,184,SG,2017-05-02
com.plarium.vikings,ヴァイキングス：ウォー・オブ・クラン,185,SG,2017-05-02
com.glu.gordondashx,GORDONRAMSAYDASH,186,SG,2017-05-02
com.godgame.mj.android,麻將神來也16張麻將,187,SG,2017-05-02
com.elex.coq.gp,クラッシュオブクイーンズ-「城・ドラゴン育成RPG」,188,SG,2017-05-02
com.ea.games.r3_row,RealRacing3,189,SG,2017-05-02
com.eyougame.wdfs,問道封神,190,SG,2017-05-02
com.nexon.medalmasters,メダルマスターズ,191,SG,2017-05-02
com.linecorp.LGFARM,LINEブラウンファーム,192,SG,2017-05-02
com.kixeye.wcm,ウォーコマンダー,193,SG,2017-05-02
com.superluckycasino.viponly.slots.vegas.android.free,VIPデラックス：無料スロットマシーン,194,SG,2017-05-02
com.gamevil.kritikamobile.android.google.global.normal,クリティカ～天上の騎士団～,195,SG,2017-05-02
air.tw.com.bonuswinner.bwmj16tw,"宅神爺麻將‧黃金馬‧拉霸‧骰寶‧撲克(13支,大老2,接龍)",196,SG,2017-05-02
com.xd.global.and.beatevo,節奏大爆炸,197,SG,2017-05-02
jp.co.siliconstudio.ageofishtaria,AgeofIshtaria-A.BattleRPG,198,SG,2017-05-02
com.sgn.geniesandgems.gp,マジックジュエル,199,SG,2017-05-02
com.xflag.marveltsumtsumGL,MARVELTsumTsum,200,SG,2017-05-02
com.tinyco.avengers,MARVELAvengersAcademy,201,SG,2017-05-02
com.pixel.gun3d,ピクセルガン3D。(PixelGun3D),202,SG,2017-05-02
com.snailgameusa.tp,TaichiPanda,203,SG,2017-05-02
com.williamsinteractive.jackpotparty,JackpotPartyカジノスロットゲーム,204,SG,2017-05-02
com.fridaysgames.godsandglory,ゴッドアンドグローリー(GodsandGlory),205,SG,2017-05-02
com.nordcurrent.canteenhd,クッキングフィーバー【爽快グルメアクション！】,206,SG,2017-05-02
com.yottagames.mafiawar,MafiaWar,207,SG,2017-05-02
com.iugome.lilknights,Knights&Dragons-ActionRPG,208,SG,2017-05-02
com.nway.powerrangerslegacywars,PowerRangers:LegacyWars,209,SG,2017-05-02
com.pokercity.bydrqp.googleplay,捕魚達人-大型機台打魚完美移植,210,SG,2017-05-02
com.r2gamesusa.shardsofmagic,ShardsofMagic,211,SG,2017-05-02
rise.heroes.tw,武神關聖:傳奇水域戰場,212,SG,2017-05-02
com.youkia.sanguogo.ig,三国GO-真实三国武将即时战斗,213,SG,2017-05-02
com.ea.games.simsfreeplay_row,TheSimsFreePlay,214,SG,2017-05-02
com.gameloft.android.ANMP.GloftFWHM,スナイパーフューリー：本格シューティングゲーム,215,SG,2017-05-02
com.flerogames.GK,GODDESSKISS,216,SG,2017-05-02
com.kabam.bigrobot,トランスフォーマー：鋼鉄の戦士たち,217,SG,2017-05-02
com.mango.sanguo15.zhanji2,战计2,218,SG,2017-05-02
com.unitedfun.prod.apollo,かわいくきがえてファッションショー❤CocoPPaPlay,219,SG,2017-05-02
com.lein.pppoker.android,PPPoker-FreePoker&HomeGames,220,SG,2017-05-02
com.and.riseofthekings,RiseoftheKings,221,SG,2017-05-02
com.gamedreamer.hk.oh,龍虎門-原著正版授權,222,SG,2017-05-02
com.kimi.ggplay.fknsg,曹操之野望-豆花妹吳克羣磅礡代言,223,SG,2017-05-02
en.co.atm.unison,UnisonLeague,224,SG,2017-05-02
com.playstudios.popslots,POP!Slots－スロット無料カジノ,225,SG,2017-05-02
jp.gree.modernwar,ModernWarbyGREE,226,SG,2017-05-02
com.playfirst.cookingdashx,COOKINGDASH,227,SG,2017-05-02
com.carolgames.gxb,GirlsXBattle,228,SG,2017-05-02
txwy.and.mxywk,BraveDiggers,229,SG,2017-05-02
com.plarium.stormfallrob,ストームフォール・バルーアの復活「Stormfall」,230,SG,2017-05-02
com.maingames.android.CGEN,CrazyGods:StrategyRPG,231,SG,2017-05-02
com.shinezone.mbzj.enxmandroid,ThreeKingdoms:DynastyWarrior,232,SG,2017-05-02
com.asobimo.avabel_gp_b3,RPGアヴァベルオンライン-絆の塔-,233,SG,2017-05-02
com.doubleugames.DoubleUCasino,DoubleUCasino-FREESlots,234,SG,2017-05-02
com.joycity.god,ダイスの神,235,SG,2017-05-02
com.qjzs.an.en4399,Crasher-MMORPG,236,SG,2017-05-02
com.fitfun.cubizone.love,LoveDance,237,SG,2017-05-02
com.tutogame.granden,HakiEmperor-DreamPirate,238,SG,2017-05-02
com.spaceapegames.rivalkingdoms,ライバル・キングダムー破壊の目ー,239,SG,2017-05-02
com.spaceapegames.samuraisiege,サムライ大合戦【無料戦国リアルタイムストラテジーRPG】,240,SG,2017-05-02
com.gamedevltd.modernstrike,ModernStrikeOnline,241,SG,2017-05-02
com.herogames.gplay.ddduc,BombMan:SuperShooterGo,242,SG,2017-05-02
com.sgn.pandapop.gp,パンダポップ,243,SG,2017-05-02
com.productmadness.cashmancasino,CashmanCasino:無料カジノスロットゲーム,244,SG,2017-05-02
com.cjenm.sknights,세븐나이츠forKakao,245,SG,2017-05-02
com.bigfishgames.gummydropgoogle,グミドロップ！,246,SG,2017-05-02
com.ftxgames.narcos,Narcos:CartelWars,247,SG,2017-05-02
com.mojang.minecraftpe,マインクラフトMinecraft:PocketEd.,248,SG,2017-05-02
com.snailgameusa.chosen,ChaosLegends,249,SG,2017-05-02
com.fungames.battletanksbeta,WarMachines:戦車ゲーム,250,SG,2017-05-02
air.com.helloair.HELLOFROG,HelloFrog,251,SG,2017-05-02
com.niceplay.khm.secob,三國群英傳：全球征戰,252,SG,2017-05-02
com.tencent.rushintl,ThreeKingdomsRushTD,253,SG,2017-05-02
