app_id,app_name,rank,country_code,date
com.qplaze.zombieraid,ZombieRaid:Survival,1,SG,2017-07-18
studio_kalliope.de.gameofquotes.store,GameofQuotes-VerrückteZitate,2,SG,2017-07-18
com.telltalegames.minecraft200,Minecraft:StoryMode-SeasonTwo,3,SG,2017-07-18
com.enlighten.lastlight,LastLight-ZombiesSurvival,4,SG,2017-07-18
com.NeatNombat.BehindTheDoor,BehindTheDoor,5,SG,2017-07-18
net.kairosoft.android.park_ja,発見どうぶつ公園,6,SG,2017-07-18
mylittleprincess.castle,MyLittlePrincess:お城,7,SG,2017-07-18
com.artifexmundi.scarlettmysteries.gp.full,スカーレットの謎(Full),8,SG,2017-07-18
co.uk.kavcom.cricketcaptain2017,CricketCaptain2017,9,SG,2017-07-18
com.iplay.nos,여름빛노스탤지어,10,SG,2017-07-18
com.drpanda.train,Dr.Pandaきかんしゃ,11,SG,2017-07-18
com.NightSchool.Oxenfree,OXENFREE,12,SG,2017-07-18
com.teamhc.project14ep1,우리들의날개는언제부턴가사라졌다-EP1,13,SG,2017-07-18
de.brettspielwelt.freitag,Friday-byFriedemannFriese,14,SG,2017-07-18
com.ShadowSpace.LevelBoosterPro,LevelBoosterPro,15,SG,2017-07-18
com.robotogames.ageofrivals,AgeofRivals,16,SG,2017-07-18
com.glitchgames.allthatremains.part1,AllThatRemains:Part1,17,SG,2017-07-18
com.moorus.Crispy,Crispy'sBiscuits,18,SG,2017-07-18
com.ozumikanapp.re,in:dark-インダーク,19,SG,2017-07-18
jp.co.taito.raystorm,レイストーム,20,SG,2017-07-18
com.survivalgames.sandboxwintersurvivalpro,SandboxCraftWinterSURVIVAL-PRO,21,SG,2017-07-18
com.firerabbit.games.fmc.tokyo.full,車を修理する:東京モッズ,22,SG,2017-07-18
hu.redshift.thequestexp3,TheQuest-HeroofLukomorye,23,SG,2017-07-18
com.channel4.pathos,Pathos,24,SG,2017-07-18
com.survivalgames.sandboxexploration3dpro,SandboxExploration3DPro,25,SG,2017-07-18
com.viewpointgames.ghostsinthetoybox,GhostsInTheToybox,26,SG,2017-07-18
air.funnyv102,FunnyRisiko,27,SG,2017-07-18
com.BongBongStudio.CastleDefender,캐슬디펜더:성지키기,28,SG,2017-07-18
com.mipumi.tls,TheLion'sSong,29,SG,2017-07-18
com.survivalgames.explorecraftpro,ExploreCraftSurvivalSimulator2017-Pro,30,SG,2017-07-18
com.teamflow.runordie,RunorDie,31,SG,2017-07-18
com.gravity.balancer.premium,Maze3D:GravityLabyrinth,32,SG,2017-07-18
com.daveandava.puzzle,FarmAnimalsPuzzlebyDaveandAva,33,SG,2017-07-18
com.brackishgames.samurai,SuperSamuraiRampage,34,SG,2017-07-18
com.wBiodepressinaGame_5218449,ParasitoGame,35,SG,2017-07-18
com.superstardressups.recolorfashion,RecolorFashionDressUp,36,SG,2017-07-18
