app_id,app_name,rank,country_code,date
com.appmoji.giraffemoji,GiraffeMoji,1,SG,2017-03-06
com.nexonm.aftertheend,アフター・ジ・エンド：忘れられた運命,2,SG,2017-03-06
com.team17.escapists,TheEscapists,3,SG,2017-03-06
mytown.firestation,MyTown:消防署とレスキュー（消防車と救急車）,4,SG,2017-03-06
com.dunrite.pixbar,Pixbar,5,SG,2017-03-06
com.mageeks.android.trucksimulatorpro2,TruckSimulatorPRO2,6,SG,2017-03-06
com.tikgames.zaynmoji,ZAYNmoji,7,SG,2017-03-06
com.warpgate.lasttalk,LastTalk,8,SG,2017-03-06
com.digimindsoft.wallpaper.seastorm3d.pro,SeaStorm3DProLWP,9,SG,2017-03-06
com.choiceofgames.runtofthelitter,RuntoftheLitter,10,SG,2017-03-06
com.amberweather.widget.adfreeplugin,AdBlockerforAmberWidgets,11,SG,2017-03-06
com.sonymobile.themes.clearnight,XPERIA™ClearNightTheme,12,SG,2017-03-06
com.miclos.dungeonrushers,DungeonRushers,13,SG,2017-03-06
com.lojugames.android.Causality,Causality,14,SG,2017-03-06
com.kohlewrrk.coalfield.subs,CoalfieldSubstratumTheme,15,SG,2017-03-06
com.watch.richface.chromatic,ChromaticWatchFace,16,SG,2017-03-06
co.nowvr.relaxvr,RelaxVR-Rest&Meditation,17,SG,2017-03-06
com.ami.vividiconset,SubstratumVividIconSet,18,SG,2017-03-06
com.bigfishgames.mamwgoogfull,ミステリーエンシェントマッドウォーター・クリーク(Full),19,SG,2017-03-06
com.app.gurumannfitness,GuruMannFitness,20,SG,2017-03-06
wifi.keygen,WIFIKeyGen,21,SG,2017-03-06
com.agaming.reporter,Reporter,22,SG,2017-03-06
com.sikebo.ijuk.icons.simple,iJUKiCONpACK,23,SG,2017-03-06
com.redfishgame.isolandEN,見失い島,24,SG,2017-03-06
flux.substratum.theme,Flux-SubstratumTheme,25,SG,2017-03-06
com.artifexmundi.facesofillusion.gp.full,幻想の面様(Full),26,SG,2017-03-06
com.photomyne.full,PhotomyneAlbumScanner-Full,27,SG,2017-03-06
a.kakao.iconnect.okcheoriloveydovey,옥철이알콩달콩카카오톡테마,28,SG,2017-03-06
com.erc.software.absolutely.walls.pro,AbsolutelyWallsPro(BETA),29,SG,2017-03-06
com.asmodeedigital.vampireweeatblood,Vampire:Prelude,30,SG,2017-03-06
com.ClimaxStudios.BanditSixDaydream,BanditSix,31,SG,2017-03-06
com.noodlecake.islanddelta,IslandDelta,32,SG,2017-03-06
gracepixels.theme.PixelUi,PixelUiThemeforLGV20,33,SG,2017-03-06
com.pashapuma.pixgcolors,Pix-GIconPack-Apex/Nova/Go,34,SG,2017-03-06
oryx.tecna.locateme,LocateMe,35,SG,2017-03-06
com.ebookreader2017,2017唐立淇星座運勢大解析,36,SG,2017-03-06
com.zdamusement.livewallaper.amazingforest,AmazingForest-Summer,37,SG,2017-03-06
com.rac7.SplitterCritters,SplitterCritters,38,SG,2017-03-06
de.computerbild.explosionwarner,COMPUTERBILDExplosionswarner,39,SG,2017-03-06
com.windwatertool.alarmclock,AlarmClock,40,SG,2017-03-06
net.wedarak.pj201703kr,2017년3월기도수첩,41,SG,2017-03-06
com.asmodeedigital.magerefuge,MagetheAscension:Refuge,42,SG,2017-03-06
com.bentostudio.unworded,unWorded,43,SG,2017-03-06
com.andromo.dev302875.app587129,DJIPreFlightChecklistPro,44,SG,2017-03-06
ru.ilyae.quizapplication,Аккредитацияврачей2017,45,SG,2017-03-06
fr.smartapps.louvre.vermeer,Vermeer/ValentindeBoulogne,46,SG,2017-03-06
com.besttoolpro.dedecalc,DedeCalc,47,SG,2017-03-06
com.tss21.gkbd.skin.google.cottoncandy,わたあめスキンforTSキーボード,48,SG,2017-03-06
com.alendar,Alendar-FireBird,49,SG,2017-03-06
oransike.b,@oransike,50,SG,2017-03-06
com.yaoi.noads,同人誌(Yaoi)-Premium,51,SG,2017-03-06
com.windwatertool.notebook,Note,52,SG,2017-03-06
zone.bytesreverser.xposeddeviceidmasker,DeviceIDMasker[Xposed],53,SG,2017-03-06
com.cigames.lotfbof,LordsoftheFallen,54,SG,2017-03-06
com.tmrapps.earthonline.livewebcams.pro,EarthOnline:LiveWebcamsPro,55,SG,2017-03-06
com.amberweather.widget.vip,BlockAdsinAmberWidgets,56,SG,2017-03-06
com.windwatertool.compasspro,SimpleCompassPro,57,SG,2017-03-06
com.ions.pack,iONsIconPack,58,SG,2017-03-06
com.vs.veinseek,VeinSeek,59,SG,2017-03-06
com.appums.music_pitcher_pro,432Player-ProMusicsound,60,SG,2017-03-06
com.magiccubegames.rpssaga,RPSSaga,61,SG,2017-03-06
gosoft.franceprosimulatorsecond,FranceSimulator2Premium,62,SG,2017-03-06
center.thinking.engpattern3,영어트기패턴3단계,63,SG,2017-03-06
lp.icon.graphies,GraphiesSpringGraphicIcons,64,SG,2017-03-06
com.smilekids.ninjashadows,NinjaShadow,65,SG,2017-03-06
com.maxelus.tdfimages.livewallpaper,MOSAIC2.5DWallpapers,66,SG,2017-03-06
com.aetn.android.dancemomsstarpower,DanceMomsRisingStar,67,SG,2017-03-06
com.captains.aospackage,AceOfSky,68,SG,2017-03-06
com.lge.theme.pixel,PixelUiThemeforLGV20G5,69,SG,2017-03-06
com.watermelon.materializepro,MaterializePro,70,SG,2017-03-06
com.anate.octave,Octave,71,SG,2017-03-06
com.lorraine.linktwin_goo,LinkTwin,72,SG,2017-03-06
com.DarkLight.TimeOfSilence,TineofSilence,73,SG,2017-03-06
com.besttoolpro.calc365,Calc365,74,SG,2017-03-06
com.kidsmile.bitjumper,BitJumper,75,SG,2017-03-06
com.cmengler.vtxconfig,PIDflightVTx,76,SG,2017-03-06
com.mattsulima.clearface,CLEARFACEwatchface,77,SG,2017-03-06
com.jsl.entco.wgen,WarriorsofGenesis,78,SG,2017-03-06
com.smilekids.gearswith,GearSwitch,79,SG,2017-03-06
com.watermelon.fileexplorerpro,FileExplorerPro,80,SG,2017-03-06
com.b16h22.rubiq,RubiQSubstratumTheme,81,SG,2017-03-06
com.shapeofyou,ShapeofYouRingtone,82,SG,2017-03-06
com.smliekids.deadadven,DeadIslandAdventure,83,SG,2017-03-06
com.sreerag.squared,SquaredIconPack,84,SG,2017-03-06
com.besttoolpro.calcplusplus,CalcPlusPlus,85,SG,2017-03-06
io.ionic.missatridentinaapp,MissaTridentina,86,SG,2017-03-06
com.lge.wsdeveloper.gracedark,GraceUXDarkThemeLGV20&G5,87,SG,2017-03-06
com.selfiewithcelebrity,SelfieWithCelebrityPRO★,88,SG,2017-03-06
com.kiku.fluffysushipro,FluffySushiPro,89,SG,2017-03-06
com.nitinvaid.layers.neonblue,[Substratum]NeonBlueTheme,90,SG,2017-03-06
com.madcowieproductions.nzsunleashed,NZsUnleashed,91,SG,2017-03-06
com.ram.chocolate.nm.premium,NotificationsinbubblePrime,92,SG,2017-03-06
com.smilekids.rabbitrun,RabbitRabbitRun,93,SG,2017-03-06
com.smilekids.flymonter,MonsterFly,94,SG,2017-03-06
com.appbuilder.u1813508p2491600,SchoolOfSuccess,95,SG,2017-03-06
link.mikan.japanese_classics,mikan古典,96,SG,2017-03-06
com.omsantech.vipiddaatahminleripremium,VipBettingTipsUltimate,97,SG,2017-03-06
com.lge.wsdeveloper.ubuntu,UbuntuThemeLGV20&LGG5,98,SG,2017-03-06
com.pobedagames.empirep,ИмперияПремиум,99,SG,2017-03-06
com.psychology2,AQAPsychologyYear2,100,SG,2017-03-06
com.lge.wsdeveloper.midark,MIUIDarkThemeforLGV20&G5,101,SG,2017-03-06
de.application_systems.nellyCootalot,NellyCootalot:TheFowlFleet,102,SG,2017-03-06
org.kustom.T_pack,T_PackForKLWP,103,SG,2017-03-06
com.matchgems.fantasy_mosaics_21,FantasyMosaics21,104,SG,2017-03-06
vn.tb.th.doubletappro,DoubleTapPro,105,SG,2017-03-06
com.solin.iconpack,Solin-IconPack,106,SG,2017-03-06
com.adrien.wikifarms,WikiFarmsAustralia,107,SG,2017-03-06
com.lge.wsdeveloper.wscool,ThemeH2OSforLGV20&LGG5,108,SG,2017-03-06
