app_id,app_name,rank,country_code,date
com.chucklefish.stardewvalley,StardewValley,1,SG,2019-03-27
com.mojang.minecraftpe,Minecraft,2,SG,2019-03-27
com.nbeghin.whatsappmigrator,WazzapMigrator,3,SG,2019-03-27
com.zigzagame.evertale,エバーテイル,4,SG,2019-03-27
football.manager.games.fm19.mobile,FootballManager2019Mobile,5,SG,2019-03-27
nz.co.codepoint.minimetro,ミニメトロ,6,SG,2019-03-27
com.advasoft.touchretouch,TouchRetouch,7,SG,2019-03-27
com.rayark.cytus2,CytusII(サイタスⅡ),8,SG,2019-03-27
com.teslacoilsw.launcher.prime,NovaLauncherPrime,9,SG,2019-03-27
com.ivianuu.oneplusgestures,VividNavigationGestures,10,SG,2019-03-27
com.buffstudio.sevendays,７デイズ-ミステリーノベルアドベンチャー,11,SG,2019-03-27
com.robtopx.geometryjump,GeometryDash,12,SG,2019-03-27
com.t2ksports.nba2k19and,NBA2K19,13,SG,2019-03-27
org.twisevictory.apps,TheWonderWeeks,14,SG,2019-03-27
com.squareenixmontreal.hitmansniperandroid,ヒットマンスナイパー(HitmanSniper),15,SG,2019-03-27
com.intsig.lic.camscanner,CamScanner完全版(License),16,SG,2019-03-27
com.explodingkittens.projectbombsquad,ExplodingKittens®-Official,17,SG,2019-03-27
org.kustom.widget.pro,KWGTKustomWidgetProKey,18,SG,2019-03-27
com.rockstargames.gtasa,グランド・セフト・オート・サンアンドレアス,19,SG,2019-03-27
com.wb.goog.scribblenauts3,ScribblenautsUnlimited,20,SG,2019-03-27
com.maxmpz.audioplayer.unlock,PowerampFullVersionUnlocker,21,SG,2019-03-27
com.and.games505.TerrariaPaid,Terraria.,22,SG,2019-03-27
free.mp3.music.download.lab.vip,FreeMp3MusicDownloaderforVIP,23,SG,2019-03-27
com.fds.infiniteflight,InfiniteFlight-フライトシミュレーター,24,SG,2019-03-27
air.com.tornscreen.cfgame101,СASHFLOW,25,SG,2019-03-27
com.mxtech.videoplayer.pro,MXPlayerPro,26,SG,2019-03-27
com.drycactus.polybridge,PolyBridge,27,SG,2019-03-27
com.edzondm.linebit,Linebit-IconPack,28,SG,2019-03-27
net.dinglisch.android.taskerm,Tasker,29,SG,2019-03-27
com.one.ui.s10.iconpack,ONEUIIconPack:S10,30,SG,2019-03-27
com.wb.goog.scribbleremix,ScribblenautsRemix,31,SG,2019-03-27
com.bbnevertell.stickerapp,WAStickerApps-BBneverTell[ENG],32,SG,2019-03-27
foxieforkwgt.kustom.pack,FoxieforKWGT,33,SG,2019-03-27
com.mathyeckerdt.apricity,Apricity-IconPack,34,SG,2019-03-27
com.GameCoaster.DungeonMaker,ダンジョンメーカー,35,SG,2019-03-27
com.ironhidegames.android.kingdomrush4,キングダムラッシュの復讐(KingdomRushVengeance),36,SG,2019-03-27
com.shopmoment.momentprocamera,MomentProCamera,37,SG,2019-03-27
com.appxy.tinyscan,TinyScannerPro:PDFDocScan,38,SG,2019-03-27
com.tresebrothers.games.startraders2,StarTraders:Frontiers,39,SG,2019-03-27
com.ninjakiwi.bloonstd6,BloonsTD6,40,SG,2019-03-27
