app_id,app_name,rank,country_code,date
com.facebook.orca,Messenger,1,TH,2016-06-11
com.facebook.katana,Facebook,2,TH,2016-06-11
jp.naver.line.android,LINE（ライン）-無料通話・メールアプリ,3,TH,2016-06-11
air.com.hypah.io.slither,slither.io,4,TH,2016-06-11
com.tencent.ibg.joox,JOOXMusic,5,TH,2016-06-11
com.linecorp.LGWONDER,Wonder5Masters,6,TH,2016-06-11
sg.bigo.live,BIGOLIVE-LiveBroadcasting,7,TH,2016-06-11
th.media.itsme,It’sMe-LiveStreamingShow,8,TH,2016-06-11
com.forshared,4shared,9,TH,2016-06-11
vStudio.Android.Camera360,カメラ360-Camera360美肌,10,TH,2016-06-11
com.facebook.lite,FacebookLite,11,TH,2016-06-11
com.turboc.cleaner,TurboCleaner–Speedbooster,12,TH,2016-06-11
com.instagram.android,Instagram,13,TH,2016-06-11
com.google.android.youtube,YouTube,14,TH,2016-06-11
com.cleanmaster.mguard,CleanMaster[タスクキラー/ファイル削除],15,TH,2016-06-11
com.linecorp.b612.android,B612-こころで撮る自撮り,16,TH,2016-06-11
com.qihoo.security,360セキュリティ-アンチウイルス&ブースト,17,TH,2016-06-11
com.linecorp.LGGRTHN,LINELet'sGetRich,18,TH,2016-06-11
com.commsource.beautyplus,BeautyPlus-ナチュラルに美肌が叶うカメラアプリ,19,TH,2016-06-11
com.beetalk,BeeTalk,20,TH,2016-06-11
com.linecorp.linetv,LINETV,21,TH,2016-06-11
th.linecorp.linemusic.android,LINEMUSICTHAI,22,TH,2016-06-11
com.kiloo.subwaysurf,SubwaySurfers,23,TH,2016-06-11
com.cleanmaster.security,CMSecurity-無料セキュリティ，アプリロック,24,TH,2016-06-11
com.lenovo.anyshare.gps,"SHAREit:FileTransfer,Sharing",25,TH,2016-06-11
com.linecorp.LGCOOKIE,LINEクッキーラン,26,TH,2016-06-11
com.lazada.android,Lazada-Shopping&Deals,27,TH,2016-06-11
com.twitchyfinger.google.minilegend,MiniLegend,28,TH,2016-06-11
com.gmthai.d6,LoongCraft-TH,29,TH,2016-06-11
com.azarlive.android,Azar-ビデオチャット、友達検索,30,TH,2016-06-11
com.google.android.apps.translate,Google翻訳,31,TH,2016-06-11
com.jb.emoji.gokeyboard,GOキーボード無料きせかえ顔文字(かおもじ)パック,32,TH,2016-06-11
com.orangeapps.piratetreasure,PirateTreasures,33,TH,2016-06-11
com.triplegreen.finalquest,FinalQuest,34,TH,2016-06-11
com.king.candycrushsaga,キャンディークラッシュ,35,TH,2016-06-11
com.quvideo.xiaoying,VivaVideo-無料ビデオエディタ＆動画編集アプリ,36,TH,2016-06-11
com.dianxinos.optimizer.duplay,DUSpeedBooster(Cleaner),37,TH,2016-06-11
com.kasikorn.retail.mbanking.wap,K-MobileBankingPLUS,38,TH,2016-06-11
com.hola.launcher,HolaLauncher-スマート、高速,39,TH,2016-06-11
com.workpoint.dist2.lquiz,ปริศนาฟ้าแลบ,40,TH,2016-06-11
com.outfit7.mytalkingtomfree,マイ・トーキング・トム(MyTalkingTom),41,TH,2016-06-11
com.roidapp.photogrid,PhotoGridかんたんコラージュ,42,TH,2016-06-11
com.devtab.thaitvplusonline,ThailandTV-ดูทีวีออนไลน์,43,TH,2016-06-11
com.wordsmobile.grandfightgangsters,グランドギャングスター-GrandGangsters,44,TH,2016-06-11
com.imangi.templerun2,TempleRun2,45,TH,2016-06-11
com.fingersoft.hillclimb,ヒルクライムレース:HillClimbRacing,46,TH,2016-06-11
com.dianxinos.dxbs,DUBatterySaver(バッテリー節電),47,TH,2016-06-11
mobi.MultiCraft,►MultiCraft―FreeMiner!,48,TH,2016-06-11
com.boomegg.nineke,เก้าเกไทย,49,TH,2016-06-11
com.groundhog.mcpemaster,MasterforMinecraft-Launcher,50,TH,2016-06-11
com.facebook.moments,Moments,51,TH,2016-06-11
com.google.android.play.games,GooglePlayゲーム,52,TH,2016-06-11
com.outfit7.mytalkingangelafree,マイ・トーキング・アンジェラ,53,TH,2016-06-11
com.meitu.makeup,MakeupPlus-写真にメイクが出来るアプリ,54,TH,2016-06-11
com.onegogo.explorer,SuperFileManager(transfer),55,TH,2016-06-11
com.firsttouchgames.dls3,DreamLeagueSoccer2016,56,TH,2016-06-11
com.linecorp.egg,eggエッグ-自撮り、動くフィルター、簡単変身カメラ,57,TH,2016-06-11
us.pinguo.selfie,Bestie–Camera360の自撮りアプリ,58,TH,2016-06-11
com.wantu.activity,FotoRus-フォトコラージュエディタ,59,TH,2016-06-11
jp.naver.linecamera.android,LINECamera-アニメーションスタンプ,60,TH,2016-06-11
com.garena.game.ak47th,HEADSHOTสงครามปืนเดือด,61,TH,2016-06-11
com.android.chrome,Chromeブラウザ-Google,62,TH,2016-06-11
net.fsnasia.adpocket,AdPocket,63,TH,2016-06-11
com.campmobile.snow,スノーSNOW-自撮り、顔認識スタンプ、ウケるカメラ,64,TH,2016-06-11
com.tapto.tank.io,Tank.io,65,TH,2016-06-11
net.siamdev.nattster.manman,KeyboardManMan,66,TH,2016-06-11
com.gameloft.android.ANMP.GloftA8HM,アスファルト8：Airborne,67,TH,2016-06-11
com.linecorp.LGRGS,LINEレンジャー,68,TH,2016-06-11
com.hermes.superb.booster,SuperBCleaner(Boost&Clean),69,TH,2016-06-11
com.ais.mimo.AISPlay,AISPLAY,70,TH,2016-06-11
com.linecorp.LGOPSEA,LINE:ONEPIECETreasureCruise,71,TH,2016-06-11
com.cmplay.tiles2,ピアノタイル2,72,TH,2016-06-11
com.boyaa.hallgame,ไฮโลไทย-เกมยอดฮิต-เจ๋งรอบโลก,73,TH,2016-06-11
com.ea.game.pvzfree_row,Plantsvs.ZombiesFREE,74,TH,2016-06-11
com.netmarble.mherosgb,MARVELFutureFight,75,TH,2016-06-11
com.atfirstbyte.app60day,60DAYBestofMe,76,TH,2016-06-11
com.dummy.poker,Dummyดัมมี่เกมไพ่สุดฮิต,77,TH,2016-06-11
com.herogames.gplay.crisisactionsa,CrisisAction-eSportsFPS,78,TH,2016-06-11
com.google.android.apps.photos,Googleフォト,79,TH,2016-06-11
com.rubycell.perfectguitar,ギター+(Guitar),80,TH,2016-06-11
com.duckprog.makhos,หมากฮอส,81,TH,2016-06-11
th.free.mp3,ListenFree,82,TH,2016-06-11
com.scb.phone,SCBEASY,83,TH,2016-06-11
com.fgol.HungrySharkEvolution,HungrySharkEvolution,84,TH,2016-06-11
com.king.farmheroessaga,ファームヒーロー,85,TH,2016-06-11
com.naver.linewebtoon,LINEWEBTOON-FREEComics,86,TH,2016-06-11
com.cmcm.lite,CleanMaterLite(Lightest),87,TH,2016-06-11
com.surpax.ledflashlight.panel,超高輝度LED懐中電灯,88,TH,2016-06-11
com.garena.game.fomthgp,FIFAOnline3MbyEASPORTS™,89,TH,2016-06-11
com.linecorp.LGTMTMG,LINE:DisneyTsumTsum,90,TH,2016-06-11
com.Ch7.Android,BBTVCH7,91,TH,2016-06-11
com.supercell.clashofclans,クラッシュ・オブ・クラン(ClashofClans),92,TH,2016-06-11
com.wawoo.gunshootwar,ガンシュート戦争,93,TH,2016-06-11
com.aladinfun.pets_island_2,Pet'sIsland2-Buddy,94,TH,2016-06-11
com.lbe.parallel.intl,ParallelSpace－マルチアカウント,95,TH,2016-06-11
com.tencent.mm,WeChat,96,TH,2016-06-11
com.ksmobile.launcher,CMLauncher3D-ブースト、テーマ,97,TH,2016-06-11
com.aladinfun.clashofsky_th_pig,Pet'sIsland-Piggy'scoming,98,TH,2016-06-11
com.estrongs.android.pop,ESファイルエクスプローラー,99,TH,2016-06-11
com.halfbrick.jetpackjoyride,JetpackJoyride,100,TH,2016-06-11
com.skgames.trafficrider,TrafficRider,101,TH,2016-06-11
com.supercell.hayday,ヘイ・デイ(HayDay),102,TH,2016-06-11
com.king.candycrushsodasaga,キャンディークラッシュソーダ,103,TH,2016-06-11
com.yirga.shutapp,ShutApp-リアルバッテリーセーバー,104,TH,2016-06-11
com.outfit7.talkingtomgoldrun,トーキング・トムのゴールド・ラン,105,TH,2016-06-11
com.gpth.wallpaper_dlpp,แอนดรอยด์วอลล์เปเปอร์,106,TH,2016-06-11
com.hitap.inputmethod,HitapKeyboard-typingfun,107,TH,2016-06-11
com.tdsinteractive.dtacmusic,dtacMusicInfinite,108,TH,2016-06-11
com.mobirix.fishinghook,フィッシングフック,109,TH,2016-06-11
com.miniclip.eightballpool,8BallPool,110,TH,2016-06-11
com.chatous.pointblank,Kiwi,111,TH,2016-06-11
com.nekki.shadowfight,シャドウファイト2,112,TH,2016-06-11
com.toast.comico.th,ComicoThailand,113,TH,2016-06-11
com.picsart.studio,PicsArt-フォトスタジオ画像加工＆コラージュ編集,114,TH,2016-06-11
com.UCMobile.intl,UC　ブラウザ－それを高速にサーフィン,115,TH,2016-06-11
com.cmcm.locker,CMLocker画面ロック&アプリロック,116,TH,2016-06-11
air.th.com.bonusisland.lobby,เก้าเก9K+ป๊อก8ป๊อก9,117,TH,2016-06-11
com.gpth.ringtone_dlo,ริงโทนยอดเยี่ยม,118,TH,2016-06-11
com.imangi.templerun,TempleRun,119,TH,2016-06-11
com.google.android.googlequicksearchbox,Google,120,TH,2016-06-11
jp.co.ofcr.cm00,クッキングママおりょうりしましょ！,121,TH,2016-06-11
com.qihoo.security.lite,360SecurityLite–より小さく,122,TH,2016-06-11
com.twitter.android,Twitter,123,TH,2016-06-11
at.ner.lepsWorld2,Lep'sWorld2🍀🍀,124,TH,2016-06-11
com.psitv.psimobile,PSI,125,TH,2016-06-11
com.gameindy.dummyth,ดัมมี่-Dummyเกมส์ไพ่ไทย,126,TH,2016-06-11
com.gpth.wallpaper_sweet,คลับวอลล์เปเปอร์น่ารัก,127,TH,2016-06-11
com.mobicle.sf2.th,SPECIALFORCENET,128,TH,2016-06-11
com.shopee.th,ShopeeTH:ส่งฟรีทั่วไทย,129,TH,2016-06-11
com.explorationbase.ExplorationLite,ExplorationLite,130,TH,2016-06-11
com.tdcm.htv,HTV,131,TH,2016-06-11
com.zipzapgames.trafficjamrider,HighwayTrafficRider,132,TH,2016-06-11
com.psgpth_dlp.cutevideo,ชีเนม่าฮาๆ,133,TH,2016-06-11
com.app.dealfish.main,Kaidee,134,TH,2016-06-11
com.ionicframework.mySSO131977,mySSO,135,TH,2016-06-11
com.king.candycrushjellysaga,キャンディークラッシュゼリー,136,TH,2016-06-11
com.gameloft.android.ANMP.GloftFWHM,スナイパーフューリー,137,TH,2016-06-11
me.pou.app,プーチッチPou,138,TH,2016-06-11
com.boyaa.pokdeng,ไพ่ป๊อกเด้ง,139,TH,2016-06-11
com.rovio.angrybirdsrio,AngryBirdsRio,140,TH,2016-06-11
com.bbl.mobilebanking,BualuangmBanking,141,TH,2016-06-11
com.psgpth.wall_cute_smile,วอลล์เปเปอร์สีสัน,142,TH,2016-06-11
