app_id,app_name,rank,country_code,date
com.dts.freefireth,GarenaFreeFire,1,TH,2019-03-25
com.gravity.romg,RagnarokM:EternalLove,2,TH,2019-03-25
com.garena.game.kgth,GarenaRoV:MobileMOBA,3,TH,2019-03-25
com.tencent.ig,PUBGMOBILE,4,TH,2019-03-25
com.zlongame.sea.fzdl,LaplaceM,5,TH,2019-03-25
com.garena.game.fctw,GarenaSpeedDrifters,6,TH,2019-03-25
com.ourpalm.ggplay.mmo.mobile.mu.origin2,MUORIGIN2-WEBZENOfficiallyAuthorized,7,TH,2019-03-25
com.igg.android.lordsmobile,ロードモバイル:戦争キングダム–ストラテジーバトルRPG,8,TH,2019-03-25
com.garena.game.hdltw,GarenaContraReturns,9,TH,2019-03-25
com.linecorp.LGGRTHN,LINELet'sGetRich,10,TH,2019-03-25
com.lilithgame.roc.gp,RiseofKingdoms,11,TH,2019-03-25
com.miHoYo.bh3oversea,HonkaiImpact3,12,TH,2019-03-25
com.roblox.client,ROBLOX,13,TH,2019-03-25
com.king.candycrushsaga,キャンディークラッシュ,14,TH,2019-03-25
com.hcg.cok.gp,クラッシュオブキングス:奇跡降臨,15,TH,2019-03-25
com.more.dayzsurvival.gp,ラストシェルター：この国を守り抜く本格SLG、大人のゲーム,16,TH,2019-03-25
com.nexon.axe.global,AxE:AlliancevsEmpire,17,TH,2019-03-25
com.th.siamgame.ggplay.bleach,BLEACHMobile3D,18,TH,2019-03-25
com.heyyogame.gdth,Lord&Beauties-ทำตัวเปรียบดั่งขุนแผน,19,TH,2019-03-25
com.gs2.omgth,OMG2-SuperSamkok,20,TH,2019-03-25
com.chucklefish.stardewvalley,StardewValley,21,TH,2019-03-25
com.playrix.gardenscapes,ガーデンスケイプ(Gardenscapes),22,TH,2019-03-25
com.longtugame.yulgang,YulgangMobile,23,TH,2019-03-25
com.bxfr.an.th4399,เซียนน้อยทัชมายฮาร์ท,24,TH,2019-03-25
com.firstmeetgame.agmthai.gp,AncientGodlyMonarch,25,TH,2019-03-25
com.mobile.legends,モバイル·レジェンド:BangBang,26,TH,2019-03-25
com.funplus.kingofavalon,キング・オブ・アバロン:ドラゴン戦争(KoA),27,TH,2019-03-25
com.nexon.lyn.global,LYN:TheLightbringer,28,TH,2019-03-25
com.gs5.musth,MUStrongestTH-ลิขสิทธิ์แท้WEBZEN,29,TH,2019-03-25
com.stove.epic7.google,EpicSeven,30,TH,2019-03-25
com.playrix.homescapes,ホームスケイプ(Homescapes),31,TH,2019-03-25
com.supercell.hayday,ヘイ・デイ(HayDay),32,TH,2019-03-25
com.gtarcade.lod,LegacyofDiscord-FuriousWings,33,TH,2019-03-25
com.netmarble.mherosgb,マーベル・フューチャーファイト,34,TH,2019-03-25
com.unlock.zhuxian.kunlun.ancient.legend.sword,จอมใจยุทธภพ-สุดยอดเกมผจญภัยแนวรวจที่น่าตื่นเต้น,35,TH,2019-03-25
com.nianticlabs.pokemongo,PokémonGO,36,TH,2019-03-25
com.netease.idv.googleplay,IdentityV,37,TH,2019-03-25
com.netmarble.revolutionthm,Lineage2Revolution,38,TH,2019-03-25
