app_id,app_name,rank,country_code,date
com.mojang.minecrafttrialpe,MinecraftTrial,1,TH,2018-12-28
com.supercell.brawlstars,ブロスタ,2,TH,2018-12-28
com.game5mobile.popular,PopularWars,3,TH,2018-12-28
com.playgendary.polyspherecoolgame,Polysphere,4,TH,2018-12-28
app.bnk48official.starkeeper,BNK48StarKeeper,5,TH,2018-12-28
com.gs5.musth,MUStrongestTH-ลิขสิทธิ์แท้Webzen,6,TH,2018-12-28
com.gbga.dl,DemonLegion:ก๊วนจิ๋วพิชิตมาร,7,TH,2018-12-28
com.linegames.dcglobal,DestinyChild,8,TH,2018-12-28
com.netease.mrzhna,LifeAfter-明日之后,9,TH,2018-12-28
com.herogame.gplay.magicminecraft.mmorpg,Utopia:Origin-PlayinYourWay,10,TH,2018-12-28
com.sinyee.babybus.snacks,リトルパンダのスナック工場,11,TH,2018-12-28
com.parking.game,DriveandPark,12,TH,2018-12-28
com.hoolai.ChampionsManager.gpen,ChampionsManagerMobasaka,13,TH,2018-12-28
com.color.by.number.paint.ly.pixel.art,Paint.ly-数字で塗り絵🌺,14,TH,2018-12-28
com.wondergame.shinthai,DIVINE:พรีเซ็นเตอร์โดยฮัตสึเนะ มิกุ,15,TH,2018-12-28
com.sinyee.babybus.expedition,リトルパンダの森のアドベンチャー,16,TH,2018-12-28
com.igg.android.mobileroyale,MobileRoyale,17,TH,2018-12-28
com.treasure.dmcen,Haki:TheLostTreasure,18,TH,2018-12-28
com.yourfun.dummy,ดัมมี่-Dummyมีป๊อกเด้งไพ่ผสมสิบ,19,TH,2018-12-28
com.tuyoonational.fish,TuyooFishingMania,20,TH,2018-12-28
com.senses.miaongp,MiaOnline,21,TH,2018-12-28
com.cyberstep.getampedx,ゲットアンプドモバイル,22,TH,2018-12-28
com.sinyee.babybus.earthquakeIII,リトルパンダの地震救助,23,TH,2018-12-28
io.voodoo.windrider,WindRider!,24,TH,2018-12-28
com.fenicia.sea,TalesofGuardians,25,TH,2018-12-28
com.multicraft.adventureandexploration.gamex,MultiCraftStory,26,TH,2018-12-28
com.fme.cookit,CookIt!レストランシェフなりきりお料理ゲーム,27,TH,2018-12-28
com.happyfish.piratecode,PirateCode-PVP海戦,28,TH,2018-12-28
com.microsoft.gearspop,GearsPOP!,29,TH,2018-12-28
com.aqupepgames.projectpepe,LooneyTunes™ワールド・オブ・メイヘム-アクションRPG,30,TH,2018-12-28
com.kog.grandchaseglobal,グランドチェイス-次元の追跡者-,31,TH,2018-12-28
com.casino.dummycasino,ดัมมี่คาสิโนไทย,32,TH,2018-12-28
com.miniclip.topskater,FlipSkater,33,TH,2018-12-28
com.cocoplay.wedding.dance,ドリーム・ウェディングプランナー-花嫁のようなドレス&ダンス,34,TH,2018-12-28
com.RoadRash.FuryRider,フューリーライダー,35,TH,2018-12-28
com.crazylabs.light.it.up,Light-ItUp,36,TH,2018-12-28
com.gametornado.shortride,ShortRide,37,TH,2018-12-28
com.sinyee.babybus.cultivation,ベビーパンダの牧場,38,TH,2018-12-28
com.inapp.no.paint.color.by.number.coloring,No.Paint-癒しの着色ゲーム,39,TH,2018-12-28
com.legen.sevenqi,LegendsofSaiyan,40,TH,2018-12-28
com.geishatokyo.snowballio,Snowball.io,41,TH,2018-12-28
com.nbcuni.usie.fftakedown,Fast&FuriousTakedown,42,TH,2018-12-28
com.bingo.scape.android.free,BingoScapes-BingoChristmas,43,TH,2018-12-28
com.appon.kitchentycoon,CafeTycoon–Cooking&RestaurantSimulationgame,44,TH,2018-12-28
