app_id,app_name,rank,country_code,date
age.of.civilizations2.jakowski.lukasz,AgeofCivilizationsII,1,TH,2019-01-02
com.jds.batim,BendyandtheInkMachine,2,TH,2019-01-02
com.playfun.dunkparty,DunkParty,3,TH,2019-01-02
com.feralinteractive.rometw,ROME:TotalWar,4,TH,2019-01-02
com.banjihagames.seoul2033_backer,서울2033:후원자,5,TH,2019-01-02
com.Taxi.Game,TaxiCity1988V1,6,TH,2019-01-02
mycity.office,MyCity:オフィス,7,TH,2019-01-02
com.kozgames.motordepot,MotorDepot,8,TH,2019-01-02
com.Amazing.Taxi.Game,AmazingTaxiSimulatorV22019,9,TH,2019-01-02
com.chuslab.FieldVip,FieldDefenseVIP,10,TH,2019-01-02
com.hg.titp,ThisIsthePolice,11,TH,2019-01-02
air.com.tornscreen.cfgame101,СASHFLOW,12,TH,2019-01-02
com.firemaplegames.Thickety_Creek,ThicketyCreek,13,TH,2019-01-02
media.k52.envelapp,envelApp,14,TH,2019-01-02
com.sun.twinfold,Twinfold(ツインフォールド),15,TH,2019-01-02
com.demagogstudio.golfclubwasteland,GolfClub:Wasteland,16,TH,2019-01-02
com.noodlecake.absolutedrift,AbsoluteDrift,17,TH,2019-01-02
com.ChickenWaffle.BabyHands,BABYHANDSJr.,18,TH,2019-01-02
com.nosignalproductions.legacyhidden,Legacy3-TheHiddenRelic,19,TH,2019-01-02
jp.co.capcom.palmRcn,被囚禁的掌心Refrain,20,TH,2019-01-02
ru.izhard,OVIVO,21,TH,2019-01-02
com.matchgems.fantasy_mosaics_32,FantasyMosaics32:Santa'sHut,22,TH,2019-01-02
com.trucksimulation.offroadreal,ユーロトラックシミュレーターオフロード貨物輸送,23,TH,2019-01-02
games.pollywog.card_crusade,CardCrusade:EarlyAccess,24,TH,2019-01-02
com.candysoft.HAHWVVIP,双子の魔王:VIP+,25,TH,2019-01-02
com.Brazle.Makeone,Makeone,26,TH,2019-01-02
de.brettspielwelt.themind,TheMindbyWolfgangWarsch,27,TH,2019-01-02
com.thalantyr.dragonoverseer.full,DragonOverseer,28,TH,2019-01-02
com.honeydew.vip.herostores,ウヨウヨ勇者村プレミアム(TapTown)-魔法石,29,TH,2019-01-02
com.HighlandStudio.HeroesOfFlatlandia1,HeroesofFlatlandia,30,TH,2019-01-02
com.bullbitz.xmasdrop4,ChristmasDrops4-Matchthreepuzzle,31,TH,2019-01-02
com.kotovspace.bs,Barbershop|TheGame,32,TH,2019-01-02
com.raultruji3d.wildmouse,WildMouse-BestRideSimulators,33,TH,2019-01-02
com.nfcompany.orcworld,オークワールド,34,TH,2019-01-02
com.arsalanengr.gravity,Gravity-Onetaphardestgameever,35,TH,2019-01-02
com.asmodeedigital.perudoofficial,Perudo:ThePirateBoardGame,36,TH,2019-01-02
com.firerabbit.games.fmc.resto.full,車を修理する:クラシックマッスルカーの修復,37,TH,2019-01-02
com.looneytoonsdash.looneytunesdash.bugbunnymayhem,LooneyBunnyDashRush,38,TH,2019-01-02
com.alephtestapps.iqtest,IQTest-PremiumIQTest,39,TH,2019-01-02
com.mgameday.servivallive,生存と脱出,40,TH,2019-01-02
com.crazyowl.MagnetBalls2,MagnetBalls2,41,TH,2019-01-02
com.gameday.superm,スーパーキノコたち,42,TH,2019-01-02
com.squiden.retropixel,RetroPixel,43,TH,2019-01-02
com.tapteek.fobia,Fobia,44,TH,2019-01-02
com.NuclearTales.OutOfTheBox,OutofTheBox,45,TH,2019-01-02
com.candysoft.FishKingVVIP,エンジェルフィッシュ:VIP+,46,TH,2019-01-02
com.isrgaming.waronthebattlefield,WarontheBattlefield,47,TH,2019-01-02
com.cloudworth.sevastopol,AxisCrimeanCampaign1941-1942,48,TH,2019-01-02
net.pk.works.sistercomplex,シスターコンプレックス【パターンＡ】,49,TH,2019-01-02
com.BLProductions.KeepCommander,KeepCommander,50,TH,2019-01-02
com.brightmoon.farmmania,FarmMania2019-Fruitmatch3Game,51,TH,2019-01-02
com.softungames.cyman,Cyman,52,TH,2019-01-02
net.pk.works.sistercomplex.b,シスターコンプレックス【パターンＢ】,53,TH,2019-01-02
com.EyeContact.DarkSideGame,Темнаясторона,54,TH,2019-01-02
com.crazyowl.MagnetBallsProNoAds,MagnetBallsPro,55,TH,2019-01-02
com.a64s.quantumcontact,QuantumContact:ASpaceAdventure,56,TH,2019-01-02
net.fchatnet.candyjump,YourCandyJumper,57,TH,2019-01-02
com.FurkanAktas.EthicsJournalistsWay,Ethics:Journalist'sWay,58,TH,2019-01-02
b4a.p2e,NVCPlaytoEvolve,59,TH,2019-01-02
de.atropos.deep6,Deep6,60,TH,2019-01-02
de.atropos.deep6,Deep6,61,TH,2019-01-02
com.VirtualWeasel.AKnightsLife,KnightLife:MedievalFantasyRPG,62,TH,2019-01-02
com.sevenagames.marspuzzle,火星電力,63,TH,2019-01-02
com.builtgames.teletubbiespop,TeletubbiesBalloonPopGameForKids,64,TH,2019-01-02
com.impure.wingjoy,TheImpure,65,TH,2019-01-02
com.snake.rodion,SnakeEssential,66,TH,2019-01-02
com.ltworld.avcg,LeaveThisWorld,67,TH,2019-01-02
com.arsalanengr.gravity,Gravity-Onetaphardestgameever,68,TH,2019-01-02
com.mellivora.fireanddestroy,Fire&Destroy,69,TH,2019-01-02
com.dragonstonguegames,GalaxySwarm,70,TH,2019-01-02
org.wsupermahjong2019,SuperMahjong,71,TH,2019-01-02
com.HATA.CC,CLOSECALL,72,TH,2019-01-02
com.longtitle.ikonomikon,Ikonomikon,73,TH,2019-01-02
com.duet.miningVIP,MineWorld:VIP,74,TH,2019-01-02
com.ggs.into_a_ring,intoaring,75,TH,2019-01-02
com.masonmacbeth.farmsimulator2019,FarmSimulator2019,76,TH,2019-01-02
com.bookup.chessopeningswizard,ChessOpeningsWizard,77,TH,2019-01-02
