app_id,app_name,rank,country_code,date
com.ubisoft.assassinscreed.identity,アサシンクリードアイデンティティ,1,TH,2018-02-04
com.agaming.thesun.origin,TheSun:Origin,2,TH,2018-02-04
me.dreamsky.leagueofstickmanzombie,ZombieAvengers:(Dreamsky)StickmanWarZ-ゾンビ,3,TH,2018-02-04
com.zitga.ninja.stickman.legends.shadow.wars,StickmanLegends:ShadowWars,4,TH,2018-02-04
me.dreamsky.stickman,LeagueofStickman2018-ArenaPVP（Dreamsky）,5,TH,2018-02-04
com.STRONGANDROID.CrazzzyAqurium,InseAquriumDeluxe-FeedFishes!FightAliens!,6,TH,2018-02-04
com.rockstargames.gtasa,グランド・セフト・オート・サンアンドレアス,7,TH,2018-02-04
com.mojang.minecraftpe,Minecraft,8,TH,2018-02-04
com.notdoppler.earntodie,EarntoDie,9,TH,2018-02-04
com.ironhidegames.android.kingdomrushorigins,KingdomRushOrigins,10,TH,2018-02-04
air.tle7.smallfarmPlus,SmallFarmPlus-Growingvegetablesandlivestock,11,TH,2018-02-04
com.sigames.fmm2018,FootballManagerMobile2018,12,TH,2018-02-04
com.agaming.reporter,Reporter,13,TH,2018-02-04
com.agaming.survive.tll,Survive:TheLostLands,14,TH,2018-02-04
com.wb.goog.scribbleremix,ScribblenautsRemix,15,TH,2018-02-04
com.ironhidegames.android.kingdomrushfrontiers,KingdomRushFrontiers,16,TH,2018-02-04
com.jumpgames.RealSteel,RealSteel,17,TH,2018-02-04
com.dreamsky.DiabloLOL,リーグ・オブ・スティックメン(Dreamsky),18,TH,2018-02-04
com.agaming.zonaprojectx,Z.O.N.AProjectX,19,TH,2018-02-04
air.air.RedSunPremium,RedsunRTSPremium,20,TH,2018-02-04
com.astragon.cs2014,コンストラクションシミュレーター2014,21,TH,2018-02-04
com.dbSoftware.siepro,SurvivalIsland:EvolvePro!,22,TH,2018-02-04
me.dreamsky.lostjourney2,時空の旅(Dreamsky),23,TH,2018-02-04
com.rockstargames.gtavc,グランド・セフト・オート・バイスシティ,24,TH,2018-02-04
com.and.games505.TerrariaPaid,Terraria.,25,TH,2018-02-04
com.agaming.mentalhospitalV,MentalHospitalV,26,TH,2018-02-04
air.ThaiFarmer,ThaiFarmerปลูกผักแบบไทย,27,TH,2018-02-04
com.rixstud.battlepixsurv,BATTLEPIXEL'SSURVIVALGROUND,28,TH,2018-02-04
com.rockstargames.bully,Bully:AnniversaryEdition,29,TH,2018-02-04
com.kleientertainment.doNotStarvePocket,Don'tStarve:PocketEdition,30,TH,2018-02-04
com.nerdyyetis.spacefuss,SpaceFuss,31,TH,2018-02-04
com.jumpgames.pacificrim,PacificRim,32,TH,2018-02-04
com.realdrift.sipon,RealDriftCarRacing,33,TH,2018-02-04
com.hg.townsmen7,TownsmenPremium,34,TH,2018-02-04
com.pockettrend.neomonsters,ネオモンスターズ,35,TH,2018-02-04
com.and.games505.portal_knights,PortalKnights,36,TH,2018-02-04
com.t2ksports.nba2k18and,NBA2K18,37,TH,2018-02-04
com.squareenixmontreal.hitmango,HitmanGO,38,TH,2018-02-04
mobi.bestfreegames.bike.mayhem.extreme.mountain.racing,BikeMayhemMountainRacing,39,TH,2018-02-04
com.fantablade.icey,ICEY,40,TH,2018-02-04
com.sanbae.dimlight,ディム・ライト(DimLight),41,TH,2018-02-04
com.ironhidegames.android.ironmarines,鉄の海兵隊(IronMarines),42,TH,2018-02-04
com.easytech.wc4.android,世界の覇者4,43,TH,2018-02-04
com.panicartstudios.herosiegepocket,HeroSiege:PocketEdition,44,TH,2018-02-04
com.epsxe.ePSXe,ePSXeforAndroid,45,TH,2018-02-04
org.ppsspp.ppssppgold,PPSSPPGOLD-PSPemulator,46,TH,2018-02-04
com.gameloft.android.ANMP.GloftASHM,アメイジング・スパイダーマン2,47,TH,2018-02-04
com.robtopx.geometryjump,GeometryDash,48,TH,2018-02-04
com.Ruaz404.Desertstorm,DesertStorm,49,TH,2018-02-04
air.com.flipline.papasfreezeriatogo,Papa'sFreezeriaToGo!,50,TH,2018-02-04
com.senspark.darkland,Darkland,51,TH,2018-02-04
com.magiccubegames.knightmaker,女剣士と秘密の日記(女剣士メーカー),52,TH,2018-02-04
com.kleientertainment.doNotStarveShipwrecked,Don'tStarve:Shipwrecked,53,TH,2018-02-04
com.wb.goog.scribblenauts3,ScribblenautsUnlimited,54,TH,2018-02-04
th.in.dualcore.demonparty,DemonParty[Premium],55,TH,2018-02-04
com.comp01.blackstone2,HeroUnleashed,56,TH,2018-02-04
com.gameloft.android.ANMP.GloftICHM,SonicRunnersAdventure,57,TH,2018-02-04
net.kairosoft.android.gamedev3en,GameDevStory,58,TH,2018-02-04
net.kairosoft.android.school2_en,PocketAcademy,59,TH,2018-02-04
com.rixstudio.uncrowdedone,UncrowdedOne,60,TH,2018-02-04
com.gm_shaber.dayrpremium,DayRPremium,61,TH,2018-02-04
com.gamefirst.survivalsavagefull,SurvivalIsland:CreativeMode,62,TH,2018-02-04
com.explodingkittens.projectbombsquad,ExplodingKittens®-Official,63,TH,2018-02-04
com.FireproofStudios.TheRoom,TheRoom,64,TH,2018-02-04
com.ea.games.nfs13_row,NeedforSpeed™MostWanted,65,TH,2018-02-04
net.kairosoft.android.bouken_en,DungeonVillage,66,TH,2018-02-04
com.DuoAB.RR,RuneRanker,67,TH,2018-02-04
com.squareenixmontreal.lcgo,LaraCroftGO,68,TH,2018-02-04
com.square_enix.android_googleplay.FFT_en2,FINALFANTASYTACTICS:WotL,69,TH,2018-02-04
com.uplayonline.youtubers,YoutubersLife,70,TH,2018-02-04
com.Ruaz404inc.SMERSH,SMERSH,71,TH,2018-02-04
com.plabs.planetofc.premium,PlanetofCubesPremium,72,TH,2018-02-04
com.dbSoftware.arksiepro,JurassicSurvivalIsland:EvolvePro,73,TH,2018-02-04
com.marmalade.golmobile,TheGameofLife,74,TH,2018-02-04
com.squareenix.dxm,DeusEx:TheFall,75,TH,2018-02-04
com.sning.InaquariumStange,Insaquarium:CrazyAquarium,76,TH,2018-02-04
com.fds.infiniteflight,InfiniteFlightSimulator,77,TH,2018-02-04
com.oddworld.Stranger,Oddworld:Stranger'sWrath,78,TH,2018-02-04
com.rt.hook,Hook,79,TH,2018-02-04
com.nsd.mysteryOfFortune2,ミステリーオブフォーチュン2,80,TH,2018-02-04
com.agaming.mentalhospitaliii,MentalHospitalIII,81,TH,2018-02-04
mytown.bakery,MyTown:ベーカリー,82,TH,2018-02-04
com.linktown.demonghunter3.pay,デモングハンター3(DemongHunter3),83,TH,2018-02-04
com.jdroid.gtavccheater,JCheater:ViceCityEdition,84,TH,2018-02-04
com.candyrufusgames.survivalcraft2,Survivalcraft2,85,TH,2018-02-04
com.khg.doorkickers,DoorKickers,86,TH,2018-02-04
com.rockstar.maxpayne,マックス・ペインモバイル,87,TH,2018-02-04
com.venomizedArt.Slaughter2,Slaughter2:PrisonAssault,88,TH,2018-02-04
com.ustwo.monumentvalley2,MonumentValley2,89,TH,2018-02-04
com.RhinoGearz.Harvest_Master,HarvestMaster:FarmSim,90,TH,2018-02-04
com.natsume.stone.android,HARVESTMOON:SeedsOfMemories,91,TH,2018-02-04
com.teaandcakegames.yandereschool,YandereSchool,92,TH,2018-02-04
