app_id,app_name,rank,country_code,date
com.garena.game.kgth,GarenaRoV:MobileMOBA,1,TH,2018-03-30
jp.naver.line.android,LINE（ライン）-無料通話・メールアプリ,2,TH,2018-03-30
com.longtugame.yulgang,YulgangMobile,3,TH,2018-03-30
com.netmarble.revolutionthm,Lineage2Revolution,4,TH,2018-03-30
com.igg.android.lordsmobile,ロードモバイル【本格リアルタイムストラテジーMMORPG】,5,TH,2018-03-30
com.hcg.cok.gp,クラッシュオブキングス-「城育成シミュレーションRPG」,6,TH,2018-03-30
com.netease.chiji,RulesofSurvival,7,TH,2018-03-30
sg.bigo.live,BIGOLIVE（ビゴライブ)‐SNS系ライブ配信,8,TH,2018-03-30
com.herogames.gplay.rpg.maplestory,แฟนตาซีแลนด์:ผจญภัยเพื่อความรัก,9,TH,2018-03-30
com.gmthai.bar,BladesandRings-ตำนานครูเสด,10,TH,2018-03-30
com.com2us.smon.normal.freefull.google.kr.android.common,サマナーズウォー:SkyArena,11,TH,2018-03-30
com.linecorp.LGGRTHN,LINELet'sGetRich,12,TH,2018-03-30
com.nianticlabs.pokemongo,PokémonGO,13,TH,2018-03-30
com.netflix.mediaclient,Netflix,14,TH,2018-03-30
com.google.android.apps.docs,Googleドライブ,15,TH,2018-03-30
com.gtarcade.lod,LegacyofDiscord-FuriousWings,16,TH,2018-03-30
com.dts.freefireth,FreeFire,17,TH,2018-03-30
com.skynet.jx,LegendofSwordman,18,TH,2018-03-30
com.king.candycrushsaga,キャンディークラッシュ,19,TH,2018-03-30
com.longtech.lastwars.gp,LastEmpire–WarZゾンビサバイバル,20,TH,2018-03-30
com.supercell.hayday,ヘイ・デイ(HayDay),21,TH,2018-03-30
com.herogames.gplay.crisisactionsa,CrisisAction:NOCANOFPS,22,TH,2018-03-30
com.miHoYo.bh3oversea,HonkaiImpact3,23,TH,2018-03-30
com.boyaa.androidmarkettaiyu,ไพ่เท็กซัสโบย่า-BoyaaTexasPokerโป๊กเกอร์มือโปร,24,TH,2018-03-30
th.in.siamgame.ggplay.qjmu,MUOrigin-TH,25,TH,2018-03-30
com.playrix.gardenscapes,ガーデンスケイプ(Gardenscapes),26,TH,2018-03-30
jp.naver.lineplay.android,LINEプレイ-世界中の友だちと楽しむアバターライフ,27,TH,2018-03-30
com.netmarble.sknightsgb,SevenKnights,28,TH,2018-03-30
com.mobile.legends,モバイル·レジェンド:BangBang,29,TH,2018-03-30
com.netmarble.mherosgb,マーベル・フューチャーファイト,30,TH,2018-03-30
com.igg.castleclash_th,CastleClash:เหล่าผู้กล้าหาญ,31,TH,2018-03-30
com.linecorp.LGBB2,LINEバブル2,32,TH,2018-03-30
com.tinder,Tinder,33,TH,2018-03-30
com.ini3.dj2,มังกรหยก2,34,TH,2018-03-30
com.funplus.kingofavalon,キング・オブ・アバロン:ドラゴン戦争(KoA),35,TH,2018-03-30
com.devsisters.gb,クッキーラン:オーブンブレイク,36,TH,2018-03-30
com.tencent.ibg.joox,"JOOXMusic-FreeStreaming,LiveandKaraoke",37,TH,2018-03-30
com.diandian.gog,ガンズ・オブ・グローリー(GunsofGlory),38,TH,2018-03-30
jp.konami.pesam,WinningEleven2018,39,TH,2018-03-30
com.roblox.client,ROBLOX,40,TH,2018-03-30
