app_id,app_name,rank,country_code,date
com.azurgames.stackball,スタックボール,1,TH,2019-04-14
com.netease.lztgglobal,CyberHunter,2,TH,2019-04-14
com.nexon.bnb2,BnBM,3,TH,2019-04-14
com.mgc.runnergame,3D競走,4,TH,2019-04-14
com.twist.hit,TwistHit!,5,TH,2019-04-14
com.th.siamgame.ggplay.bleach,BLEACHMobile3D,6,TH,2019-04-14
abcdht.angle.clean,AngleClean,7,TH,2019-04-14
com.unlock.zhuxian.kunlun.ancient.legend.sword,จอมใจยุทธภพ-MartialLover,8,TH,2019-04-14
com.playgendary.ktb2,KicktheBuddy:Forever,9,TH,2019-04-14
com.master.craft.game.free,MasterCraftfree,10,TH,2019-04-14
com.freehappy.lauzy.malaimusic,AIRingtone,11,TH,2019-04-14
com.gbga.mx,MartialWorld:สวีทฮาร์ทสะท้านยุทธภพ,12,TH,2019-04-14
com.kdgames.fzkd,ElfArena,13,TH,2019-04-14
abccsd.clear.clean,ClearClean,14,TH,2019-04-14
cln.nermain.cleanday.memorycleaner,DailyClean,15,TH,2019-04-14
com.trueaxis.truesurf,TrueSurf,16,TH,2019-04-14
com.sinyee.babybus.assistant,ベビーパンダのハウスクリーニング,17,TH,2019-04-14
cxom.abcwcy.vanillamusic,MusicClip,18,TH,2019-04-14
com.platonicgames.kawaiikitchen,かわいい台所,19,TH,2019-04-14
com.playgendary.pinatamasters,Pinatamasters,20,TH,2019-04-14
com.hyperbeard.clawberta,クローバータ,21,TH,2019-04-14
com.housepaint.game,HousePaint,22,TH,2019-04-14
com.outfit7.herodash,TalkingTomHeroDash,23,TH,2019-04-14
gsn.thai.pokdeng,ป๊อกเด้ง-Pokdeng3D-ZingPlay,24,TH,2019-04-14
com.crazylabs.amaze.game,AMAZE!,25,TH,2019-04-14
com.azurgames.dinosaurs,フルメタルモンスターズ,26,TH,2019-04-14
com.superwings.jettrun,SuperWings:JettRun,27,TH,2019-04-14
com.game.crafting.exploration.mxx,Exploration2:AdventureWorld,28,TH,2019-04-14
com.minecraftgranny.app,Hellogrannyhorrorcraftmaps,29,TH,2019-04-14
com.dois.clean,DoisClean,30,TH,2019-04-14
com.cookingcity.chef.kitchen.craze.fever,クッキングシティ(CookingCity),31,TH,2019-04-14
com.ak.poker,ไพ่แคง,32,TH,2019-04-14
com.neonplay.casualrollersplat2,RollerSplat!,33,TH,2019-04-14
com.siam.th.dummy,ไพ่ดัมมี่,34,TH,2019-04-14
com.game.th.hilo,ไฮโล,35,TH,2019-04-14
com.barbiemodgranny.grannybarbie2019,ScaryBARBlEgranny:TheHorrorGame,36,TH,2019-04-14
com.xionillacingooklaspeedtest,スタントスポーツカー,37,TH,2019-04-14
com.borntodev.games,TooRunวิ่งให้สุดแล้วหยุดที่คูหา,38,TH,2019-04-14
com.siam.th.pokdeng,ไพ่ป๊อกเด้ง,39,TH,2019-04-14
com.aog.dautruongvinhquang,AOG-ĐấuTrườngVinhQuang,40,TH,2019-04-14
love.mcpegame.bedwarsmap,Bedwars🛏️MapforMCPocketEdition,41,TH,2019-04-14
com.wanda.mxdfw1,老闆有錢：地產大亨,42,TH,2019-04-14
keyboard.theme.k820016875,パープルネオンDJキーボード,43,TH,2019-04-14
com.estunfightergamestop,囚人サバイブミッション,44,TH,2019-04-14
com.XTechStudios.snakeIO,Snaker.io!,45,TH,2019-04-14
com.swordman.reforged,Swordman:Reforged,46,TH,2019-04-14
com.hwg.idlepainter,IdlePainter,47,TH,2019-04-14
com.army.commando.battleground.commando.squad,FreeFireSquad:BattlegroundSurvivalGame,48,TH,2019-04-14
com.tigers.stickmanarcherking,Mr.Archer:KingStickman,49,TH,2019-04-14
com.pixelperfectdude.htdrive,#DRIVE,50,TH,2019-04-14
com.appinnovationstar.songkranfestivalphotosticker,แต่งรูปสงกรานต์,51,TH,2019-04-14
bass.booster,イコライザー-ベースブースター＆ボリュームブースター,52,TH,2019-04-14
com.ezfundao2.th4,Dynasty Blade 2:ตำนานขุนศึกสามก๊ก MMORPG,53,TH,2019-04-14
com.siam.th.gaple,โดมิโน่,54,TH,2019-04-14
com.mpossiblerackstuntaracingonurair,マックスレーシング-3Dカー漂流ゲーム,55,TH,2019-04-14
gif.sticker.keyboard,GIFKeyboard2019,56,TH,2019-04-14
com.timuzgames.fpsbattle,FPSBattle2019,57,TH,2019-04-14
com.compare3d.thaipoker,ไพ่แคงแฟนตาซี-freemobilegames,58,TH,2019-04-14
com.chris.seasurvival,海洋のサバイバル,59,TH,2019-04-14
com.sinyee.babybus.bird,ベビーパンダの鳥の王国,60,TH,2019-04-14
me.dream.lophisroguelike,DarkDungeonSurvival-LophisFateCardRoguelike,61,TH,2019-04-14
com.edkongames.mobs,ModernOps-無料射撃ゲーム(OnlineShooterFPS),62,TH,2019-04-14
com.fefa.burmatv,BurmaTV,63,TH,2019-04-14
com.habby.archero,Archero,64,TH,2019-04-14
com.vg.bsm,BlackShotM:Gears,65,TH,2019-04-14
com.cool.volume.sound.booster,ボリュームブースター、スピーカーブースト,66,TH,2019-04-14
com.zj.th.dummy,ดัมมี่-Dummyเก้าเกไฮโล,67,TH,2019-04-14
com.irenegames.songkran,คำอวยพรวันสงกรานต์,68,TH,2019-04-14
com.cg.archery,ArcheryBattle,69,TH,2019-04-14
com.milliongames.swatsniper3d2019,SWATSniper3D2019:FreeShootingGame,70,TH,2019-04-14
com.blockpuzzle.galaxy.bluedream.puzzle,ブロックパズルダイヤモンド:暇つぶしに人気の面白いゲーム！ゲーム無料ハマるよ,71,TH,2019-04-14
com.kwalee.drawit,Drawit,72,TH,2019-04-14
com.sandboxol.indiegame.hideandseek,HideandSeek,73,TH,2019-04-14
com.eltech.messengeraio,MessengerforSocialMedia,74,TH,2019-04-14
com.topu.livechat,TopU—Let'svideochat,75,TH,2019-04-14
y.com.daily.habit,MyHabit&Goals&Tasks,76,TH,2019-04-14
com.huada.future,TrueCash_สินเชื่อ​เงินสด​รับเงิน​ได้ทันที,77,TH,2019-04-14
app.rojer.calories,ตารางแคลอรี่FoodCalorie,78,TH,2019-04-14
com.kaixin.luckygamedom2019,LuckyGamedom,79,TH,2019-04-14
com.kate.songkarn,คำอวยพรวันสงกรานต์2562,80,TH,2019-04-14
com.Uking.thai.fk,ไพ่แคง-เก้าเกไฮโล,81,TH,2019-04-14
com.golden.fishing.android.avidly,黃金捕魚場Online-遊藝場街機達人必備，包你發發發成富豪,82,TH,2019-04-14
com.freeebattle.tips,Free-Fireguidenew2019,83,TH,2019-04-14
com.hello.SweetsCookingMenu,SweetsCookingMenu,84,TH,2019-04-14
com.moto.racing.speed.driving,モーターリアルレーシング：ドライビングスキル,85,TH,2019-04-14
com.gravity.rocp.google,RagnarokCRUSH:Match3Puzzle,86,TH,2019-04-14
com.funigloo.honm,帰魂:掃討RPG,87,TH,2019-04-14
com.miga.myschool,Migaタウン:スクール,88,TH,2019-04-14
com.unicharm.pointprogram,MamyPoko-PokoChanPointProgram,89,TH,2019-04-14
com.gross.eberhard.wallpaper,HDPopularWallpaper,90,TH,2019-04-14
com.humor.talking.mosasaurus,モササウルスを話す,91,TH,2019-04-14
love.mcpegame.jurassiccraftdinosaursmod,JurassicCraft🦕DinosaursModforMC,92,TH,2019-04-14
onlinemp3.freemusic.com.download.mp,MP3MusicDownloader,93,TH,2019-04-14
love.mcpegame.furnituremod,Furniture🛋️ModforMCPocketEdition,94,TH,2019-04-14
