app_id,app_name,rank,country_code,date
com.gamefirst.chibisurvivorlord,ChibiSurvivor-WeatherLordPRO,1,TH,2017-10-08
com.agaming.survive.tll,Survive:TheLostLands,2,TH,2017-10-08
com.hg.devils,Devils&DemonsArenaWarsPE,3,TH,2017-10-08
com.pockettrend.neomonsters,ネオモンスターズ,4,TH,2017-10-08
com.istellostudiopgs.lastdays,LastDays,5,TH,2017-10-08
com.mojang.minecraftpe,Minecraft,6,TH,2017-10-08
com.lightricks.facetune,Facetune,7,TH,2017-10-08
com.rockstargames.gtasa,グランド・セフト・オート・サンアンドレアス,8,TH,2017-10-08
me.dreamsky.stickman,LeagueofStickman2017-Ninja,9,TH,2017-10-08
com.notdoppler.earntodie,EarntoDie,10,TH,2017-10-08
com.headupgames.bridgeconstructor,ブリッジコンストラクタ,11,TH,2017-10-08
com.gryffindor.gryffindor.feelm.classic,Feelmclassic-AnalogFilters,12,TH,2017-10-08
com.agaming.reporter,Reporter,13,TH,2017-10-08
com.STRONGANDROID.CrazzzyAqurium,InsaneAquriumDeluxe,14,TH,2017-10-08
air.air.RedSunPremium,RedsunRTSPremium,15,TH,2017-10-08
com.Ruaz404.Desertstorm,DesertStorm,16,TH,2017-10-08
com.pixelbite.sg,SpaceMarshals,17,TH,2017-10-08
com.teamspeak.ts3client,TeamSpeak3,18,TH,2017-10-08
com.rddesignsjp.iosicn,OSIconPack,19,TH,2017-10-08
com.maxmpz.audioplayer.unlock,PowerampFullVersionUnlocker,20,TH,2017-10-08
com.fotoable.palette.paris,PaletteParis-パレットパリ,21,TH,2017-10-08
com.dreamsky.DiabloLOL,リーグ・オブ・スティックメン,22,TH,2017-10-08
air.ThaiFarmer,ThaiFarmerปลูกผักแบบไทย,23,TH,2017-10-08
com.agaming.zonaprojectx,Z.O.N.AProjectX,24,TH,2017-10-08
com.jumpgames.RealSteel,RealSteel,25,TH,2017-10-08
com.wb.goog.scribbleremix,ScribblenautsRemix,26,TH,2017-10-08
com.squareenixmontreal.hitmansniperandroid,ヒットマンスナイパー(HitmanSniper),27,TH,2017-10-08
me.dreamsky.leagueofstickmanzombie,ZombieAvengers:StickmanWarZ-ゾンビ,28,TH,2017-10-08
com.istellostudiopgs.lastsurviveislandevolve,LastSurvive:IslandEvolve,29,TH,2017-10-08
com.agaming.mentalhospitalV,MentalHospitalV,30,TH,2017-10-08
com.fotoable.palette.nara,PaletteNara-パレット奈良,31,TH,2017-10-08
com.microids.google.godsvshumans,GodsVSHumans,32,TH,2017-10-08
com.wb.goog.legohp1,LEGOHarryPotter:Years1-4,33,TH,2017-10-08
com.n0n3m4.gltools,GLTools[root](gfxoptimizer),34,TH,2017-10-08
com.astragon.cs2014,コンストラクションシミュレーター2014,35,TH,2017-10-08
com.aag.winterraftpro,WinterSurvivalOnRaft3D-PRO,36,TH,2017-10-08
com.palette.twinkle,パレットきらきら-PaletteTwinkle,37,TH,2017-10-08
com.rixstudio.uncrowded,Uncrowded,38,TH,2017-10-08
com.nerdyyetis.spacefuss,SpaceFuss,39,TH,2017-10-08
com.gryffindor.gryffindor.feelm.roid,필름폴라-FeelmPolar,40,TH,2017-10-08
com.hg.townsmen7,TownsmenPremium,41,TH,2017-10-08
com.rockstargames.gtavc,グランド・セフト・オート・バイスシティ,42,TH,2017-10-08
me.dreamsky.lostjourney2,時空の旅,43,TH,2017-10-08
com.and.games505.TerrariaPaid,Terraria.,44,TH,2017-10-08
com.rixstudio.daytorust,7DaystoRustyForest,45,TH,2017-10-08
com.realdrift.sipon,RealDriftCarRacing,46,TH,2017-10-08
com.agaming.mentalhospital3,MentalHospitalIIIHD,47,TH,2017-10-08
com.dbSoftware.siepro,SurvivalIsland:EvolvePro!,48,TH,2017-10-08
com.rddesigns.iphoneX,OSLauncherPro,49,TH,2017-10-08
com.cig.homebehind,HomeBehind,50,TH,2017-10-08
com.quvideo.xiaoying.pro,VivaVideoPRO:ビデオエディタ＆動画編集アプリ,51,TH,2017-10-08
com.perracolabs.cp,Cameringo+フォトフィルターカメラ,52,TH,2017-10-08
com.vicman.photolabpro,PhotoLabPRO,53,TH,2017-10-08
com.globalfun.photoshoot.google.premium,Ben10MouthOff,54,TH,2017-10-08
com.fotoable.palette.navy,PaletteNavy(パレットネービー),55,TH,2017-10-08
flar2.exkernelmanager,EXKernelManager,56,TH,2017-10-08
com.scom.noads,同人誌-Premium,57,TH,2017-10-08
com.moontm.Dungeon999F,ダンジョン999,58,TH,2017-10-08
com.ironhidegames.android.ironmarines,鉄の海兵隊(IronMarines),59,TH,2017-10-08
net.kairosoft.android.gamedev3en,GameDevStory,60,TH,2017-10-08
net.kairosoft.android.school2_en,PocketAcademy,61,TH,2017-10-08
com.senspark.darkland,Darkland,62,TH,2017-10-08
com.jumpgames.pacificrim,PacificRim,63,TH,2017-10-08
com.gryffindor.pinkeye,FeelmRosy-アナログフィルタ,64,TH,2017-10-08
com.quantized.prison,PrisonRunandGun,65,TH,2017-10-08
mobi.bestfreegames.bike.mayhem.extreme.mountain.racing,BikeMayhemMountainRacing,66,TH,2017-10-08
com.candyrufusgames.survivalcraft2,Survivalcraft2,67,TH,2017-10-08
com.jndapp.minimal.o.iconpack,MinimalO-IconPack,68,TH,2017-10-08
com.sigames.fmm2017,『FootballManagerMobile2017』,69,TH,2017-10-08
com.gameloft.android.ANMP.GloftASHM,アメイジング・スパイダーマン2,70,TH,2017-10-08
