app_id,app_name,rank,country_code,date
com.whatsapp,WhatsAppMessenger,1,TR,2016-04-28
com.facebook.orca,Messenger,2,TR,2016-04-28
com.facebook.katana,Facebook,3,TR,2016-04-28
com.etermax.preguntados.lite,TriviaCrack,4,TR,2016-04-28
com.instagram.android,Instagram,5,TR,2016-04-28
com.snapchat.android,Snapchat,6,TR,2016-04-28
air.com.hypah.io.slither,slither.io,7,TR,2016-04-28
com.qihoo.security,360セキュリティ-アンチウイルス&ブースト,8,TR,2016-04-28
com.firsttouchgames.dls3,DreamLeagueSoccer2016,9,TR,2016-04-28
com.fw.appshare,ShareCloud(ShareApps),10,TR,2016-04-28
com.venticake.retrica,レトリカRetrica,11,TR,2016-04-28
com.abtnprojects.ambatana,letgo:Buy&SellUsedStuff,12,TR,2016-04-28
com.king.candycrushsaga,キャンディークラッシュ,13,TR,2016-04-28
com.cleanmaster.mguard,CleanMaster[タスクキラー/ファイル削除],14,TR,2016-04-28
com.facebook.lite,FacebookLite,15,TR,2016-04-28
com.cleanmaster.security,CMSecurity-無料セキュリティ，アプリロック,16,TR,2016-04-28
com.kiloo.subwaysurf,SubwaySurfers,17,TR,2016-04-28
com.google.android.apps.photos,Googleフォト,18,TR,2016-04-28
com.apusapps.launcher,APUSランチャー小型、高速、ブースト,19,TR,2016-04-28
com.vodafone.selfservis,VodafoneYanımda,20,TR,2016-04-28
com.qisiemoji.inputmethod,"KikaKeyboard-Emoji,GIFs",21,TR,2016-04-28
com.linecorp.b612.android,B612-こころで撮る自撮り,22,TR,2016-04-28
com.sahibinden,sahibinden.com,23,TR,2016-04-28
com.outfit7.mytalkingtomfree,マイ・トーキング・トム(MyTalkingTom),24,TR,2016-04-28
com.hermes.superb.booster,SuperBCleaner(Boost&Clean),25,TR,2016-04-28
com.outfit7.talkingtom,おしゃべり猫のトーキング・トム,26,TR,2016-04-28
tv.periscope.android,Periscope,27,TR,2016-04-28
com.supercell.clashofclans,クラッシュ・オブ・クラン(ClashofClans),28,TR,2016-04-28
com.turkcell.bip,BiPMessenger,29,TR,2016-04-28
com.foursquare.robin,Swarm,30,TR,2016-04-28
com.ttech.android.onlineislem,TurkcellHesabım,31,TR,2016-04-28
com.joeware.android.gpulumera,キャンディカメラ　―　自撮り、サイレント、フィルターカメラ,32,TR,2016-04-28
com.azarlive.android,Azar-ビデオチャット、友達検索,33,TR,2016-04-28
com.meb.vbsmobil,MEBE-OKULVBS,34,TR,2016-04-28
com.cmplay.tiles2,ピアノタイル2,35,TR,2016-04-28
com.twitter.android,Twitter,36,TR,2016-04-28
com.sgiggle.production,タンゴ:無料ビデオ通話/テキスト,37,TR,2016-04-28
com.kokteyl.mackolik,MackolikCanlıSonuçlar,38,TR,2016-04-28
com.supercell.clashroyale,クラッシュ・ロワイヤル(ClashRoyale),39,TR,2016-04-28
com.ovilex.drivingschool2016,DrivingSchool2016,40,TR,2016-04-28
toprak.lirik,MüzikSeninle,41,TR,2016-04-28
com.ahoygames.okey,Okey,42,TR,2016-04-28
com.cam001.selfie,SweetSelfie-Candynewname,43,TR,2016-04-28
