app_id,app_name,rank,country_code,date
com.tencent.iglite,PUBGMOBILELITE,1,TR,2019-08-20
com.water.balls,SandBalls,2,TR,2019-08-20
com.viouk.free.gamecrft.big.opp,Worldkrafts,3,TR,2019-08-20
com.harmonybit.coolball,CoolGoal!,4,TR,2019-08-20
com.dpspace.rocketsky,RocketSky!,5,TR,2019-08-20
com.gjg.colorfill3d,ColorFill3D,6,TR,2019-08-20
com.krafts.building,MasterCraft-NewCraftinggame,7,TR,2019-08-20
com.stx.happyshotsgolf,HappyShotsGolf,8,TR,2019-08-20
com.playrix.zoo_m3.gplay,ワイルドスケイプ(Wildscapes),9,TR,2019-08-20
com.kwalee.gunpuzzle,Shootout3D,10,TR,2019-08-20
com.gpp.RollerCoaster,IdleRollerCoaster,11,TR,2019-08-20
com.ccinc.mixjump,MixJump,12,TR,2019-08-20
com.neonplay.casualidletapstrongman,IdleTapStrongman,13,TR,2019-08-20
com.hwg.neonsplash,NeonSplash,14,TR,2019-08-20
com.miniclip.topdowngolf,TopGolf,15,TR,2019-08-20
com.cocoplay.my.fashion.empire,ファッション・タイクーン,16,TR,2019-08-20
com.blocky.runner.free,KIDDYRUN-Blocky3DRunningGames,17,TR,2019-08-20
com.sinyee.babybus.princessII,リトルパンダ：プリンセスのメイクアップ,18,TR,2019-08-20
com.pianowakas.pianotitlesmarshmello,PianoTiles:MarshmelloMusicDance,19,TR,2019-08-20
com.oppanagames.car.simulator.c63,CarSimulatorC63,20,TR,2019-08-20
com.games1st.policecardrivingv2,RealPoliceCarDrivingv2,21,TR,2019-08-20
com.jamcity.superchef,ヴィンヤード・バレー(VineyardValley)：マッチ＆ブラストパズルゲーム,22,TR,2019-08-20
com.igg.android.craftlegend,CraftLegend,23,TR,2019-08-20
com.cut.pipe,カットコーン-ASMRゲーム,24,TR,2019-08-20
com.dragonfire_game.ba_tr,DragonFire,25,TR,2019-08-20
com.connect.one.stroke.drawing.line.shihao,OneStrokeDrawing,26,TR,2019-08-20
com.FDGEntertainment.BananaKongBlast.gp,BananaKongBlast,27,TR,2019-08-20
com.trucksimulator.driver,ユーロトラック運転手2019,28,TR,2019-08-20
com.unhotirearkillshot,リアルブレット,29,TR,2019-08-20
com.easybrain.nonogram,Nonogram.com-ピクチャークロスパズルゲーム,30,TR,2019-08-20
com.ts.stickman.runrace.aquapark,Stickmanrunup3d-FunGame,31,TR,2019-08-20
com.dd.shootingbattle,ShootingBattle,32,TR,2019-08-20
com.qjzj.an.us4399,Raider:Origin,33,TR,2019-08-20
com.gpp.idleaquapark,IdleAquaPark,34,TR,2019-08-20
com.noxgames.merge.muscle.car.tycoon,MergeMuscleCarTycoon,35,TR,2019-08-20
com.jumpstopper.knife.slice,KitchenKnifeFruitSlice,36,TR,2019-08-20
neon.glow.real3d.color.puzzle.free.android,NeonGlow-3DColorPuzzleGame,37,TR,2019-08-20
com.passogames.fantasyfootball,FanteziFutbolPasso,38,TR,2019-08-20
com.QuickLoad.CrazySnackTwo,CrazySnack2-Click&Merge,39,TR,2019-08-20
com.gpp.milkfactory,MilkFactory,40,TR,2019-08-20
com.brounceballz.breakernumberpuzzle,Ball3D-BricksBallBreakerPuzzle,41,TR,2019-08-20
com.lbe.scissor,CutPics,42,TR,2019-08-20
com.parkourcraft.online,ParkourCraft:OnlinePvPGames,43,TR,2019-08-20
com.budgestudios.googleplay.DCSuperHeroGirls,DCSuperHeroGirlsBlitz,44,TR,2019-08-20
com.pixio.google.art.inc,美術株式会社-お手軽美術館経営シミュレーション,45,TR,2019-08-20
com.netease.ddsfna,StickFight:TheGameMobile,46,TR,2019-08-20
gt2048.solitaire.gt,2048Solitaire,47,TR,2019-08-20
com.cross.word.search.word.tour.android,単語ゲーム-クロスワード＆スタックワード＆バイブルワード,48,TR,2019-08-20
com.sinyee.babybus.greenhouse,ファッションフラワーDIY,49,TR,2019-08-20
com.my.ffs.action.bombasticbrothers,BombasticBrothers–2D銃撃ゲーム,50,TR,2019-08-20
com.enguine.makeup.glamour,MakeupGlamour,51,TR,2019-08-20
com.irongranny.ironny,IRONGRANNYV1.7.3-Thescarygamemod2019,52,TR,2019-08-20
ru.sillypenguin.rat,MouseHouse:PuzzleStory,53,TR,2019-08-20
com.NINJAJAEUX3D.RobloxEscapeGrandma,TheEscapeObbyGrandma'shouse,54,TR,2019-08-20
com.ktv.weedfactory,WeedFactoryIdle,55,TR,2019-08-20
com.wan.sqcsj,Legend:RiseofEmpires,56,TR,2019-08-20
com.redemptiongames.sugar,SweetEscapes:DesignaBakerywithPuzzleGames,57,TR,2019-08-20
com.limongame.UcHanedan,3Hanedan:TürkDünyasıBuOyundaBirleşiyor.,58,TR,2019-08-20
com.cinna.collectcubes,CollectCubes,59,TR,2019-08-20
com.grannyscary.EISA,ScaryEIsaGranny2-Horrormod2019,60,TR,2019-08-20
com.find.differences.puzzle.game,まちがい探し-全部見つけてね,61,TR,2019-08-20
com.vicenterplayace.arrowgo,ArrowGo!,62,TR,2019-08-20
com.MathSchoolEducation.MathSchool,CrazyMathTeacher-SolveMathinSchoolEducation,63,TR,2019-08-20
com.games1st.sahindriftarabaoyunu,SahinDriftandCarGameSimulator,64,TR,2019-08-20
com.ketchapp.zombieroyale,ZombieRoyale,65,TR,2019-08-20
com.mergeflowers.game,MergeFlowersvs.Zombies,66,TR,2019-08-20
com.igg.android.braveconquest,BraveConquest,67,TR,2019-08-20
com.wildsky.td,ワイルドスカイタワーディフェンス:紡がれる伝説,68,TR,2019-08-20
com.atesvesu.twoplayergames,AteşveSuOyunu,69,TR,2019-08-20
comgranzombie.zombiegranny.zombiew2019,ScaryZombiGranny-Horrorgames2019,70,TR,2019-08-20
com.withrese.cannon.shooter,CannonShooter,71,TR,2019-08-20
com.arcelonaantasyanagerealfootballmobilestryker,サッカーの日,72,TR,2019-08-20
com.grannypolice.policeusa.soldiergranny19,POLICEGrannyModV1.7:BestHorrorGame2019,73,TR,2019-08-20
com.fumbgames.mergecraft,Mergecraft-IdleMergeRPG,74,TR,2019-08-20
com.drift.carracings,DriftCarRacing-2019,75,TR,2019-08-20
com.sonypicturestelevision.hoteltblast,HotelTransylvania:Blast-PuzzleGame,76,TR,2019-08-20
com.loztamazta.miniworldcraft,MiniWorldCraft3D:buildingcity,77,TR,2019-08-20
com.cashstorm.slots,CashStormCasino-キャッシュストーム-ベガススロットマシンとカジノゲーム,78,TR,2019-08-20
com.paramadenim,ParaMadeni-YatırımsızParaKazan,79,TR,2019-08-20
com.parskon.sonsuzyikicitruck,SonsuzYıkıcı-YıldırımTrucklar,80,TR,2019-08-20
com.grannyturtle.ninjaturtleblue.gameninjaturtle19,ScaryGrannyTurtleV1.7:Horrornewgame2019,81,TR,2019-08-20
com.play.deathsdesert,Death'sDesert,82,TR,2019-08-20
com.gamovation.clubmanager,ClubManager2019-Onlinesoccersimulatorgame,83,TR,2019-08-20
air.com.bin.redball.ballgames.redball4.volume2.redball5,RedJumpBall4Vol2:RedballAdventure,84,TR,2019-08-20
com.frojo.corgi,MyCorgi-VirtualPetGame,85,TR,2019-08-20
com.ParaLion.BrawlerQuestions,BrawlerQuestions,86,TR,2019-08-20
com.supergame.dropit,DropIt,87,TR,2019-08-20
com.popcore.makesandwich,Sandwich!,88,TR,2019-08-20
com.massacreswarm.arabaoyunu,ArabaOyunuOyna,89,TR,2019-08-20
com.fiveday.granfreddy.grannyfnaf,ScaryFNAPGRANNY-HorrorGameMod2019,90,TR,2019-08-20
com.MadBrannyGranny.HorrorMod,BrannyGranny2:ScaryMadGamesMod2019,91,TR,2019-08-20
com.granny173,FNAPGrannyModV1.7:TheBestHorrorGame2019,92,TR,2019-08-20
com.dicegame.fantasticdicepuzzle,FantasticDice-MergePuzzle,93,TR,2019-08-20
com.dreamhomematch.casual.free,ドリームホーム・マッチ,94,TR,2019-08-20
com.reliancegames.drones3,Drone:ShadowStrike3,95,TR,2019-08-20
com.gamefree.shapedshift,ShapedSquish,96,TR,2019-08-20
com.DalyGames.LadybuGColoring,MiraculousPrincessLadybug子供のための塗り絵,97,TR,2019-08-20
com.kopilo.poliodls,WinSoccerDreamLeague-FreeCoinDls,98,TR,2019-08-20
com.OppanaGames.Russian.Crime.Simulator,RussianCrimeSimulator,99,TR,2019-08-20
com.yarkere.hedge.jumper,HedgeJumper,100,TR,2019-08-20
com.cricket.sallakazan,SallaKazan-internetPaketYarismasiBedavaturk,101,TR,2019-08-20
com.zombieland.tsunami.plantsvszombies,ZombieWarSurvival:TheWalkingDeadZombieland,102,TR,2019-08-20
