app_id,app_name,rank,country_code,date
com.Taxi.Game,TaxiCity1988V1,1,TR,2018-12-15
com.senspark.goldminervegas.premium,GoldMinerVegas:GoldRush,2,TR,2018-12-15
com.ironhidegames.android.kingdomrush4,KingdomRushVengeance,3,TR,2018-12-15
age.of.civilizations2.jakowski.lukasz,AgeofCivilizationsII,4,TR,2018-12-15
com.hg.titp,ThisIsthePolice,5,TR,2018-12-15
com.honeydew.heroassassin2vip,アサシン育て(VIP),6,TR,2018-12-15
com.crazyowl.MagnetBalls2,MagnetBalls2,7,TR,2018-12-15
com.playstack.helpthegame,HELP:MatchingGameswithFunPuzzleGameplay,8,TR,2018-12-15
air.com.amanitadesign.chuchel.gp,CHUCHEL（チュチェル）,9,TR,2018-12-15
mycity.office,MyCity:オフィス,10,TR,2018-12-15
com.noodlecake.absolutedrift,AbsoluteDrift,11,TR,2018-12-15
com.nijigames.jones,Jones:JombloisHappiness,12,TR,2018-12-15
team.gramoxone.onthehook.paid,온더훅:더얼티밋패트론에디션,13,TR,2018-12-15
com.eastmoon.mergemonvip,マージモンVIP-放置型パズルRPG,14,TR,2018-12-15
com.chuslab.FieldVip,FieldDefenseVIP,15,TR,2018-12-15
com.agaming.zonashadowoflemansk,Z.O.N.AShadowofLemansk,16,TR,2018-12-15
mycity.dentist,MyCity:歯医者さん,17,TR,2018-12-15
com.bullbitz.xmasdrop4,ChristmasDrops4-Matchthreepuzzle,18,TR,2018-12-15
com.ChickenWaffle.BabyHands,BABYHANDSJr.,19,TR,2018-12-15
com.gooblegames.arithmagic,Arithmagic-MathRPG,20,TR,2018-12-15
media.k52.envelapp,envelApp,21,TR,2018-12-15
com.pjmasks.racingheroes,PJMasks:RacingHeroes,22,TR,2018-12-15
com.sun.twinfold,Twinfold(ツインフォールド),23,TR,2018-12-15
com.arsalanengr.watchout,WatchOut-Endlessjumpinggame,24,TR,2018-12-15
com.HighlandStudio.HeroesOfFlatlandia1,HeroesofFlatlandia,25,TR,2018-12-15
com.DamianBernardi.LawsofCivilization,LawsofCivilization,26,TR,2018-12-15
com.VirtualWeasel.AKnightsLife,KnightLife:MedievalFantasyRPG,27,TR,2018-12-15
com.bestgames.pixelmoonmcpes,PixelmoonPokeCraftModsMCPE2018NewVersion,28,TR,2018-12-15
com.mossbark.morels,Morels,29,TR,2018-12-15
com.free.fun.zone.games.santa.christmas.infinite.track.extreme,SantaChristmasInfiniteTrackExtreme,30,TR,2018-12-15
com.dmax.savewater.rescuefish,水を救う-レスキューフィッシュ,31,TR,2018-12-15
com.honeydew.stealerpremium,ソードナイツ:IdleRPG(Premium),32,TR,2018-12-15
games.pollywog.card_crusade,CardCrusade:EarlyAccess,33,TR,2018-12-15
com.sfbgames.MarchingOrder,MarchingOrder,34,TR,2018-12-15
com.onemanband.thesequence2,theSequence[2],35,TR,2018-12-15
com.bbc.heyduggeesquirrelclub,HeyDuggee:TheSquirrelClub,36,TR,2018-12-15
com.sinsquid.moshpit,Moshpit-HeavyMetaliswar,37,TR,2018-12-15
com.cangodev.millionairepremium,Миллионер2019Премиум,38,TR,2018-12-15
air.glittercure,GlitterCureAnimeDressUp,39,TR,2018-12-15
com.aesthetician.crazyPlatez,CrazyPlatez,40,TR,2018-12-15
ru.izhard,OVIVO,41,TR,2018-12-15
com.Brazle.Makeone,Makeone,42,TR,2018-12-15
com.cbs.heroessurvivalfull,ヒーローズサバイバル,43,TR,2018-12-15
ea.f1championship,Outlaws-SprintCarRacing,44,TR,2018-12-15
com.artifexmundi.dreamwalker1.gp.full,ドリームウォーカー:悪夢は眠らない(Full),45,TR,2018-12-15
com.valorware.thronequest,ThroneQuestRPG,46,TR,2018-12-15
com.studiopango.kumo,PangoKumo天気,47,TR,2018-12-15
dAR.ubigovr.VirtualGirlfriendAR,VGARVIP,48,TR,2018-12-15
se.hattenforlag.babblarnakalas,BabblarnaKalas,49,TR,2018-12-15
com.NuclearTales.OutOfTheBox,OutofTheBox,50,TR,2018-12-15
com.starshipstudio.xmastree,ChristmasTree,51,TR,2018-12-15
com.gamerevenant.whereshadowsslumber,影のまどろむ場所,52,TR,2018-12-15
com.damv.duotonereloaded,2つの華やかな色調,53,TR,2018-12-15
com.jackboxgames.TJPP5Loader,TheJackboxPartyPack5,54,TR,2018-12-15
com.isrgaming.waronthebattlefield,WarontheBattlefield,55,TR,2018-12-15
com.Kreft.ProtOn,ProtOn-don'tgetlost,56,TR,2018-12-15
com.kpixgames.PathPixOz,PathPixOz,57,TR,2018-12-15
com.twisterproandroid,TextTwisterPro2018,58,TR,2018-12-15
com.JogosDoBem.Noe,NoéSaraNossaTerra,59,TR,2018-12-15
com.Johnnykun.EnglishJohn,英文單字強,60,TR,2018-12-15
com.Company.josun,허버씰,61,TR,2018-12-15
com.narratio.powerless,Powerless,62,TR,2018-12-15
com.stxsurreal.thelimit_cardboard,RobertRodriguez’sTHELIMITforAndroid,63,TR,2018-12-15
appprevisionistefanlottoscommessecom.wpapp,PrevisioniLottoScommesse,64,TR,2018-12-15
com.avokiddo.games.fitoons,Fitoons,65,TR,2018-12-15
com.blowfishstudios.stormboy,StormBoy,66,TR,2018-12-15
com.MainActivity.tduLUXE,TowerDefense:TankWARLUXE,67,TR,2018-12-15
com.superwalrusland.kaiju,KaijuBigBattelFightoFantasy,68,TR,2018-12-15
com.crablue.picsudoku,Sudoku:Cartoon,69,TR,2018-12-15
com.trucksimulation.offroadreal,ユーロトラックシミュレーターオフロード貨物輸送,70,TR,2018-12-15
com.masonmacbeth.farmingmanager2019,FarmingManager2019,71,TR,2018-12-15
com.sureda.PlaygroundAR,PlaygroundAR:PhysicsSandbox,72,TR,2018-12-15
com.company.patternmasteritf,TaekwondoPatternMasterITFEdition,73,TR,2018-12-15
com.RetroCoders.Retro10,Retro10,74,TR,2018-12-15
com.arsalanengr.zero,Zero-Unlimitedinfinitechallenge,75,TR,2018-12-15
com.ChunkonFire.android,Chunk-on-Fire,76,TR,2018-12-15
com.bestgames.bussimulator2k19,BusSimulatorPro2019-SimulationpublicVietnam,77,TR,2018-12-15
