app_id,app_name,rank,country_code,date
com.nukeboxstudios.foodtruckchef,フードトラック・シェフ:料理ゲーム,1,TR,2017-08-25
com.trtcocuk.kolaygelsin,TRTKolayGelsin,2,TR,2017-08-25
com.tencent.warwings2,ウォー・ウィングス(WarWings),3,TR,2017-08-25
com.flazm.bobtherobber4,BobTheRobber4,4,TR,2017-08-25
com.BeresnevGames.Knife,FlippyKnife,5,TR,2017-08-25
se.foglo.svt,SnipersvsThieves,6,TR,2017-08-25
com.catool.vegas.ganstercity,ベガスギャングスターシティ,7,TR,2017-08-25
com.crafting.building.master,ExplorationLite:Crafting&Building,8,TR,2017-08-25
com.cetincaglar.buhangisarkihitsarkilar2,BuHangiŞarkı?-2017TürkçeHitŞarkılar,9,TR,2017-08-25
com.thunkable.android.foreverapp.salla_kazan_test,SallaKazanDeneme,10,TR,2017-08-25
com.ketchapp.spacefrontier,SpaceFrontier,11,TR,2017-08-25
com.cocoplay.stylist.girl,スタイリストガール-皆をゴージャスにコーデ！,12,TR,2017-08-25
com.realdrift.netadim,RealDrift2017,13,TR,2017-08-25
com.snstu.polistelsizi,PoliceRadioScanner,14,TR,2017-08-25
wonderland.bubble,BubbleWonderland,15,TR,2017-08-25
com.threecoderbrains.bike.parking.racing.stunts.simulation,自転車駐車場2017-オートバイレーシングアドベンチャー3D,16,TR,2017-08-25
com.tutotoons.app.hannahshighschoolsummercrush.free,Hannah'sHighSchoolSummerCrush-TeenDate,17,TR,2017-08-25
air.com.functu.adamandeve3,AdamandEve3,18,TR,2017-08-25
com.bencraft.vam,BenCraft:探検とサバイバル,19,TR,2017-08-25
air.StarButterFly,PrincessStarButterflyStarvstheForcesofEvil,20,TR,2017-08-25
com.mp.superherowaterslideuphillrush,スーパーヒーローウォータースライド上り坂руш,21,TR,2017-08-25
com.sd.google.helloKittyFoodTown,HelloKittyFoodTown,22,TR,2017-08-25
com.crazylabs.cheating.tom,いかさまトム4-見習い美容師,23,TR,2017-08-25
com.doodlesh.knife,ナイフフリップ-KnifeFlip,24,TR,2017-08-25
com.critical.strike.shoot.fire.cssf,CriticalStrikeShootFire,25,TR,2017-08-25
exploration16.pro_team.exploration,ExplorationProliteCraftingandBuildingWorld,26,TR,2017-08-25
com.ProcessGames.LancerEvoDriftSimulator,ランサーエボドリフトシミュレータ,27,TR,2017-08-25
mobi.gameguru.racingfevermoto,RacingFever:Moto,28,TR,2017-08-25
com.insbegenikim,instatakipçikazan,29,TR,2017-08-25
com.videochat.livu,LivU-ランダムな試合で強者とライブチャット,30,TR,2017-08-25
com.kodbraker.kalpatisi,KalpAtışıBilgiYarışması,31,TR,2017-08-25
com.skisosoft.gts,TrashTruckSimulator,32,TR,2017-08-25
com.zuuks.driver.simulator,DriverSimulator,33,TR,2017-08-25
com.he2apps.kelimeliksolo,KelimelikSolo,34,TR,2017-08-25
com.theme.bestsuperemoji3d.crazy,3DCrazyEmoji,35,TR,2017-08-25
com.twim.dressupbattle,ドレスアップバトル：ファッションゲーム,36,TR,2017-08-25
com.mobiroller.mobi5426915376,StatsClashRoyaleNextChest,37,TR,2017-08-25
com.timuzgames.fidgetspinner.io,FidgetSpinner.io,38,TR,2017-08-25
com.grandtheftauto.five.sniper,GrandSniperV:SanAndreas,39,TR,2017-08-25
com.CactusGames.BCL,BigCityLife:Simulator,40,TR,2017-08-25
com.MaxiCraft.MineExplore.NewExploration,AdventureMaxiCraft,41,TR,2017-08-25
com.lemonjamstudio.themightyhero,TheMightyHero,42,TR,2017-08-25
com.CarXTech.highWay,CarXHighwayRacing,43,TR,2017-08-25
com.survivalcrafting.build.house.building.simulator.crafting.home.design.games.like.minecraft.mcpe.ideas.builder.creative.free,ハウスビルディング：デザインゲーム,44,TR,2017-08-25
com.klesh.off.neban,Клешофкленс,45,TR,2017-08-25
com.tinydragonadventuregames.crafting.building.exploration.blocky.cube.lite.boy.girl.love.date.game.chat.minecraft.boyfriend,UltimateCraft:キューブワールドでのビルドとデザイン,46,TR,2017-08-25
com.explorationlight11.byammmar,TipsExplorationLite,47,TR,2017-08-25
com.stickmanindie.stickmanarcher2,スティックマンアーチャー2,48,TR,2017-08-25
com.gamezip.basketall,GameZip:BasketAll,49,TR,2017-08-25
com.fazogames.haracing,HighwayAsphaltRacing:НитроГонщики,50,TR,2017-08-25
com.beansprites.mypretendgrocerystoreFREE,MyPretendGroceryStore-SupermarketLearning,51,TR,2017-08-25
com.RevolutionCraft.MineExploration,MineRevolutioncraft,52,TR,2017-08-25
com.meriem.scary2,‫مريم‬‎,53,TR,2017-08-25
com.heliosinteractive.ben10,Ben10:AlienExperience,54,TR,2017-08-25
com.cocoplay.roller.girl,ローラーガールズ-ローラースケートでダンス,55,TR,2017-08-25
com.netfreegames.tsq,TuningSaveiroQuadrada,56,TR,2017-08-25
com.boombitgames.DrivingSchoolParking,CarDrivingSchoolSimulator,57,TR,2017-08-25
com.thisgamestudio.chaosbattleleague,ChaosBattleLeague,58,TR,2017-08-25
com.beansprites.mypretendpreschool,PretendPreschool-KidsSchoolLearningGames,59,TR,2017-08-25
com.POLOSKUN.BestTrucker,BESTTRUCKER,60,TR,2017-08-25
com.new.begenimatik,BeğeniMatik,61,TR,2017-08-25
com.koolgames.offroad.tour.bus.android,OffroadTourBusDriverCoachBusSimulator,62,TR,2017-08-25
