app_id,app_name,rank,country_code,date
com.vegagamebooster.gfxtools.pro,GFXTool-GameBoosterforBattleground,1,TR,2019-06-15
com.PyrGames.Leprica.pro,城の戦い-城防衛マルチプレイヤーゲームLepricaPro-HeroDefense,2,TR,2019-06-15
space.blam.bb24,SausageColor,3,TR,2019-06-15
com.orgaction.cma,CrisisoftheMiddleAges,4,TR,2019-06-15
com.gamebooster.gfxtools.propaid,GFXtoolsproforpubg(Noads),5,TR,2019-06-15
com.scv.idle.pro.miner.dig,IdleSCVMinerPRO-タップクリッカーの王,6,TR,2019-06-15
com.tohsoft.translate.pro,TranslatePro,7,TR,2019-06-15
com.denisa.amenzirutiere.example,AmenziRutiere,8,TR,2019-06-15
co.denisa.amenziop.exampleop,AmenziOrdinePublică,9,TR,2019-06-15
air.com.flipline.papasdonuteriatogo,Papa'sDonuteriaToGo!,10,TR,2019-06-15
com.damonplay.damonps2.pro.ppsspt,PPSS22-PS2EmulatorforAndroid(R),11,TR,2019-06-15
net.kairosoft.android.depart2,開店デパート日記2,12,TR,2019-06-15
mycity.pjparty,MyCity:PajamaParty,13,TR,2019-06-15
com.longxiweika.a99xgamebooster,"99XGameBooster-PhoneBooster,FPSOptimizer",14,TR,2019-06-15
net.playables.kidsgame,KIDS,15,TR,2019-06-15
com.kevaid.doodlelens,DoodleLens,16,TR,2019-06-15
inc.trilokia.gfxtool,GamersGLToolProwithGameTurbo&GameTuner,17,TR,2019-06-15
air.joara.miracle,기적의분식집Complete,18,TR,2019-06-15
com.lcgdi.upinipinkst2,Upin&IpinKSTChapter2,19,TR,2019-06-15
me.pauln.voicesearchGa,DirectVoiceAssistant,20,TR,2019-06-15
com.usm.tkkg1,TKKG-DieFeuerprobe,21,TR,2019-06-15
com.nomadgames.mysticvale,MysticVale,22,TR,2019-06-15
com.hk.coleg.PhotoScape2,PhotoScapeBase,23,TR,2019-06-15
com.fancytextpro,TextScanner[OCR]&Fancytext,24,TR,2019-06-15
com.dualcarbon.drivesimulator2,DriveSimulator2,25,TR,2019-06-15
com.stepsunlocker.app.stepsunlockerr,ShimanoSTEPSUnlocker,26,TR,2019-06-15
com.iconmarket.iconpack.ios.free,iOS12-IconPack,27,TR,2019-06-15
org.mupen64plusae.super64.pro,Super64Pro(N64Emulator),28,TR,2019-06-15
com.Stones100.TheEyesOfAra,TheEyesofAra,29,TR,2019-06-15
com.DiutiniGames.Magic_in_your_face_1,Magicinyourface,30,TR,2019-06-15
com.pid.znt,ゾンビナイトテロ,31,TR,2019-06-15
com.web3o.truck.simulator.vietnam,TruckSimulatorVietnam,32,TR,2019-06-15
com.fivebn.tl3.full,ザ・レガシー3(Full),33,TR,2019-06-15
air.com.oranginalplan.weaphonesantiques2020,Weaphones™AntiquesGunSim,34,TR,2019-06-15
com.jndapp.redline.linex.iconpack,RedLineIconPack:LineXMKBHDEdition,35,TR,2019-06-15
themes.huawei.emui9black,BlackEmui-9ThemeforHuawei/Honor/Emui,36,TR,2019-06-15
com.roboCourse.crux.roboCoursePro,"RoboCoursePro:LearnArduino,Electronics,Robotics",37,TR,2019-06-15
com.magiccubegames.killthedictator,独裁者を殺す(KillTheDictator),38,TR,2019-06-15
com.fireart.SpiritRootsP,SpiritRoots,39,TR,2019-06-15
com.nomadgames.talismanchronicles,Talisman:Origins,40,TR,2019-06-15
com.hastamev.wallbanks,WallBank[VectorBasedWallpapers],41,TR,2019-06-15
ru.boyotasoft.solamona,СолаМонова,42,TR,2019-06-15
com.nariworks.Highway,무한의고속도로,43,TR,2019-06-15
com.VoronGamesStudio.MetalStrike,MetalStrike:ShootingSoldiers2D,44,TR,2019-06-15
com.crescentmoongames.daggerhood,Daggerhood,45,TR,2019-06-15
com.infinity.traffix,Traffix(トラフィックス),46,TR,2019-06-15
com.lojugames.android.Ordia,Ordia,47,TR,2019-06-15
com.dotemu.wonderboy.dragonstrap,WonderBoy:TheDragon'sTrap,48,TR,2019-06-15
com.nic_english.gym.NicGym,ニック式英会話ジムベータ版,49,TR,2019-06-15
com.ebsnew.newversion,EBSCocktails,50,TR,2019-06-15
com.keerby.formatfactort,AVS:AnyVideoConverter,51,TR,2019-06-15
winaero.kustom.pack,WinAeroKLWP,52,TR,2019-06-15
com.skytube,ReKLaMSıZYouTube,53,TR,2019-06-15
com.sesameworkshop.PottyTimeElmo.play,PottyTimewithElmo,54,TR,2019-06-15
com.pgstudio.survival.evo.pro,SurvivalIsland:EVOPRO–Survivorbuildinghome,55,TR,2019-06-15
com.komikermedia.Clish,ClishRush,56,TR,2019-06-15
com.brainseal.darkquest2,DarkQuest2,57,TR,2019-06-15
app.fedilab.android,Fedilab,58,TR,2019-06-15
com.filelinked.premiumfilelinkedcodes,FileLinkedCodesPremium2020-Pro,59,TR,2019-06-15
com.crescentmoongames.kot2,KnightsofTartarus,60,TR,2019-06-15
com.infinity.traffix,Traffix(トラフィックス),61,TR,2019-06-15
com.keerby.formatfactort,AVS:AnyVideoConverter,62,TR,2019-06-15
com.eatos.uxux.white.colors,HoruxWhite-IconPack,63,TR,2019-06-15
simplewidget.kustom.pack,Simplewidget,64,TR,2019-06-15
com.jamstring.rockguitarlicks,50RockGuitarLicks,65,TR,2019-06-15
air.com.fairytalehigh,FairyTaleHigh,66,TR,2019-06-15
com.londonsoftware.calisthenics,CalisthenicsPro,67,TR,2019-06-15
com.guiip.app.cine.pipoca.pro,CinePipoca,68,TR,2019-06-15
deluxehome.kustom.pack,DeluxeHomeforKLWP,69,TR,2019-06-15
com.wahlerdigital.sinkr2,SiNKR2,70,TR,2019-06-15
com.beyondsw.assistivetouch.pro,TouchMasterPro,71,TR,2019-06-15
com.homi.warrior,WarriorChildren,72,TR,2019-06-15
techdots.kustom.pack,TECHDOTSThemeforKLWP,73,TR,2019-06-15
com.dreamon.jool,JoolIconPack,74,TR,2019-06-15
com.crablue.heroevosp,HeroEvolution:SP,75,TR,2019-06-15
nightradio.virtualans3,VirtualANS3,76,TR,2019-06-15
emui.en.com.aurablue,AuraBlueDarkEMUI9ThemeforHuawei/Honor,77,TR,2019-06-15
com.east2west.wonderblade,WonderBlade,78,TR,2019-06-15
com.tinyapps.ringtonenotification,RingtoneNotificationGalaxy,79,TR,2019-06-15
com.lbhedu.kcmdic,한국어속뜻사전,80,TR,2019-06-15
com.studiopango.foxfactory,FoxFactory,81,TR,2019-06-15
com.dream.special,DreamSpecialVip,82,TR,2019-06-15
com.mobincube.cetaceos_del_mundo.sc_5SW87V,CetáceosdelMundo,83,TR,2019-06-15
nek.n2,Recarga6,84,TR,2019-06-15
com.coccco28.erawhiteflat,EraWhiteFlat,85,TR,2019-06-15
com.monotype.android.font.eskiztwo,EskizLatinandCyrillicFlipFontbyParatype,86,TR,2019-06-15
com.buzzfeed.cuppystickers,TheGoodAdviceCupcakeStickers,87,TR,2019-06-15
com.cris87.one_ui_fluo,ONEUIFLUO-ICONPACK,88,TR,2019-06-15
com.lge.wsdeveloper.v50black,V50BlackThemeLGV30V20G5G6,89,TR,2019-06-15
com.memofongames.memorynumbers,MemoryNumbers,90,TR,2019-06-15
online.firedup.app.android5ce2fd2ae9496,NETV,91,TR,2019-06-15
com.copabet,Copabet,92,TR,2019-06-15
aquiver.kustom.pack,SavzforKLWP,93,TR,2019-06-15
oneuiklwp.kustom.pack,OneUIKLWP,94,TR,2019-06-15
com.sansuryo.saniq,SANSURYO,95,TR,2019-06-15
gradjentpro.grabsterstudios.pack,GradjentForKLWP(Unlocked),96,TR,2019-06-15
com.Medu.Super.Hero.idle.factory.tycoon.inc,SuperHeroFactory:IdleClickerTycoonInc,97,TR,2019-06-15
com.ez.smarthome.ewelinkcommands,eWelinkCommandsPlugin,98,TR,2019-06-15
com.mentallab.theclimb,TheClimb:IceGiantAdventure,99,TR,2019-06-15
new.best.wasstickerapps,NewBest&FunnyWastickerappsStickers2019,100,TR,2019-06-15
com.cris87.color_os,COLOROS-ICONPACK,101,TR,2019-06-15
qrgen.code.generator,QRCODEANALYTICS-qrgen.app,102,TR,2019-06-15
fs.wmwatch.fs130,FS130DigitalWatchFaceForWatchMakerUsers,103,TR,2019-06-15
oceanklwp.kustom.pack,oceanklwptheme,104,TR,2019-06-15
com.monotype.android.font.sixhandsmarker,SixHands™MarkerLatinandCyrillicFlipFont,105,TR,2019-06-15
com.jamstring.riffmakerpro,RiffWriter,106,TR,2019-06-15
hv.hlabs.masterfms,JuezFMSMaster,107,TR,2019-06-15
com.pgstudio.siepro,SurvivalIsland:EVO2PRO,108,TR,2019-06-15
com.panexpress.zombieescape,PANEXPRESS-ZombieEscape,109,TR,2019-06-15
com.Anoctis.AvoidPremium,AvoidPremium,110,TR,2019-06-15
com.whatsgoodapps.alyandajmojiwithaudiosms,Aly&AJmojiwithAudioisms,111,TR,2019-06-15
izzl.pearl.kwgt,PearlKWGT,112,TR,2019-06-15
com.disney.stickers.aladdin_goo,DisneyStickers:Aladdin,113,TR,2019-06-15
com.wJigoloAryanKadnlar_9045140,JigoloArıyanKadınlar,114,TR,2019-06-15
com.shellshooter.shockersshell,SHELLSHOOTER,115,TR,2019-06-15
com.amuseware.mexicantrain,MexicanTrainDominoes2,116,TR,2019-06-15
com.badagames.conqueror,SkyLandDefense,117,TR,2019-06-15
ch.svenpfiffner.dksg,DavosKlostersSoundsGood,118,TR,2019-06-15
com.makejoy.talk.mint,MJTalkMintNEW-카카오톡테마,119,TR,2019-06-15
com.icc.mhegas,Ácido-Base,120,TR,2019-06-15
